"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
"De 30 a 34 años (025)",411,386,1,86,115,93,72,17,2,,25,1028
"De 35 a 39 años (026)",406,389,3,59,78,80,112,45,11,1,17,1327
"De 40 a 44 años (027)",389,382,2,41,60,76,113,64,21,5,7,1548
"De 45 a 49 años (028)",334,331,4,28,42,63,92,69,28,5,3,1457
"De 50 y más años (029)",1379,1374,16,101,134,170,374,337,194,48,5,6851
"Desocupada (030)",43,37,,15,7,2,8,4,,1,6,104
"De 15 a 19 años (032)",1,1,,1,,,,,,,,1
"De 20 a 24 años (033)",12,9,,8,,,1,,,,3,12
"De 25 a 29 años (034)",6,5,,3,2,,,,,,1,7
"De 30 a 34 años (035)",10,9,,1,3,,4,1,,,1,32
"De 35 a 39 años (036)",3,3,,,,1,2,,,,,11
"De 40 a 44 años (037)",6,5,,2,,1,1,1,,,1,15
"De 45 a 49 años (038)",2,2,,,1,,,1,,,,8
"De 50 y más años (039)",3,3,,,1,,,1,,1,,18
"No PEA (040)",3513,3380,27,452,529,536,923,583,263,67,133,13896
"De 12 a 14 años (041)",4,3,,2,1,,,,,,1,4
"De 15 a 19 años (042)",83,76,2,63,11,,,,,,7,85
"De 20 a 24 años (043)",254,222,3,124,69,22,4,,,,32,344
"De 25 a 29 años (044)",285,263,1,72,94,56,34,5,1,,22,617
"De 30 a 34 años (045)",319,304,,36,66,94,91,15,2,,15,952
"De 35 a 39 años (046)",333,321,3,32,67,64,105,40,10,,12,1159
"De 40 a 44 años (047)",285,272,1,13,37,51,94,46,26,4,13,1211
"De 45 a 49 años (048)",246,240,1,9,21,37,76,53,30,13,6,1249
"De 50 y más años (049)",1704,1679,16,101,163,212,519,424,194,50,25,8275
,,,,,,,,,,,,
"URBANA (060)",4490,4307,30,693,748,743,1077,671,282,63,183,16520
"De 15 a 19 años (062)",63,62,1,54,6,1,,,,,1,69
"De 20 a 24 años (063)",281,240,3,150,68,14,5,,,,41,349
"De 25 a 29 años (064)",413,365,,134,131,62,33,4,1,,48,757
"De 30 a 34 años (065)",468,440,,90,130,111,101,6,2,,28,1163
"De 35 a 39 años (066)",500,479,3,61,103,109,136,57,10,,21,1623
"De 40 a 44 años (067)",462,447,1,39,70,99,140,63,29,6,15,1817
"De 45 a 49 años (068)",374,367,2,25,41,79,108,77,29,6,7,1639
"De 50 y más años (069)",1929,1907,20,140,199,268,554,464,211,51,22,9103
"PEA (070)",2256,2162,13,412,399,375,500,309,126,28,94,7869
"De 15 a 19 años (072)",29,29,,28,,1,,,,,,31
"De 20 a 24 años (073)",138,116,1,76,29,6,4,,,,22,169
"De 25 a 29 años (074)",233,201,,86,71,28,14,2,,,32,384
"De 30 a 34 años (075)",267,247,,63,80,53,46,4,1,,20,609
"De 35 a 39 años (076)",276,265,1,41,56,60,77,25,5,,11,860
"De 40 a 44 años (077)",270,266,1,32,49,61,76,35,10,2,4,990
"De 45 a 49 años (078)",218,216,1,19,30,52,58,43,13,,2,885
"De 50 y más años (079)",825,822,9,67,84,114,225,200,97,26,3,3941
"Ocupada (080)",2227,2139,13,404,395,373,495,306,126,27,88,7798
"De 15 a 19 años (082)",29,29,,28,,1,,,,,,31
"De 20 a 24 años (083)",129,110,1,71,29,6,3,,,,19,160
"De 25 a 29 años (084)",230,199,,85,70,28,14,2,,,31,381
"De 30 a 34 años (085)",261,242,,62,78,53,44,4,1,,19,595
"De 35 a 39 años (086)",273,262,1,41,56,59,75,25,5,,11,849
"De 40 a 44 años (087)",266,263,1,31,49,60,76,34,10,2,3,980
"De 45 a 49 años (088)",216,214,1,19,29,52,58,42,13,,2,877
"De 50 y más años (089)",823,820,9,67,84,114,225,199,97,25,3,3925
"Desocupada (090)",29,23,,8,4,2,5,3,,1,6,71
"De 20 a 24 años (093)",9,6,,5,,,1,,,,3,9
"De 25 a 29 años (094)",3,2,,1,1,,,,,,1,3
"De 30 a 34 años (095)",6,5,,1,2,,2,,,,1,14
"De 35 a 39 años (096)",3,3,,,,1,2,,,,,11
"De 40 a 44 años (097)",4,3,,1,,1,,1,,,1,10
"De 45 a 49 años (098)",2,2,,,1,,,1,,,,8
"De 50 y más años (099)",2,2,,,,,,1,,1,,16
"No PEA (100)",2234,2145,17,281,349,368,577,362,156,35,89,8651
"De 15 a 19 años (102)",34,33,1,26,6,,,,,,1,38
"De 20 a 24 años (103)",143,124,2,74,39,8,1,,,,19,180
"De 25 a 29 años (104)",180,164,,48,60,34,19,2,1,,16,373
"De 30 a 34 años (105)",201,193,,27,50,58,55,2,1,,8,554
"De 35 a 39 años (106)",224,214,2,20,47,49,59,32,5,,10,763
"De 40 a 44 años (107)",192,181,,7,21,38,64,28,19,4,11,827
"De 45 a 49 años (108)",156,151,1,6,11,27,50,34,16,6,5,754
"De 50 y más años (109)",1104,1085,11,73,115,154,329,264,114,25,19,5162
,,,,,,,,,,,,
"RURAL (120)",2657,2565,25,378,411,351,647,452,237,64,92,10741
"De 12 a 14 años (121)",4,3,,2,1,,,,,,1,4
"De 15 a 19 años (122)",73,65,1,53,11,,,,,,8,75
"De 20 a 24 años (123)",222,198,2,105,66,20,5,,,,24,317
"De 25 a 29 años (124)",261,239,1,64,88,55,26,5,,,22,549
"De 30 a 34 años (125)",272,259,1,33,54,76,66,27,2,,13,849
"De 35 a 39 años (126)",242,234,3,30,42,36,83,28,11,1,8,874
"De 40 a 44 años (127)",218,212,2,17,27,29,68,48,18,3,6,957
"De 45 a 49 años (128)",208,206,3,12,23,21,60,46,29,12,2,1075
"De 50 y más años (129)",1157,1149,12,62,99,114,339,298,177,48,8,6041
"PEA (130)",1378,1330,15,207,231,183,301,231,130,32,48,5496
"De 15 a 19 años (132)",24,22,,16,6,,,,,,2,28
"De 20 a 24 años (133)",111,100,1,55,36,6,2,,,,11,153
"De 25 a 29 años (134)",156,140,,40,54,33,11,2,,,16,305
"De 30 a 34 años (135)",154,148,1,24,38,40,30,14,1,,6,451
"De 35 a 39 años (136)",133,127,2,18,22,21,37,20,6,1,6,478
"De 40 a 44 años (137)",125,121,1,11,11,16,38,30,11,3,4,573
"De 45 a 49 años (138)",118,117,3,9,13,11,34,27,15,5,1,580
"De 50 y más años (139)",557,555,7,34,51,56,149,138,97,23,2,2928
"Ocupada (140)",1364,1316,15,200,228,183,298,230,130,32,48,5463
"De 15 a 19 años (142)",23,21,,15,6,,,,,,2,27
"De 20 a 24 años (143)",108,97,1,52,36,6,2,,,,11,150
"De 25 a 29 años (144)",153,137,,38,53,33,11,2,,,16,301
"De 30 a 34 años (145)",150,144,1,24,37,40,28,13,1,,6,433
"De 35 a 39 años (146)",133,127,2,18,22,21,37,20,6,1,6,478
"De 40 a 44 años (147)",123,119,1,10,11,16,37,30,11,3,4,568
"De 45 a 49 años (148)",118,117,3,9,13,11,34,27,15,5,1,580
"De 50 y más años (149)",556,554,7,34,50,56,149,138,97,23,2,2926
"Desocupada (150)",14,14,,7,3,,3,1,,,,33
"De 15 a 19 años (152)",1,1,,1,,,,,,,,1
"De 20 a 24 años (153)",3,3,,3,,,,,,,,3
"De 25 a 29 años (154)",3,3,,2,1,,,,,,,4
"De 30 a 34 años (155)",4,4,,,1,,2,1,,,,18
"De 40 a 44 años (157)",2,2,,1,,,1,,,,,5
"De 50 y más años (159)",1,1,,,1,,,,,,,2
"No PEA (160)",1279,1235,10,171,180,168,346,221,107,32,44,5245
"De 12 a 14 años (161)",4,3,,2,1,,,,,,1,4
"De 15 a 19 años (162)",49,43,1,37,5,,,,,,6,47
"De 20 a 24 años (163)",111,98,1,50,30,14,3,,,,13,164
"De 25 a 29 años (164)",105,99,1,24,34,22,15,3,,,6,244
"De 30 a 34 años (165)",118,111,,9,16,36,36,13,1,,7,398
"De 35 a 39 años (166)",109,107,1,12,20,15,46,8,5,,2,396
"De 40 a 44 años (167)",93,91,1,6,16,13,30,18,7,,2,384
"De 45 a 49 años (168)",90,89,,3,10,10,26,19,14,7,1,495
"De 50 y más años (169)",600,594,5,28,48,58,190,160,80,25,6,3113
