"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"De 35 a 39 años (146)",197,194,1,18,34,34,72,31,4,,3,737
"De 40 a 44 años (147)",152,150,,3,14,13,61,37,18,4,2,777
"De 45 a 49 años (148)",127,126,,2,9,14,46,36,16,3,1,676
"De 50 y más años (149)",300,294,1,13,11,25,63,76,72,33,6,1841
"Desocupada (150)",7,6,,2,3,,1,,,,1,12
"De 20 a 24 años (153)",1,,,,,,,,,,1,
"De 25 a 29 años (154)",2,2,,,2,,,,,,,4
"De 30 a 34 años (155)",1,1,,1,,,,,,,,1
"De 35 a 39 años (156)",3,3,,1,1,,1,,,,,7
"No PEA (160)",3128,3019,12,553,584,456,626,442,243,103,109,11868
"De 12 a 14 años (161)",15,6,1,5,,,,,,,9,5
"De 15 a 19 años (162)",268,235,3,191,38,2,1,,,,33,277
"De 20 a 24 años (163)",536,512,3,209,203,81,15,1,,,24,929
"De 25 a 29 años (164)",491,477,,82,169,143,78,5,,,14,1208
"De 30 a 34 años (165)",362,359,,26,86,86,126,32,3,,3,1228
"De 35 a 39 años (166)",321,315,2,15,36,48,120,70,19,5,6,1422
"De 40 a 44 años (167)",246,244,1,6,16,31,78,69,36,7,2,1300
"De 45 a 49 años (168)",228,228,,8,8,23,79,58,33,19,,1303
"De 50 y más años (169)",661,643,2,11,28,42,129,207,152,72,18,4196
