"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"Agric., ganadería, caza y silvicultura (045)",4275,4181,93,1,
"Pesca (046)",2,2,,,
"Industrias manufactureras (048)",50,45,5,,
"Construcción (050)",2,1,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",306,297,6,2,1
"Venta, mant.y rep. veh.autom y motoc. (052)",2,2,,,
"Comercio al por mayor (053)",6,5,,,1
"Comercio al por menor (054)",298,290,6,2,
"Hoteles y restaurantes (055)",95,90,4,1,
"Trans., almac. y comunicaciones (056)",7,6,1,,
"Activid.inmobil., empres. y alquileres (058)",6,4,2,,
"Admin.pub. y defensa; p. segur soc.afil (059)",37,,,,37
"Enseñanza (060)",84,34,25,15,10
"Servicios sociales y de salud (061)",19,3,1,,15
"Otras activ. serv.comun.soc y personales (062)",5,5,,,
"Hogares privados con servicio doméstico (063)",40,40,,,
"Actividad economica no especificada (065)",117,107,5,1,4
,,,,,
"URBANA (066)",2899,2447,184,73,195
"Agric., ganadería, caza y silvicultura (067)",1749,1677,72,,
"Pesca (068)",3,3,,,
"Explotación de minas y canteras (069)",2,1,,1,
"Industrias manufactureras (070)",72,67,5,,
"Suministro de electricidad, gas y agua (071)",3,,,1,2
"Construcción (072)",59,47,11,,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",374,358,9,5,2
"Venta, mant.y rep. veh.autom y motoc. (074)",13,12,,,1
"Comercio al por mayor (075)",9,7,,1,1
"Comercio al por menor (076)",352,339,9,4,
"Hoteles y restaurantes (077)",100,95,3,1,1
"Trans., almac. y comunicaciones (078)",42,35,4,1,2
"Intermediación financiera (079)",1,1,,,
"Activid.inmobil., empres. y alquileres (080)",12,9,1,1,1
"Admin.pub. y defensa; p. segur soc.afil (081)",135,,,,135
"Enseñanza (082)",179,44,57,57,21
"Servicios sociales y de salud (083)",35,9,1,,25
"Otras activ. serv.comun.soc y personales (084)",17,10,5,1,1
"Hogares privados con servicio doméstico (085)",20,20,,,
"Actividad economica no especificada (087)",96,71,16,5,4
"Hombres (088)",1674,1343,129,58,144
"Agric., ganadería, caza y silvicultura (089)",1021,972,49,,
"Pesca (090)",2,2,,,
"Explotación de minas y canteras (091)",2,1,,1,
"Industrias manufactureras (092)",44,41,3,,
"Suministro de electricidad, gas y agua (093)",3,,,1,2
"Construcción (094)",59,47,11,,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",150,142,4,3,1
"Venta, mant.y rep. veh.autom y motoc. (096)",12,11,,,1
"Comercio al por mayor (097)",5,4,,1,
"Comercio al por menor (098)",133,127,4,2,
"Hoteles y restaurantes (099)",22,20,,1,1
"Trans., almac. y comunicaciones (100)",40,33,4,1,2
"Intermediación financiera (101)",1,1,,,
"Activid.inmobil., empres. y alquileres (102)",10,7,1,1,1
"Admin.pub. y defensa; p. segur soc.afil (103)",104,,,,104
"Enseñanza (104)",122,26,39,45,12
"Servicios sociales y de salud (105)",23,6,1,,16
"Otras activ. serv.comun.soc y personales (106)",14,7,5,1,1
"Hogares privados con servicio doméstico (107)",5,5,,,
"Actividad economica no especificada (109)",52,33,12,4,3
"Mujeres (110)",1225,1104,55,15,51
"Agric., ganadería, caza y silvicultura (111)",728,705,23,,
"Pesca (112)",1,1,,,
"Industrias manufactureras (114)",28,26,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",224,216,5,2,1
"Venta, mant.y rep. veh.autom y motoc. (118)",1,1,,,
"Comercio al por mayor (119)",4,3,,,1
"Comercio al por menor (120)",219,212,5,2,
"Hoteles y restaurantes (121)",78,75,3,,
"Trans., almac. y comunicaciones (122)",2,2,,,
"Activid.inmobil., empres. y alquileres (124)",2,2,,,
"Admin.pub. y defensa; p. segur soc.afil (125)",31,,,,31
"Enseñanza (126)",57,18,18,12,9
"Servicios sociales y de salud (127)",12,3,,,9
"Otras activ. serv.comun.soc y personales (128)",3,3,,,
"Hogares privados con servicio doméstico (129)",15,15,,,
"Actividad economica no especificada (131)",44,38,4,1,1
,,,,,
"RURAL (132)",8380,7984,266,39,91
"Agric., ganadería, caza y silvicultura (133)",7549,7364,174,11,
"Pesca (134)",20,20,,,
"Explotación de minas y canteras (135)",6,3,1,,2
"Industrias manufactureras (136)",77,68,8,1,
"Construcción (138)",112,85,21,4,2
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",167,163,4,,
"Venta, mant.y rep. veh.autom y motoc. (140)",4,3,1,,
"Comercio al por mayor (141)",4,4,,,
"Comercio al por menor (142)",159,156,3,,
"Hoteles y restaurantes (143)",22,18,3,1,
"Trans., almac. y comunicaciones (144)",62,58,3,1,
"Activid.inmobil., empres. y alquileres (146)",7,4,2,1,
"Admin.pub. y defensa; p. segur soc.afil (147)",69,,,,69
"Enseñanza (148)",125,54,46,18,7
"Servicios sociales y de salud (149)",15,5,1,1,8
"Otras activ. serv.comun.soc y personales (150)",7,7,,,
"Hogares privados con servicio doméstico (151)",27,27,,,
"Actividad economica no especificada (153)",115,108,3,1,3
"Hombres (154)",4560,4273,178,34,75
"Agric., ganadería, caza y silvicultura (155)",4002,3888,104,10,
"Pesca (156)",19,19,,,
"Explotación de minas y canteras (157)",6,3,1,,2
"Industrias manufactureras (158)",55,49,5,1,
"Construcción (160)",110,84,20,4,2
"Comerc., rep. veh. autom.,motoc. efect. pers. (161)",85,82,3,,
"Venta, mant.y rep. veh.autom y motoc. (162)",3,2,1,,
"Comercio al por mayor (163)",2,2,,,
"Comercio al por menor (164)",80,78,2,,
"Hoteles y restaurantes (165)",5,3,2,,
"Trans., almac. y comunicaciones (166)",57,54,2,1,
"Activid.inmobil., empres. y alquileres (168)",3,2,,1,
"Admin.pub. y defensa; p. segur soc.afil (169)",63,,,,63
"Enseñanza (170)",98,38,39,15,6
"Servicios sociales y de salud (171)",8,5,,1,2
"Otras activ. serv.comun.soc y personales (172)",5,5,,,
"Hogares privados con servicio doméstico (173)",2,2,,,
"Actividad economica no especificada (175)",42,39,2,1,
"Mujeres (176)",3820,3711,88,5,16
"Agric., ganadería, caza y silvicultura (177)",3547,3476,70,1,
"Pesca (178)",1,1,,,
"Industrias manufactureras (180)",22,19,3,,
"Construcción (182)",2,1,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (183)",82,81,1,,
"Venta, mant.y rep. veh.autom y motoc. (184)",1,1,,,
"Comercio al por mayor (185)",2,2,,,
"Comercio al por menor (186)",79,78,1,,
"Hoteles y restaurantes (187)",17,15,1,1,
"Trans., almac. y comunicaciones (188)",5,4,1,,
"Activid.inmobil., empres. y alquileres (190)",4,2,2,,
"Admin.pub. y defensa; p. segur soc.afil (191)",6,,,,6
"Enseñanza (192)",27,16,7,3,1
"Servicios sociales y de salud (193)",7,,1,,6
"Otras activ. serv.comun.soc y personales (194)",2,2,,,
"Hogares privados con servicio doméstico (195)",25,25,,,
"Actividad economica no especificada (197)",73,69,1,,3
