"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
"De 30 a 34 años (025)",272,259,,38,76,61,63,20,1,,13,771
"De 35 a 39 años (026)",315,307,,22,59,77,95,43,10,1,8,1164
"De 40 a 44 años (027)",262,257,1,19,38,46,84,50,14,5,5,1092
"De 45 a 49 años (028)",212,210,,19,27,29,49,59,24,3,2,981
"De 50 y más años (029)",680,671,2,72,68,98,207,151,64,9,9,3033
"Desocupada (030)",42,33,,11,7,4,8,3,,,9,95
"De 15 a 19 años (032)",3,3,,3,,,,,,,,3
"De 20 a 24 años (033)",10,3,,2,1,,,,,,7,4
"De 25 a 29 años (034)",5,5,,1,1,3,,,,,,12
"De 30 a 34 años (035)",8,7,,1,,1,4,1,,,1,30
"De 35 a 39 años (036)",4,4,,3,1,,,,,,,5
"De 40 a 44 años (037)",4,4,,,2,,1,1,,,,16
"De 45 a 49 años (038)",3,3,,1,1,,1,,,,,7
"De 50 y más años (039)",5,4,,,1,,2,1,,,1,18
"No PEA (040)",4932,4750,29,626,801,787,1444,748,253,62,182,18549
"De 12 a 14 años (041)",15,4,,4,,,,,,,11,4
"De 15 a 19 años (042)",97,79,3,69,6,1,,,,,18,84
"De 20 a 24 años (043)",447,377,2,185,132,42,15,1,,,70,643
"De 25 a 29 años (044)",526,499,,102,167,127,95,8,,,27,1266
"De 30 a 34 años (045)",542,528,1,42,99,127,207,49,3,,14,1864
"De 35 a 39 años (046)",538,531,1,22,56,96,221,107,26,2,7,2325
"De 40 a 44 años (047)",477,472,1,18,49,70,169,110,42,13,5,2282
"De 45 a 49 años (048)",376,370,4,19,43,45,127,80,41,11,6,1781
"De 50 y más años (049)",1914,1890,17,165,249,279,610,393,141,36,24,8300
,,,,,,,,,,,,
"URBANA (060)",3930,3733,14,565,672,631,1081,554,175,41,197,14047
"De 12 a 14 años (061)",11,2,,2,,,,,,,9,2
"De 15 a 19 años (062)",81,62,2,51,9,,,,,,19,69
"De 20 a 24 años (063)",328,260,1,153,79,23,3,1,,,68,398
"De 25 a 29 años (064)",394,364,,106,116,84,53,4,1,,30,848
"De 30 a 34 años (065)",436,414,,48,107,99,137,23,,,22,1296
"De 35 a 39 años (066)",459,447,,30,81,96,155,69,15,1,12,1751
"De 40 a 44 años (067)",423,418,,20,50,72,150,88,26,12,5,1920
"De 45 a 49 años (068)",338,333,1,25,42,42,107,81,31,4,5,1533
"De 50 y más años (069)",1460,1433,10,130,188,215,476,288,102,24,27,6230
"PEA (070)",1498,1403,1,251,254,258,358,209,63,9,95,5083
"De 15 a 19 años (072)",30,24,,19,5,,,,,,6,29
"De 20 a 24 años (073)",127,93,,62,23,7,,1,,,34,135
"De 25 a 29 años (074)",162,142,,50,37,36,16,2,1,,20,324
"De 30 a 34 años (075)",189,176,,26,53,44,44,9,,,13,508
"De 35 a 39 años (076)",211,204,,16,45,52,59,26,5,1,7,750
"De 40 a 44 años (077)",178,175,,12,23,36,57,35,9,3,3,749
"De 45 a 49 años (078)",159,157,,17,22,19,35,47,16,1,2,714
"De 50 y más años (079)",442,432,1,49,46,64,147,89,32,4,10,1874
"Ocupada (080)",1467,1377,1,241,250,256,351,206,63,9,90,5005
"De 15 a 19 años (082)",27,21,,16,5,,,,,,6,26
"De 20 a 24 años (083)",122,91,,60,23,7,,1,,,31,133
"De 25 a 29 años (084)",158,138,,49,36,34,16,2,1,,20,315
"De 30 a 34 años (085)",182,170,,25,53,44,40,8,,,12,481
"De 35 a 39 años (086)",209,202,,14,45,52,59,26,5,1,7,748
"De 40 a 44 años (087)",174,171,,12,21,36,56,34,9,3,3,733
"De 45 a 49 años (088)",157,155,,16,22,19,34,47,16,1,2,709
"De 50 y más años (089)",438,429,1,49,45,64,146,88,32,4,9,1860
"Desocupada (090)",31,26,,10,4,2,7,3,,,5,78
"De 15 a 19 años (092)",3,3,,3,,,,,,,,3
"De 20 a 24 años (093)",5,2,,2,,,,,,,3,2
"De 25 a 29 años (094)",4,4,,1,1,2,,,,,,9
"De 30 a 34 años (095)",7,6,,1,,,4,1,,,1,27
"De 35 a 39 años (096)",2,2,,2,,,,,,,,2
"De 40 a 44 años (097)",4,4,,,2,,1,1,,,,16
"De 45 a 49 años (098)",2,2,,1,,,1,,,,,5
"De 50 y más años (099)",4,3,,,1,,1,1,,,1,14
"No PEA (100)",2432,2330,13,314,418,373,723,345,112,32,102,8964
"De 12 a 14 años (101)",11,2,,2,,,,,,,9,2
"De 15 a 19 años (102)",51,38,2,32,4,,,,,,13,40
"De 20 a 24 años (103)",201,167,1,91,56,16,3,,,,34,263
"De 25 a 29 años (104)",232,222,,56,79,48,37,2,,,10,524
"De 30 a 34 años (105)",247,238,,22,54,55,93,14,,,9,788
"De 35 a 39 años (106)",248,243,,14,36,44,96,43,10,,5,1001
"De 40 a 44 años (107)",245,243,,8,27,36,93,53,17,9,2,1171
"De 45 a 49 años (108)",179,176,1,8,20,23,72,34,15,3,3,819
"De 50 y más años (109)",1018,1001,9,81,142,151,329,199,70,20,17,4356
,,,,,,,,,,,,
"RURAL (120)",3268,3161,18,451,498,542,898,523,192,39,107,12399
"De 12 a 14 años (121)",4,2,,2,,,,,,,2,2
"De 15 a 19 años (122)",65,56,1,49,5,1,,,,,9,62
"De 20 a 24 años (123)",325,279,1,144,87,31,15,1,,,46,479
"De 25 a 29 años (124)",378,352,,68,105,105,68,6,,,26,917
"De 30 a 34 años (125)",386,380,1,33,68,90,137,47,4,,6,1369
"De 35 a 39 años (126)",398,395,1,17,35,77,161,81,21,2,3,1743
"De 40 a 44 años (127)",320,315,2,17,39,44,104,73,30,6,5,1470
"De 45 a 49 años (128)",253,250,3,14,29,32,70,58,34,10,3,1236
"De 50 y más años (129)",1139,1132,9,107,130,162,343,257,103,21,7,5121
"PEA (130)",768,741,2,139,115,128,177,120,51,9,27,2814
"De 15 a 19 años (132)",19,15,,12,3,,,,,,4,18
"De 20 a 24 años (133)",79,69,,50,11,5,3,,,,10,99
"De 25 a 29 años (134)",84,75,,22,17,26,10,,,,9,175
"De 30 a 34 años (135)",91,90,,13,23,18,23,12,1,,1,293
"De 35 a 39 años (136)",108,107,,9,15,25,36,17,5,,1,419
"De 40 a 44 años (137)",88,86,1,7,17,10,28,16,5,2,2,359
"De 45 a 49 años (138)",56,56,,3,6,10,15,12,8,2,,274
"De 50 y más años (139)",243,243,1,23,23,34,62,63,32,5,,1177
"Ocupada (140)",757,734,2,138,112,126,176,120,51,9,23,2797
"De 15 a 19 años (142)",19,15,,12,3,,,,,,4,18
"De 20 a 24 años (143)",74,68,,50,10,5,3,,,,6,97
"De 25 a 29 años (144)",83,74,,22,17,25,10,,,,9,172
"De 30 a 34 años (145)",90,89,,13,23,17,23,12,1,,1,290
"De 35 a 39 años (146)",106,105,,8,14,25,36,17,5,,1,416
"De 40 a 44 años (147)",88,86,1,7,17,10,28,16,5,2,2,359
"De 45 a 49 años (148)",55,55,,3,5,10,15,12,8,2,,272
"De 50 y más años (149)",242,242,1,23,23,34,61,63,32,5,,1173
"Desocupada (150)",11,7,,1,3,2,1,,,,4,17
"De 20 a 24 años (153)",5,1,,,1,,,,,,4,2
"De 25 a 29 años (154)",1,1,,,,1,,,,,,3
"De 30 a 34 años (155)",1,1,,,,1,,,,,,3
"De 35 a 39 años (156)",2,2,,1,1,,,,,,,3
"De 45 a 49 años (158)",1,1,,,1,,,,,,,2
"De 50 y más años (159)",1,1,,,,,1,,,,,4
"No PEA (160)",2500,2420,16,312,383,414,721,403,141,30,80,9585
"De 12 a 14 años (161)",4,2,,2,,,,,,,2,2
"De 15 a 19 años (162)",46,41,1,37,2,1,,,,,5,44
"De 20 a 24 años (163)",246,210,1,94,76,26,12,1,,,36,380
"De 25 a 29 años (164)",294,277,,46,88,79,58,6,,,17,742
"De 30 a 34 años (165)",295,290,1,20,45,72,114,35,3,,5,1076
"De 35 a 39 años (166)",290,288,1,8,20,52,125,64,16,2,2,1324
"De 40 a 44 años (167)",232,229,1,10,22,34,76,57,25,4,3,1111
"De 45 a 49 años (168)",197,194,3,11,23,22,55,46,26,8,3,962
"De 50 y más años (169)",896,889,8,84,107,128,281,194,71,16,7,3944
