"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Actividad economica no especificada (043)",426,,132,193,87,14
"Mujeres (045)",1941,33,611,679,459,159
"Agric., ganadería, caza y silvicultura (046)",562,19,101,137,196,109
"Pesca (047)",2,,1,1,,
"Explotación de minas y canteras (048)",60,,37,19,4,
"Industrias manufactureras (049)",42,2,13,9,11,7
"Construcción (051)",6,,2,2,2,
"Comerc., rep. veh. autom.,motoc. efect. pers. (052)",346,2,104,134,91,15
"Venta, mant.y rep. veh.autom.y motoc. (053)",4,,2,1,1,
"Comercio al por mayor (054)",6,,1,3,2,
"Comercio al por menor (055)",336,2,101,130,88,15
"Hoteles y restaurantes (056)",264,7,112,72,60,13
"Trans., almac. y comunicaciones (057)",22,,14,6,2,
"Intermediación financiera (058)",2,,,2,,
"Activid.inmobil., empres. y alquileres (059)",43,,23,13,6,1
"Admin.pub. y defensa; p. segur.soc.afil (060)",43,,22,15,6,
"Enseñanza (061)",221,,51,147,23,
"Servicios sociales y de salud (062)",33,,10,17,4,2
"Otras activ. serv.comun.soc y personales (063)",89,1,25,41,22,
"Hogares privados con servicio doméstico (064)",71,2,46,15,7,1
"Actividad economica no especificada (066)",135,,50,49,25,11
,,,,,,
"URBANA (067)",4175,50,1288,1541,971,325
"Agric., ganadería, caza y silvicultura (068)",936,20,183,217,307,209
"Pesca (069)",7,1,4,2,,
"Explotación de minas y canteras (070)",625,,246,293,84,2
"Industrias manufactureras (071)",188,2,66,64,41,15
"Suministro de electricidad, gas y agua (072)",8,,1,3,4,
"Construcción (073)",290,3,99,106,67,15
"Comerc., rep. veh. autom.,motoc. efect. pers. (074)",584,11,166,214,155,38
"Venta, mant.y rep. veh.autom.y motoc. (075)",60,,23,25,11,1
"Comercio al por mayor (076)",20,,7,8,5,
"Comercio al por menor (077)",504,11,136,181,139,37
"Hoteles y restaurantes (078)",310,8,123,82,77,20
"Trans., almac. y comunicaciones (079)",252,1,113,89,45,4
"Intermediación financiera (080)",3,,,2,1,
"Activid.inmobil., empres. y alquileres (081)",118,,44,50,21,3
"Admin.pub. y defensa; p. segur.soc.afil (082)",152,,41,53,55,3
"Enseñanza (083)",339,,61,229,47,2
"Servicios sociales y de salud (084)",44,,14,22,6,2
"Otras activ. serv.comun.soc y personales (085)",126,2,41,54,26,3
"Hogares privados con servicio doméstico (086)",58,2,40,10,6,
"Actividad economica no especificada (088)",135,,46,51,29,9
"Hombres (089)",2889,33,897,1059,671,229
"Agric., ganadería, caza y silvicultura (090)",692,13,153,166,213,147
"Pesca (091)",6,1,3,2,,
"Explotación de minas y canteras (092)",612,,237,290,83,2
"Industrias manufactureras (093)",160,1,58,56,33,12
"Suministro de electricidad, gas y agua (094)",8,,1,3,4,
"Construcción (095)",284,3,97,104,65,15
"Comerc., rep. veh. autom.,motoc. efect. pers. (096)",288,9,82,93,77,27
"Venta, mant.y rep. veh.autom.y motoc. (097)",58,,22,25,10,1
"Comercio al por mayor (098)",16,,6,7,3,
"Comercio al por menor (099)",214,9,54,61,64,26
"Hoteles y restaurantes (100)",110,4,45,26,26,9
"Trans., almac. y comunicaciones (101)",236,1,104,84,43,4
"Intermediación financiera (102)",1,,,,1,
"Activid.inmobil., empres. y alquileres (103)",78,,24,37,15,2
"Admin.pub. y defensa; p. segur.soc.afil (104)",111,,19,40,49,3
"Enseñanza (105)",157,,22,101,32,2
"Servicios sociales y de salud (106)",15,,6,6,3,
"Otras activ. serv.comun.soc y personales (107)",50,1,20,16,10,3
"Hogares privados con servicio doméstico (108)",4,,3,1,,
"Actividad economica no especificada (110)",77,,23,34,17,3
"Mujeres (112)",1286,17,391,482,300,96
"Agric., ganadería, caza y silvicultura (113)",244,7,30,51,94,62
"Pesca (114)",1,,1,,,
"Explotación de minas y canteras (115)",13,,9,3,1,
"Industrias manufactureras (116)",28,1,8,8,8,3
"Construcción (118)",6,,2,2,2,
"Comerc., rep. veh. autom.,motoc. efect. pers. (119)",296,2,84,121,78,11
"Venta, mant.y rep. veh.autom.y motoc. (120)",2,,1,,1,
"Comercio al por mayor (121)",4,,1,1,2,
"Comercio al por menor (122)",290,2,82,120,75,11
"Hoteles y restaurantes (123)",200,4,78,56,51,11
"Trans., almac. y comunicaciones (124)",16,,9,5,2,
"Intermediación financiera (125)",2,,,2,,
"Activid.inmobil., empres. y alquileres (126)",40,,20,13,6,1
"Admin.pub. y defensa; p. segur.soc.afil (127)",41,,22,13,6,
"Enseñanza (128)",182,,39,128,15,
"Servicios sociales y de salud (129)",29,,8,16,3,2
"Otras activ. serv.comun.soc y personales (130)",76,1,21,38,16,
"Hogares privados con servicio doméstico (131)",54,2,37,9,6,
"Actividad economica no especificada (133)",58,,23,17,12,6
,,,,,,
"RURAL (134)",3375,29,1090,1263,782,211
"Agric., ganadería, caza y silvicultura (135)",1159,23,289,345,337,165
"Pesca (136)",7,,3,2,1,1
"Explotación de minas y canteras (137)",1110,,400,495,212,3
"Industrias manufactureras (138)",74,1,27,23,17,6
"Suministro de electricidad, gas y agua (139)",2,,2,,,
"Construcción (140)",102,1,42,37,19,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (141)",127,1,47,32,38,9
"Venta, mant.y rep. veh.autom.y motoc. (142)",23,,11,2,10,
"Comercio al por mayor (143)",4,,,3,,1
"Comercio al por menor (144)",100,1,36,27,28,8
"Hoteles y restaurantes (145)",90,3,47,23,15,2
"Trans., almac. y comunicaciones (146)",78,,29,31,18,
"Activid.inmobil., empres. y alquileres (148)",35,,11,15,7,2
"Admin.pub. y defensa; p. segur.soc.afil (149)",12,,4,7,1,
"Enseñanza (150)",76,,19,41,16,
"Servicios sociales y de salud (151)",6,,2,2,1,1
"Otras activ. serv.comun.soc y personales (152)",51,,20,13,16,2
"Hogares privados con servicio doméstico (153)",20,,12,6,1,1
"Actividad economica no especificada (155)",426,,136,191,83,16
"Hombres (156)",2720,13,870,1066,623,148
"Agric., ganadería, caza y silvicultura (157)",841,11,218,259,235,118
"Pesca (158)",6,,3,1,1,1
"Explotación de minas y canteras (159)",1063,,372,479,209,3
"Industrias manufactureras (160)",60,,22,22,14,2
"Suministro de electricidad, gas y agua (161)",2,,2,,,
"Construcción (162)",102,1,42,37,19,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (163)",77,1,27,19,25,5
"Venta, mant.y rep. veh.autom.y motoc. (164)",21,,10,1,10,
"Comercio al por mayor (165)",2,,,1,,1
"Comercio al por menor (166)",54,1,17,17,15,4
"Hoteles y restaurantes (167)",26,,13,7,6,
"Trans., almac. y comunicaciones (168)",72,,24,30,18,
"Activid.inmobil., empres. y alquileres (170)",32,,8,15,7,2
"Admin.pub. y defensa; p. segur.soc.afil (171)",10,,4,5,1,
"Enseñanza (172)",37,,7,22,8,
"Servicios sociales y de salud (173)",2,,,1,,1
"Otras activ. serv.comun.soc y personales (174)",38,,16,10,10,2
"Hogares privados con servicio doméstico (175)",3,,3,,,
"Actividad economica no especificada (177)",349,,109,159,70,11
"Mujeres (179)",655,16,220,197,159,63
"Agric., ganadería, caza y silvicultura (180)",318,12,71,86,102,47
"Pesca (181)",1,,,1,,
"Explotación de minas y canteras (182)",47,,28,16,3,
"Industrias manufactureras (183)",14,1,5,1,3,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (186)",50,,20,13,13,4
"Venta, mant.y rep. veh.autom.y motoc. (187)",2,,1,1,,
"Comercio al por mayor (188)",2,,,2,,
"Comercio al por menor (189)",46,,19,10,13,4
"Hoteles y restaurantes (190)",64,3,34,16,9,2
"Trans., almac. y comunicaciones (191)",6,,5,1,,
"Activid.inmobil., empres. y alquileres (193)",3,,3,,,
"Admin.pub. y defensa; p. segur.soc.afil (194)",2,,,2,,
"Enseñanza (195)",39,,12,19,8,
"Servicios sociales y de salud (196)",4,,2,1,1,
"Otras activ. serv.comun.soc y personales (197)",13,,4,3,6,
"Hogares privados con servicio doméstico (198)",17,,9,6,1,1
"Actividad economica no especificada (200)",77,,27,32,13,5
