"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
"De 25 a 29 años (044)",15583,,,,,479,10668,4436
"De 30 a 34 años (045)",14177,,,,2,1595,9777,2803
"De 35 a 39 años (046)",12761,,,,92,3254,7224,2191
"De 40 a 44 años (047)",11179,,,,603,4780,3751,2045
"De 45 a 49 años (048)",9911,,,46,1874,5002,1303,1686
"De 50 y más años (049)",38116,1285,4164,8726,10984,4784,169,8004
,,,,,,,,
"URBANA (060)",153922,1230,4128,9373,17412,29258,52438,40083
"De 12 a 14 años (061)",166,,,,,,10,156
"De 15 a 19 años (062)",3343,,,,,,1899,1444
"De 20 a 24 años (063)",15599,,,,,21,8391,7187
"De 25 a 29 años (064)",20462,,,,,713,12539,7210
"De 30 a 34 años (065)",19926,,,,2,2499,12532,4893
"De 35 a 39 años (066)",18856,,,,167,5131,9786,3772
"De 40 a 44 años (067)",17178,,,,1009,7495,5290,3384
"De 45 a 49 años (068)",15074,,,84,3005,7419,1785,2781
"De 50 y más años (069)",43318,1230,4128,9289,13229,5980,206,9256
"PEA (070)",54782,42,322,1634,5889,13098,17864,15933
"De 12 a 14 años (071)",10,,,,,,,10
"De 15 a 19 años (072)",521,,,,,,287,234
"De 20 a 24 años (073)",4692,,,,,12,2043,2637
"De 25 a 29 años (074)",7674,,,,,301,3939,3434
"De 30 a 34 años (075)",8338,,,,1,1185,4626,2526
"De 35 a 39 años (076)",8483,,,,92,2559,3918,1914
"De 40 a 44 años (077)",7923,,,,502,3553,2230,1638
"De 45 a 49 años (078)",6752,,,43,1369,3280,743,1317
"De 50 y más años (079)",10389,42,322,1591,3925,2208,78,2223
"Ocupada (080)",52648,41,316,1612,5794,12726,17104,15055
"De 12 a 14 años (081)",9,,,,,,,9
"De 15 a 19 años (082)",458,,,,,,250,208
"De 20 a 24 años (083)",4253,,,,,12,1865,2376
"De 25 a 29 años (084)",7167,,,,,280,3723,3164
"De 30 a 34 años (085)",8027,,,,1,1141,4462,2423
"De 35 a 39 años (086)",8224,,,,87,2484,3821,1832
"De 40 a 44 años (087)",7726,,,,491,3464,2179,1592
"De 45 a 49 años (088)",6568,,,42,1338,3186,726,1276
"De 50 y más años (089)",10216,41,316,1570,3877,2159,78,2175
"Desocupada (090)",2134,1,6,22,95,372,760,878
"De 12 a 14 años (091)",1,,,,,,,1
"De 15 a 19 años (092)",63,,,,,,37,26
"De 20 a 24 años (093)",439,,,,,,178,261
"De 25 a 29 años (094)",507,,,,,21,216,270
"De 30 a 34 años (095)",311,,,,,44,164,103
"De 35 a 39 años (096)",259,,,,5,75,97,82
"De 40 a 44 años (097)",197,,,,11,89,51,46
"De 45 a 49 años (098)",184,,,1,31,94,17,41
"De 50 y más años (099)",173,1,6,21,48,49,,48
"No PEA (100)",99140,1188,3806,7739,11523,16160,34574,24150
"De 12 a 14 años (101)",156,,,,,,10,146
"De 15 a 19 años (102)",2822,,,,,,1612,1210
"De 20 a 24 años (103)",10907,,,,,9,6348,4550
"De 25 a 29 años (104)",12788,,,,,412,8600,3776
"De 30 a 34 años (105)",11588,,,,1,1314,7906,2367
"De 35 a 39 años (106)",10373,,,,75,2572,5868,1858
"De 40 a 44 años (107)",9255,,,,507,3942,3060,1746
"De 45 a 49 años (108)",8322,,,41,1636,4139,1042,1464
"De 50 y más años (109)",32929,1188,3806,7698,9304,3772,128,7033
,,,,,,,,
"RURAL (120)",22074,100,368,1100,2225,4186,9209,4886
"De 12 a 14 años (121)",27,,,,,,3,24
"De 15 a 19 años (122)",857,,,,,,505,352
"De 20 a 24 años (123)",2910,,,,,2,1803,1105
"De 25 a 29 años (124)",3148,,,,,78,2256,814
"De 30 a 34 años (125)",2881,,,,1,320,2032,528
"De 35 a 39 años (126)",2697,,,,20,774,1501,402
"De 40 a 44 años (127)",2160,,,,115,941,766,338
"De 45 a 49 años (128)",1787,,,6,262,956,298,265
"De 50 y más años (129)",5607,100,368,1094,1827,1115,45,1058
"PEA (130)",2125,3,10,67,193,443,726,683
"De 12 a 14 años (131)",1,,,,,,,1
"De 15 a 19 años (132)",44,,,,,,23,21
"De 20 a 24 años (133)",272,,,,,2,93,177
"De 25 a 29 años (134)",353,,,,,11,188,154
"De 30 a 34 años (135)",292,,,,,39,161,92
"De 35 a 39 años (136)",309,,,,3,92,145,69
"De 40 a 44 años (137)",236,,,,19,103,75,39
"De 45 a 49 años (138)",198,,,1,24,93,37,43
"De 50 y más años (139)",420,3,10,66,147,103,4,87
"Ocupada (140)",2046,3,10,67,186,440,708,632
"De 12 a 14 años (141)",1,,,,,,,1
"De 15 a 19 años (142)",43,,,,,,23,20
"De 20 a 24 años (143)",245,,,,,2,88,155
"De 25 a 29 años (144)",333,,,,,11,180,142
"De 30 a 34 años (145)",282,,,,,38,158,86
"De 35 a 39 años (146)",304,,,,2,91,144,67
"De 40 a 44 años (147)",233,,,,19,103,75,36
"De 45 a 49 años (148)",196,,,1,24,93,36,42
"De 50 y más años (149)",409,3,10,66,141,102,4,83
"Desocupada (150)",79,,,,7,3,18,51
"De 15 a 19 años (152)",1,,,,,,,1
"De 20 a 24 años (153)",27,,,,,,5,22
"De 25 a 29 años (154)",20,,,,,,8,12
"De 30 a 34 años (155)",10,,,,,1,3,6
"De 35 a 39 años (156)",5,,,,1,1,1,2
"De 40 a 44 años (157)",3,,,,,,,3
"De 45 a 49 años (158)",2,,,,,,1,1
"De 50 y más años (159)",11,,,,6,1,,4
"No PEA (160)",19949,97,358,1033,2032,3743,8483,4203
"De 12 a 14 años (161)",26,,,,,,3,23
"De 15 a 19 años (162)",813,,,,,,482,331
"De 20 a 24 años (163)",2638,,,,,,1710,928
"De 25 a 29 años (164)",2795,,,,,67,2068,660
"De 30 a 34 años (165)",2589,,,,1,281,1871,436
"De 35 a 39 años (166)",2388,,,,17,682,1356,333
"De 40 a 44 años (167)",1924,,,,96,838,691,299
"De 45 a 49 años (168)",1589,,,5,238,863,261,222
"De 50 y más años (169)",5187,97,358,1028,1680,1012,41,971
