"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"Sin nivel (061)",394,360,23,8,3
"Educación inicial (062)",10,10,,,
"Primaria (063)",2250,1973,172,67,38
"Secundaria (064)",3624,2965,297,171,191
"Superior no univ. incompleta (065)",526,394,44,51,37
"Superior no univ. completa (066)",861,446,125,198,92
"Superior univ. incompleta (067)",356,256,28,30,42
"Superior univ. completa (068)",774,326,120,167,161
"De 06 a 14 años (070)",236,219,10,7,
"Sin nivel (071)",4,4,,,
"Educación inicial (072)",2,2,,,
"Primaria (073)",152,137,8,7,
"Secundaria (074)",78,76,2,,
"De 15 a 29 años (080)",2757,2125,279,183,170
"Sin nivel (081)",38,29,6,2,1
"Educación inicial (082)",7,7,,,
"Primaria (083)",378,326,32,13,7
"Secundaria (084)",1498,1231,137,68,62
"Superior no univ. incompleta (085)",251,187,28,19,17
"Superior no univ. completa (086)",303,172,45,46,40
"Superior univ. incompleta (087)",127,93,9,12,13
"Superior univ. completa (088)",155,80,22,23,30
"De 30 a 44 años (090)",3203,2316,342,306,239
"Sin nivel (091)",95,85,6,2,2
"Educación inicial (092)",1,1,,,
"Primaria (093)",764,650,71,29,14
"Secundaria (094)",1270,1014,109,65,82
"Superior no univ. incompleta (095)",199,145,15,26,13
"Superior no univ. completa (096)",397,194,68,101,34
"Superior univ. incompleta (097)",111,79,9,7,16
"Superior univ. completa (098)",366,148,64,76,78
"De 45 a 64 años (100)",2066,1578,155,188,145
"Sin nivel (101)",153,143,7,3,
"Primaria (103)",670,592,49,16,13
"Secundaria (104)",690,563,48,37,42
"Superior no univ. incompleta (105)",70,56,1,6,7
"Superior no univ. completa (106)",149,70,12,49,18
"Superior univ. incompleta (107)",109,76,9,11,13
"Superior univ. completa (108)",225,78,29,66,52
"De 65 y más años (110)",533,492,23,8,10
"Sin nivel (111)",104,99,4,1,
"Primaria (113)",286,268,12,2,4
"Secundaria (114)",88,81,1,1,5
"Superior no univ. incompleta (115)",6,6,,,
"Superior no univ. completa (116)",12,10,,2,
"Superior univ. incompleta (117)",9,8,1,,
"Superior univ. completa (118)",28,20,5,2,1
,,,,,
"RURAL (120)",12895,11277,1199,258,161
"Sin nivel (121)",2655,2432,186,36,1
"Educación inicial (122)",40,37,3,,
"Primaria (123)",6284,5602,569,86,27
"Secundaria (124)",3347,2857,335,68,87
"Superior no univ. incompleta (125)",162,129,18,7,8
"Superior no univ. completa (126)",211,116,46,31,18
"Superior univ. incompleta (127)",67,45,8,7,7
"Superior univ. completa (128)",129,59,34,23,13
"De 06 a 14 años (130)",254,215,29,10,
"Sin nivel (131)",39,33,1,5,
"Educación inicial (132)",7,5,2,,
"Primaria (133)",169,143,21,5,
"Secundaria (134)",39,34,5,,
"De 15 a 29 años (140)",4037,3460,427,85,65
"Sin nivel (141)",342,324,14,4,
"Educación inicial (142)",16,15,1,,
"Primaria (143)",1740,1511,192,31,6
"Secundaria (144)",1725,1471,175,32,47
"Superior no univ. incompleta (145)",82,62,15,2,3
"Superior no univ. completa (146)",81,53,15,8,5
"Superior univ. incompleta (147)",17,9,3,3,2
"Superior univ. completa (148)",34,15,12,5,2
"De 30 a 44 años (150)",4266,3681,402,106,77
"Sin nivel (151)",720,653,57,10,
"Educación inicial (152)",17,17,,,
"Primaria (153)",2163,1920,192,36,15
"Secundaria (154)",1125,963,106,22,34
"Superior no univ. incompleta (155)",55,42,3,5,5
"Superior no univ. completa (156)",99,46,24,16,13
"Superior univ. incompleta (157)",18,14,2,,2
"Superior univ. completa (158)",69,26,18,17,8
"De 45 a 64 años (160)",3283,2937,276,51,19
"Sin nivel (161)",965,879,73,12,1
"Primaria (163)",1795,1633,142,14,6
"Secundaria (164)",420,353,47,14,6
"Superior no univ. incompleta (165)",23,23,,,
"Superior no univ. completa (166)",29,16,7,6,
"Superior univ. incompleta (167)",27,17,3,4,3
"Superior univ. completa (168)",24,16,4,1,3
"De 65 y más años (170)",1055,984,65,6,
"Sin nivel (171)",589,543,41,5,
"Primaria (173)",417,395,22,,
"Secundaria (174)",38,36,2,,
"Superior no univ. incompleta (175)",2,2,,,
"Superior no univ. completa (176)",2,1,,1,
"Superior univ. incompleta (177)",5,5,,,
"Superior univ. completa (178)",2,2,,,
