"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"Hogares privados con servicio doméstico (041)",26,26,,,
"Actividad economica no especificada (043)",336,188,53,43,52
"Mujeres (044)",10105,7290,859,919,1037
"Agric., ganadería, caza y silvicultura (045)",814,448,138,157,71
"Pesca (046)",12,10,,,2
"Explotación de minas y canteras (047)",9,,1,2,6
"Industrias manufactureras (048)",510,345,39,40,86
"Suministro de electricidad, gas y agua (049)",16,2,4,5,5
"Construcción (050)",52,19,13,17,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",3288,3103,133,38,14
"Venta, mant.y rep. veh.autom y motoc. (052)",45,30,5,4,6
"Comercio al por mayor (053)",147,116,9,14,8
"Comercio al por menor (054)",3096,2957,119,20,
"Hoteles y restaurantes (055)",1280,1166,85,21,8
"Trans., almac. y comunicaciones (056)",208,160,21,12,15
"Intermediación financiera (057)",52,23,5,11,13
"Activid.inmobil., empres. y alquileres (058)",354,180,60,67,47
"Admin.pub. y defensa; p. segur soc.afil (059)",399,,,,399
"Enseñanza (060)",1193,269,295,500,129
"Servicios sociales y de salud (061)",338,88,15,20,215
"Otras activ. serv.comun.soc y personales (062)",337,292,27,11,7
"Hogares privados con servicio doméstico (063)",864,864,,,
"Actividad economica no especificada (065)",379,321,23,18,17
,,,,,
"URBANA (066)",33145,19978,3642,3989,5536
"Agric., ganadería, caza y silvicultura (067)",7769,3938,1176,1378,1277
"Pesca (068)",394,248,38,27,81
"Explotación de minas y canteras (069)",64,7,3,15,39
"Industrias manufactureras (070)",3898,1556,418,514,1410
"Suministro de electricidad, gas y agua (071)",86,26,9,30,21
"Construcción (072)",2342,1657,386,202,97
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",6115,5466,312,163,174
"Venta, mant.y rep. veh.autom y motoc. (074)",661,419,69,56,117
"Comercio al por mayor (075)",371,242,34,38,57
"Comercio al por menor (076)",5083,4805,209,69,
"Hoteles y restaurantes (077)",1602,1443,110,37,12
"Trans., almac. y comunicaciones (078)",3354,2486,298,282,288
"Intermediación financiera (079)",124,41,14,38,31
"Activid.inmobil., empres. y alquileres (080)",1582,671,252,297,362
"Admin.pub. y defensa; p. segur soc.afil (081)",1096,,,,1096
"Enseñanza (082)",1903,363,447,844,249
"Servicios sociales y de salud (083)",518,152,28,32,306
"Otras activ. serv.comun.soc y personales (084)",789,612,81,70,26
"Hogares privados con servicio doméstico (085)",826,826,,,
"Actividad economica no especificada (087)",683,486,70,60,67
"Hombres (088)",23716,13218,2846,3100,4552
"Agric., ganadería, caza y silvicultura (089)",7215,3692,1072,1239,1212
"Pesca (090)",382,238,38,27,79
"Explotación de minas y canteras (091)",56,7,2,13,34
"Industrias manufactureras (092)",3409,1224,379,477,1329
"Suministro de electricidad, gas y agua (093)",70,24,5,25,16
"Construcción (094)",2295,1641,375,185,94
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",2984,2510,187,127,160
"Venta, mant.y rep. veh.autom y motoc. (096)",619,392,64,52,111
"Comercio al por mayor (097)",234,134,26,25,49
"Comercio al por menor (098)",2131,1984,97,50,
"Hoteles y restaurantes (099)",361,314,27,16,4
"Trans., almac. y comunicaciones (100)",3153,2332,278,270,273
"Intermediación financiera (101)",73,18,9,27,19
"Activid.inmobil., empres. y alquileres (102)",1240,501,194,230,315
"Admin.pub. y defensa; p. segur soc.afil (103)",726,,,,726
"Enseñanza (104)",749,109,164,350,126
"Servicios sociales y de salud (105)",192,71,13,13,95
"Otras activ. serv.comun.soc y personales (106)",467,334,55,59,19
"Hogares privados con servicio doméstico (107)",25,25,,,
"Actividad economica no especificada (109)",319,178,48,42,51
"Mujeres (110)",9429,6760,796,889,984
"Agric., ganadería, caza y silvicultura (111)",554,246,104,139,65
"Pesca (112)",12,10,,,2
"Explotación de minas y canteras (113)",8,,1,2,5
"Industrias manufactureras (114)",489,332,39,37,81
"Suministro de electricidad, gas y agua (115)",16,2,4,5,5
"Construcción (116)",47,16,11,17,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",3131,2956,125,36,14
"Venta, mant.y rep. veh.autom y motoc. (118)",42,27,5,4,6
"Comercio al por mayor (119)",137,108,8,13,8
"Comercio al por menor (120)",2952,2821,112,19,
"Hoteles y restaurantes (121)",1241,1129,83,21,8
"Trans., almac. y comunicaciones (122)",201,154,20,12,15
"Intermediación financiera (123)",51,23,5,11,12
"Activid.inmobil., empres. y alquileres (124)",342,170,58,67,47
"Admin.pub. y defensa; p. segur soc.afil (125)",370,,,,370
"Enseñanza (126)",1154,254,283,494,123
"Servicios sociales y de salud (127)",326,81,15,19,211
"Otras activ. serv.comun.soc y personales (128)",322,278,26,11,7
"Hogares privados con servicio doméstico (129)",801,801,,,
"Actividad economica no especificada (131)",364,308,22,18,16
,,,,,
"RURAL (132)",4815,3682,497,280,356
"Agric., ganadería, caza y silvicultura (133)",3620,2860,382,201,177
"Pesca (134)",12,11,,1,
"Explotación de minas y canteras (135)",4,,1,2,1
"Industrias manufactureras (136)",143,53,15,18,57
"Construcción (138)",94,69,16,7,2
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",297,258,25,9,5
"Venta, mant.y rep. veh.autom y motoc. (140)",45,31,6,3,5
"Comercio al por mayor (141)",23,16,4,3,
"Comercio al por menor (142)",229,211,15,3,
"Hoteles y restaurantes (143)",47,45,2,,
"Trans., almac. y comunicaciones (144)",250,210,15,12,13
"Intermediación financiera (145)",4,1,,1,2
"Activid.inmobil., empres. y alquileres (146)",79,35,8,10,26
"Admin.pub. y defensa; p. segur soc.afil (147)",49,,,,49
"Enseñanza (148)",68,17,24,13,14
"Servicios sociales y de salud (149)",18,9,,2,7
"Otras activ. serv.comun.soc y personales (150)",34,27,3,3,1
"Hogares privados con servicio doméstico (151)",64,64,,,
"Actividad economica no especificada (153)",32,23,6,1,2
"Hombres (154)",4139,3152,434,250,303
"Agric., ganadería, caza y silvicultura (155)",3360,2658,348,183,171
"Pesca (156)",12,11,,1,
"Explotación de minas y canteras (157)",3,,1,2,
"Industrias manufactureras (158)",122,40,15,15,52
"Construcción (160)",89,66,14,7,2
"Comerc., rep. veh. autom.,motoc. efect. pers. (161)",140,111,17,7,5
"Venta, mant.y rep. veh.autom y motoc. (162)",42,28,6,3,5
"Comercio al por mayor (163)",13,8,3,2,
"Comercio al por menor (164)",85,75,8,2,
"Hoteles y restaurantes (165)",8,8,,,
"Trans., almac. y comunicaciones (166)",243,204,14,12,13
"Intermediación financiera (167)",3,1,,1,1
"Activid.inmobil., empres. y alquileres (168)",67,25,6,10,26
"Admin.pub. y defensa; p. segur soc.afil (169)",20,,,,20
"Enseñanza (170)",29,2,12,7,8
"Servicios sociales y de salud (171)",6,2,,1,3
"Otras activ. serv.comun.soc y personales (172)",19,13,2,3,1
"Hogares privados con servicio doméstico (173)",1,1,,,
"Actividad economica no especificada (175)",17,10,5,1,1
"Mujeres (176)",676,530,63,30,53
"Agric., ganadería, caza y silvicultura (177)",260,202,34,18,6
"Explotación de minas y canteras (179)",1,,,,1
"Industrias manufactureras (180)",21,13,,3,5
"Construcción (182)",5,3,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (183)",157,147,8,2,
"Venta, mant.y rep. veh.autom y motoc. (184)",3,3,,,
"Comercio al por mayor (185)",10,8,1,1,
"Comercio al por menor (186)",144,136,7,1,
"Hoteles y restaurantes (187)",39,37,2,,
"Trans., almac. y comunicaciones (188)",7,6,1,,
"Intermediación financiera (189)",1,,,,1
"Activid.inmobil., empres. y alquileres (190)",12,10,2,,
"Admin.pub. y defensa; p. segur soc.afil (191)",29,,,,29
"Enseñanza (192)",39,15,12,6,6
"Servicios sociales y de salud (193)",12,7,,1,4
"Otras activ. serv.comun.soc y personales (194)",15,14,1,,
"Hogares privados con servicio doméstico (195)",63,63,,,
"Actividad economica no especificada (197)",15,13,1,,1
