"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"URBANA (060)",27818,21921,1987,1735,2175
"Sin nivel (061)",1131,1077,37,10,7
"Educación inicial (062)",25,24,1,,
"Primaria (063)",7045,6523,335,107,80
"Secundaria (064)",10253,8828,693,362,370
"Superior no univ. incompleta (065)",1933,1429,184,138,182
"Superior no univ. completa (066)",2935,1725,281,405,524
"Superior univ. incompleta (067)",1242,831,107,129,175
"Superior univ. completa (068)",3254,1484,349,584,837
"De 06 a 14 años (070)",384,344,34,5,1
"Sin nivel (071)",2,1,1,,
"Educación inicial (072)",11,10,1,,
"Primaria (073)",227,202,21,4,
"Secundaria (074)",144,131,11,1,1
"De 15 a 29 años (080)",8007,6321,724,476,486
"Sin nivel (081)",77,72,5,,
"Educación inicial (082)",8,8,,,
"Primaria (083)",1074,967,66,29,12
"Secundaria (084)",4007,3439,314,156,98
"Superior no univ. incompleta (085)",837,630,95,57,55
"Superior no univ. completa (086)",857,513,114,96,134
"Superior univ. incompleta (087)",499,355,47,44,53
"Superior univ. completa (088)",648,337,83,94,134
"De 30 a 44 años (090)",10112,7507,772,849,984
"Sin nivel (091)",230,212,9,6,3
"Educación inicial (092)",6,6,,,
"Primaria (093)",2003,1828,120,35,20
"Secundaria (094)",3703,3199,238,133,133
"Superior no univ. incompleta (095)",715,508,59,66,82
"Superior no univ. completa (096)",1401,805,132,227,237
"Superior univ. incompleta (097)",449,278,36,60,75
"Superior univ. completa (098)",1605,671,178,322,434
"De 45 a 64 años (100)",7307,5853,398,386,670
"Sin nivel (101)",469,447,17,2,3
"Primaria (103)",2575,2393,105,35,42
"Secundaria (104)",2118,1808,112,67,131
"Superior no univ. incompleta (105)",351,263,29,15,44
"Superior no univ. completa (106)",619,360,33,79,147
"Superior univ. incompleta (107)",266,176,24,25,41
"Superior univ. completa (108)",909,406,78,163,262
"De 65 y más años (110)",2008,1896,59,19,34
"Sin nivel (111)",353,345,5,2,1
"Primaria (113)",1166,1133,23,4,6
"Secundaria (114)",281,251,18,5,7
"Superior no univ. incompleta (115)",30,28,1,,1
"Superior no univ. completa (116)",58,47,2,3,6
"Superior univ. incompleta (117)",28,22,,,6
"Superior univ. completa (118)",92,70,10,5,7
,,,,,
"RURAL (120)",15007,14092,497,181,237
"Sin nivel (121)",1113,1094,13,4,2
"Educación inicial (122)",3,3,,,
"Primaria (123)",7669,7411,208,28,22
"Secundaria (124)",5335,5007,199,65,64
"Superior no univ. incompleta (125)",261,204,17,10,30
"Superior no univ. completa (126)",294,194,36,27,37
"Superior univ. incompleta (127)",121,80,7,19,15
"Superior univ. completa (128)",211,99,17,28,67
"De 06 a 14 años (130)",277,268,9,,
"Sin nivel (131)",10,10,,,
"Educación inicial (132)",1,1,,,
"Primaria (133)",210,202,8,,
"Secundaria (134)",56,55,1,,
"De 15 a 29 años (140)",4943,4599,211,75,58
"Sin nivel (141)",67,63,2,1,1
"Primaria (143)",1900,1807,74,13,6
"Secundaria (144)",2632,2468,107,39,18
"Superior no univ. incompleta (145)",131,109,11,5,6
"Superior no univ. completa (146)",115,90,10,8,7
"Superior univ. incompleta (147)",37,28,3,3,3
"Superior univ. completa (148)",61,34,4,6,17
"De 30 a 44 años (150)",4490,4144,155,65,126
"Sin nivel (151)",172,166,5,,1
"Educación inicial (152)",2,2,,,
"Primaria (153)",2181,2112,60,4,5
"Secundaria (154)",1749,1643,62,15,29
"Superior no univ. incompleta (155)",93,71,2,3,17
"Superior no univ. completa (156)",136,81,16,17,22
"Superior univ. incompleta (157)",56,29,3,14,10
"Superior univ. completa (158)",101,40,7,12,42
"De 45 a 64 años (160)",3849,3655,102,40,52
"Sin nivel (161)",452,446,3,3,
"Primaria (163)",2432,2357,54,11,10
"Secundaria (164)",816,763,25,11,17
"Superior no univ. incompleta (165)",32,20,4,1,7
"Superior no univ. completa (166)",42,23,9,2,8
"Superior univ. incompleta (167)",27,22,1,2,2
"Superior univ. completa (168)",48,24,6,10,8
"De 65 y más años (170)",1448,1426,20,1,1
"Sin nivel (171)",412,409,3,,
"Primaria (173)",946,933,12,,1
"Secundaria (174)",82,78,4,,
"Superior no univ. incompleta (175)",5,4,,1,
"Superior no univ. completa (176)",1,,1,,
"Superior univ. incompleta (177)",1,1,,,
"Superior univ. completa (178)",1,1,,,
