"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Trans., almac. y comunicaciones (035)",292389,861,96907,120374,67658,6589
"Intermediación financiera (036)",22542,7,7683,9495,4997,360
"Activid.inmobil., empres. y alquileres (037)",225873,261,72163,92033,54553,6863
"Admin.pub. y defensa; p. segur.soc afil (038)",86042,,13924,40022,30754,1342
"Enseñanza (039)",65406,18,13760,26242,22249,3137
"Servicios sociales y de salud (040)",36197,12,7046,15478,11683,1978
"Otras activ. serv.comun.soc y personales (041)",88114,981,30822,30517,21567,4227
"Hogares privados con servicio doméstico (042)",7245,250,3329,1789,1474,403
"Organiz. y organos extraterritoriales (043)",270,,37,115,112,6
"Actividad economica no especificada (044)",83863,536,30185,30828,19239,3075
"Desocupado (045)",70645,1045,35208,18070,13837,2485
"Mujeres (046)",1390598,9205,519707,527153,305434,29099
"Agric., ganadería, caza y silvicultura (047)",7863,116,1924,2664,2510,649
"Pesca (048)",517,1,150,258,100,8
"Explotación de minas y canteras (049)",2124,,762,908,437,17
"Industrias manufactureras (050)",149285,770,67304,54822,24373,2016
"Suministro de electricidad, gas y agua (051)",1072,2,332,504,226,8
"Construcción (052)",8299,29,2934,3556,1669,111
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",361583,3186,119775,136114,90404,12104
"Venta, mant.y rep. veh.autom.y motoc. (054)",8986,39,4289,3222,1335,101
"Comercio al por mayor (055)",22768,48,9353,9214,3844,309
"Comercio al por menor (056)",329829,3099,106133,123678,85225,11694
"Hoteles y restaurantes (057)",112665,1311,41303,37983,28856,3212
"Trans., almac. y comunicaciones (058)",42616,178,21199,14961,5906,372
"Intermediación financiera (059)",19977,1,9110,7782,3024,60
"Activid.inmobil., empres. y alquileres (060)",118617,136,46194,49237,21916,1134
"Admin.pub. y defensa; p. segur.soc afil (061)",35050,,8449,16085,10267,249
"Enseñanza (062)",121595,19,31410,57136,31127,1903
"Servicios sociales y de salud (063)",75008,26,19225,33601,21213,943
"Otras activ. serv.comun.soc y personales (064)",73942,540,26714,29259,15901,1528
"Hogares privados con servicio doméstico (065)",146672,1662,69960,44709,27990,2351
"Organiz. y organos extraterritoriales (066)",181,,34,69,74,4
"Actividad economica no especificada (067)",62069,306,24186,22940,12857,1780
"Desocupado (068)",51463,922,28742,14565,6584,650
,,,,,,
"URBANA (069)",3404560,21305,1204014,1277338,802294,99609
"Agric., ganadería, caza y silvicultura (070)",30729,382,8123,9575,9453,3196
"Pesca (071)",3967,7,880,1589,1293,198
"Explotación de minas y canteras (072)",12044,9,3079,4980,3671,305
"Industrias manufactureras (073)",459158,2362,205321,158844,82701,9930
"Suministro de electricidad, gas y agua (074)",8113,17,2047,3594,2284,171
"Construcción (075)",194238,734,56524,76442,53172,7366
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",787594,7780,257550,288315,202338,31611
"Venta, mant.y rep. veh.autom.y motoc. (077)",89427,444,33846,31789,20779,2569
"Comercio al por mayor (078)",57012,167,22051,22813,10845,1136
"Comercio al por menor (079)",641155,7169,201653,233713,170714,27906
"Hoteles y restaurantes (080)",183890,2258,74593,59055,42567,5417
"Trans., almac. y comunicaciones (081)",334696,1038,117982,135201,73518,6957
"Intermediación financiera (082)",42517,8,16792,17276,8021,420
"Activid.inmobil., empres. y alquileres (083)",344380,397,118318,141225,76446,7994
"Admin.pub. y defensa; p. segur.soc afil (084)",121047,,22358,56088,41011,1590
"Enseñanza (085)",186947,37,45154,83355,53363,5038
"Servicios sociales y de salud (086)",111176,38,26259,49071,32888,2920
"Otras activ. serv.comun.soc y personales (087)",161951,1520,57498,59733,37448,5752
"Hogares privados con servicio doméstico (088)",153819,1911,73235,46471,29451,2751
"Organiz. y organos extraterritoriales (089)",451,,71,184,186,10
"Actividad economica no especificada (090)",145842,841,54337,53733,32080,4851
"Desocupado (091)",122001,1966,63893,32607,20403,3132
"Hombres (092)",2015203,12118,684781,750615,497120,70569
"Agric., ganadería, caza y silvicultura (093)",23412,280,6389,7099,7065,2579
"Pesca (094)",3451,6,731,1331,1193,190
"Explotación de minas y canteras (095)",9925,9,2319,4075,3234,288
"Industrias manufactureras (096)",309956,1593,138069,104046,58332,7916
"Suministro de electricidad, gas y agua (097)",7043,15,1716,3091,2058,163
"Construcción (098)",185947,705,53592,72889,51506,7255
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",426228,4594,137839,152275,111996,19524
"Venta, mant.y rep. veh.autom.y motoc. (100)",80443,405,29558,28567,19445,2468
"Comercio al por mayor (101)",34249,119,12699,13601,7002,828
"Comercio al por menor (102)",311536,4070,95582,110107,85549,16228
"Hoteles y restaurantes (103)",71313,948,33315,21108,13735,2207
"Trans., almac. y comunicaciones (104)",292094,860,96792,120244,67613,6585
"Intermediación financiera (105)",22542,7,7683,9495,4997,360
"Activid.inmobil., empres. y alquileres (106)",225791,261,72136,92000,54534,6860
"Admin.pub. y defensa; p. segur.soc afil (107)",86010,,13914,40007,30747,1342
"Enseñanza (108)",65390,18,13757,26236,22243,3136
"Servicios sociales y de salud (109)",36188,12,7043,15475,11680,1978
"Otras activ. serv.comun.soc y personales (110)",88035,981,30792,30486,21552,4224
"Hogares privados con servicio doméstico (111)",7235,250,3324,1787,1472,402
"Organiz. y organos extraterritoriales (112)",270,,37,115,112,6
"Actividad economica no especificada (113)",83807,535,30166,30808,19227,3071
"Desocupado (114)",70566,1044,35167,18048,13824,2483
"Mujeres (115)",1389357,9187,519233,526723,305174,29040
"Agric., ganadería, caza y silvicultura (116)",7317,102,1734,2476,2388,617
"Pesca (117)",516,1,149,258,100,8
"Explotación de minas y canteras (118)",2119,,760,905,437,17
"Industrias manufactureras (119)",149202,769,67252,54798,24369,2014
"Suministro de electricidad, gas y agua (120)",1070,2,331,503,226,8
"Construcción (121)",8291,29,2932,3553,1666,111
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",361366,3186,119711,136040,90342,12087
"Venta, mant.y rep. veh.autom.y motoc. (123)",8984,39,4288,3222,1334,101
"Comercio al por mayor (124)",22763,48,9352,9212,3843,308
"Comercio al por menor (125)",329619,3099,106071,123606,85165,11678
"Hoteles y restaurantes (126)",112577,1310,41278,37947,28832,3210
"Trans., almac. y comunicaciones (127)",42602,178,21190,14957,5905,372
"Intermediación financiera (128)",19975,1,9109,7781,3024,60
"Activid.inmobil., empres. y alquileres (129)",118589,136,46182,49225,21912,1134
"Admin.pub. y defensa; p. segur.soc afil (130)",35037,,8444,16081,10264,248
"Enseñanza (131)",121557,19,31397,57119,31120,1902
"Servicios sociales y de salud (132)",74988,26,19216,33596,21208,942
"Otras activ. serv.comun.soc y personales (133)",73916,539,26706,29247,15896,1528
"Hogares privados con servicio doméstico (134)",146584,1661,69911,44684,27979,2349
"Organiz. y organos extraterritoriales (135)",181,,34,69,74,4
"Actividad economica no especificada (136)",62035,306,24171,22925,12853,1780
"Desocupado (137)",51435,922,28726,14559,6579,649
,,,,,,
"RURAL (138)",4318,56,1608,1510,905,239
"Agric., ganadería, caza y silvicultura (139)",2253,42,796,731,517,167
"Pesca (140)",4,,1,1,2,
"Explotación de minas y canteras (141)",31,,9,15,6,1
"Industrias manufactureras (142)",281,2,161,85,26,7
"Suministro de electricidad, gas y agua (143)",11,,4,6,1,
"Construcción (144)",238,,79,95,58,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (145)",423,3,123,167,100,30
"Venta, mant.y rep. veh.autom.y motoc. (146)",38,,12,16,8,2
"Comercio al por mayor (147)",24,,9,11,3,1
"Comercio al por menor (148)",361,3,102,140,89,27
"Hoteles y restaurantes (149)",128,4,45,47,28,4
"Trans., almac. y comunicaciones (150)",309,1,124,134,46,4
"Intermediación financiera (151)",2,,1,1,,
"Activid.inmobil., empres. y alquileres (152)",110,,39,45,23,3
"Admin.pub. y defensa; p. segur.soc afil (153)",45,,15,19,10,1
"Enseñanza (154)",54,,16,23,13,2
"Servicios sociales y de salud (155)",29,,12,8,8,1
"Otras activ. serv.comun.soc y personales (156)",105,1,38,43,20,3
"Hogares privados con servicio doméstico (157)",98,1,54,27,13,3
"Actividad economica no especificada (159)",90,1,34,35,16,4
"Desocupado (160)",107,1,57,28,18,3
"Hombres (161)",3077,38,1134,1080,645,180
"Agric., ganadería, caza y silvicultura (162)",1707,28,606,543,395,135
"Pesca (163)",3,,,1,2,
"Explotación de minas y canteras (164)",26,,7,12,6,1
"Industrias manufactureras (165)",198,1,109,61,22,5
"Suministro de electricidad, gas y agua (166)",9,,3,5,1,
"Construcción (167)",230,,77,92,55,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (168)",206,3,59,93,38,13
"Venta, mant.y rep. veh.autom.y motoc. (169)",36,,11,16,7,2
"Comercio al por mayor (170)",19,,8,9,2,
"Comercio al por menor (171)",151,3,40,68,29,11
"Hoteles y restaurantes (172)",40,3,20,11,4,2
"Trans., almac. y comunicaciones (173)",295,1,115,130,45,4
"Activid.inmobil., empres. y alquileres (175)",82,,27,33,19,3
"Admin.pub. y defensa; p. segur.soc afil (176)",32,,10,15,7,
"Enseñanza (177)",16,,3,6,6,1
"Servicios sociales y de salud (178)",9,,3,3,3,
"Otras activ. serv.comun.soc y personales (179)",79,,30,31,15,3
"Hogares privados con servicio doméstico (180)",10,,5,2,2,1
"Actividad economica no especificada (182)",56,1,19,20,12,4
"Desocupado (183)",79,1,41,22,13,2
"Mujeres (184)",1241,18,474,430,260,59
"Agric., ganadería, caza y silvicultura (185)",546,14,190,188,122,32
"Pesca (186)",1,,1,,,
"Explotación de minas y canteras (187)",5,,2,3,,
"Industrias manufactureras (188)",83,1,52,24,4,2
"Suministro de electricidad, gas y agua (189)",2,,1,1,,
"Construcción (190)",8,,2,3,3,
"Comerc., rep. veh. autom.,motoc. efect. pers. (191)",217,,64,74,62,17
"Venta, mant.y rep. veh.autom.y motoc. (192)",2,,1,,1,
"Comercio al por mayor (193)",5,,1,2,1,1
"Comercio al por menor (194)",210,,62,72,60,16
"Hoteles y restaurantes (195)",88,1,25,36,24,2
"Trans., almac. y comunicaciones (196)",14,,9,4,1,
"Intermediación financiera (197)",2,,1,1,,
"Activid.inmobil., empres. y alquileres (198)",28,,12,12,4,
"Admin.pub. y defensa; p. segur.soc afil (199)",13,,5,4,3,1
"Enseñanza (200)",38,,13,17,7,1
"Servicios sociales y de salud (201)",20,,9,5,5,1
"Otras activ. serv.comun.soc y personales (202)",26,1,8,12,5,
"Hogares privados con servicio doméstico (203)",88,1,49,25,11,2
"Actividad economica no especificada (205)",34,,15,15,4,
"Desocupado (206)",28,,16,6,5,1
