"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Otras activ. serv.comun.soc y personales (041)",404,8,118,139,113,26
"Hogares privados con servicio doméstico (042)",34,4,12,13,4,1
"Actividad economica no especificada (044)",677,4,166,259,220,28
"Desocupado (045)",1301,5,571,428,264,33
"Mujeres (046)",10350,69,3281,4292,2445,263
"Agric., ganadería, caza y silvicultura (047)",103,,21,27,35,20
"Pesca (048)",71,,29,31,11,
"Explotación de minas y canteras (049)",44,,7,20,17,
"Industrias manufactureras (050)",426,2,114,171,129,10
"Suministro de electricidad, gas y agua (051)",22,,9,8,5,
"Construcción (052)",91,,32,44,15,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",3156,27,845,1237,904,143
"Venta, mant.y rep. veh.autom.y motoc. (054)",53,1,22,20,8,2
"Comercio al por mayor (055)",145,,51,64,28,2
"Comercio al por menor (056)",2958,26,772,1153,868,139
"Hoteles y restaurantes (057)",1277,18,341,524,354,40
"Trans., almac. y comunicaciones (058)",316,1,144,135,35,1
"Intermediación financiera (059)",130,,57,54,19,
"Activid.inmobil., empres. y alquileres (060)",534,,215,240,76,3
"Admin.pub. y defensa; p. segur.soc afil (061)",418,,131,195,91,1
"Enseñanza (062)",999,,240,565,191,3
"Servicios sociales y de salud (063)",461,,87,216,152,6
"Otras activ. serv.comun.soc y personales (064)",452,2,157,172,113,8
"Hogares privados con servicio doméstico (065)",614,14,283,205,105,7
"Actividad economica no especificada (067)",567,4,195,236,114,18
"Desocupado (068)",669,1,374,212,79,3
,,,,,,
"URBANA (069)",27758,159,8265,11074,7410,850
"Agric., ganadería, caza y silvicultura (070)",219,,54,66,68,31
"Pesca (071)",2143,6,642,998,451,46
"Explotación de minas y canteras (072)",974,,72,207,657,38
"Industrias manufactureras (073)",1958,7,687,697,501,66
"Suministro de electricidad, gas y agua (074)",199,,53,84,60,2
"Construcción (075)",2361,2,644,986,676,53
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",5581,65,1548,2159,1527,282
"Venta, mant.y rep. veh.autom.y motoc. (077)",835,2,304,329,185,15
"Comercio al por mayor (078)",294,2,99,131,54,8
"Comercio al por menor (079)",4452,61,1145,1699,1288,259
"Hoteles y restaurantes (080)",1662,29,487,633,452,61
"Trans., almac. y comunicaciones (081)",2642,8,836,1038,679,81
"Intermediación financiera (082)",235,,93,98,41,3
"Activid.inmobil., empres. y alquileres (083)",1837,1,591,825,389,31
"Admin.pub. y defensa; p. segur.soc afil (084)",1225,,294,556,363,12
"Enseñanza (085)",1412,,291,799,315,7
"Servicios sociales y de salud (086)",615,,104,270,226,15
"Otras activ. serv.comun.soc y personales (087)",848,10,272,307,225,34
"Hogares privados con servicio doméstico (088)",646,18,294,218,108,8
"Actividad economica no especificada (090)",1234,8,359,493,330,44
"Desocupado (091)",1967,5,944,640,342,36
"Hombres (092)",17472,90,5000,6792,4991,599
"Agric., ganadería, caza y silvicultura (093)",142,,33,43,43,23
"Pesca (094)",2073,6,614,967,440,46
"Explotación de minas y canteras (095)",930,,65,187,640,38
"Industrias manufactureras (096)",1533,5,573,526,373,56
"Suministro de electricidad, gas y agua (097)",177,,44,76,55,2
"Construcción (098)",2270,2,612,942,661,53
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",2431,38,704,923,627,139
"Venta, mant.y rep. veh.autom.y motoc. (100)",782,1,282,309,177,13
"Comercio al por mayor (101)",149,2,48,67,26,6
"Comercio al por menor (102)",1500,35,374,547,424,120
"Hoteles y restaurantes (103)",386,11,146,109,99,21
"Trans., almac. y comunicaciones (104)",2326,7,692,903,644,80
"Intermediación financiera (105)",105,,36,44,22,3
"Activid.inmobil., empres. y alquileres (106)",1305,1,377,586,313,28
"Admin.pub. y defensa; p. segur.soc afil (107)",819,,171,363,274,11
"Enseñanza (108)",418,,52,235,127,4
"Servicios sociales y de salud (109)",155,,17,54,75,9
"Otras activ. serv.comun.soc y personales (110)",398,8,117,135,112,26
"Hogares privados con servicio doméstico (111)",34,4,12,13,4,1
"Actividad economica no especificada (113)",671,4,164,258,219,26
"Desocupado (114)",1299,4,571,428,263,33
"Mujeres (115)",10286,69,3265,4282,2419,251
"Agric., ganadería, caza y silvicultura (116)",77,,21,23,25,8
"Pesca (117)",70,,28,31,11,
"Explotación de minas y canteras (118)",44,,7,20,17,
"Industrias manufactureras (119)",425,2,114,171,128,10
"Suministro de electricidad, gas y agua (120)",22,,9,8,5,
"Construcción (121)",91,,32,44,15,
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",3150,27,844,1236,900,143
"Venta, mant.y rep. veh.autom.y motoc. (123)",53,1,22,20,8,2
"Comercio al por mayor (124)",145,,51,64,28,2
"Comercio al por menor (125)",2952,26,771,1152,864,139
"Hoteles y restaurantes (126)",1276,18,341,524,353,40
"Trans., almac. y comunicaciones (127)",316,1,144,135,35,1
"Intermediación financiera (128)",130,,57,54,19,
"Activid.inmobil., empres. y alquileres (129)",532,,214,239,76,3
"Admin.pub. y defensa; p. segur.soc afil (130)",406,,123,193,89,1
"Enseñanza (131)",994,,239,564,188,3
"Servicios sociales y de salud (132)",460,,87,216,151,6
"Otras activ. serv.comun.soc y personales (133)",450,2,155,172,113,8
"Hogares privados con servicio doméstico (134)",612,14,282,205,104,7
"Actividad economica no especificada (136)",563,4,195,235,111,18
"Desocupado (137)",668,1,373,212,79,3
,,,,,,
"RURAL (138)",338,2,91,118,101,26
"Agric., ganadería, caza y silvicultura (139)",79,1,6,15,34,23
"Pesca (140)",13,,5,6,2,
"Explotación de minas y canteras (141)",5,,1,1,3,
"Industrias manufactureras (142)",13,,7,5,1,
"Construcción (144)",30,,16,7,7,
"Comerc., rep. veh. autom.,motoc. efect. pers. (145)",18,,2,10,5,1
"Venta, mant.y rep. veh.autom.y motoc. (146)",6,,1,5,,
"Comercio al por menor (148)",12,,1,5,5,1
"Hoteles y restaurantes (149)",4,,2,,2,
"Trans., almac. y comunicaciones (150)",10,,,4,6,
"Activid.inmobil., empres. y alquileres (152)",20,,9,6,5,
"Admin.pub. y defensa; p. segur.soc afil (153)",112,,34,55,23,
"Enseñanza (154)",8,,2,1,5,
"Servicios sociales y de salud (155)",3,,,2,1,
"Otras activ. serv.comun.soc y personales (156)",8,,3,4,1,
"Hogares privados con servicio doméstico (157)",2,,1,,1,
"Actividad economica no especificada (159)",10,,2,2,4,2
"Desocupado (160)",3,1,1,,1,
"Hombres (161)",274,2,75,108,75,14
"Agric., ganadería, caza y silvicultura (162)",53,1,6,11,24,11
"Pesca (163)",12,,4,6,2,
"Explotación de minas y canteras (164)",5,,1,1,3,
"Industrias manufactureras (165)",12,,7,5,,
"Construcción (167)",30,,16,7,7,
"Comerc., rep. veh. autom.,motoc. efect. pers. (168)",12,,1,9,1,1
"Venta, mant.y rep. veh.autom.y motoc. (169)",6,,1,5,,
"Comercio al por menor (171)",6,,,4,1,1
"Hoteles y restaurantes (172)",3,,2,,1,
"Trans., almac. y comunicaciones (173)",10,,,4,6,
"Activid.inmobil., empres. y alquileres (175)",18,,8,5,5,
"Admin.pub. y defensa; p. segur.soc afil (176)",100,,26,53,21,
"Enseñanza (177)",3,,1,,2,
"Servicios sociales y de salud (178)",2,,,2,,
"Otras activ. serv.comun.soc y personales (179)",6,,1,4,1,
"Actividad economica no especificada (182)",6,,2,1,1,2
"Desocupado (183)",2,1,,,1,
"Mujeres (184)",64,,16,10,26,12
"Agric., ganadería, caza y silvicultura (185)",26,,,4,10,12
"Pesca (186)",1,,1,,,
"Industrias manufactureras (188)",1,,,,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (191)",6,,1,1,4,
"Comercio al por menor (194)",6,,1,1,4,
"Hoteles y restaurantes (195)",1,,,,1,
"Activid.inmobil., empres. y alquileres (198)",2,,1,1,,
"Admin.pub. y defensa; p. segur.soc afil (199)",12,,8,2,2,
"Enseñanza (200)",5,,1,1,3,
"Servicios sociales y de salud (201)",1,,,,1,
"Otras activ. serv.comun.soc y personales (202)",2,,2,,,
"Hogares privados con servicio doméstico (203)",2,,1,,1,
"Actividad economica no especificada (205)",4,,,1,3,
"Desocupado (206)",1,,1,,,
