"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
"De 45 a 49 años (038)",6,11,11,,100,,
"De 50 y más años (039)",8,53,49,,92.5,,
"No PEA (040)",15756,45523,40725,812,89.5,1.8,
"De 12 a 14 años (041)",1791,17,17,2,100,11.8,
"De 15 a 19 años (042)",2103,403,393,112,97.5,27.8,
"De 20 a 24 años (043)",1621,1688,1635,189,96.9,11.2,
"De 25 a 29 años (044)",1479,2792,2691,176,96.4,6.3,
"De 30 a 34 años (045)",1368,3514,3349,163,95.3,4.6,
"De 35 a 39 años (046)",1283,4367,4106,114,94,2.6,
"De 40 a 44 años (047)",1063,4532,4232,43,93.4,0.9,
"De 45 a 49 años (048)",950,4620,4212,13,91.2,0.3,
"De 50 y más años (049)",4098,23590,20090,,85.2,,
,,,,,,,
"URBANA (060)",4606,10682,9771,169,91.5,1.6,
"De 12 a 14 años (061)",362,4,4,,100,,
"De 15 a 19 años (062)",586,73,70,22,95.9,30.1,
"De 20 a 24 años (063)",470,329,307,33,93.3,10,
"De 25 a 29 años (064)",466,546,540,35,98.9,6.4,
"De 30 a 34 años (065)",457,899,867,42,96.4,4.7,
"De 35 a 39 años (066)",451,1033,1000,25,96.8,2.4,
"De 40 a 44 años (067)",374,1081,1026,9,94.9,0.8,
"De 45 a 49 años (068)",303,1064,1004,3,94.4,0.3,
"De 50 y más años (069)",1137,5653,4953,,87.6,,
"PEA (070)",1487,3084,2899,47,94,1.5,
"De 12 a 14 años (071)",26,4,4,,100,,
"De 15 a 19 años (072)",113,11,11,2,100,18.2,
"De 20 a 24 años (073)",146,79,65,5,82.3,6.3,
"De 25 a 29 años (074)",195,159,157,9,98.7,5.7,
"De 30 a 34 años (075)",207,349,340,16,97.4,4.6,
"De 35 a 39 años (076)",218,460,440,9,95.7,2,
"De 40 a 44 años (077)",179,465,446,5,95.9,1.1,
"De 45 a 49 años (078)",128,409,392,1,95.8,0.2,
"De 50 y más años (079)",275,1148,1044,,90.9,,
"Ocupada (080)",1436,3014,2834,47,94,1.6,
"De 12 a 14 años (081)",22,4,4,,100,,
"De 15 a 19 años (082)",106,11,11,2,100,18.2,
"De 20 a 24 años (083)",135,74,60,5,81.1,6.8,
"De 25 a 29 años (084)",188,154,152,9,98.7,5.8,
"De 30 a 34 años (085)",199,336,328,16,97.6,4.8,
"De 35 a 39 años (086)",216,460,440,9,95.7,2,
"De 40 a 44 años (087)",175,461,442,5,95.9,1.1,
"De 45 a 49 años (088)",125,400,383,1,95.8,0.3,
"De 50 y más años (089)",270,1114,1014,,91,,
"Desocupada (090)",51,70,65,,92.9,,
"De 12 a 14 años (091)",4,,,,,,
"De 15 a 19 años (092)",7,,,,,,
"De 20 a 24 años (093)",11,5,5,,100,,
"De 25 a 29 años (094)",7,5,5,,100,,
"De 30 a 34 años (095)",8,13,12,,92.3,,
"De 35 a 39 años (096)",2,,,,,,
"De 40 a 44 años (097)",4,4,4,,100,,
"De 45 a 49 años (098)",3,9,9,,100,,
"De 50 y más años (099)",5,34,30,,88.2,,
"No PEA (100)",3119,7598,6872,122,90.4,1.6,
"De 12 a 14 años (101)",336,,,,,,
"De 15 a 19 años (102)",473,62,59,20,95.2,32.3,
"De 20 a 24 años (103)",324,250,242,28,96.8,11.2,
"De 25 a 29 años (104)",271,387,383,26,99,6.7,
"De 30 a 34 años (105)",250,550,527,26,95.8,4.7,
"De 35 a 39 años (106)",233,573,560,16,97.7,2.8,
"De 40 a 44 años (107)",195,616,580,4,94.2,0.6,
"De 45 a 49 años (108)",175,655,612,2,93.4,0.3,
"De 50 y más años (109)",862,4505,3909,,86.8,,
,,,,,,,
"RURAL (120)",14349,41811,37375,752,89.4,1.8,
"De 12 a 14 años (121)",1560,18,18,2,100,11.1,
"De 15 a 19 años (122)",1937,395,387,101,98,25.6,
"De 20 a 24 años (123)",1569,1645,1593,185,96.8,11.2,
"De 25 a 29 años (124)",1385,2676,2575,158,96.2,5.9,
"De 30 a 34 años (125)",1287,3411,3233,148,94.8,4.3,
"De 35 a 39 años (126)",1210,4298,4014,106,93.4,2.5,
"De 40 a 44 años (127)",996,4380,4077,41,93.1,0.9,
"De 45 a 49 años (128)",890,4456,4043,11,90.7,0.2,
"De 50 y más años (129)",3515,20532,17435,,84.9,,
"PEA (130)",1712,3886,3522,62,90.6,1.6,
"De 12 a 14 años (131)",105,1,1,,100,,
"De 15 a 19 años (132)",307,54,53,10,98.1,18.5,
"De 20 a 24 años (133)",272,207,200,24,96.6,11.6,
"De 25 a 29 años (134)",177,271,267,8,98.5,3,
"De 30 a 34 años (135)",169,447,411,11,91.9,2.5,
"De 35 a 39 años (136)",160,504,468,7,92.9,1.4,
"De 40 a 44 años (137)",128,464,425,2,91.6,0.4,
"De 45 a 49 años (138)",115,491,443,,90.2,,
"De 50 y más años (139)",279,1447,1254,,86.7,,
"Ocupada (140)",1571,3829,3475,61,90.8,1.6,
"De 12 a 14 años (141)",89,1,1,,100,,
"De 15 a 19 años (142)",248,51,50,9,98,17.6,
"De 20 a 24 años (143)",240,204,197,24,96.6,11.8,
"De 25 a 29 años (144)",165,269,265,8,98.5,3,
"De 30 a 34 años (145)",162,441,405,11,91.8,2.5,
"De 35 a 39 años (146)",155,503,467,7,92.8,1.4,
"De 40 a 44 años (147)",124,443,414,2,93.5,0.5,
"De 45 a 49 años (148)",112,489,441,,90.2,,
"De 50 y más años (149)",276,1428,1235,,86.5,,
"Desocupada (150)",141,57,47,1,82.5,1.8,
"De 12 a 14 años (151)",16,,,,,,
"De 15 a 19 años (152)",59,3,3,1,100,33.3,
"De 20 a 24 años (153)",32,3,3,,100,,
"De 25 a 29 años (154)",12,2,2,,100,,
"De 30 a 34 años (155)",7,6,6,,100,,
"De 35 a 39 años (156)",5,1,1,,100,,
"De 40 a 44 años (157)",4,21,11,,52.4,,
"De 45 a 49 años (158)",3,2,2,,100,,
"De 50 y más años (159)",3,19,19,,100,,
"No PEA (160)",12637,37925,33853,690,89.3,1.8,
"De 12 a 14 años (161)",1455,17,17,2,100,11.8,
"De 15 a 19 años (162)",1630,341,334,91,97.9,26.7,
"De 20 a 24 años (163)",1297,1438,1393,161,96.9,11.2,
"De 25 a 29 años (164)",1208,2405,2308,150,96,6.2,
"De 30 a 34 años (165)",1118,2964,2822,137,95.2,4.6,
"De 35 a 39 años (166)",1050,3794,3546,99,93.5,2.6,
"De 40 a 44 años (167)",868,3916,3652,39,93.3,1,
"De 45 a 49 años (168)",775,3965,3600,11,90.8,0.3,
"De 50 y más años (169)",3236,19085,16181,,84.8,,
