"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Otras activ. serv.comun.soc y personales (041)",143,10,70,35,24,4
"Hogares privados con servicio doméstico (042)",15,1,9,3,2,
"Actividad economica no especificada (044)",423,1,162,137,84,39
"Desocupado (045)",1429,13,701,405,245,65
"Mujeres (046)",13179,242,4036,3976,3479,1446
"Agric., ganadería, caza y silvicultura (047)",8655,149,2281,2352,2623,1250
"Pesca (048)",29,,11,10,7,1
"Explotación de minas y canteras (049)",2,,,1,1,
"Industrias manufactureras (050)",322,2,138,106,61,15
"Suministro de electricidad, gas y agua (051)",2,,1,1,,
"Construcción (052)",12,1,2,8,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",2199,57,708,860,484,90
"Venta, mant.y rep. veh.autom.y motoc. (054)",24,1,7,10,6,
"Comercio al por mayor (055)",37,1,10,20,6,
"Comercio al por menor (056)",2138,55,691,830,472,90
"Hoteles y restaurantes (057)",358,19,139,121,70,9
"Trans., almac. y comunicaciones (058)",37,,28,6,3,
"Intermediación financiera (059)",3,,1,2,,
"Activid.inmobil., empres. y alquileres (060)",38,,22,14,2,
"Admin.pub. y defensa; p. segur.soc afil (061)",110,,64,39,7,
"Enseñanza (062)",296,,79,172,43,2
"Servicios sociales y de salud (063)",88,,28,39,21,
"Otras activ. serv.comun.soc y personales (064)",42,2,18,12,8,2
"Hogares privados con servicio doméstico (065)",100,6,64,18,10,2
"Actividad economica no especificada (067)",397,,126,115,93,63
"Desocupado (068)",489,6,326,100,45,12
,,,,,,
"URBANA (069)",9917,251,3184,3685,2328,469
"Agric., ganadería, caza y silvicultura (070)",2035,56,492,673,606,208
"Pesca (071)",8,,,6,2,
"Explotación de minas y canteras (072)",9,,5,2,2,
"Industrias manufactureras (073)",404,12,150,143,85,14
"Suministro de electricidad, gas y agua (074)",19,,8,8,2,1
"Construcción (075)",326,2,104,130,83,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",2939,111,928,1068,693,139
"Venta, mant.y rep. veh.autom.y motoc. (077)",186,6,78,63,37,2
"Comercio al por mayor (078)",63,1,19,27,14,2
"Comercio al por menor (079)",2690,104,831,978,642,135
"Hoteles y restaurantes (080)",438,38,162,135,84,19
"Trans., almac. y comunicaciones (081)",634,6,224,253,139,12
"Intermediación financiera (082)",10,,1,5,3,1
"Activid.inmobil., empres. y alquileres (083)",145,1,52,64,25,3
"Admin.pub. y defensa; p. segur.soc afil (084)",590,,256,241,87,6
"Enseñanza (085)",828,,130,444,241,13
"Servicios sociales y de salud (086)",166,,38,72,55,1
"Otras activ. serv.comun.soc y personales (087)",159,10,76,41,27,5
"Hogares privados con servicio doméstico (088)",74,7,42,14,9,2
"Actividad economica no especificada (090)",407,1,150,152,83,21
"Desocupado (091)",726,7,366,234,102,17
"Hombres (092)",5854,136,1814,2150,1479,275
"Agric., ganadería, caza y silvicultura (093)",1246,29,283,410,396,128
"Pesca (094)",8,,,6,2,
"Explotación de minas y canteras (095)",7,,5,1,1,
"Industrias manufactureras (096)",269,10,96,95,58,10
"Suministro de electricidad, gas y agua (097)",17,,7,7,2,1
"Construcción (098)",316,1,102,124,82,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",1144,55,378,354,297,60
"Venta, mant.y rep. veh.autom.y motoc. (100)",163,5,72,53,31,2
"Comercio al por mayor (101)",27,,10,7,8,2
"Comercio al por menor (102)",954,50,296,294,258,56
"Hoteles y restaurantes (103)",135,19,52,32,22,10
"Trans., almac. y comunicaciones (104)",601,6,198,249,136,12
"Intermediación financiera (105)",7,,,3,3,1
"Activid.inmobil., empres. y alquileres (106)",113,1,35,51,23,3
"Admin.pub. y defensa; p. segur.soc afil (107)",491,,199,205,81,6
"Enseñanza (108)",574,,74,286,203,11
"Servicios sociales y de salud (109)",89,,15,37,36,1
"Otras activ. serv.comun.soc y personales (110)",119,9,59,29,19,3
"Hogares privados con servicio doméstico (111)",13,1,8,2,2,
"Actividad economica no especificada (113)",237,1,88,91,47,10
"Desocupado (114)",468,4,215,168,69,12
"Mujeres (115)",4063,115,1370,1535,849,194
"Agric., ganadería, caza y silvicultura (116)",789,27,209,263,210,80
"Explotación de minas y canteras (118)",2,,,1,1,
"Industrias manufactureras (119)",135,2,54,48,27,4
"Suministro de electricidad, gas y agua (120)",2,,1,1,,
"Construcción (121)",10,1,2,6,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",1795,56,550,714,396,79
"Venta, mant.y rep. veh.autom.y motoc. (123)",23,1,6,10,6,
"Comercio al por mayor (124)",36,1,9,20,6,
"Comercio al por menor (125)",1736,54,535,684,384,79
"Hoteles y restaurantes (126)",303,19,110,103,62,9
"Trans., almac. y comunicaciones (127)",33,,26,4,3,
"Intermediación financiera (128)",3,,1,2,,
"Activid.inmobil., empres. y alquileres (129)",32,,17,13,2,
"Admin.pub. y defensa; p. segur.soc afil (130)",99,,57,36,6,
"Enseñanza (131)",254,,56,158,38,2
"Servicios sociales y de salud (132)",77,,23,35,19,
"Otras activ. serv.comun.soc y personales (133)",40,1,17,12,8,2
"Hogares privados con servicio doméstico (134)",61,6,34,12,7,2
"Actividad economica no especificada (136)",170,,62,61,36,11
"Desocupado (137)",258,3,151,66,33,5
,,,,,,
"RURAL (138)",23443,237,6465,6542,6796,3403
"Agric., ganadería, caza y silvicultura (139)",19467,216,4770,5306,5967,3208
"Pesca (140)",158,1,54,56,44,3
"Explotación de minas y canteras (141)",9,,5,2,1,1
"Industrias manufactureras (142)",296,,128,83,65,20
"Suministro de electricidad, gas y agua (143)",2,,1,1,,
"Construcción (144)",300,,105,102,85,8
"Comerc., rep. veh. autom.,motoc. efect. pers. (145)",716,4,284,262,151,15
"Venta, mant.y rep. veh.autom.y motoc. (146)",61,,42,17,2,
"Comercio al por mayor (147)",8,,7,,1,
"Comercio al por menor (148)",647,4,235,245,148,15
"Hoteles y restaurantes (149)",77,1,40,26,9,1
"Trans., almac. y comunicaciones (150)",244,1,89,108,44,2
"Activid.inmobil., empres. y alquileres (152)",52,,27,19,6,
"Admin.pub. y defensa; p. segur.soc afil (153)",145,,46,75,24,
"Enseñanza (154)",264,,62,104,96,2
"Servicios sociales y de salud (155)",41,,12,14,14,1
"Otras activ. serv.comun.soc y personales (156)",26,2,12,6,5,1
"Hogares privados con servicio doméstico (157)",41,,31,7,3,
"Actividad economica no especificada (159)",413,,138,100,94,81
"Desocupado (160)",1192,12,661,271,188,60
"Hombres (161)",14327,110,3799,4101,4166,2151
"Agric., ganadería, caza y silvicultura (162)",11601,94,2698,3217,3554,2038
"Pesca (163)",129,1,43,46,37,2
"Explotación de minas y canteras (164)",9,,5,2,1,1
"Industrias manufactureras (165)",109,,44,25,31,9
"Suministro de electricidad, gas y agua (166)",2,,1,1,,
"Construcción (167)",298,,105,100,85,8
"Comerc., rep. veh. autom.,motoc. efect. pers. (168)",312,3,126,116,63,4
"Venta, mant.y rep. veh.autom.y motoc. (169)",60,,41,17,2,
"Comercio al por mayor (170)",7,,6,,1,
"Comercio al por menor (171)",245,3,79,99,60,4
"Hoteles y restaurantes (172)",22,1,11,8,1,1
"Trans., almac. y comunicaciones (173)",240,1,87,106,44,2
"Activid.inmobil., empres. y alquileres (175)",46,,22,18,6,
"Admin.pub. y defensa; p. segur.soc afil (176)",134,,39,72,23,
"Enseñanza (177)",222,,39,90,91,2
"Servicios sociales y de salud (178)",30,,7,10,12,1
"Otras activ. serv.comun.soc y personales (179)",24,1,11,6,5,1
"Hogares privados con servicio doméstico (180)",2,,1,1,,
"Actividad economica no especificada (182)",186,,74,46,37,29
"Desocupado (183)",961,9,486,237,176,53
"Mujeres (184)",9116,127,2666,2441,2630,1252
"Agric., ganadería, caza y silvicultura (185)",7866,122,2072,2089,2413,1170
"Pesca (186)",29,,11,10,7,1
"Industrias manufactureras (188)",187,,84,58,34,11
"Construcción (190)",2,,,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (191)",404,1,158,146,88,11
"Venta, mant.y rep. veh.autom.y motoc. (192)",1,,1,,,
"Comercio al por mayor (193)",1,,1,,,
"Comercio al por menor (194)",402,1,156,146,88,11
"Hoteles y restaurantes (195)",55,,29,18,8,
"Trans., almac. y comunicaciones (196)",4,,2,2,,
"Activid.inmobil., empres. y alquileres (198)",6,,5,1,,
"Admin.pub. y defensa; p. segur.soc afil (199)",11,,7,3,1,
"Enseñanza (200)",42,,23,14,5,
"Servicios sociales y de salud (201)",11,,5,4,2,
"Otras activ. serv.comun.soc y personales (202)",2,1,1,,,
"Hogares privados con servicio doméstico (203)",39,,30,6,3,
"Actividad economica no especificada (205)",227,,64,54,57,52
"Desocupado (206)",231,3,175,34,12,7
