"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
"URBANA (060)",6275,23,122,368,630,1377,2329,1426
"De 12 a 14 años (061)",10,,,,,,2,8
"De 15 a 19 años (062)",313,,,,,,188,125
"De 20 a 24 años (063)",716,,,,,2,463,251
"De 25 a 29 años (064)",853,,,,,78,582,193
"De 30 a 34 años (065)",803,,,,,177,461,165
"De 35 a 39 años (066)",818,,,,13,307,368,130
"De 40 a 44 años (067)",712,,,,66,336,199,111
"De 45 a 49 años (068)",478,,,3,102,241,57,75
"De 50 y más años (069)",1572,23,122,365,449,236,9,368
"PEA (070)",2234,,20,82,231,612,757,532
"De 12 a 14 años (071)",1,,,,,,1,
"De 15 a 19 años (072)",69,,,,,,43,26
"De 20 a 24 años (073)",200,,,,,2,113,85
"De 25 a 29 años (074)",287,,,,,34,168,85
"De 30 a 34 años (075)",321,,,,,73,170,78
"De 35 a 39 años (076)",367,,,,8,139,151,69
"De 40 a 44 años (077)",327,,,,36,149,86,56
"De 45 a 49 años (078)",213,,,1,47,110,23,32
"De 50 y más años (079)",449,,20,81,140,105,2,101
"Ocupada (080)",2195,,20,80,228,599,744,524
"De 12 a 14 años (081)",1,,,,,,1,
"De 15 a 19 años (082)",67,,,,,,41,26
"De 20 a 24 años (083)",197,,,,,2,111,84
"De 25 a 29 años (084)",279,,,,,34,164,81
"De 30 a 34 años (085)",315,,,,,71,168,76
"De 35 a 39 años (086)",360,,,,8,134,149,69
"De 40 a 44 años (087)",322,,,,36,146,85,55
"De 45 a 49 años (088)",213,,,1,47,110,23,32
"De 50 y más años (089)",441,,20,79,137,102,2,101
"Desocupada (090)",39,,,2,3,13,13,8
"De 15 a 19 años (092)",2,,,,,,2,
"De 20 a 24 años (093)",3,,,,,,2,1
"De 25 a 29 años (094)",8,,,,,,4,4
"De 30 a 34 años (095)",6,,,,,2,2,2
"De 35 a 39 años (096)",7,,,,,5,2,
"De 40 a 44 años (097)",5,,,,,3,1,1
"De 50 y más años (099)",8,,,2,3,3,,
"No PEA (100)",4041,23,102,286,399,765,1572,894
"De 12 a 14 años (101)",9,,,,,,1,8
"De 15 a 19 años (102)",244,,,,,,145,99
"De 20 a 24 años (103)",516,,,,,,350,166
"De 25 a 29 años (104)",566,,,,,44,414,108
"De 30 a 34 años (105)",482,,,,,104,291,87
"De 35 a 39 años (106)",451,,,,5,168,217,61
"De 40 a 44 años (107)",385,,,,30,187,113,55
"De 45 a 49 años (108)",265,,,2,55,131,34,43
"De 50 y más años (109)",1123,23,102,284,309,131,7,267
,,,,,,,,
"RURAL (120)",3307,5,46,129,259,633,1616,619
"De 12 a 14 años (121)",12,,,,,,3,9
"De 15 a 19 años (122)",267,,,,,,174,93
"De 20 a 24 años (123)",514,,,,,1,377,136
"De 25 a 29 años (124)",522,,,,,31,402,89
"De 30 a 34 años (125)",389,,,,,68,264,57
"De 35 a 39 años (126)",342,,,,3,96,205,38
"De 40 a 44 años (127)",330,,,,19,148,127,36
"De 45 a 49 años (128)",245,,,1,29,133,56,26
"De 50 y más años (129)",686,5,46,128,208,156,8,135
"PEA (130)",707,,6,23,62,147,321,148
"De 12 a 14 años (131)",2,,,,,,,2
"De 15 a 19 años (132)",50,,,,,,28,22
"De 20 a 24 años (133)",98,,,,,,70,28
"De 25 a 29 años (134)",112,,,,,10,77,25
"De 30 a 34 años (135)",92,,,,,18,58,16
"De 35 a 39 años (136)",82,,,,1,22,49,10
"De 40 a 44 años (137)",75,,,,5,35,28,7
"De 45 a 49 años (138)",64,,,,12,32,11,9
"De 50 y más años (139)",132,,6,23,44,30,,29
"Ocupada (140)",700,,6,23,62,146,318,145
"De 12 a 14 años (141)",2,,,,,,,2
"De 15 a 19 años (142)",50,,,,,,28,22
"De 20 a 24 años (143)",96,,,,,,70,26
"De 25 a 29 años (144)",110,,,,,10,75,25
"De 30 a 34 años (145)",92,,,,,18,58,16
"De 35 a 39 años (146)",82,,,,1,22,49,10
"De 40 a 44 años (147)",73,,,,5,34,27,7
"De 45 a 49 años (148)",64,,,,12,32,11,9
"De 50 y más años (149)",131,,6,23,44,30,,28
"Desocupada (150)",7,,,,,1,3,3
"De 20 a 24 años (153)",2,,,,,,,2
"De 25 a 29 años (154)",2,,,,,,2,
"De 40 a 44 años (157)",2,,,,,1,1,
"De 50 y más años (159)",1,,,,,,,1
"No PEA (160)",2600,5,40,106,197,486,1295,471
"De 12 a 14 años (161)",10,,,,,,3,7
"De 15 a 19 años (162)",217,,,,,,146,71
"De 20 a 24 años (163)",416,,,,,1,307,108
"De 25 a 29 años (164)",410,,,,,21,325,64
"De 30 a 34 años (165)",297,,,,,50,206,41
"De 35 a 39 años (166)",260,,,,2,74,156,28
"De 40 a 44 años (167)",255,,,,14,113,99,29
"De 45 a 49 años (168)",181,,,1,17,101,45,17
"De 50 y más años (169)",554,5,40,105,164,126,8,106
