"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
"De 30 a 34 años (045)",7436,,,,,1078,4732,1626
"De 35 a 39 años (046)",7035,,,,52,2046,3761,1176
"De 40 a 44 años (047)",6266,,,,372,2595,2297,1002
"De 45 a 49 años (048)",5563,,,25,1028,2726,946,838
"De 50 y más años (049)",26760,916,2877,5824,7469,3420,183,6071
,,,,,,,,
"URBANA (060)",112266,923,3040,7199,14212,23504,34916,28472
"De 12 a 14 años (061)",94,,,,,,5,89
"De 15 a 19 años (062)",1718,,,,,,1017,701
"De 20 a 24 años (063)",9764,,,,,22,5164,4578
"De 25 a 29 años (064)",13625,,,,,667,8086,4872
"De 30 a 34 años (065)",14190,,,,2,2277,8224,3687
"De 35 a 39 años (066)",13949,,,,156,4406,6621,2766
"De 40 a 44 años (067)",12618,,,1,858,5460,4001,2298
"De 45 a 49 años (068)",10963,,,56,2277,5283,1521,1826
"De 50 y más años (069)",35345,923,3040,7142,10919,5389,277,7655
"PEA (070)",52351,61,413,1943,6388,13022,16491,14033
"De 12 a 14 años (071)",19,,,,,,,19
"De 15 a 19 años (072)",495,,,,,,295,200
"De 20 a 24 años (073)",4060,,,,,13,1988,2059
"De 25 a 29 años (074)",6723,,,,,367,3580,2776
"De 30 a 34 años (075)",7740,,,,2,1328,4156,2254
"De 35 a 39 años (076)",7919,,,,108,2604,3467,1740
"De 40 a 44 años (077)",7218,,,1,518,3190,2100,1409
"De 45 a 49 años (078)",6188,,,32,1344,2950,775,1087
"De 50 y más años (079)",11989,61,413,1910,4416,2570,130,2489
"Ocupada (080)",50547,60,409,1924,6289,12703,15831,13331
"De 12 a 14 años (081)",19,,,,,,,19
"De 15 a 19 años (082)",451,,,,,,275,176
"De 20 a 24 años (083)",3729,,,,,12,1840,1877
"De 25 a 29 años (084)",6328,,,,,350,3403,2575
"De 30 a 34 años (085)",7424,,,,2,1276,4015,2131
"De 35 a 39 años (086)",7658,,,,107,2526,3354,1671
"De 40 a 44 años (087)",7051,,,1,507,3112,2057,1374
"De 45 a 49 años (088)",6052,,,32,1314,2889,759,1058
"De 50 y más años (089)",11835,60,409,1891,4359,2538,128,2450
"Desocupada (090)",1804,1,4,19,99,319,660,702
"De 15 a 19 años (092)",44,,,,,,20,24
"De 20 a 24 años (093)",331,,,,,1,148,182
"De 25 a 29 años (094)",395,,,,,17,177,201
"De 30 a 34 años (095)",316,,,,,52,141,123
"De 35 a 39 años (096)",261,,,,1,78,113,69
"De 40 a 44 años (097)",167,,,,11,78,43,35
"De 45 a 49 años (098)",136,,,,30,61,16,29
"De 50 y más años (099)",154,1,4,19,57,32,2,39
"No PEA (100)",59915,862,2627,5256,7824,10482,18425,14439
"De 12 a 14 años (101)",75,,,,,,5,70
"De 15 a 19 años (102)",1223,,,,,,722,501
"De 20 a 24 años (103)",5704,,,,,9,3176,2519
"De 25 a 29 años (104)",6902,,,,,300,4506,2096
"De 30 a 34 años (105)",6450,,,,,949,4068,1433
"De 35 a 39 años (106)",6030,,,,48,1802,3154,1026
"De 40 a 44 años (107)",5400,,,,340,2270,1901,889
"De 45 a 49 años (108)",4775,,,24,933,2333,746,739
"De 50 y más años (109)",23356,862,2627,5232,6503,2819,147,5166
,,,,,,,,
"RURAL (120)",14110,67,303,795,1677,2784,5085,3399
"De 12 a 14 años (121)",23,,,,,,2,21
"De 15 a 19 años (122)",380,,,,,,225,155
"De 20 a 24 años (123)",1460,,,,,3,880,577
"De 25 a 29 años (124)",1634,,,,,55,1083,496
"De 30 a 34 años (125)",1548,,,,,226,1007,315
"De 35 a 39 años (126)",1621,,,,10,432,918,261
"De 40 a 44 años (127)",1409,,,,67,540,601,201
"De 45 a 49 años (128)",1277,,,1,176,612,324,164
"De 50 y más años (129)",4758,67,303,794,1424,916,45,1209
"PEA (130)",4699,13,53,202,580,1061,1650,1140
"De 12 a 14 años (131)",1,,,,,,,1
"De 15 a 19 años (132)",103,,,,,,62,41
"De 20 a 24 años (133)",465,,,,,2,260,203
"De 25 a 29 años (134)",566,,,,,25,336,205
"De 30 a 34 años (135)",562,,,,,97,343,122
"De 35 a 39 años (136)",616,,,,6,188,311,111
"De 40 a 44 años (137)",543,,,,35,215,205,88
"De 45 a 49 años (138)",489,,,,81,219,124,65
"De 50 y más años (139)",1354,13,53,202,458,315,9,304
"Ocupada (140)",4608,13,53,200,575,1045,1613,1109
"De 12 a 14 años (141)",1,,,,,,,1
"De 15 a 19 años (142)",101,,,,,,61,40
"De 20 a 24 años (143)",445,,,,,2,250,193
"De 25 a 29 años (144)",544,,,,,24,326,194
"De 30 a 34 años (145)",551,,,,,96,336,119
"De 35 a 39 años (146)",609,,,,6,184,309,110
"De 40 a 44 años (147)",531,,,,34,212,200,85
"De 45 a 49 años (148)",485,,,,81,217,122,65
"De 50 y más años (149)",1341,13,53,200,454,310,9,302
"Desocupada (150)",91,,,2,5,16,37,31
"De 15 a 19 años (152)",2,,,,,,1,1
"De 20 a 24 años (153)",20,,,,,,10,10
"De 25 a 29 años (154)",22,,,,,1,10,11
"De 30 a 34 años (155)",11,,,,,1,7,3
"De 35 a 39 años (156)",7,,,,,4,2,1
"De 40 a 44 años (157)",12,,,,1,3,5,3
"De 45 a 49 años (158)",4,,,,,2,2,
"De 50 y más años (159)",13,,,2,4,5,,2
"No PEA (160)",9411,54,250,593,1097,1723,3435,2259
"De 12 a 14 años (161)",22,,,,,,2,20
"De 15 a 19 años (162)",277,,,,,,163,114
"De 20 a 24 años (163)",995,,,,,1,620,374
"De 25 a 29 años (164)",1068,,,,,30,747,291
"De 30 a 34 años (165)",986,,,,,129,664,193
"De 35 a 39 años (166)",1005,,,,4,244,607,150
"De 40 a 44 años (167)",866,,,,32,325,396,113
"De 45 a 49 años (168)",788,,,1,95,393,200,99
"De 50 y más años (169)",3404,54,250,592,966,601,36,905
