"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
"De 12 a 14 años (061)",3,,,,,,1,2
"De 15 a 19 años (062)",74,,,,,,42,32
"De 20 a 24 años (063)",313,,,,,1,173,139
"De 25 a 29 años (064)",323,,,,,13,196,114
"De 30 a 34 años (065)",329,,,,,53,170,106
"De 35 a 39 años (066)",256,,,,1,67,137,51
"De 40 a 44 años (067)",190,,,,11,74,74,31
"De 45 a 49 años (068)",130,,,,12,61,21,36
"De 50 y más años (069)",155,,3,18,48,26,5,55
"PEA (070)",948,,1,6,36,176,414,315
"De 15 a 19 años (072)",31,,,,,,16,15
"De 20 a 24 años (073)",165,,,,,,88,77
"De 25 a 29 años (074)",167,,,,,9,89,69
"De 30 a 34 años (075)",178,,,,,30,88,60
"De 35 a 39 años (076)",158,,,,1,43,77,37
"De 40 a 44 años (077)",114,,,,6,49,44,15
"De 45 a 49 años (078)",74,,,,8,33,11,22
"De 50 y más años (079)",61,,1,6,21,12,1,20
"Ocupada (080)",937,,1,6,35,176,410,309
"De 15 a 19 años (082)",31,,,,,,16,15
"De 20 a 24 años (083)",161,,,,,,87,74
"De 25 a 29 años (084)",164,,,,,9,86,69
"De 30 a 34 años (085)",176,,,,,30,88,58
"De 35 a 39 años (086)",158,,,,1,43,77,37
"De 40 a 44 años (087)",114,,,,6,49,44,15
"De 45 a 49 años (088)",72,,,,7,33,11,21
"De 50 y más años (089)",61,,1,6,21,12,1,20
"Desocupada (090)",11,,,,1,,4,6
"De 20 a 24 años (093)",4,,,,,,1,3
"De 25 a 29 años (094)",3,,,,,,3,
"De 30 a 34 años (095)",2,,,,,,,2
"De 45 a 49 años (098)",2,,,,1,,,1
"No PEA (100)",825,,2,12,36,119,405,251
"De 12 a 14 años (101)",3,,,,,,1,2
"De 15 a 19 años (102)",43,,,,,,26,17
"De 20 a 24 años (103)",148,,,,,1,85,62
"De 25 a 29 años (104)",156,,,,,4,107,45
"De 30 a 34 años (105)",151,,,,,23,82,46
"De 35 a 39 años (106)",98,,,,,24,60,14
"De 40 a 44 años (107)",76,,,,5,25,30,16
"De 45 a 49 años (108)",56,,,,4,28,10,14
"De 50 y más años (109)",94,,2,12,27,14,4,35
,,,,,,,,
"RURAL (120)",2627,,4,22,114,351,1371,765
"De 12 a 14 años (121)",3,,,,,,,3
"De 15 a 19 años (122)",196,,,,,,118,78
"De 20 a 24 años (123)",605,,,,,3,370,232
"De 25 a 29 años (124)",487,,,,,18,338,131
"De 30 a 34 años (125)",376,,,,,43,243,90
"De 35 a 39 años (126)",315,,,,5,83,176,51
"De 40 a 44 años (127)",230,,,,8,91,82,49
"De 45 a 49 años (128)",156,,,,26,64,33,33
"De 50 y más años (129)",259,,4,22,75,49,11,98
"PEA (130)",1231,,1,9,55,192,589,385
"De 12 a 14 años (131)",1,,,,,,,1
"De 15 a 19 años (132)",71,,,,,,36,35
"De 20 a 24 años (133)",282,,,,,1,164,117
"De 25 a 29 años (134)",219,,,,,9,138,72
"De 30 a 34 años (135)",191,,,,,17,125,49
"De 35 a 39 años (136)",150,,,,4,46,70,30
"De 40 a 44 años (137)",127,,,,7,56,35,29
"De 45 a 49 años (138)",84,,,,18,33,17,16
"De 50 y más años (139)",106,,1,9,26,30,4,36
"Ocupada (140)",1208,,1,9,55,191,574,378
"De 12 a 14 años (141)",1,,,,,,,1
"De 15 a 19 años (142)",67,,,,,,33,34
"De 20 a 24 años (143)",274,,,,,1,159,114
"De 25 a 29 años (144)",214,,,,,9,134,71
"De 30 a 34 años (145)",188,,,,,17,122,49
"De 35 a 39 años (146)",149,,,,4,46,70,29
"De 40 a 44 años (147)",126,,,,7,55,35,29
"De 45 a 49 años (148)",83,,,,18,33,17,15
"De 50 y más años (149)",106,,1,9,26,30,4,36
"Desocupada (150)",23,,,,,1,15,7
"De 15 a 19 años (152)",4,,,,,,3,1
"De 20 a 24 años (153)",8,,,,,,5,3
"De 25 a 29 años (154)",5,,,,,,4,1
"De 30 a 34 años (155)",3,,,,,,3,
"De 35 a 39 años (156)",1,,,,,,,1
"De 40 a 44 años (157)",1,,,,,1,,
"De 45 a 49 años (158)",1,,,,,,,1
"No PEA (160)",1396,,3,13,59,159,782,380
"De 12 a 14 años (161)",2,,,,,,,2
"De 15 a 19 años (162)",125,,,,,,82,43
"De 20 a 24 años (163)",323,,,,,2,206,115
"De 25 a 29 años (164)",268,,,,,9,200,59
"De 30 a 34 años (165)",185,,,,,26,118,41
"De 35 a 39 años (166)",165,,,,1,37,106,21
"De 40 a 44 años (167)",103,,,,1,35,47,20
"De 45 a 49 años (168)",72,,,,8,31,16,17
"De 50 y más años (169)",153,,3,13,49,19,7,62
