"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Intermediación financiera (101)",105,,,2,7,8,19,20,49
"Activid.inmobil., empres. y de alquiler (102)",1305,1,,44,359,160,262,136,343
"Admin.pub. y defensa; p. segur.soc.afil (103)",819,5,,31,182,77,226,86,212
"Enseñanza (104)",418,,,3,33,21,127,27,207
"Servicios sociales y de salud (105)",155,,,2,8,7,29,6,103
"Otras activ. serv.comun.soc y personales (106)",398,4,1,48,137,38,53,58,59
"Hogares privados con servicio doméstico (107)",34,2,,3,18,4,3,2,2
"Actividad economica no especificada (109)",671,4,1,65,228,62,111,63,137
"Mujeres (110)",9618,298,10,1215,2807,936,1924,653,1775
"Agric., ganadería, caza y silvicultura (111)",77,4,,31,22,5,10,1,4
"Pesca (112)",70,1,,11,24,3,8,6,17
"Explotación de minas y canteras (113)",44,,,1,6,3,10,1,23
"Industrias manufactureras (114)",425,11,3,54,115,48,91,37,66
"Suministro de electricidad, gas y agua (115)",22,,,,2,,5,3,12
"Construcción (116)",91,1,,11,22,8,29,6,14
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",3150,170,3,596,1074,305,526,200,276
"Venta, mant.y rep. veh.autom.y motoc. (118)",53,2,,3,11,5,17,3,12
"Comercio al por mayor (119)",145,,,13,35,23,44,15,15
"Comercio al por menor (120)",2952,168,3,580,1028,277,465,182,249
"Hoteles y restaurantes (121)",1276,52,2,242,511,144,154,82,89
"Trans., almac. y comunicaciones (122)",316,1,,13,85,56,94,25,42
"Intermediación financiera (123)",130,,,1,10,11,39,21,48
"Activid.inmobil., empres. y de alquiler (124)",532,1,,11,77,60,127,60,196
"Admin.pub. y defensa; p. segur.soc.afil (125)",406,2,1,15,75,35,126,40,112
"Enseñanza (126)",994,,,,47,68,334,58,487
"Servicios sociales y de salud (127)",460,8,,18,40,33,132,18,211
"Otras activ. serv.comun.soc y personales (128)",450,14,,49,170,46,83,31,57
"Hogares privados con servicio doméstico (129)",612,19,1,108,355,54,41,17,17
"Actividad economica no especificada (131)",563,14,,54,172,57,115,47,104
,,,,,,,,,
"RURAL (132)",335,1,,37,121,12,66,24,74
"Agric., ganadería, caza y silvicultura (133)",79,1,,26,32,,4,9,7
"Pesca (134)",13,,,1,6,,2,2,2
"Explotación de minas y canteras (135)",5,,,1,2,1,,,1
"Industrias manufactureras (136)",13,,,,12,,1,,
"Construcción (138)",30,,,1,17,4,6,1,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",18,,,1,10,1,2,,4
"Venta, mant.y rep. veh.autom.y motoc. (140)",6,,,,4,1,1,,
"Comercio al por menor (142)",12,,,1,6,,1,,4
"Hoteles y restaurantes (143)",4,,,2,1,,,1,
"Trans., almac. y comunicaciones (144)",10,,,,7,1,1,1,
"Activid.inmobil., empres. y de alquiler (146)",20,,,,6,3,3,4,4
"Admin.pub. y defensa; p. segur.soc.afil (147)",112,,,,18,1,45,3,45
"Enseñanza (148)",8,,,,,,,1,7
"Servicios sociales y de salud (149)",3,,,,,1,1,,1
"Otras activ. serv.comun.soc y personales (150)",8,,,1,4,,1,2,
"Hogares privados con servicio doméstico (151)",2,,,1,1,,,,
"Actividad economica no especificada (153)",10,,,3,5,,,,2
"Hombres (154)",272,,,24,101,12,54,20,61
"Agric., ganadería, caza y silvicultura (155)",53,,,16,21,,4,7,5
"Pesca (156)",12,,,1,6,,1,2,2
"Explotación de minas y canteras (157)",5,,,1,2,1,,,1
"Industrias manufactureras (158)",12,,,,11,,1,,
"Construcción (160)",30,,,1,17,4,6,1,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (161)",12,,,1,8,1,1,,1
"Venta, mant.y rep. veh.autom.y motoc. (162)",6,,,,4,1,1,,
"Comercio al por menor (164)",6,,,1,4,,,,1
"Hoteles y restaurantes (165)",3,,,1,1,,,1,
"Trans., almac. y comunicaciones (166)",10,,,,7,1,1,1,
"Activid.inmobil., empres. y de alquiler (168)",18,,,,6,3,2,3,4
"Admin.pub. y defensa; p. segur.soc.afil (169)",100,,,,17,1,37,3,42
"Enseñanza (170)",3,,,,,,,,3
"Servicios sociales y de salud (171)",2,,,,,1,1,,
"Otras activ. serv.comun.soc y personales (172)",6,,,1,3,,,2,
"Actividad economica no especificada (175)",6,,,2,2,,,,2
"Mujeres (176)",63,1,,13,20,,12,4,13
"Agric., ganadería, caza y silvicultura (177)",26,1,,10,11,,,2,2
"Pesca (178)",1,,,,,,1,,
"Industrias manufactureras (180)",1,,,,1,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (183)",6,,,,2,,1,,3
"Comercio al por menor (186)",6,,,,2,,1,,3
"Hoteles y restaurantes (187)",1,,,1,,,,,
"Activid.inmobil., empres. y de alquiler (190)",2,,,,,,1,1,
"Admin.pub. y defensa; p. segur.soc.afil (191)",12,,,,1,,8,,3
"Enseñanza (192)",5,,,,,,,1,4
"Servicios sociales y de salud (193)",1,,,,,,,,1
"Otras activ. serv.comun.soc y personales (194)",2,,,,1,,1,,
"Hogares privados con servicio doméstico (195)",2,,,1,1,,,,
"Actividad economica no especificada (197)",4,,,1,3,,,,
