"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
"De 20 a 24 años (023)",419,312,,217,73,15,7,,,,107,438
"De 25 a 29 años (024)",570,447,1,191,174,52,27,2,,,123,818
"De 30 a 34 años (025)",564,514,2,116,199,118,70,7,2,,50,1234
"De 35 a 39 años (026)",514,487,3,67,163,141,97,16,,,27,1328
"De 40 a 44 años (027)",413,403,,56,98,118,106,20,2,3,10,1247
"De 45 a 49 años (028)",340,325,,20,55,86,104,49,8,3,15,1263
"De 50 y más años (029)",537,528,1,50,60,63,142,110,61,41,9,2656
"Desocupada (030)",133,108,1,45,23,20,12,4,3,,25,255
"De 15 a 19 años (032)",8,5,,4,1,,,,,,3,6
"De 20 a 24 años (033)",43,31,1,21,6,3,,,,,12,42
"De 25 a 29 años (034)",26,20,,7,6,7,,,,,6,40
"De 30 a 34 años (035)",23,20,,11,4,3,2,,,,3,37
"De 35 a 39 años (036)",11,11,,1,3,4,3,,,,,32
"De 40 a 44 años (037)",10,10,,,2,1,4,3,,,,42
"De 45 a 49 años (038)",8,7,,1,1,1,2,,2,,1,33
"De 50 y más años (039)",4,4,,,,1,1,1,1,,,23
"No PEA (040)",7107,6606,13,1642,1557,1199,1199,527,289,180,501,21372
"De 12 a 14 años (041)",29,11,1,10,,,,,,,18,10
"De 15 a 19 años (042)",390,284,1,256,26,1,,,,,106,311
"De 20 a 24 años (043)",1134,970,4,633,275,49,7,2,,,164,1371
"De 25 a 29 años (044)",1152,1078,3,387,459,172,52,2,3,,74,2075
"De 30 a 34 años (045)",953,916,,146,346,268,140,15,1,,37,2342
"De 35 a 39 años (046)",791,769,,75,182,269,203,38,2,,22,2378
"De 40 a 44 años (047)",686,666,2,44,113,189,232,68,16,2,20,2435
"De 45 a 49 años (048)",506,493,,26,56,114,175,90,27,5,13,2111
"De 50 y más años (049)",1466,1419,2,65,100,137,390,312,240,173,47,8339
,,,,,,,,,,,,
"URBANA (060)",9761,8940,21,2277,2186,1694,1614,644,312,192,821,27623
"De 12 a 14 años (061)",31,12,1,10,1,,,,,,19,12
"De 15 a 19 años (062)",425,312,1,284,24,3,,,,,113,341
"De 20 a 24 años (063)",1443,1186,5,802,307,56,14,2,,,257,1655
"De 25 a 29 años (064)",1617,1425,4,549,578,217,71,4,2,,192,2691
"De 30 a 34 años (065)",1411,1326,2,249,503,359,193,17,3,,85,3297
"De 35 a 39 años (066)",1222,1173,3,136,328,387,275,42,2,,49,3413
"De 40 a 44 años (067)",1023,995,2,95,193,288,315,82,17,3,28,3415
"De 45 a 49 años (068)",789,762,,43,106,194,258,124,31,6,27,3098
"De 50 y más años (069)",1800,1749,3,109,146,190,488,373,257,183,51,9701
"PEA (070)",3442,3068,8,795,811,596,547,200,70,41,374,8907
"De 12 a 14 años (071)",3,1,,,1,,,,,,2,2
"De 15 a 19 años (072)",85,65,,61,2,2,,,,,20,71
"De 20 a 24 años (073)",451,335,1,233,76,18,7,,,,116,469
"De 25 a 29 años (074)",571,447,1,189,172,56,27,2,,,124,824
"De 30 a 34 años (075)",562,511,2,121,194,116,70,6,2,,51,1218
"De 35 a 39 años (076)",507,480,3,65,159,142,96,15,,,27,1311
"De 40 a 44 años (077)",401,392,,55,92,113,104,23,2,3,9,1227
"De 45 a 49 años (078)",338,322,,21,56,85,103,47,8,2,16,1236
"De 50 y más años (079)",524,515,1,50,59,64,140,107,58,36,9,2549
"Ocupada (080)",3313,2964,7,752,789,576,536,196,67,41,349,8660
"De 12 a 14 años (081)",3,1,,,1,,,,,,2,2
"De 15 a 19 años (082)",77,60,,57,1,2,,,,,17,65
"De 20 a 24 años (083)",409,305,,213,70,15,7,,,,104,428
"De 25 a 29 años (084)",545,427,1,182,166,49,27,2,,,118,784
"De 30 a 34 años (085)",541,493,2,111,191,113,68,6,2,,48,1184
"De 35 a 39 años (086)",497,470,3,64,156,138,94,15,,,27,1283
"De 40 a 44 años (087)",391,382,,55,90,112,100,20,2,3,9,1185
"De 45 a 49 años (088)",330,315,,20,55,84,101,47,6,2,15,1203
"De 50 y más años (089)",520,511,1,50,59,63,139,106,57,36,9,2526
"Desocupada (090)",129,104,1,43,22,20,11,4,3,,25,247
"De 15 a 19 años (092)",8,5,,4,1,,,,,,3,6
"De 20 a 24 años (093)",42,30,1,20,6,3,,,,,12,41
"De 25 a 29 años (094)",26,20,,7,6,7,,,,,6,40
"De 30 a 34 años (095)",21,18,,10,3,3,2,,,,3,34
"De 35 a 39 años (096)",10,10,,1,3,4,2,,,,,28
"De 40 a 44 años (097)",10,10,,,2,1,4,3,,,,42
"De 45 a 49 años (098)",8,7,,1,1,1,2,,2,,1,33
"De 50 y más años (099)",4,4,,,,1,1,1,1,,,23
"No PEA (100)",6319,5872,13,1482,1375,1098,1067,444,242,151,447,18716
"De 12 a 14 años (101)",28,11,1,10,,,,,,,17,10
"De 15 a 19 años (102)",340,247,1,223,22,1,,,,,93,270
"De 20 a 24 años (103)",992,851,4,569,231,38,7,2,,,141,1186
"De 25 a 29 años (104)",1046,978,3,360,406,161,44,2,2,,68,1867
"De 30 a 34 años (105)",849,815,,128,309,243,123,11,1,,34,2079
"De 35 a 39 años (106)",715,693,,71,169,245,179,27,2,,22,2102
"De 40 a 44 años (107)",622,603,2,40,101,175,211,59,15,,19,2188
"De 45 a 49 años (108)",451,440,,22,50,109,155,77,23,4,11,1862
"De 50 y más años (109)",1276,1234,2,59,87,126,348,266,199,147,42,7152
,,,,,,,,,,,,
"RURAL (120)",916,851,,184,218,120,150,91,53,35,65,3055
"De 12 a 14 años (121)",1,,,,,,,,,,1,
"De 15 a 19 años (122)",50,37,,33,4,,,,,,13,41
"De 20 a 24 años (123)",153,127,,69,47,11,,,,,26,196
"De 25 a 29 años (124)",131,120,,36,61,14,8,,1,,11,242
"De 30 a 34 años (125)",129,124,,24,46,30,19,5,,,5,316
"De 35 a 39 años (126)",94,94,,7,20,27,28,12,,,,325
"De 40 a 44 años (127)",86,84,,5,20,20,27,9,1,2,2,309
"De 45 a 49 años (128)",65,63,,4,6,7,23,15,6,2,2,309
"De 50 y más años (129)",207,202,,6,14,11,45,50,45,31,5,1317
"PEA (130)",128,117,,24,36,19,18,8,6,6,11,399
"De 20 a 24 años (133)",11,8,,5,3,,,,,,3,11
"De 25 a 29 años (134)",25,20,,9,8,3,,,,,5,34
"De 30 a 34 años (135)",25,23,,6,9,5,2,1,,,2,53
"De 35 a 39 años (136)",18,18,,3,7,3,4,1,,,,49
"De 40 a 44 años (137)",22,21,,1,8,6,6,,,,1,62
"De 45 a 49 años (138)",10,10,,,,2,3,2,2,1,,60
"De 50 y más años (139)",17,17,,,1,,3,4,4,5,,130
"Ocupada (140)",124,113,,22,35,19,17,8,6,6,11,391
"De 20 a 24 años (143)",10,7,,4,3,,,,,,3,10
"De 25 a 29 años (144)",25,20,,9,8,3,,,,,5,34
"De 30 a 34 años (145)",23,21,,5,8,5,2,1,,,2,50
"De 35 a 39 años (146)",17,17,,3,7,3,3,1,,,,45
"De 40 a 44 años (147)",22,21,,1,8,6,6,,,,1,62
"De 45 a 49 años (148)",10,10,,,,2,3,2,2,1,,60
"De 50 y más años (149)",17,17,,,1,,3,4,4,5,,130
"Desocupada (150)",4,4,,2,1,,1,,,,,8
"De 20 a 24 años (153)",1,1,,1,,,,,,,,1
"De 30 a 34 años (155)",2,2,,1,1,,,,,,,3
"De 35 a 39 años (156)",1,1,,,,,1,,,,,4
"No PEA (160)",788,734,,160,182,101,132,83,47,29,54,2656
"De 12 a 14 años (161)",1,,,,,,,,,,1,
"De 15 a 19 años (162)",50,37,,33,4,,,,,,13,41
"De 20 a 24 años (163)",142,119,,64,44,11,,,,,23,185
"De 25 a 29 años (164)",106,100,,27,53,11,8,,1,,6,208
"De 30 a 34 años (165)",104,101,,18,37,25,17,4,,,3,263
"De 35 a 39 años (166)",76,76,,4,13,24,24,11,,,,276
"De 40 a 44 años (167)",64,63,,4,12,14,21,9,1,2,1,247
"De 45 a 49 años (168)",55,53,,4,6,5,20,13,4,1,2,249
"De 50 y más años (169)",190,185,,6,13,11,42,46,41,26,5,1187
