"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Activid.inmobil., empres. y alquileres (037)",16892,28,5187,7036,4183,458
"Admin.pub. y defensa; p. segur.soc afil (038)",9409,,1601,4479,3211,118
"Enseñanza (039)",9846,3,1888,4033,3599,323
"Servicios sociales y de salud (040)",4000,2,724,1635,1460,179
"Otras activ. serv.comun.soc y personales (041)",7451,99,2713,2551,1765,323
"Hogares privados con servicio doméstico (042)",654,81,343,102,96,32
"Actividad economica no especificada (044)",4084,20,1355,1425,1031,253
"Desocupado (045)",12697,68,5463,3822,2820,524
"Mujeres (046)",153070,1250,52127,59402,36334,3957
"Agric., ganadería, caza y silvicultura (047)",10584,102,2611,4082,3207,582
"Pesca (048)",24,,11,9,4,
"Explotación de minas y canteras (049)",378,1,151,160,61,5
"Industrias manufactureras (050)",12666,61,4860,5170,2388,187
"Suministro de electricidad, gas y agua (051)",140,,45,48,45,2
"Construcción (052)",918,1,308,434,157,18
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",41513,395,12697,15662,11012,1747
"Venta, mant.y rep. veh.autom.y motoc. (054)",845,4,319,372,144,6
"Comercio al por mayor (055)",2245,10,883,909,402,41
"Comercio al por menor (056)",38423,381,11495,14381,10466,1700
"Hoteles y restaurantes (057)",12088,147,3858,4329,3357,397
"Trans., almac. y comunicaciones (058)",4695,31,2398,1568,671,27
"Intermediación financiera (059)",1436,,644,593,195,4
"Activid.inmobil., empres. y alquileres (060)",9053,13,3484,3982,1518,56
"Admin.pub. y defensa; p. segur.soc afil (061)",4708,,1541,1970,1179,18
"Enseñanza (062)",15371,,3645,7432,4156,138
"Servicios sociales y de salud (063)",7851,,1954,3224,2601,72
"Otras activ. serv.comun.soc y personales (064)",7134,49,2227,3090,1633,135
"Hogares privados con servicio doméstico (065)",11312,373,5885,2978,1892,184
"Actividad economica no especificada (067)",4500,24,1380,1706,1120,270
"Desocupado (068)",8699,53,4428,2965,1138,115
,,,,,,
"URBANA (069)",352436,2604,115357,134616,88012,11847
"Agric., ganadería, caza y silvicultura (070)",22315,234,5379,7794,6998,1910
"Pesca (071)",192,,58,83,51,
"Explotación de minas y canteras (072)",4325,8,1361,1953,939,64
"Industrias manufactureras (073)",37136,230,14274,13949,7641,1042
"Suministro de electricidad, gas y agua (074)",974,,224,357,349,44
"Construcción (075)",22658,65,6666,9151,5957,819
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",76472,821,24361,28202,19652,3436
"Venta, mant.y rep. veh.autom.y motoc. (077)",9460,61,3948,3365,1886,200
"Comercio al por mayor (078)",5108,22,1949,2051,993,93
"Comercio al por menor (079)",61904,738,18464,22786,16773,3143
"Hoteles y restaurantes (080)",17991,269,6866,5823,4450,583
"Trans., almac. y comunicaciones (081)",34909,171,11688,13974,8302,774
"Intermediación financiera (082)",2993,,1143,1319,510,21
"Activid.inmobil., empres. y alquileres (083)",25817,41,8621,10974,5673,508
"Admin.pub. y defensa; p. segur.soc afil (084)",13941,,3076,6372,4359,134
"Enseñanza (085)",25091,3,5501,11409,7718,460
"Servicios sociales y de salud (086)",11785,2,2655,4827,4050,251
"Otras activ. serv.comun.soc y personales (087)",14437,146,4882,5591,3369,449
"Hogares privados con servicio doméstico (088)",11876,451,6176,3060,1974,215
"Actividad economica no especificada (090)",8414,44,2672,3083,2106,509
"Desocupado (091)",21110,119,9754,6695,3914,628
"Hombres (092)",202432,1392,64280,76284,52441,8035
"Agric., ganadería, caza y silvicultura (093)",13580,159,3315,4366,4300,1440
"Pesca (094)",169,,48,74,47,
"Explotación de minas y canteras (095)",3970,7,1220,1798,884,61
"Industrias manufactureras (096)",24665,171,9520,8833,5285,856
"Suministro de electricidad, gas y agua (097)",836,,180,310,304,42
"Construcción (098)",21749,64,6360,8723,5801,801
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",35289,429,11768,12666,8726,1700
"Venta, mant.y rep. veh.autom.y motoc. (100)",8625,57,3635,2995,1743,195
"Comercio al por mayor (101)",2880,12,1072,1148,596,52
"Comercio al por menor (102)",23784,360,7061,8523,6387,1453
"Hoteles y restaurantes (103)",6042,124,3062,1539,1127,190
"Trans., almac. y comunicaciones (104)",30236,140,9300,12413,7635,748
"Intermediación financiera (105)",1561,,501,728,315,17
"Activid.inmobil., empres. y alquileres (106)",16791,28,5151,7001,4158,453
"Admin.pub. y defensa; p. segur.soc afil (107)",9257,,1548,4411,3181,117
"Enseñanza (108)",9812,3,1884,4020,3582,323
"Servicios sociales y de salud (109)",3973,2,715,1623,1454,179
"Otras activ. serv.comun.soc y personales (110)",7345,97,2670,2515,1748,315
"Hogares privados con servicio doméstico (111)",645,80,339,101,94,31
"Actividad economica no especificada (113)",4017,20,1324,1407,1017,249
"Desocupado (114)",12495,68,5375,3756,2783,513
"Mujeres (115)",150004,1212,51077,58332,35571,3812
"Agric., ganadería, caza y silvicultura (116)",8735,75,2064,3428,2698,470
"Pesca (117)",23,,10,9,4,
"Explotación de minas y canteras (118)",355,1,141,155,55,3
"Industrias manufactureras (119)",12471,59,4754,5116,2356,186
"Suministro de electricidad, gas y agua (120)",138,,44,47,45,2
"Construcción (121)",909,1,306,428,156,18
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",41183,392,12593,15536,10926,1736
"Venta, mant.y rep. veh.autom.y motoc. (123)",835,4,313,370,143,5
"Comercio al por mayor (124)",2228,10,877,903,397,41
"Comercio al por menor (125)",38120,378,11403,14263,10386,1690
"Hoteles y restaurantes (126)",11949,145,3804,4284,3323,393
"Trans., almac. y comunicaciones (127)",4673,31,2388,1561,667,26
"Intermediación financiera (128)",1432,,642,591,195,4
"Activid.inmobil., empres. y alquileres (129)",9026,13,3470,3973,1515,55
"Admin.pub. y defensa; p. segur.soc afil (130)",4684,,1528,1961,1178,17
"Enseñanza (131)",15279,,3617,7389,4136,137
"Servicios sociales y de salud (132)",7812,,1940,3204,2596,72
"Otras activ. serv.comun.soc y personales (133)",7092,49,2212,3076,1621,134
"Hogares privados con servicio doméstico (134)",11231,371,5837,2959,1880,184
"Actividad economica no especificada (136)",4397,24,1348,1676,1089,260
"Desocupado (137)",8615,51,4379,2939,1131,115
,,,,,,
"RURAL (138)",9661,107,3049,3201,2500,804
"Agric., ganadería, caza y silvicultura (139)",6102,73,1640,1937,1753,699
"Pesca (140)",9,,4,3,2,
"Explotación de minas y canteras (141)",520,1,213,211,86,9
"Industrias manufactureras (142)",613,12,285,196,104,16
"Suministro de electricidad, gas y agua (143)",21,,7,7,6,1
"Construcción (144)",202,,70,79,48,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (145)",556,10,181,197,145,23
"Venta, mant.y rep. veh.autom.y motoc. (146)",71,,33,23,13,2
"Comercio al por mayor (147)",41,,16,10,14,1
"Comercio al por menor (148)",444,10,132,164,118,20
"Hoteles y restaurantes (149)",171,3,67,56,41,4
"Trans., almac. y comunicaciones (150)",269,1,97,93,75,3
"Intermediación financiera (151)",8,,4,3,1,
"Activid.inmobil., empres. y alquileres (152)",128,,50,44,28,6
"Admin.pub. y defensa; p. segur.soc afil (153)",176,,66,77,31,2
"Enseñanza (154)",126,,32,56,37,1
"Servicios sociales y de salud (155)",66,,23,32,11,
"Otras activ. serv.comun.soc y personales (156)",148,2,58,50,29,9
"Hogares privados con servicio doméstico (157)",90,3,52,20,14,1
"Actividad economica no especificada (159)",170,,63,48,45,14
"Desocupado (160)",286,2,137,92,44,11
"Hombres (161)",6595,69,1999,2131,1737,659
"Agric., ganadería, caza y silvicultura (162)",4253,46,1093,1283,1244,587
"Pesca (163)",8,,3,3,2,
"Explotación de minas y canteras (164)",497,1,203,206,80,7
"Industrias manufactureras (165)",418,10,179,142,72,15
"Suministro de electricidad, gas y agua (166)",19,,6,6,6,1
"Construcción (167)",193,,68,73,47,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (168)",226,7,77,71,59,12
"Venta, mant.y rep. veh.autom.y motoc. (169)",61,,27,21,12,1
"Comercio al por mayor (170)",24,,10,4,9,1
"Comercio al por menor (171)",141,7,40,46,38,10
"Hoteles y restaurantes (172)",32,1,13,11,7,
"Trans., almac. y comunicaciones (173)",247,1,87,86,71,2
"Intermediación financiera (174)",4,,2,1,1,
"Activid.inmobil., empres. y alquileres (175)",101,,36,35,25,5
"Admin.pub. y defensa; p. segur.soc afil (176)",152,,53,68,30,1
"Enseñanza (177)",34,,4,13,17,
"Servicios sociales y de salud (178)",27,,9,12,6,
"Otras activ. serv.comun.soc y personales (179)",106,2,43,36,17,8
"Hogares privados con servicio doméstico (180)",9,1,4,1,2,1
"Actividad economica no especificada (182)",67,,31,18,14,4
"Desocupado (183)",202,,88,66,37,11
"Mujeres (184)",3066,38,1050,1070,763,145
"Agric., ganadería, caza y silvicultura (185)",1849,27,547,654,509,112
"Pesca (186)",1,,1,,,
"Explotación de minas y canteras (187)",23,,10,5,6,2
"Industrias manufactureras (188)",195,2,106,54,32,1
"Suministro de electricidad, gas y agua (189)",2,,1,1,,
"Construcción (190)",9,,2,6,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (191)",330,3,104,126,86,11
"Venta, mant.y rep. veh.autom.y motoc. (192)",10,,6,2,1,1
"Comercio al por mayor (193)",17,,6,6,5,
"Comercio al por menor (194)",303,3,92,118,80,10
"Hoteles y restaurantes (195)",139,2,54,45,34,4
"Trans., almac. y comunicaciones (196)",22,,10,7,4,1
"Intermediación financiera (197)",4,,2,2,,
"Activid.inmobil., empres. y alquileres (198)",27,,14,9,3,1
"Admin.pub. y defensa; p. segur.soc afil (199)",24,,13,9,1,1
"Enseñanza (200)",92,,28,43,20,1
"Servicios sociales y de salud (201)",39,,14,20,5,
"Otras activ. serv.comun.soc y personales (202)",42,,15,14,12,1
"Hogares privados con servicio doméstico (203)",81,2,48,19,12,
"Actividad economica no especificada (205)",103,,32,30,31,10
"Desocupado (206)",84,2,49,26,7,
