"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"Sin nivel (061)",506,464,35,3,4
"Educación inicial (062)",14,14,,,
"Primaria (063)",1796,1621,136,18,21
"Secundaria (064)",1904,1568,174,74,88
"Superior no univ. incompleta (065)",200,138,15,21,26
"Superior no univ. completa (066)",661,253,99,148,161
"Superior univ. incompleta (067)",122,61,10,19,32
"Superior univ. completa (068)",566,144,95,176,151
"De 06 a 14 años (070)",184,166,16,2,
"Sin nivel (071)",1,1,,,
"Educación inicial (072)",4,4,,,
"Primaria (073)",121,110,10,1,
"Secundaria (074)",58,51,6,1,
"De 15 a 29 años (080)",1727,1329,166,106,126
"Sin nivel (081)",26,24,,,2
"Educación inicial (082)",7,7,,,
"Primaria (083)",311,274,28,5,4
"Secundaria (084)",967,823,91,24,29
"Superior no univ. incompleta (085)",79,66,3,3,7
"Superior no univ. completa (086)",179,80,24,34,41
"Superior univ. incompleta (087)",44,22,2,8,12
"Superior univ. completa (088)",114,33,18,32,31
"De 30 a 44 años (090)",2201,1414,254,260,273
"Sin nivel (091)",116,100,13,2,1
"Educación inicial (092)",3,3,,,
"Primaria (093)",620,554,51,8,7
"Secundaria (094)",608,474,57,37,40
"Superior no univ. incompleta (095)",91,55,9,12,15
"Superior no univ. completa (096)",380,127,60,88,105
"Superior univ. incompleta (097)",52,30,4,4,14
"Superior univ. completa (098)",331,71,60,109,91
"De 45 a 64 años (100)",1353,1066,117,88,82
"Sin nivel (101)",238,218,18,1,1
"Primaria (103)",601,547,42,3,9
"Secundaria (104)",247,198,19,11,19
"Superior no univ. incompleta (105)",28,17,2,6,3
"Superior no univ. completa (106)",96,40,15,26,15
"Superior univ. incompleta (107)",26,9,4,7,6
"Superior univ. completa (108)",117,37,17,34,29
"De 65 y más años (110)",304,288,11,3,2
"Sin nivel (111)",125,121,4,,
"Primaria (113)",143,136,5,1,1
"Secundaria (114)",24,22,1,1,
"Superior no univ. incompleta (115)",2,,1,,1
"Superior no univ. completa (116)",6,6,,,
"Superior univ. completa (118)",4,3,,1,
,,,,,
"RURAL (120)",17350,15922,1015,193,220
"Sin nivel (121)",4121,3951,145,12,13
"Educación inicial (122)",32,30,1,,1
"Primaria (123)",9273,8625,503,59,86
"Secundaria (124)",3443,3050,266,54,73
"Superior no univ. incompleta (125)",147,102,25,9,11
"Superior no univ. completa (126)",172,89,39,29,15
"Superior univ. incompleta (127)",43,32,4,5,2
"Superior univ. completa (128)",119,43,32,25,19
"De 06 a 14 años (130)",384,373,11,,
"Sin nivel (131)",41,41,,,
"Educación inicial (132)",12,12,,,
"Primaria (133)",284,275,9,,
"Secundaria (134)",47,45,2,,
"De 15 a 29 años (140)",4232,3821,276,70,65
"Sin nivel (141)",171,162,6,1,2
"Educación inicial (142)",9,9,,,
"Primaria (143)",2008,1889,97,11,11
"Secundaria (144)",1876,1664,142,36,34
"Superior no univ. incompleta (145)",63,45,9,5,4
"Superior no univ. completa (146)",57,30,13,7,7
"Superior univ. incompleta (147)",15,11,1,2,1
"Superior univ. completa (148)",33,11,8,8,6
"De 30 a 44 años (150)",5619,5079,365,76,99
"Sin nivel (151)",917,864,45,3,5
"Educación inicial (152)",11,9,1,,1
"Primaria (153)",3352,3102,182,24,44
"Secundaria (154)",1111,983,87,13,28
"Superior no univ. incompleta (155)",68,47,11,3,7
"Superior no univ. completa (156)",81,38,20,18,5
"Superior univ. incompleta (157)",21,17,1,3,
"Superior univ. completa (158)",58,19,18,12,9
"De 45 a 64 años (160)",5186,4802,292,43,49
"Sin nivel (161)",1857,1783,63,7,4
"Primaria (163)",2884,2658,178,21,27
"Secundaria (164)",365,317,32,5,11
"Superior no univ. incompleta (165)",16,10,5,1,
"Superior no univ. completa (166)",30,18,6,4,2
"Superior univ. incompleta (167)",7,4,2,,1
"Superior univ. completa (168)",27,12,6,5,4
"De 65 y más años (170)",1929,1847,71,4,7
"Sin nivel (171)",1135,1101,31,1,2
"Primaria (173)",745,701,37,3,4
"Secundaria (174)",44,41,3,,
"Superior no univ. completa (176)",4,3,,,1
"Superior univ. completa (178)",1,1,,,
