"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Otras activ. serv.comun.soc y personales (040)",582,8,193,235,120,26
"Hogares privados con servicio doméstico (041)",32,,20,8,3,1
"Actividad economica no especificada (043)",338,5,106,128,72,27
"Mujeres (045)",8708,103,3263,3417,1714,211
"Agric., ganadería, caza y silvicultura (046)",186,11,67,52,44,12
"Pesca (047)",189,3,82,76,27,1
"Explotación de minas y canteras (048)",1,,1,,,
"Industrias manufactureras (049)",1862,2,796,764,287,13
"Suministro de electricidad, gas y agua (050)",13,,4,9,,
"Construcción (051)",37,2,13,19,3,
"Comerc., rep. veh. autom.,motoc. efect. pers. (052)",2309,31,667,943,578,90
"Venta, mant.y rep. veh.autom.y motoc. (053)",37,1,22,9,5,
"Comercio al por mayor (054)",166,3,60,74,28,1
"Comercio al por menor (055)",2106,27,585,860,545,89
"Hoteles y restaurantes (056)",871,13,269,336,221,32
"Trans., almac. y comunicaciones (057)",204,1,116,70,15,2
"Intermediación financiera (058)",38,,20,12,6,
"Activid.inmobil., empres. y alquileres (059)",320,1,151,125,43,
"Admin.pub. y defensa; p. segur.soc.afil (060)",401,,188,151,61,1
"Enseñanza (061)",731,,238,336,150,7
"Servicios sociales y de salud (062)",188,,53,100,34,1
"Otras activ. serv.comun.soc y personales (063)",295,6,113,113,53,10
"Hogares privados con servicio doméstico (064)",575,26,305,149,85,10
"Actividad economica no especificada (066)",488,7,180,162,107,32
,,,,,,
"URBANA (067)",33112,429,12270,12088,7154,1171
"Agric., ganadería, caza y silvicultura (068)",4486,74,1332,1280,1325,475
"Pesca (069)",5067,94,2182,1843,847,101
"Explotación de minas y canteras (070)",36,1,13,16,5,1
"Industrias manufactureras (071)",5937,41,2556,2283,980,77
"Suministro de electricidad, gas y agua (072)",93,1,27,37,27,1
"Construcción (073)",1505,9,492,590,381,33
"Comerc., rep. veh. autom.,motoc. efect. pers. (074)",4649,117,1460,1684,1182,206
"Venta, mant.y rep. veh.autom.y motoc. (075)",464,5,208,137,103,11
"Comercio al por mayor (076)",421,6,157,166,88,4
"Comercio al por menor (077)",3764,106,1095,1381,991,191
"Hoteles y restaurantes (078)",1156,25,386,408,298,39
"Trans., almac. y comunicaciones (079)",3809,10,1545,1469,724,61
"Intermediación financiera (080)",67,,32,22,13,
"Activid.inmobil., empres. y alquileres (081)",1515,4,591,580,304,36
"Admin.pub. y defensa; p. segur.soc.afil (082)",1166,,388,474,283,21
"Enseñanza (083)",1066,1,295,480,279,11
"Servicios sociales y de salud (084)",286,,76,136,70,4
"Otras activ. serv.comun.soc y personales (085)",866,14,302,344,170,36
"Hogares privados con servicio doméstico (086)",590,26,311,154,88,11
"Actividad economica no especificada (088)",818,12,282,288,178,58
"Hombres (089)",24583,328,9081,8735,5477,962
"Agric., ganadería, caza y silvicultura (090)",4330,65,1276,1238,1288,463
"Pesca (091)",4884,91,2103,1770,820,100
"Explotación de minas y canteras (092)",36,1,13,16,5,1
"Industrias manufactureras (093)",4113,39,1781,1531,697,65
"Suministro de electricidad, gas y agua (094)",80,1,23,28,27,1
"Construcción (095)",1469,7,479,572,378,33
"Comerc., rep. veh. autom.,motoc. efect. pers. (096)",2387,86,805,760,620,116
"Venta, mant.y rep. veh.autom.y motoc. (097)",428,4,187,128,98,11
"Comercio al por mayor (098)",259,3,97,95,61,3
"Comercio al por menor (099)",1700,79,521,537,461,102
"Hoteles y restaurantes (100)",291,12,117,75,79,8
"Trans., almac. y comunicaciones (101)",3607,9,1429,1401,709,59
"Intermediación financiera (102)",29,,12,10,7,
"Activid.inmobil., empres. y alquileres (103)",1202,3,445,456,262,36
"Admin.pub. y defensa; p. segur.soc.afil (104)",769,,202,324,223,20
"Enseñanza (105)",353,1,61,152,135,4
"Servicios sociales y de salud (106)",98,,23,36,36,3
"Otras activ. serv.comun.soc y personales (107)",572,8,189,232,117,26
"Hogares privados con servicio doméstico (108)",32,,20,8,3,1
"Actividad economica no especificada (110)",331,5,103,126,71,26
"Mujeres (112)",8529,101,3189,3353,1677,209
"Agric., ganadería, caza y silvicultura (113)",156,9,56,42,37,12
"Pesca (114)",183,3,79,73,27,1
"Industrias manufactureras (116)",1824,2,775,752,283,12
"Suministro de electricidad, gas y agua (117)",13,,4,9,,
"Construcción (118)",36,2,13,18,3,
"Comerc., rep. veh. autom.,motoc. efect. pers. (119)",2262,31,655,924,562,90
"Venta, mant.y rep. veh.autom.y motoc. (120)",36,1,21,9,5,
"Comercio al por mayor (121)",162,3,60,71,27,1
"Comercio al por menor (122)",2064,27,574,844,530,89
"Hoteles y restaurantes (123)",865,13,269,333,219,31
"Trans., almac. y comunicaciones (124)",202,1,116,68,15,2
"Intermediación financiera (125)",38,,20,12,6,
"Activid.inmobil., empres. y alquileres (126)",313,1,146,124,42,
"Admin.pub. y defensa; p. segur.soc.afil (127)",397,,186,150,60,1
"Enseñanza (128)",713,,234,328,144,7
"Servicios sociales y de salud (129)",188,,53,100,34,1
"Otras activ. serv.comun.soc y personales (130)",294,6,113,112,53,10
"Hogares privados con servicio doméstico (131)",558,26,291,146,85,10
"Actividad economica no especificada (133)",487,7,179,162,107,32
,,,,,,
"RURAL (134)",1490,30,550,514,316,80
"Agric., ganadería, caza y silvicultura (135)",856,27,284,270,204,71
"Pesca (136)",50,1,29,15,5,
"Explotación de minas y canteras (137)",45,,8,20,16,1
"Industrias manufactureras (138)",143,,80,50,12,1
"Suministro de electricidad, gas y agua (139)",15,,1,6,7,1
"Construcción (140)",52,,20,26,5,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (141)",117,2,36,46,32,1
"Venta, mant.y rep. veh.autom.y motoc. (142)",7,,4,2,1,
"Comercio al por mayor (143)",26,,8,9,9,
"Comercio al por menor (144)",84,2,24,35,22,1
"Hoteles y restaurantes (145)",11,,3,5,2,1
"Trans., almac. y comunicaciones (146)",71,,37,24,9,1
"Activid.inmobil., empres. y alquileres (148)",52,,23,23,5,1
"Admin.pub. y defensa; p. segur.soc.afil (149)",18,,3,10,5,
"Enseñanza (150)",24,,4,10,10,
"Otras activ. serv.comun.soc y personales (152)",11,,4,4,3,
"Hogares privados con servicio doméstico (153)",17,,14,3,,
"Actividad economica no especificada (155)",8,,4,2,1,1
"Hombres (156)",1311,28,476,450,279,78
"Agric., ganadería, caza y silvicultura (157)",826,25,273,260,197,71
"Pesca (158)",44,1,26,12,5,
"Explotación de minas y canteras (159)",44,,7,20,16,1
"Industrias manufactureras (160)",105,,59,38,8,
"Suministro de electricidad, gas y agua (161)",15,,1,6,7,1
"Construcción (162)",51,,20,25,5,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (163)",70,2,24,27,16,1
"Venta, mant.y rep. veh.autom.y motoc. (164)",6,,3,2,1,
"Comercio al por mayor (165)",22,,8,6,8,
"Comercio al por menor (166)",42,2,13,19,7,1
"Hoteles y restaurantes (167)",5,,3,2,,
"Trans., almac. y comunicaciones (168)",69,,37,22,9,1
"Activid.inmobil., empres. y alquileres (170)",45,,18,22,4,1
"Admin.pub. y defensa; p. segur.soc.afil (171)",14,,1,9,4,
"Enseñanza (172)",6,,,2,4,
"Otras activ. serv.comun.soc y personales (174)",10,,4,3,3,
"Actividad economica no especificada (177)",7,,3,2,1,1
"Mujeres (179)",179,2,74,64,37,2
"Agric., ganadería, caza y silvicultura (180)",30,2,11,10,7,
"Pesca (181)",6,,3,3,,
"Explotación de minas y canteras (182)",1,,1,,,
"Industrias manufactureras (183)",38,,21,12,4,1
"Construcción (185)",1,,,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (186)",47,,12,19,16,
"Venta, mant.y rep. veh.autom.y motoc. (187)",1,,1,,,
"Comercio al por mayor (188)",4,,,3,1,
"Comercio al por menor (189)",42,,11,16,15,
"Hoteles y restaurantes (190)",6,,,3,2,1
"Trans., almac. y comunicaciones (191)",2,,,2,,
"Activid.inmobil., empres. y alquileres (193)",7,,5,1,1,
"Admin.pub. y defensa; p. segur.soc.afil (194)",4,,2,1,1,
"Enseñanza (195)",18,,4,8,6,
"Otras activ. serv.comun.soc y personales (197)",1,,,1,,
"Hogares privados con servicio doméstico (198)",17,,14,3,,
"Actividad economica no especificada (200)",1,,1,,,
