"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"URBANA (060)",13922,10595,1592,916,819
"Sin nivel (061)",1185,1122,54,6,3
"Educación inicial (062)",17,13,3,1,
"Primaria (063)",3491,3173,222,56,40
"Secundaria (064)",4955,4154,481,164,156
"Superior no univ. incompleta (065)",724,535,88,49,52
"Superior no univ. completa (066)",2020,967,411,343,299
"Superior univ. incompleta (067)",329,199,64,26,40
"Superior univ. completa (068)",1201,432,269,271,229
"De 06 a 14 años (070)",268,242,25,1,
"Sin nivel (071)",3,3,,,
"Educación inicial (072)",5,3,2,,
"Primaria (073)",153,142,11,,
"Secundaria (074)",107,94,12,1,
"De 15 a 29 años (080)",3584,2753,459,211,161
"Sin nivel (081)",40,37,1,1,1
"Educación inicial (082)",3,2,,1,
"Primaria (083)",400,348,32,16,4
"Secundaria (084)",1889,1575,211,74,29
"Superior no univ. incompleta (085)",325,256,40,11,18
"Superior no univ. completa (086)",599,351,112,76,60
"Superior univ. incompleta (087)",106,77,16,3,10
"Superior univ. completa (088)",222,107,47,29,39
"De 30 a 44 años (090)",4851,3350,668,435,398
"Sin nivel (091)",145,136,8,,1
"Educación inicial (092)",9,8,1,,
"Primaria (093)",909,803,77,14,15
"Secundaria (094)",1730,1463,157,50,60
"Superior no univ. incompleta (095)",259,185,35,25,14
"Superior no univ. completa (096)",1082,487,224,196,175
"Superior univ. incompleta (097)",127,63,34,16,14
"Superior univ. completa (098)",590,205,132,134,119
"De 45 a 64 años (100)",3687,2809,379,254,245
"Sin nivel (101)",450,420,25,4,1
"Primaria (103)",1261,1158,68,18,17
"Secundaria (104)",1067,876,97,35,59
"Superior no univ. incompleta (105)",131,88,12,13,18
"Superior no univ. completa (106)",323,115,74,70,64
"Superior univ. incompleta (107)",90,53,14,7,16
"Superior univ. completa (108)",365,99,89,107,70
"De 65 y más años (110)",1532,1441,61,15,15
"Sin nivel (111)",547,526,20,1,
"Primaria (113)",768,722,34,8,4
"Secundaria (114)",162,146,4,4,8
"Superior no univ. incompleta (115)",9,6,1,,2
"Superior no univ. completa (116)",16,14,1,1,
"Superior univ. incompleta (117)",6,6,,,
"Superior univ. completa (118)",24,21,1,1,1
,,,,,
"RURAL (120)",9658,8098,949,372,239
"Sin nivel (121)",1163,1117,35,10,1
"Educación inicial (122)",6,6,,,
"Primaria (123)",3706,3368,206,91,41
"Secundaria (124)",3615,2854,441,201,119
"Superior no univ. incompleta (125)",273,192,55,15,11
"Superior no univ. completa (126)",480,313,104,28,35
"Superior univ. incompleta (127)",148,109,22,9,8
"Superior univ. completa (128)",267,139,86,18,24
"De 06 a 14 años (130)",165,159,6,,
"Sin nivel (131)",10,10,,,
"Educación inicial (132)",2,2,,,
"Primaria (133)",114,110,4,,
"Secundaria (134)",39,37,2,,
"De 15 a 29 años (140)",2807,2096,422,202,87
"Sin nivel (141)",59,55,3,1,
"Educación inicial (142)",2,2,,,
"Primaria (143)",606,499,61,37,9
"Secundaria (144)",1740,1287,270,134,49
"Superior no univ. incompleta (145)",116,78,24,11,3
"Superior no univ. completa (146)",176,118,32,11,15
"Superior univ. incompleta (147)",53,31,15,4,3
"Superior univ. completa (148)",55,26,17,4,8
"De 30 a 44 años (150)",2878,2315,343,117,103
"Sin nivel (151)",176,168,5,3,
"Educación inicial (152)",2,2,,,
"Primaria (153)",1011,892,73,32,14
"Secundaria (154)",1154,922,128,52,52
"Superior no univ. incompleta (155)",122,88,25,3,6
"Superior no univ. completa (156)",223,138,55,14,16
"Superior univ. incompleta (157)",46,35,5,3,3
"Superior univ. completa (158)",144,70,52,10,12
"De 45 a 64 años (160)",2499,2260,147,48,44
"Sin nivel (161)",462,439,16,6,1
"Primaria (163)",1217,1137,50,17,13
"Secundaria (164)",612,540,39,15,18
"Superior no univ. incompleta (165)",31,22,6,1,2
"Superior no univ. completa (166)",70,46,17,3,4
"Superior univ. incompleta (167)",43,37,2,2,2
"Superior univ. completa (168)",64,39,17,4,4
"De 65 y más años (170)",1309,1268,31,5,5
"Sin nivel (171)",456,445,11,,
"Primaria (173)",758,730,18,5,5
"Secundaria (174)",70,68,2,,
"Superior no univ. incompleta (175)",4,4,,,
"Superior no univ. completa (176)",11,11,,,
"Superior univ. incompleta (177)",6,6,,,
"Superior univ. completa (178)",4,4,,,
