"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"De 35 a 39 años (176)",10,9,,2,4,3,,,,,1,19
"De 40 a 44 años (177)",11,11,,1,3,5,2,,,,,30
"De 45 a 49 años (178)",8,8,,3,3,1,1,,,,,17
"De 50 y más años (179)",11,11,,1,4,3,1,2,,,,35
"Sup. Univ. completa (180)",230,185,21,50,53,40,13,7,1,,45,384
"De 20 a 24 años (183)",10,3,2,1,,,,,,,7,1
"De 25 a 29 años (184)",35,22,5,14,2,1,,,,,13,21
"De 30 a 34 años (185)",43,32,3,12,11,3,2,1,,,11,57
"De 35 a 39 años (186)",37,32,3,4,17,7,,1,,,5,65
"De 40 a 44 años (187)",25,23,,4,8,9,1,1,,,2,57
"De 45 a 49 años (188)",28,25,3,8,10,1,2,1,,,3,45
"De 50 y más años (189)",52,48,5,7,5,19,8,3,1,,4,138
,,,,,,,,,,,,
"RURAL (200)",1599,1505,374,221,225,158,216,143,88,80,94,4669
"De 12 a 14 años (201)",120,120,119,1,,,,,,,,1
"De 15 a 19 años (202)",203,198,164,29,5,,,,,,5,39
"De 20 a 24 años (203)",179,151,56,62,29,3,1,,,,28,133
"De 25 a 29 años (204)",146,121,7,50,44,16,4,,,,25,202
"De 30 a 34 años (205)",145,131,2,33,46,30,18,2,,,14,302
