"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"URBANA (060)",5402,3843,552,468,539
"Sin nivel (061)",233,210,16,4,3
"Educación inicial (062)",5,5,,,
"Primaria (063)",1180,1083,53,20,24
"Secundaria (064)",1398,1121,101,74,102
"Superior no univ. incompleta (065)",427,293,56,27,51
"Superior no univ. completa (066)",1142,668,163,139,172
"Superior univ. incompleta (067)",226,136,28,27,35
"Superior univ. completa (068)",791,327,135,177,152
"De 06 a 14 años (070)",84,81,2,1,
"Primaria (073)",41,39,1,1,
"Secundaria (074)",43,42,1,,
"De 15 a 29 años (080)",1507,1133,157,68,149
"Sin nivel (081)",30,28,1,,1
"Educación inicial (082)",4,4,,,
"Primaria (083)",255,234,13,3,5
"Secundaria (084)",511,436,43,12,20
"Superior no univ. incompleta (085)",171,131,20,5,15
"Superior no univ. completa (086)",286,170,46,23,47
"Superior univ. incompleta (087)",74,54,10,4,6
"Superior univ. completa (088)",176,76,24,21,55
"De 30 a 44 años (090)",2145,1356,254,263,272
"Sin nivel (091)",74,68,3,2,1
"Educación inicial (092)",1,1,,,
"Primaria (093)",313,280,16,7,10
"Secundaria (094)",505,379,34,44,48
"Superior no univ. incompleta (095)",182,113,27,17,25
"Superior no univ. completa (096)",574,322,76,72,104
"Superior univ. incompleta (097)",99,49,16,15,19
"Superior univ. completa (098)",397,144,82,106,65
"De 45 a 64 años (100)",1359,992,127,133,107
"Sin nivel (101)",90,78,9,2,1
"Primaria (103)",411,380,18,6,7
"Secundaria (104)",291,221,21,18,31
"Superior no univ. incompleta (105)",63,39,8,5,11
"Superior no univ. completa (106)",259,156,41,44,18
"Superior univ. incompleta (107)",45,26,2,8,9
"Superior univ. completa (108)",200,92,28,50,30
"De 65 y más años (110)",307,281,12,3,11
"Sin nivel (111)",39,36,3,,
"Primaria (113)",160,150,5,3,2
"Secundaria (114)",48,43,2,,3
"Superior no univ. incompleta (115)",11,10,1,,
"Superior no univ. completa (116)",23,20,,,3
"Superior univ. incompleta (117)",8,7,,,1
"Superior univ. completa (118)",18,15,1,,2
,,,,,
"RURAL (120)",25912,24311,1045,213,343
"Sin nivel (121)",4829,4716,98,7,8
"Educación inicial (122)",40,40,,,
"Primaria (123)",15282,14684,507,50,41
"Secundaria (124)",4109,3810,198,35,66
"Superior no univ. incompleta (125)",364,285,29,12,38
"Superior no univ. completa (126)",763,475,111,49,128
"Superior univ. incompleta (127)",159,118,18,12,11
"Superior univ. completa (128)",366,183,84,48,51
"De 06 a 14 años (130)",727,697,29,,1
"Sin nivel (131)",71,69,2,,
"Educación inicial (132)",8,8,,,
"Primaria (133)",585,559,25,,1
"Secundaria (134)",63,61,2,,
"De 15 a 29 años (140)",8750,8164,411,67,108
"Sin nivel (141)",746,723,22,,1
"Educación inicial (142)",24,24,,,
"Primaria (143)",4806,4596,187,12,11
"Secundaria (144)",2586,2405,134,24,23
"Superior no univ. incompleta (145)",185,157,17,4,7
"Superior no univ. completa (146)",265,170,33,15,47
"Superior univ. incompleta (147)",63,46,7,4,6
"Superior univ. completa (148)",75,43,11,8,13
"De 30 a 44 años (150)",7646,7051,345,97,153
"Sin nivel (151)",1351,1308,34,3,6
"Educación inicial (152)",8,8,,,
"Primaria (153)",4490,4309,145,20,16
"Secundaria (154)",1082,1008,44,7,23
"Superior no univ. incompleta (155)",112,83,9,7,13
"Superior no univ. completa (156)",340,200,55,23,62
"Superior univ. incompleta (157)",61,44,6,7,4
"Superior univ. completa (158)",202,91,52,30,29
"De 45 a 64 años (160)",6528,6190,219,44,75
"Sin nivel (161)",1680,1648,28,3,1
"Primaria (163)",4190,4044,123,14,9
"Secundaria (164)",339,299,17,4,19
"Superior no univ. incompleta (165)",59,37,3,1,18
"Superior no univ. completa (166)",141,90,22,11,18
"Superior univ. incompleta (167)",32,25,5,1,1
"Superior univ. completa (168)",87,47,21,10,9
"De 65 y más años (170)",2261,2209,41,5,6
"Sin nivel (171)",981,968,12,1,
"Primaria (173)",1211,1176,27,4,4
"Secundaria (174)",39,37,1,,1
"Superior no univ. incompleta (175)",8,8,,,
"Superior no univ. completa (176)",17,15,1,,1
"Superior univ. incompleta (177)",3,3,,,
"Superior univ. completa (178)",2,2,,,
