"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Otras activ. serv.comun.soc y personales (041)",515,3,112,142,162,96
"Hogares privados con servicio doméstico (042)",38,7,11,9,8,3
"Actividad economica no especificada (044)",474,,48,82,162,182
"Desocupado (045)",1016,4,398,332,239,43
"Mujeres (046)",8058,48,2331,3148,2152,379
"Agric., ganadería, caza y silvicultura (047)",2204,17,701,835,555,96
"Pesca (048)",33,,13,14,5,1
"Explotación de minas y canteras (049)",4,,2,,2,
"Industrias manufactureras (050)",249,,65,95,82,7
"Suministro de electricidad, gas y agua (051)",4,,2,,2,
"Construcción (052)",38,,17,16,5,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",1890,9,443,726,607,105
"Venta, mant.y rep. veh.autom.y motoc. (054)",42,,22,12,7,1
"Comercio al por mayor (055)",75,,26,28,19,2
"Comercio al por menor (056)",1773,9,395,686,581,102
"Hoteles y restaurantes (057)",749,7,190,257,259,36
"Trans., almac. y comunicaciones (058)",228,,99,100,27,2
"Intermediación financiera (059)",38,,17,14,7,
"Activid.inmobil., empres. y alquileres (060)",223,,90,97,34,2
"Admin.pub. y defensa; p. segur.soc afil (061)",190,,51,80,56,3
"Enseñanza (062)",609,,112,370,122,5
"Servicios sociales y de salud (063)",193,,44,81,67,1
"Otras activ. serv.comun.soc y personales (064)",427,5,75,139,123,85
"Hogares privados con servicio doméstico (065)",340,7,141,117,70,5
"Actividad economica no especificada (067)",225,,74,80,48,23
"Desocupado (068)",414,3,195,127,81,8
,,,,,,
"URBANA (069)",20071,110,5480,7537,5750,1194
"Agric., ganadería, caza y silvicultura (070)",4828,36,1343,1719,1409,321
"Pesca (071)",838,1,244,375,198,20
"Explotación de minas y canteras (072)",105,,34,46,24,1
"Industrias manufactureras (073)",1047,5,295,351,352,44
"Suministro de electricidad, gas y agua (074)",55,,8,21,22,4
"Construcción (075)",1017,6,264,415,299,33
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",3230,18,856,1199,970,187
"Venta, mant.y rep. veh.autom.y motoc. (077)",513,1,197,191,113,11
"Comercio al por mayor (078)",162,2,54,67,35,4
"Comercio al por menor (079)",2555,15,605,941,822,172
"Hoteles y restaurantes (080)",997,13,282,332,326,44
"Trans., almac. y comunicaciones (081)",1961,6,560,830,512,53
"Intermediación financiera (082)",68,,24,26,18,
"Activid.inmobil., empres. y alquileres (083)",817,,232,372,193,20
"Admin.pub. y defensa; p. segur.soc afil (084)",645,,119,268,245,13
"Enseñanza (085)",895,,160,506,217,12
"Servicios sociales y de salud (086)",280,,53,113,108,6
"Otras activ. serv.comun.soc y personales (087)",915,7,181,270,278,179
"Hogares privados con servicio doméstico (088)",369,11,151,124,76,7
"Actividad economica no especificada (090)",683,,118,156,206,203
"Desocupado (091)",1321,7,556,414,297,47
"Hombres (092)",12706,70,3359,4649,3768,860
"Agric., ganadería, caza y silvicultura (093)",3123,24,792,1072,977,258
"Pesca (094)",806,1,231,362,193,19
"Explotación de minas y canteras (095)",101,,32,46,22,1
"Industrias manufactureras (096)",809,5,234,258,275,37
"Suministro de electricidad, gas y agua (097)",51,,6,21,20,4
"Construcción (098)",980,6,247,399,295,33
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",1404,10,426,500,377,91
"Venta, mant.y rep. veh.autom.y motoc. (100)",472,1,175,179,107,10
"Comercio al por mayor (101)",91,2,29,41,16,3
"Comercio al por menor (102)",841,7,222,280,254,78
"Hoteles y restaurantes (103)",269,6,99,80,75,9
"Trans., almac. y comunicaciones (104)",1736,6,464,730,485,51
"Intermediación financiera (105)",30,,7,12,11,
"Activid.inmobil., empres. y alquileres (106)",599,,145,276,159,19
"Admin.pub. y defensa; p. segur.soc afil (107)",466,,72,193,191,10
"Enseñanza (108)",298,,52,141,98,7
"Servicios sociales y de salud (109)",97,,14,36,42,5
"Otras activ. serv.comun.soc y personales (110)",499,3,108,137,157,94
"Hogares privados con servicio doméstico (111)",35,5,10,9,8,3
"Actividad economica no especificada (113)",467,,48,79,160,180
"Desocupado (114)",936,4,372,298,223,39
"Mujeres (115)",7365,40,2121,2888,1982,334
"Agric., ganadería, caza y silvicultura (116)",1705,12,551,647,432,63
"Pesca (117)",32,,13,13,5,1
"Explotación de minas y canteras (118)",4,,2,,2,
"Industrias manufactureras (119)",238,,61,93,77,7
"Suministro de electricidad, gas y agua (120)",4,,2,,2,
"Construcción (121)",37,,17,16,4,
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",1826,8,430,699,593,96
"Venta, mant.y rep. veh.autom.y motoc. (123)",41,,22,12,6,1
"Comercio al por mayor (124)",71,,25,26,19,1
"Comercio al por menor (125)",1714,8,383,661,568,94
"Hoteles y restaurantes (126)",728,7,183,252,251,35
"Trans., almac. y comunicaciones (127)",225,,96,100,27,2
"Intermediación financiera (128)",38,,17,14,7,
"Activid.inmobil., empres. y alquileres (129)",218,,87,96,34,1
"Admin.pub. y defensa; p. segur.soc afil (130)",179,,47,75,54,3
"Enseñanza (131)",597,,108,365,119,5
"Servicios sociales y de salud (132)",183,,39,77,66,1
"Otras activ. serv.comun.soc y personales (133)",416,4,73,133,121,85
"Hogares privados con servicio doméstico (134)",334,6,141,115,68,4
"Actividad economica no especificada (136)",216,,70,77,46,23
"Desocupado (137)",385,3,184,116,74,8
,,,,,,
"RURAL (138)",2630,35,761,943,680,211
"Agric., ganadería, caza y silvicultura (139)",1655,28,445,538,466,178
"Pesca (140)",196,1,38,110,44,3
"Explotación de minas y canteras (141)",111,,49,47,15,
"Industrias manufactureras (142)",108,1,42,31,32,2
"Suministro de electricidad, gas y agua (143)",3,,1,,2,
"Construcción (144)",30,,7,10,12,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (145)",110,1,31,39,28,11
"Venta, mant.y rep. veh.autom.y motoc. (146)",17,,10,4,3,
"Comercio al por mayor (147)",6,,1,2,1,2
"Comercio al por menor (148)",87,1,20,33,24,9
"Hoteles y restaurantes (149)",36,,13,11,11,1
"Trans., almac. y comunicaciones (150)",53,,21,19,10,3
"Intermediación financiera (151)",1,,,,1,
"Activid.inmobil., empres. y alquileres (152)",56,,24,22,7,3
"Admin.pub. y defensa; p. segur.soc afil (153)",80,,30,40,10,
"Enseñanza (154)",18,,5,8,5,
"Servicios sociales y de salud (155)",12,,7,4,1,
"Otras activ. serv.comun.soc y personales (156)",27,1,6,11,7,2
"Hogares privados con servicio doméstico (157)",9,3,1,2,2,1
"Actividad economica no especificada (159)",16,,4,6,4,2
"Desocupado (160)",109,,37,45,23,4
"Hombres (161)",1937,27,551,683,510,166
"Agric., ganadería, caza y silvicultura (162)",1156,23,295,350,343,145
"Pesca (163)",195,1,38,109,44,3
"Explotación de minas y canteras (164)",111,,49,47,15,
"Industrias manufactureras (165)",97,1,38,29,27,2
"Suministro de electricidad, gas y agua (166)",3,,1,,2,
"Construcción (167)",29,,7,10,11,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (168)",46,,18,12,14,2
"Venta, mant.y rep. veh.autom.y motoc. (169)",16,,10,4,2,
"Comercio al por mayor (170)",2,,,,1,1
"Comercio al por menor (171)",28,,8,8,11,1
"Hoteles y restaurantes (172)",15,,6,6,3,
"Trans., almac. y comunicaciones (173)",50,,18,19,10,3
"Intermediación financiera (174)",1,,,,1,
"Activid.inmobil., empres. y alquileres (175)",51,,21,21,7,2
"Admin.pub. y defensa; p. segur.soc afil (176)",69,,26,35,8,
"Enseñanza (177)",6,,1,3,2,
"Servicios sociales y de salud (178)",2,,2,,,
"Otras activ. serv.comun.soc y personales (179)",16,,4,5,5,2
"Hogares privados con servicio doméstico (180)",3,2,1,,,
"Actividad economica no especificada (182)",7,,,3,2,2
"Desocupado (183)",80,,26,34,16,4
"Mujeres (184)",693,8,210,260,170,45
"Agric., ganadería, caza y silvicultura (185)",499,5,150,188,123,33
"Pesca (186)",1,,,1,,
"Industrias manufactureras (188)",11,,4,2,5,
"Construcción (190)",1,,,,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (191)",64,1,13,27,14,9
"Venta, mant.y rep. veh.autom.y motoc. (192)",1,,,,1,
"Comercio al por mayor (193)",4,,1,2,,1
"Comercio al por menor (194)",59,1,12,25,13,8
"Hoteles y restaurantes (195)",21,,7,5,8,1
"Trans., almac. y comunicaciones (196)",3,,3,,,
"Activid.inmobil., empres. y alquileres (198)",5,,3,1,,1
"Admin.pub. y defensa; p. segur.soc afil (199)",11,,4,5,2,
"Enseñanza (200)",12,,4,5,3,
"Servicios sociales y de salud (201)",10,,5,4,1,
"Otras activ. serv.comun.soc y personales (202)",11,1,2,6,2,
"Hogares privados con servicio doméstico (203)",6,1,,2,2,1
"Actividad economica no especificada (205)",9,,4,3,2,
"Desocupado (206)",29,,11,11,7,
