"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
"De 25 a 29 años (044)",8539,,,,,494,5279,2766
"De 30 a 34 años (045)",8173,,,,2,1372,4893,1906
"De 35 a 39 años (046)",7623,,,,73,2414,3686,1450
"De 40 a 44 años (047)",6674,,,1,541,2998,1876,1258
"De 45 a 49 años (048)",5528,,,35,1297,2616,602,978
"De 50 y más años (049)",25981,823,3108,6956,6953,2543,121,5477
,,,,,,,,
"URBANA (060)",104536,817,3279,8281,12784,21279,30297,27799
"De 12 a 14 años (061)",115,,,,,,5,110
"De 15 a 19 años (062)",2118,,,,,,1196,922
"De 20 a 24 años (063)",9183,,,,,38,4780,4365
"De 25 a 29 años (064)",12750,,,,,797,7108,4845
"De 30 a 34 años (065)",13110,,,,2,2442,7150,3516
"De 35 a 39 años (066)",13258,,,,168,4359,5845,2886
"De 40 a 44 años (067)",11905,,,3,992,5334,3140,2436
"De 45 a 49 años (068)",9778,,,86,2290,4585,924,1893
"De 50 y más años (069)",32319,817,3279,8192,9332,3724,149,6826
"PEA (070)",38317,38,344,1707,4538,9877,10768,11045
"De 12 a 14 años (071)",15,,,,,,1,14
"De 15 a 19 años (072)",369,,,,,,209,160
"De 20 a 24 años (073)",2887,,,,,16,1264,1607
"De 25 a 29 años (074)",4883,,,,,346,2315,2222
"De 30 a 34 años (075)",5494,,,,,1160,2637,1697
"De 35 a 39 años (076)",6211,,,,101,2154,2462,1494
"De 40 a 44 años (077)",5675,,,2,482,2553,1419,1219
"De 45 a 49 años (078)",4645,,,52,1059,2166,413,955
"De 50 y más años (079)",8138,38,344,1653,2896,1482,48,1677
"Ocupada (080)",37002,35,338,1684,4452,9628,10368,10497
"De 12 a 14 años (081)",14,,,,,,1,13
"De 15 a 19 años (082)",333,,,,,,194,139
"De 20 a 24 años (083)",2676,,,,,15,1179,1482
"De 25 a 29 años (084)",4610,,,,,332,2208,2070
"De 30 a 34 años (085)",5279,,,,,1126,2539,1614
"De 35 a 39 años (086)",6030,,,,98,2097,2406,1429
"De 40 a 44 años (087)",5530,,,2,472,2488,1384,1184
"De 45 a 49 años (088)",4538,,,51,1036,2118,410,923
"De 50 y más años (089)",7992,35,338,1631,2846,1452,47,1643
"Desocupada (090)",1315,3,6,23,86,249,400,548
"De 12 a 14 años (091)",1,,,,,,,1
"De 15 a 19 años (092)",36,,,,,,15,21
"De 20 a 24 años (093)",211,,,,,1,85,125
"De 25 a 29 años (094)",273,,,,,14,107,152
"De 30 a 34 años (095)",215,,,,,34,98,83
"De 35 a 39 años (096)",181,,,,3,57,56,65
"De 40 a 44 años (097)",145,,,,10,65,35,35
"De 45 a 49 años (098)",107,,,1,23,48,3,32
"De 50 y más años (099)",146,3,6,22,50,30,1,34
"No PEA (100)",66219,779,2935,6574,8246,11402,19529,16754
"De 12 a 14 años (101)",100,,,,,,4,96
"De 15 a 19 años (102)",1749,,,,,,987,762
"De 20 a 24 años (103)",6296,,,,,22,3516,2758
"De 25 a 29 años (104)",7867,,,,,451,4793,2623
"De 30 a 34 años (105)",7616,,,,2,1282,4513,1819
"De 35 a 39 años (106)",7047,,,,67,2205,3383,1392
"De 40 a 44 años (107)",6230,,,1,510,2781,1721,1217
"De 45 a 49 años (108)",5133,,,34,1231,2419,511,938
"De 50 y más años (109)",24181,779,2935,6539,6436,2242,101,5149
,,,,,,,,
"RURAL (120)",6452,45,183,478,769,1383,2379,1215
"De 12 a 14 años (121)",4,,,,,,,4
"De 15 a 19 años (122)",180,,,,,,120,60
"De 20 a 24 años (123)",730,,,,,5,480,245
"De 25 a 29 años (124)",812,,,,,51,574,187
"De 30 a 34 años (125)",734,,,,,128,479,127
"De 35 a 39 años (126)",752,,,,9,276,380,87
"De 40 a 44 años (127)",598,,,,44,280,209,65
"De 45 a 49 años (128)",534,,,2,86,274,111,61
"De 50 y más años (129)",2108,45,183,476,630,369,26,379
"PEA (130)",1257,1,10,60,149,323,435,279
"De 15 a 19 años (132)",29,,,,,,13,16
"De 20 a 24 años (133)",134,,,,,2,78,54
"De 25 a 29 años (134)",140,,,,,8,88,44
"De 30 a 34 años (135)",177,,,,,38,99,40
"De 35 a 39 años (136)",176,,,,3,67,77,29
"De 40 a 44 años (137)",154,,,,13,63,54,24
"De 45 a 49 años (138)",139,,,1,20,77,20,21
"De 50 y más años (139)",308,1,10,59,113,68,6,51
"Ocupada (140)",1242,1,10,59,149,321,430,272
"De 15 a 19 años (142)",28,,,,,,12,16
"De 20 a 24 años (143)",131,,,,,2,76,53
"De 25 a 29 años (144)",136,,,,,8,87,41
"De 30 a 34 años (145)",176,,,,,38,99,39
"De 35 a 39 años (146)",174,,,,3,67,77,27
"De 40 a 44 años (147)",153,,,,13,63,53,24
"De 45 a 49 años (148)",138,,,1,20,76,20,21
"De 50 y más años (149)",306,1,10,58,113,67,6,51
"Desocupada (150)",15,,,1,,2,5,7
"De 15 a 19 años (152)",1,,,,,,1,
"De 20 a 24 años (153)",3,,,,,,2,1
"De 25 a 29 años (154)",4,,,,,,1,3
"De 30 a 34 años (155)",1,,,,,,,1
"De 35 a 39 años (156)",2,,,,,,,2
"De 40 a 44 años (157)",1,,,,,,1,
"De 45 a 49 años (158)",1,,,,,1,,
"De 50 y más años (159)",2,,,1,,1,,
"No PEA (160)",5195,44,173,418,620,1060,1944,936
"De 12 a 14 años (161)",4,,,,,,,4
"De 15 a 19 años (162)",151,,,,,,107,44
"De 20 a 24 años (163)",596,,,,,3,402,191
"De 25 a 29 años (164)",672,,,,,43,486,143
"De 30 a 34 años (165)",557,,,,,90,380,87
"De 35 a 39 años (166)",576,,,,6,209,303,58
"De 40 a 44 años (167)",444,,,,31,217,155,41
"De 45 a 49 años (168)",395,,,1,66,197,91,40
"De 50 y más años (169)",1800,44,173,417,517,301,20,328
