"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
"Trabajador(a) del hogar (044)",172,4,,54,103,7,,1,3
"Pensionista (045)",154,4,,37,55,6,10,18,24
"Otro(a) no pariente (046)",1900,121,15,503,799,99,114,95,154
"Hombres (048)",44538,3766,1412,14194,17206,2138,1781,1544,2497
"Jefe o Jefa (049)",16519,590,7,4341,6898,1005,1119,760,1799
"Esposa(o)/ compa¤era(o) (050)",1367,53,4,347,629,89,83,55,107
"Hijo(a)/ hijastro(a) (051)",19020,2279,1134,7081,6678,684,347,511,306
"Yerno/ nuera (052)",540,7,1,76,276,52,43,27,58
"Nieto(a) (053)",1555,399,171,643,284,25,11,15,7
"Padres/ suegros (054)",385,85,,207,71,3,3,5,11
"Otro(a) pariente (055)",3908,283,91,1179,1798,216,113,105,123
"Trabajador(a) del hogar (056)",24,,,6,15,2,,1,
"Pensionista (057)",92,2,,23,35,3,8,11,10
"Otro(a) no pariente (058)",1128,68,4,291,522,59,54,54,76
"Mujeres (060)",44190,5385,1417,14924,15109,1927,1975,1212,2241
"Jefe o Jefa (061)",7235,1024,8,2187,2343,352,488,215,618
"Esposa(o)/ compa¤era(o) (062)",12489,1253,37,3803,4651,567,825,354,999
"Hijo(a)/ hijastro(a) (063)",17431,2027,1107,6668,5659,738,415,441,376
"Yerno/ nuera (064)",581,6,2,97,332,51,37,32,24
"Nieto(a) (065)",1516,373,163,623,306,19,7,17,8
"Padres/ suegros (066)",669,330,,239,84,2,7,3,4
"Otro(a) pariente (067)",3287,313,89,1033,1349,150,134,102,117
"Trabajador(a) del hogar (068)",148,4,,48,88,5,,,3
"Pensionista (069)",62,2,,14,20,3,2,7,14
"Otro(a) no pariente (070)",772,53,11,212,277,40,60,41,78
,,,,,,,,,
"RURAL (072)",67100,12496,1442,30928,18776,1202,889,571,796
"Jefe o Jefa (073)",19337,3048,7,8993,5881,378,389,208,433
"Esposa(o)/ compa¤era(o) (074)",11878,2866,30,5472,3026,151,164,57,112
"Hijo(a)/ hijastro(a) (075)",27675,4955,1187,13039,7342,535,227,253,137
"Yerno/ nuera (076)",605,20,2,166,350,23,15,10,19
"Nieto(a) (077)",1721,518,127,807,257,6,3,2,1
"Padres/ suegros (078)",499,298,,174,18,1,6,,2
"Otro(a) pariente (079)",3755,617,82,1590,1239,78,68,32,49
"Trabajador(a) del hogar (080)",151,31,1,46,70,3,,,
"Pensionista (081)",74,10,,27,29,2,,,6
"Otro(a) no pariente (082)",1405,133,6,614,564,25,17,9,37
"Hombres (084)",37233,5465,689,17171,11745,721,549,369,524
"Jefe o Jefa (085)",16365,2066,5,7813,5297,319,322,183,360
"Esposa(o)/ compa¤era(o) (086)",367,49,,138,157,3,8,3,9
"Hijo(a)/ hijastro(a) (087)",15429,2567,581,7089,4513,317,138,146,78
"Yerno/ nuera (088)",253,4,1,56,166,7,7,4,8
"Nieto(a) (089)",931,274,61,423,166,2,3,2,
"Padres/ suegros (090)",223,85,,119,13,1,3,,2
"Otro(a) pariente (091)",2377,313,40,963,898,49,56,23,35
"Trabajador(a) del hogar (092)",34,3,,6,22,3,,,
"Pensionista (093)",61,9,,23,22,2,,,5
"Otro(a) no pariente (094)",1193,95,1,541,491,18,12,8,27
"Mujeres (096)",29867,7031,753,13757,7031,481,340,202,272
"Jefe o Jefa (097)",2972,982,2,1180,584,59,67,25,73
"Esposa(o)/ compa¤era(o) (098)",11511,2817,30,5334,2869,148,156,54,103
"Hijo(a)/ hijastro(a) (099)",12246,2388,606,5950,2829,218,89,107,59
"Yerno/ nuera (100)",352,16,1,110,184,16,8,6,11
"Nieto(a) (101)",790,244,66,384,91,4,,,1
"Padres/ suegros (102)",276,213,,55,5,,3,,
"Otro(a) pariente (103)",1378,304,42,627,341,29,12,9,14
"Trabajador(a) del hogar (104)",117,28,1,40,48,,,,
"Pensionista (105)",13,1,,4,7,,,,1
"Otro(a) no pariente (106)",212,38,5,73,73,7,5,1,10
