"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Otras activ. serv.comun.soc y personales (041)",159,3,64,55,29,8
"Hogares privados con servicio doméstico (042)",31,4,17,5,5,
"Actividad economica no especificada (044)",313,4,128,97,62,22
"Desocupado (045)",635,33,300,183,94,25
"Mujeres (046)",8877,307,3472,2914,1782,402
"Agric., ganadería, caza y silvicultura (047)",4561,223,1712,1308,1041,277
"Pesca (048)",1,,1,,,
"Explotación de minas y canteras (049)",5,,1,1,3,
"Industrias manufactureras (050)",161,1,54,58,45,3
"Suministro de electricidad, gas y agua (051)",2,,2,,,
"Construcción (052)",11,,6,4,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",734,20,235,324,136,19
"Venta, mant.y rep. veh.autom.y motoc. (054)",11,,6,3,2,
"Comercio al por mayor (055)",36,1,11,19,4,1
"Comercio al por menor (056)",687,19,218,302,130,18
"Hoteles y restaurantes (057)",386,15,142,117,103,9
"Trans., almac. y comunicaciones (058)",31,2,19,8,1,1
"Intermediación financiera (059)",3,,2,1,,
"Activid.inmobil., empres. y alquileres (060)",105,,69,29,7,
"Admin.pub. y defensa; p. segur.soc afil (061)",43,,18,20,5,
"Enseñanza (062)",916,,329,468,116,3
"Servicios sociales y de salud (063)",141,,74,61,5,1
"Otras activ. serv.comun.soc y personales (064)",129,4,48,51,25,1
"Hogares privados con servicio doméstico (065)",418,23,251,84,51,9
"Actividad economica no especificada (067)",1029,,376,349,230,74
"Desocupado (068)",201,19,133,31,13,5
,,,,,,
"URBANA (069)",7802,152,2723,2765,1774,388
"Agric., ganadería, caza y silvicultura (070)",2643,62,828,752,735,266
"Pesca (071)",2,,1,1,,
"Explotación de minas y canteras (072)",5,,2,3,,
"Industrias manufactureras (073)",327,5,120,105,87,10
"Suministro de electricidad, gas y agua (074)",33,,18,8,7,
"Construcción (075)",420,1,153,165,93,8
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",1151,43,347,444,270,47
"Venta, mant.y rep. veh.autom.y motoc. (077)",100,1,53,31,15,
"Comercio al por mayor (078)",70,1,24,34,9,2
"Comercio al por menor (079)",981,41,270,379,246,45
"Hoteles y restaurantes (080)",293,15,107,89,77,5
"Trans., almac. y comunicaciones (081)",457,3,209,179,61,5
"Intermediación financiera (082)",8,,3,4,1,
"Activid.inmobil., empres. y alquileres (083)",194,,99,62,32,1
"Admin.pub. y defensa; p. segur.soc afil (084)",259,,101,101,53,4
"Enseñanza (085)",860,,204,479,174,3
"Servicios sociales y de salud (086)",151,,50,74,22,5
"Otras activ. serv.comun.soc y personales (087)",197,3,82,71,34,7
"Hogares privados con servicio doméstico (088)",178,9,120,28,19,2
"Actividad economica no especificada (090)",366,1,146,123,77,19
"Desocupado (091)",258,10,133,77,32,6
"Hombres (092)",5404,104,1825,1857,1303,315
"Agric., ganadería, caza y silvicultura (093)",2282,51,735,642,626,228
"Pesca (094)",1,,,1,,
"Explotación de minas y canteras (095)",5,,2,3,,
"Industrias manufactureras (096)",238,5,90,73,61,9
"Suministro de electricidad, gas y agua (097)",31,,16,8,7,
"Construcción (098)",414,1,149,163,93,8
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",713,29,212,258,182,32
"Venta, mant.y rep. veh.autom.y motoc. (100)",92,1,49,29,13,
"Comercio al por mayor (101)",52,,18,25,8,1
"Comercio al por menor (102)",569,28,145,204,161,31
"Hoteles y restaurantes (103)",76,6,28,23,17,2
"Trans., almac. y comunicaciones (104)",427,2,190,171,60,4
"Intermediación financiera (105)",5,,1,3,1,
"Activid.inmobil., empres. y alquileres (106)",109,,45,37,26,1
"Admin.pub. y defensa; p. segur.soc afil (107)",227,,88,87,48,4
"Enseñanza (108)",392,,73,222,97,
"Servicios sociales y de salud (109)",73,,14,37,18,4
"Otras activ. serv.comun.soc y personales (110)",98,1,45,31,15,6
"Hogares privados con servicio doméstico (111)",6,1,4,,1,
"Actividad economica no especificada (113)",134,1,58,39,25,11
"Desocupado (114)",173,7,75,59,26,6
"Mujeres (115)",2398,48,898,908,471,73
"Agric., ganadería, caza y silvicultura (116)",361,11,93,110,109,38
"Pesca (117)",1,,1,,,
"Industrias manufactureras (119)",89,,30,32,26,1
"Suministro de electricidad, gas y agua (120)",2,,2,,,
"Construcción (121)",6,,4,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",438,14,135,186,88,15
"Venta, mant.y rep. veh.autom.y motoc. (123)",8,,4,2,2,
"Comercio al por mayor (124)",18,1,6,9,1,1
"Comercio al por menor (125)",412,13,125,175,85,14
"Hoteles y restaurantes (126)",217,9,79,66,60,3
"Trans., almac. y comunicaciones (127)",30,1,19,8,1,1
"Intermediación financiera (128)",3,,2,1,,
"Activid.inmobil., empres. y alquileres (129)",85,,54,25,6,
"Admin.pub. y defensa; p. segur.soc afil (130)",32,,13,14,5,
"Enseñanza (131)",468,,131,257,77,3
"Servicios sociales y de salud (132)",78,,36,37,4,1
"Otras activ. serv.comun.soc y personales (133)",99,2,37,40,19,1
"Hogares privados con servicio doméstico (134)",172,8,116,28,18,2
"Actividad economica no especificada (136)",232,,88,84,52,8
"Desocupado (137)",85,3,58,18,6,
,,,,,,
"RURAL (138)",36873,1181,14333,11278,7735,2346
"Agric., ganadería, caza y silvicultura (139)",31972,1084,12415,9415,6873,2185
"Pesca (140)",5,,4,1,,
"Explotación de minas y canteras (141)",14,,3,5,5,1
"Industrias manufactureras (142)",256,4,78,105,59,10
"Suministro de electricidad, gas y agua (143)",27,,18,6,3,
"Construcción (144)",251,1,96,95,53,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (145)",811,16,236,368,169,22
"Venta, mant.y rep. veh.autom.y motoc. (146)",34,,19,11,4,
"Comercio al por mayor (147)",58,,13,30,13,2
"Comercio al por menor (148)",719,16,204,327,152,20
"Hoteles y restaurantes (149)",194,6,72,56,52,8
"Trans., almac. y comunicaciones (150)",332,3,169,130,29,1
"Intermediación financiera (151)",1,,1,,,
"Activid.inmobil., empres. y alquileres (152)",42,,26,10,5,1
"Admin.pub. y defensa; p. segur.soc afil (153)",57,,21,29,7,
"Enseñanza (154)",879,,296,454,128,1
"Servicios sociales y de salud (155)",116,,62,48,5,1
"Otras activ. serv.comun.soc y personales (156)",91,4,30,35,20,2
"Hogares privados con servicio doméstico (157)",271,18,148,61,37,7
"Actividad economica no especificada (159)",976,3,358,323,215,77
"Desocupado (160)",578,42,300,137,75,24
"Hombres (161)",30394,922,11759,9272,6424,2017
"Agric., ganadería, caza y silvicultura (162)",27772,872,10796,8217,5941,1946
"Pesca (163)",5,,4,1,,
"Explotación de minas y canteras (164)",9,,2,4,2,1
"Industrias manufactureras (165)",184,3,54,79,40,8
"Suministro de electricidad, gas y agua (166)",27,,18,6,3,
"Construcción (167)",246,1,94,93,52,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (168)",515,10,136,230,121,18
"Venta, mant.y rep. veh.autom.y motoc. (169)",31,,17,10,4,
"Comercio al por mayor (170)",40,,8,20,10,2
"Comercio al por menor (171)",444,10,111,200,107,16
"Hoteles y restaurantes (172)",25,,9,5,9,2
"Trans., almac. y comunicaciones (173)",331,2,169,130,29,1
"Intermediación financiera (174)",1,,1,,,
"Activid.inmobil., empres. y alquileres (175)",22,,11,6,4,1
"Admin.pub. y defensa; p. segur.soc afil (176)",46,,16,23,7,
"Enseñanza (177)",431,,98,243,89,1
"Servicios sociales y de salud (178)",53,,24,24,4,1
"Otras activ. serv.comun.soc y personales (179)",61,2,19,24,14,2
"Hogares privados con servicio doméstico (180)",25,3,13,5,4,
"Actividad economica no especificada (182)",179,3,70,58,37,11
"Desocupado (183)",462,26,225,124,68,19
"Mujeres (184)",6479,259,2574,2006,1311,329
"Agric., ganadería, caza y silvicultura (185)",4200,212,1619,1198,932,239
"Explotación de minas y canteras (187)",5,,1,1,3,
"Industrias manufactureras (188)",72,1,24,26,19,2
"Construcción (190)",5,,2,2,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (191)",296,6,100,138,48,4
"Venta, mant.y rep. veh.autom.y motoc. (192)",3,,2,1,,
"Comercio al por mayor (193)",18,,5,10,3,
"Comercio al por menor (194)",275,6,93,127,45,4
"Hoteles y restaurantes (195)",169,6,63,51,43,6
"Trans., almac. y comunicaciones (196)",1,1,,,,
"Activid.inmobil., empres. y alquileres (198)",20,,15,4,1,
"Admin.pub. y defensa; p. segur.soc afil (199)",11,,5,6,,
"Enseñanza (200)",448,,198,211,39,
"Servicios sociales y de salud (201)",63,,38,24,1,
"Otras activ. serv.comun.soc y personales (202)",30,2,11,11,6,
"Hogares privados con servicio doméstico (203)",246,15,135,56,33,7
"Actividad economica no especificada (205)",797,,288,265,178,66
"Desocupado (206)",116,16,75,13,7,5
