"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"Mujeres (044)",6620,5471,336,357,456
"Agric., ganadería, caza y silvicultura (045)",2530,2441,66,21,2
"Industrias manufactureras (048)",115,105,9,1,
"Suministro de electricidad, gas y agua (049)",2,,,2,
"Construcción (050)",14,6,4,4,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",988,954,31,3,
"Venta, mant.y rep. veh.autom y motoc. (052)",18,18,,,
"Comercio al por mayor (053)",29,29,,,
"Comercio al por menor (054)",941,907,31,3,
"Hoteles y restaurantes (055)",495,468,24,3,
"Trans., almac. y comunicaciones (056)",63,52,4,5,2
"Intermediación financiera (057)",9,2,2,2,3
"Activid.inmobil., empres. y alquileres (058)",109,73,5,19,12
"Admin.pub. y defensa; p. segur soc.afil (059)",134,,,,134
"Enseñanza (060)",779,250,141,245,143
"Servicios sociales y de salud (061)",194,32,13,9,140
"Otras activ. serv.comun.soc y personales (062)",189,165,9,11,4
"Hogares privados con servicio doméstico (063)",481,481,,,
"Actividad economica no especificada (065)",518,442,28,32,16
,,,,,
"URBANA (066)",12143,9223,1038,852,1030
"Agric., ganadería, caza y silvicultura (067)",3616,3184,326,79,27
"Pesca (068)",5,5,,,
"Explotación de minas y canteras (069)",6,5,,,1
"Industrias manufactureras (070)",469,424,37,4,4
"Suministro de electricidad, gas y agua (071)",26,5,2,16,3
"Construcción (072)",477,356,77,34,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",2144,2021,102,19,2
"Venta, mant.y rep. veh.autom y motoc. (074)",230,210,18,,2
"Comercio al por mayor (075)",66,58,4,4,
"Comercio al por menor (076)",1848,1753,80,15,
"Hoteles y restaurantes (077)",605,565,36,4,
"Trans., almac. y comunicaciones (078)",1072,922,69,46,35
"Intermediación financiera (079)",25,7,7,4,7
"Activid.inmobil., empres. y alquileres (080)",379,241,33,71,34
"Admin.pub. y defensa; p. segur soc.afil (081)",407,,,,407
"Enseñanza (082)",1244,321,225,451,247
"Servicios sociales y de salud (083)",301,61,19,16,205
"Otras activ. serv.comun.soc y personales (084)",384,291,41,33,19
"Hogares privados con servicio doméstico (085)",400,400,,,
"Actividad economica no especificada (087)",583,415,64,75,29
"Hombres (088)",8248,6343,765,513,627
"Agric., ganadería, caza y silvicultura (089)",3222,2835,296,66,25
"Pesca (090)",5,5,,,
"Explotación de minas y canteras (091)",6,5,,,1
"Industrias manufactureras (092)",361,326,28,3,4
"Suministro de electricidad, gas y agua (093)",24,5,2,14,3
"Construcción (094)",463,350,73,30,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",1223,1133,72,16,2
"Venta, mant.y rep. veh.autom y motoc. (096)",214,194,18,,2
"Comercio al por mayor (097)",39,31,4,4,
"Comercio al por menor (098)",970,908,50,12,
"Hoteles y restaurantes (099)",142,129,12,1,
"Trans., almac. y comunicaciones (100)",1010,871,65,41,33
"Intermediación financiera (101)",17,5,5,2,5
"Activid.inmobil., empres. y alquileres (102)",273,169,28,53,23
"Admin.pub. y defensa; p. segur soc.afil (103)",283,,,,283
"Enseñanza (104)",575,128,106,214,127
"Servicios sociales y de salud (105)",130,33,6,8,83
"Otras activ. serv.comun.soc y personales (106)",199,130,32,22,15
"Hogares privados con servicio doméstico (107)",16,16,,,
"Actividad economica no especificada (109)",299,203,40,43,13
"Mujeres (110)",3895,2880,273,339,403
"Agric., ganadería, caza y silvicultura (111)",394,349,30,13,2
"Industrias manufactureras (114)",108,98,9,1,
"Suministro de electricidad, gas y agua (115)",2,,,2,
"Construcción (116)",14,6,4,4,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",921,888,30,3,
"Venta, mant.y rep. veh.autom y motoc. (118)",16,16,,,
"Comercio al por mayor (119)",27,27,,,
"Comercio al por menor (120)",878,845,30,3,
"Hoteles y restaurantes (121)",463,436,24,3,
"Trans., almac. y comunicaciones (122)",62,51,4,5,2
"Intermediación financiera (123)",8,2,2,2,2
"Activid.inmobil., empres. y alquileres (124)",106,72,5,18,11
"Admin.pub. y defensa; p. segur soc.afil (125)",124,,,,124
"Enseñanza (126)",669,193,119,237,120
"Servicios sociales y de salud (127)",171,28,13,8,122
"Otras activ. serv.comun.soc y personales (128)",185,161,9,11,4
"Hogares privados con servicio doméstico (129)",384,384,,,
"Actividad economica no especificada (131)",284,212,24,32,16
,,,,,
"RURAL (132)",12096,11364,510,81,141
"Agric., ganadería, caza y silvicultura (133)",10806,10378,380,47,1
"Pesca (134)",4,3,1,,
"Industrias manufactureras (136)",81,70,9,1,1
"Construcción (138)",78,57,18,3,
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",157,151,6,,
"Venta, mant.y rep. veh.autom y motoc. (140)",13,12,1,,
"Comercio al por mayor (141)",7,6,1,,
"Comercio al por menor (142)",137,133,4,,
"Hoteles y restaurantes (143)",42,41,1,,
"Trans., almac. y comunicaciones (144)",126,112,10,3,1
"Intermediación financiera (145)",1,,,,1
"Activid.inmobil., empres. y alquileres (146)",15,9,2,2,2
"Admin.pub. y defensa; p. segur soc.afil (147)",40,,,,40
"Enseñanza (148)",302,155,71,19,57
"Servicios sociales y de salud (149)",61,16,1,6,38
"Otras activ. serv.comun.soc y personales (150)",19,14,5,,
"Hogares privados con servicio doméstico (151)",102,102,,,
"Actividad economica no especificada (153)",262,256,6,,
"Hombres (154)",9371,8773,447,63,88
"Agric., ganadería, caza y silvicultura (155)",8670,8286,344,39,1
"Pesca (156)",4,3,1,,
"Industrias manufactureras (158)",74,63,9,1,1
"Construcción (160)",78,57,18,3,
"Comerc., rep. veh. autom.,motoc. efect. pers. (161)",90,85,5,,
"Venta, mant.y rep. veh.autom y motoc. (162)",11,10,1,,
"Comercio al por mayor (163)",5,4,1,,
"Comercio al por menor (164)",74,71,3,,
"Hoteles y restaurantes (165)",10,9,1,,
"Trans., almac. y comunicaciones (166)",125,111,10,3,1
"Activid.inmobil., empres. y alquileres (168)",12,8,2,1,1
"Admin.pub. y defensa; p. segur soc.afil (169)",30,,,,30
"Enseñanza (170)",192,98,49,11,34
"Servicios sociales y de salud (171)",38,12,1,5,20
"Otras activ. serv.comun.soc y personales (172)",15,10,5,,
"Hogares privados con servicio doméstico (173)",5,5,,,
"Actividad economica no especificada (175)",28,26,2,,
"Mujeres (176)",2725,2591,63,18,53
"Agric., ganadería, caza y silvicultura (177)",2136,2092,36,8,
"Industrias manufactureras (180)",7,7,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (183)",67,66,1,,
"Venta, mant.y rep. veh.autom y motoc. (184)",2,2,,,
"Comercio al por mayor (185)",2,2,,,
"Comercio al por menor (186)",63,62,1,,
"Hoteles y restaurantes (187)",32,32,,,
"Trans., almac. y comunicaciones (188)",1,1,,,
"Intermediación financiera (189)",1,,,,1
"Activid.inmobil., empres. y alquileres (190)",3,1,,1,1
"Admin.pub. y defensa; p. segur soc.afil (191)",10,,,,10
"Enseñanza (192)",110,57,22,8,23
"Servicios sociales y de salud (193)",23,4,,1,18
"Otras activ. serv.comun.soc y personales (194)",4,4,,,
"Hogares privados con servicio doméstico (195)",97,97,,,
"Actividad economica no especificada (197)",234,230,4,,
