"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
"Ocupada (020)",55155,51607,251,14178,13612,8987,9220,3701,1343,315,3548,146879
"De 12 a 14 años (021)",20,19,1,15,3,,,,,,1,21
"De 15 a 19 años (022)",552,501,9,434,44,11,3,,,,51,567
"De 20 a 24 años (023)",4174,3130,32,2331,634,104,23,6,,,1044,4047
"De 25 a 29 años (024)",6872,5642,39,3232,1618,551,183,15,4,,1230,9013
"De 30 a 34 años (025)",7975,7403,23,2793,2675,1164,667,76,3,2,572,15014
"De 35 a 39 años (026)",8267,7986,36,1871,2704,1822,1271,240,39,3,281,20070
"De 40 a 44 años (027)",7582,7437,21,1257,2135,1726,1664,496,129,9,145,22271
"De 45 a 49 años (028)",6537,6441,20,872,1593,1395,1680,650,188,43,96,21749
"De 50 y más años (029)",13176,13048,70,1373,2206,2214,3729,2218,980,258,128,54127
"Desocupada (030)",1895,1572,14,659,393,217,190,80,18,1,323,3600
"De 15 a 19 años (032)",46,38,,35,2,,1,,,,8,43
"De 20 a 24 años (033)",351,239,6,185,39,6,1,2,,,112,298
"De 25 a 29 años (034)",417,300,,203,69,20,6,2,,,117,437
"De 30 a 34 años (035)",327,272,4,108,95,38,23,4,,,55,532
"De 35 a 39 años (036)",268,247,,63,87,52,33,11,1,,21,617
"De 40 a 44 años (037)",179,173,1,24,48,43,44,11,2,,6,528
"De 45 a 49 años (038)",140,139,3,20,30,32,29,23,2,,1,465
"De 50 y más años (039)",167,164,,21,23,26,53,27,13,1,3,680
"No PEA (040)",69326,66138,333,13589,13877,11049,14921,8296,3253,820,3188,229698
"De 12 a 14 años (041)",97,44,8,33,3,,,,,,53,39
"De 15 a 19 años (042)",1500,1337,44,1151,118,13,11,,,,163,1470
"De 20 a 24 años (043)",6699,5341,47,3671,1294,272,49,8,,,1358,7334
"De 25 a 29 años (044)",7970,7228,38,3141,2571,1031,415,28,4,,742,13318
"De 30 a 34 años (045)",7436,7171,20,1638,2601,1672,1063,153,21,3,265,17573
"De 35 a 39 años (046)",7035,6906,22,914,2017,1716,1658,481,89,9,129,21194
"De 40 a 44 años (047)",6266,6176,17,545,1326,1441,1879,690,241,37,90,22609
"De 45 a 49 años (048)",5563,5500,12,430,915,1120,1703,933,323,64,63,22480
"De 50 y más años (049)",26760,26435,125,2066,3032,3784,8143,6003,2575,707,325,123681
,,,,,,,,,,,,
"URBANA (060)",112266,105813,545,25913,25415,18241,21000,10002,3761,936,6453,329277
"De 12 a 14 años (061)",94,52,9,38,5,,,,,,42,48
"De 15 a 19 años (062)",1718,1533,49,1325,128,17,14,,,,185,1688
"De 20 a 24 años (063)",9764,7473,81,5440,1595,291,53,13,,,2291,9812
"De 25 a 29 años (064)",13625,11690,72,6063,3753,1321,441,32,8,,1935,19640
"De 30 a 34 años (065)",14190,13359,44,4291,4935,2496,1398,173,18,4,831,28880
"De 35 a 39 años (066)",13949,13552,55,2691,4497,3250,2451,529,74,5,397,36022
"De 40 a 44 años (067)",12618,12395,37,1721,3309,2975,3113,945,266,29,223,39372
"De 45 a 49 años (068)",10963,10819,33,1248,2392,2373,3031,1284,381,77,144,38611
"De 50 y más años (069)",35345,34940,165,3096,4801,5518,10499,7026,3014,821,405,155204
"PEA (070)",52351,48714,249,13871,13114,8501,8384,3195,1134,266,3637,134874
"De 12 a 14 años (071)",19,18,1,14,3,,,,,,1,20
"De 15 a 19 años (072)",495,445,7,387,41,6,4,,,,50,503
"De 20 a 24 años (073)",4060,2980,37,2260,569,87,20,7,,,1080,3788
"De 25 a 29 años (074)",6723,5460,39,3238,1520,495,151,13,4,,1263,8505
"De 30 a 34 años (075)",7740,7139,26,2782,2601,1069,590,66,3,2,601,14167
"De 35 a 39 años (076)",7919,7635,34,1844,2663,1720,1144,201,27,2,284,18739
"De 40 a 44 años (077)",7218,7073,21,1220,2094,1674,1532,426,100,6,145,20680
"De 45 a 49 años (078)",6188,6097,23,853,1550,1359,1561,574,145,32,91,20034
"De 50 y más años (079)",11989,11867,61,1273,2073,2091,3382,1908,855,224,122,48438
"Ocupada (080)",50547,47217,235,13244,12732,8295,8207,3120,1118,266,3330,131475
"De 12 a 14 años (081)",19,18,1,14,3,,,,,,1,20
"De 15 a 19 años (082)",451,409,7,354,39,6,3,,,,42,462
"De 20 a 24 años (083)",3729,2754,31,2085,531,82,19,6,,,975,3511
"De 25 a 29 años (084)",6328,5175,39,3045,1453,477,146,11,4,,1153,8092
"De 30 a 34 años (085)",7424,6877,22,2677,2508,1034,569,62,3,2,547,13659
"De 35 a 39 años (086)",7658,7394,34,1783,2578,1669,1111,190,27,2,264,18140
"De 40 a 44 años (087)",7051,6912,20,1199,2047,1634,1492,416,98,6,139,20189
"De 45 a 49 años (088)",6052,5962,20,833,1521,1327,1533,552,144,32,90,19590
"De 50 y más años (089)",11835,11716,61,1254,2052,2066,3334,1883,842,224,119,47812
"Desocupada (090)",1804,1497,14,627,382,206,177,75,16,,307,3399
"De 15 a 19 años (092)",44,36,,33,2,,1,,,,8,41
"De 20 a 24 años (093)",331,226,6,175,38,5,1,1,,,105,277
"De 25 a 29 años (094)",395,285,,193,67,18,5,2,,,110,413
"De 30 a 34 años (095)",316,262,4,105,93,35,21,4,,,54,508
"De 35 a 39 años (096)",261,241,,61,85,51,33,11,,,20,599
"De 40 a 44 años (097)",167,161,1,21,47,40,40,10,2,,6,491
"De 45 a 49 años (098)",136,135,3,20,29,32,28,22,1,,1,444
"De 50 y más años (099)",154,151,,19,21,25,48,25,13,,3,626
"No PEA (100)",59915,57099,296,12042,12301,9740,12616,6807,2627,670,2816,194403
"De 12 a 14 años (101)",75,34,8,24,2,,,,,,41,28
"De 15 a 19 años (102)",1223,1088,42,938,87,11,10,,,,135,1185
"De 20 a 24 años (103)",5704,4493,44,3180,1026,204,33,6,,,1211,6024
"De 25 a 29 años (104)",6902,6230,33,2825,2233,826,290,19,4,,672,11135
"De 30 a 34 años (105)",6450,6220,18,1509,2334,1427,808,107,15,2,230,14713
"De 35 a 39 años (106)",6030,5917,21,847,1834,1530,1307,328,47,3,113,17283
"De 40 a 44 años (107)",5400,5322,16,501,1215,1301,1581,519,166,23,78,18692
"De 45 a 49 años (108)",4775,4722,10,395,842,1014,1470,710,236,45,53,18577
"De 50 y más años (109)",23356,23073,104,1823,2728,3427,7117,5118,2159,597,283,106766
,,,,,,,,,,,,
"RURAL (120)",14110,13504,53,2513,2467,2012,3331,2075,853,200,606,50900
"De 12 a 14 años (121)",23,11,,10,1,,,,,,12,12
"De 15 a 19 años (122)",380,343,4,295,36,7,1,,,,37,392
"De 20 a 24 años (123)",1460,1237,4,747,372,91,20,3,,,223,1867
"De 25 a 29 años (124)",1634,1480,5,513,505,281,163,13,,,154,3128
"De 30 a 34 años (125)",1548,1487,3,248,436,378,355,60,6,1,61,4239
"De 35 a 39 años (126)",1621,1587,3,157,311,340,511,203,55,7,34,5859
"De 40 a 44 años (127)",1409,1391,2,105,200,235,474,252,106,17,18,6036
"De 45 a 49 años (128)",1277,1261,2,74,146,174,381,322,132,30,16,6083
"De 50 y más años (129)",4758,4707,30,364,460,506,1426,1222,554,145,51,23284
"PEA (130)",4699,4465,16,966,891,703,1026,586,227,50,234,15605
"De 12 a 14 años (131)",1,1,,1,,,,,,,,1
"De 15 a 19 años (132)",103,94,2,82,5,5,,,,,9,107
"De 20 a 24 años (133)",465,389,1,256,104,23,4,1,,,76,557
"De 25 a 29 años (134)",566,482,,197,167,76,38,4,,,84,945
"De 30 a 34 años (135)",562,536,1,119,169,133,100,14,,,26,1379
"De 35 a 39 años (136)",616,598,2,90,128,154,160,50,13,1,18,1948
"De 40 a 44 años (137)",543,537,1,61,89,95,176,81,31,3,6,2119
"De 45 a 49 años (138)",489,483,,39,73,68,148,99,45,11,6,2180
"De 50 y más años (139)",1354,1345,9,121,156,149,400,337,138,35,9,6369
"Ocupada (140)",4608,4390,16,934,880,692,1013,581,225,49,218,15404
"De 12 a 14 años (141)",1,1,,1,,,,,,,,1
"De 15 a 19 años (142)",101,92,2,80,5,5,,,,,9,105
"De 20 a 24 años (143)",445,376,1,246,103,22,4,,,,69,536
"De 25 a 29 años (144)",544,467,,187,165,74,37,4,,,77,921
"De 30 a 34 años (145)",551,526,1,116,167,130,98,14,,,25,1355
"De 35 a 39 años (146)",609,592,2,88,126,153,160,50,12,1,17,1930
"De 40 a 44 años (147)",531,525,1,58,88,92,172,80,31,3,6,2082
"De 45 a 49 años (148)",485,479,,39,72,68,147,98,44,11,6,2159
"De 50 y más años (149)",1341,1332,9,119,154,148,395,335,138,34,9,6315
"Desocupada (150)",91,75,,32,11,11,13,5,2,1,16,201
"De 15 a 19 años (152)",2,2,,2,,,,,,,,2
"De 20 a 24 años (153)",20,13,,10,1,1,,1,,,7,21
"De 25 a 29 años (154)",22,15,,10,2,2,1,,,,7,24
"De 30 a 34 años (155)",11,10,,3,2,3,2,,,,1,24
"De 35 a 39 años (156)",7,6,,2,2,1,,,1,,1,18
"De 40 a 44 años (157)",12,12,,3,1,3,4,1,,,,37
"De 45 a 49 años (158)",4,4,,,1,,1,1,1,,,21
"De 50 y más años (159)",13,13,,2,2,1,5,2,,1,,54
"No PEA (160)",9411,9039,37,1547,1576,1309,2305,1489,626,150,372,35295
"De 12 a 14 años (161)",22,10,,9,1,,,,,,12,11
"De 15 a 19 años (162)",277,249,2,213,31,2,1,,,,28,285
"De 20 a 24 años (163)",995,848,3,491,268,68,16,2,,,147,1310
"De 25 a 29 años (164)",1068,998,5,316,338,205,125,9,,,70,2183
"De 30 a 34 años (165)",986,951,2,129,267,245,255,46,6,1,35,2860
"De 35 a 39 años (166)",1005,989,1,67,183,186,351,153,42,6,16,3911
"De 40 a 44 años (167)",866,854,1,44,111,140,298,171,75,14,12,3917
"De 45 a 49 años (168)",788,778,2,35,73,106,233,223,87,19,10,3903
"De 50 y más años (169)",3404,3362,21,243,304,357,1026,885,416,110,42,16915
