"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
"De 30 a 34 años (025)",305,277,,67,90,71,42,7,,,28,682
"De 35 a 39 años (026)",360,350,1,53,86,81,91,29,7,2,10,1129
"De 40 a 44 años (027)",300,296,,27,63,65,86,39,10,6,4,1130
"De 45 a 49 años (028)",216,214,,18,27,35,66,50,12,6,2,956
"De 50 y más años (029)",770,759,2,52,73,104,231,177,85,35,11,3760
"Desocupada (030)",77,68,2,23,19,9,10,4,1,,9,169
"De 15 a 19 años (032)",1,1,,1,,,,,,,,1
"De 20 a 24 años (033)",14,13,,10,3,,,,,,1,16
"De 25 a 29 años (034)",21,17,2,8,5,2,,,,,4,24
"De 30 a 34 años (035)",11,11,,2,5,2,2,,,,,27
"De 35 a 39 años (036)",13,10,,2,2,2,4,,,,3,30
"De 40 a 44 años (037)",5,5,,,2,3,,,,,,13
"De 45 a 49 años (038)",6,5,,,1,,1,2,1,,1,28
"De 50 y más años (039)",6,6,,,1,,3,2,,,,30
"No PEA (040)",5403,5229,32,879,952,854,1248,751,379,134,174,20311
"De 12 a 14 años (041)",9,6,1,5,,,,,,,3,5
"De 15 a 19 años (042)",136,119,4,100,13,,2,,,,17,134
"De 20 a 24 años (043)",533,468,2,274,150,38,4,,,,65,705
"De 25 a 29 años (044)",570,540,3,172,180,119,61,4,1,,30,1184
"De 30 a 34 años (045)",548,528,3,80,139,137,128,34,6,1,20,1600
"De 35 a 39 años (046)",515,506,3,46,106,121,157,59,10,4,9,1810
"De 40 a 44 años (047)",446,438,4,32,54,81,134,91,31,11,8,1923
"De 45 a 49 años (048)",421,416,1,25,51,63,119,87,48,22,5,2046
"De 50 y más años (049)",2225,2208,11,145,259,295,643,476,283,96,17,10904
,,,,,,,,,,,,
"URBANA (060)",5229,5029,29,949,1010,845,1161,636,305,94,200,18285
"De 12 a 14 años (061)",6,4,,4,,,,,,,2,4
"De 15 a 19 años (062)",100,87,2,73,10,,2,,,,13,101
"De 20 a 24 años (063)",460,388,3,250,109,20,6,,,,72,553
"De 25 a 29 años (064)",605,564,5,226,203,89,37,3,1,,41,1083
"De 30 a 34 años (065)",593,565,2,116,173,139,114,18,3,,28,1509
"De 35 a 39 años (066)",585,572,3,75,145,141,155,44,9,,13,1816
"De 40 a 44 años (067)",512,504,2,45,85,112,146,82,23,9,8,1999
"De 45 a 49 años (068)",421,416,1,29,59,69,121,86,34,17,5,1910
"De 50 y más años (069)",1947,1929,11,131,226,275,580,403,235,68,18,9310
"PEA (070)",1771,1683,6,354,377,299,365,187,75,20,88,5645
"De 15 a 19 años (072)",15,14,,10,4,,,,,,1,18
"De 20 a 24 años (073)",130,102,1,70,23,5,3,,,,28,143
"De 25 a 29 años (074)",237,210,2,105,74,23,4,2,,,27,352
"De 30 a 34 años (075)",228,212,,54,77,49,28,4,,,16,499
"De 35 a 39 años (076)",283,276,1,48,73,68,70,12,4,,7,810
"De 40 a 44 años (077)",225,222,,21,54,53,63,23,6,2,3,784
"De 45 a 49 años (078)",155,154,,12,23,28,49,31,7,4,1,657
"De 50 y más años (079)",498,493,2,34,49,73,148,115,58,14,5,2382
"Ocupada (080)",1704,1624,5,335,361,290,356,183,74,20,80,5491
"De 15 a 19 años (082)",14,13,,9,4,,,,,,1,17
"De 20 a 24 años (083)",119,92,1,63,20,5,3,,,,27,130
"De 25 a 29 años (084)",220,197,1,98,71,21,4,2,,,23,333
"De 30 a 34 años (085)",219,203,,52,73,47,27,4,,,16,479
"De 35 a 39 años (086)",271,266,1,46,71,66,66,12,4,,5,780
"De 40 a 44 años (087)",220,217,,21,52,50,63,23,6,2,3,771
"De 45 a 49 años (088)",149,149,,12,22,28,48,29,6,4,,629
"De 50 y más años (089)",492,487,2,34,48,73,145,113,58,14,5,2352
"Desocupada (090)",67,59,1,19,16,9,9,4,1,,8,154
"De 15 a 19 años (092)",1,1,,1,,,,,,,,1
"De 20 a 24 años (093)",11,10,,7,3,,,,,,1,13
"De 25 a 29 años (094)",17,13,1,7,3,2,,,,,4,19
"De 30 a 34 años (095)",9,9,,2,4,2,1,,,,,20
"De 35 a 39 años (096)",12,10,,2,2,2,4,,,,2,30
"De 40 a 44 años (097)",5,5,,,2,3,,,,,,13
"De 45 a 49 años (098)",6,5,,,1,,1,2,1,,1,28
"De 50 y más años (099)",6,6,,,1,,3,2,,,,30
"No PEA (100)",3458,3346,23,595,633,546,796,449,230,74,112,12640
"De 12 a 14 años (101)",6,4,,4,,,,,,,2,4
"De 15 a 19 años (102)",85,73,2,63,6,,2,,,,12,83
"De 20 a 24 años (103)",330,286,2,180,86,15,3,,,,44,410
"De 25 a 29 años (104)",368,354,3,121,129,66,33,1,1,,14,731
"De 30 a 34 años (105)",365,353,2,62,96,90,86,14,3,,12,1010
"De 35 a 39 años (106)",302,296,2,27,72,73,85,32,5,,6,1006
"De 40 a 44 años (107)",287,282,2,24,31,59,83,59,17,7,5,1215
"De 45 a 49 años (108)",266,262,1,17,36,41,72,55,27,13,4,1253
"De 50 y más años (109)",1449,1436,9,97,177,202,432,288,177,54,13,6928
,,,,,,,,,,,,
"RURAL (120)",2769,2648,10,423,454,423,634,426,189,89,121,10677
"De 12 a 14 años (121)",3,2,1,1,,,,,,,1,1
"De 15 a 19 años (122)",66,61,2,49,10,,,,,,5,69
"De 20 a 24 años (123)",308,270,,143,96,27,3,1,,,38,434
"De 25 a 29 años (124)",303,272,1,77,77,72,40,5,,,31,649
"De 30 a 34 años (125)",271,251,1,33,61,71,58,23,3,1,20,800
"De 35 a 39 años (126)",303,294,1,26,49,63,97,44,8,6,9,1153
"De 40 a 44 años (127)",239,235,2,14,34,37,74,48,18,8,4,1067
"De 45 a 49 años (128)",222,219,,14,20,29,65,53,27,11,3,1120
"De 50 y más años (129)",1054,1044,2,66,107,124,297,252,133,63,10,5384
"PEA (130)",824,765,1,139,135,115,182,124,40,29,59,3006
"De 15 a 19 años (132)",15,15,,12,3,,,,,,,18
"De 20 a 24 años (133)",105,88,,49,32,4,2,1,,,17,139
"De 25 a 29 años (134)",101,86,1,26,26,19,12,2,,,15,196
"De 30 a 34 años (135)",88,76,,15,18,24,16,3,,,12,210
"De 35 a 39 años (136)",90,84,,7,15,15,25,17,3,2,6,349
"De 40 a 44 años (137)",80,79,,6,11,15,23,16,4,4,1,359
"De 45 a 49 años (138)",67,65,,6,5,7,18,21,6,2,2,327
"De 50 y más años (139)",278,272,,18,25,31,86,64,27,21,6,1408
"Ocupada (140)",814,756,,135,132,115,181,124,40,29,58,2991
"De 15 a 19 años (142)",15,15,,12,3,,,,,,,18
"De 20 a 24 años (143)",102,85,,46,32,4,2,1,,,17,136
"De 25 a 29 años (144)",97,82,,25,24,19,12,2,,,15,191
"De 30 a 34 años (145)",86,74,,15,17,24,15,3,,,12,203
"De 35 a 39 años (146)",89,84,,7,15,15,25,17,3,2,5,349
"De 40 a 44 años (147)",80,79,,6,11,15,23,16,4,4,1,359
"De 45 a 49 años (148)",67,65,,6,5,7,18,21,6,2,2,327
"De 50 y más años (149)",278,272,,18,25,31,86,64,27,21,6,1408
"Desocupada (150)",10,9,1,4,3,,1,,,,1,15
"De 20 a 24 años (153)",3,3,,3,,,,,,,,3
"De 25 a 29 años (154)",4,4,1,1,2,,,,,,,5
"De 30 a 34 años (155)",2,2,,,1,,1,,,,,7
"De 35 a 39 años (156)",1,,,,,,,,,,1,
"No PEA (160)",1945,1883,9,284,319,308,452,302,149,60,62,7671
"De 12 a 14 años (161)",3,2,1,1,,,,,,,1,1
"De 15 a 19 años (162)",51,46,2,37,7,,,,,,5,51
"De 20 a 24 años (163)",203,182,,94,64,23,1,,,,21,295
"De 25 a 29 años (164)",202,186,,51,51,53,28,3,,,16,453
"De 30 a 34 años (165)",183,175,1,18,43,47,42,20,3,1,8,590
"De 35 a 39 años (166)",213,210,1,19,34,48,72,27,5,4,3,804
"De 40 a 44 años (167)",159,156,2,8,23,22,51,32,14,4,3,708
"De 45 a 49 años (168)",155,154,,8,15,22,47,32,21,9,1,793
"De 50 y más años (169)",776,772,2,48,82,93,211,188,106,42,4,3976
