"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"Sin nivel (061)",395,372,14,7,2
"Educación inicial (062)",8,8,,,
"Primaria (063)",2509,2319,142,27,21
"Secundaria (064)",4381,3789,306,120,166
"Superior no univ. incompleta (065)",802,638,72,39,53
"Superior no univ. completa (066)",1280,795,159,122,204
"Superior univ. incompleta (067)",545,387,52,38,68
"Superior univ. completa (068)",1203,561,154,192,296
"De 06 a 14 años (070)",227,211,14,2,
"Sin nivel (071)",2,2,,,
"Educación inicial (072)",2,2,,,
"Primaria (073)",125,117,8,,
"Secundaria (074)",98,90,6,2,
"De 15 a 29 años (080)",3210,2525,318,159,208
"Sin nivel (081)",20,17,2,,1
"Educación inicial (082)",1,1,,,
"Primaria (083)",291,265,24,1,1
"Secundaria (084)",1621,1400,127,46,48
"Superior no univ. incompleta (085)",375,294,44,15,22
"Superior no univ. completa (086)",429,268,67,37,57
"Superior univ. incompleta (087)",226,159,29,18,20
"Superior univ. completa (088)",247,121,25,42,59
"De 30 a 44 años (090)",3835,2896,328,245,366
"Sin nivel (091)",86,75,6,5,
"Educación inicial (092)",5,5,,,
"Primaria (093)",632,567,46,10,9
"Secundaria (094)",1506,1294,102,44,66
"Superior no univ. incompleta (095)",280,228,18,16,18
"Superior no univ. completa (096)",597,365,61,59,112
"Superior univ. incompleta (097)",182,123,17,14,28
"Superior univ. completa (098)",547,239,78,97,133
"De 45 a 64 años (100)",2983,2413,214,130,226
"Sin nivel (101)",157,152,3,1,1
"Primaria (103)",926,855,51,13,7
"Secundaria (104)",1031,887,68,25,51
"Superior no univ. incompleta (105)",137,106,10,8,13
"Superior no univ. completa (106)",240,150,29,26,35
"Superior univ. incompleta (107)",125,95,6,6,18
"Superior univ. completa (108)",367,168,47,51,101
"De 65 y más años (110)",868,824,25,9,10
"Sin nivel (111)",130,126,3,1,
"Primaria (113)",535,515,13,3,4
"Secundaria (114)",125,118,3,3,1
"Superior no univ. incompleta (115)",10,10,,,
"Superior no univ. completa (116)",14,12,2,,
"Superior univ. incompleta (117)",12,10,,,2
"Superior univ. completa (118)",42,33,4,2,3
,,,,,
"RURAL (120)",7838,6653,446,431,308
"Sin nivel (121)",620,594,24,1,1
"Educación inicial (122)",5,5,,,
"Primaria (123)",3213,3045,132,15,21
"Secundaria (124)",3029,2498,173,215,143
"Superior no univ. incompleta (125)",236,153,27,35,21
"Superior no univ. completa (126)",359,192,44,72,51
"Superior univ. incompleta (127)",120,66,9,25,20
"Superior univ. completa (128)",256,100,37,68,51
"De 06 a 14 años (130)",102,94,7,,1
"Sin nivel (131)",8,8,,,
"Primaria (133)",66,61,5,,
"Secundaria (134)",28,25,2,,1
"De 15 a 29 años (140)",2488,2028,163,184,113
"Sin nivel (141)",39,36,2,,1
"Educación inicial (142)",3,3,,,
"Primaria (143)",669,626,31,8,4
"Secundaria (144)",1408,1169,93,94,52
"Superior no univ. incompleta (145)",117,79,12,18,8
"Superior no univ. completa (146)",144,66,14,44,20
"Superior univ. incompleta (147)",41,22,3,6,10
"Superior univ. completa (148)",67,27,8,14,18
"De 30 a 44 años (150)",2626,2132,149,195,150
"Sin nivel (151)",131,128,3,,
"Educación inicial (152)",2,2,,,
"Primaria (153)",988,929,44,5,10
"Secundaria (154)",1087,862,52,98,75
"Superior no univ. incompleta (155)",89,53,10,15,11
"Superior no univ. completa (156)",158,85,20,25,28
"Superior univ. incompleta (157)",49,27,3,12,7
"Superior univ. completa (158)",122,46,17,40,19
"De 45 a 64 años (160)",1927,1723,109,51,44
"Sin nivel (161)",259,247,12,,
"Primaria (163)",1042,990,43,2,7
"Secundaria (164)",455,391,26,23,15
"Superior no univ. incompleta (165)",29,21,4,2,2
"Superior no univ. completa (166)",48,32,10,3,3
"Superior univ. incompleta (167)",29,17,2,7,3
"Superior univ. completa (168)",65,25,12,14,14
"De 65 y más años (170)",695,676,18,1,
"Sin nivel (171)",183,175,7,1,
"Primaria (173)",448,439,9,,
"Secundaria (174)",51,51,,,
"Superior no univ. incompleta (175)",1,,1,,
"Superior no univ. completa (176)",9,9,,,
"Superior univ. incompleta (177)",1,,1,,
"Superior univ. completa (178)",2,2,,,
