"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"Mujeres (044)",3217,2676,269,127,145
"Agric., ganadería, caza y silvicultura (045)",1295,1244,50,1,
"Explotación de minas y canteras (047)",2,2,,,
"Industrias manufactureras (048)",53,41,8,1,3
"Construcción (050)",6,4,,2,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",538,522,13,3,
"Venta, mant.y rep. veh.autom y motoc. (052)",4,4,,,
"Comercio al por mayor (053)",8,7,,1,
"Comercio al por menor (054)",526,511,13,2,
"Hoteles y restaurantes (055)",179,168,11,,
"Trans., almac. y comunicaciones (056)",10,8,2,,
"Intermediación financiera (057)",2,2,,,
"Activid.inmobil., empres. y alquileres (058)",44,28,5,8,3
"Admin.pub. y defensa; p. segur soc.afil (059)",62,,,,62
"Enseñanza (060)",378,111,152,101,14
"Servicios sociales y de salud (061)",80,19,2,2,57
"Otras activ. serv.comun.soc y personales (062)",40,33,5,,2
"Hogares privados con servicio doméstico (063)",152,152,,,
"Actividad economica no especificada (065)",376,342,21,9,4
,,,,,
"URBANA (066)",7842,6201,827,409,405
"Agric., ganadería, caza y silvicultura (067)",3923,3701,199,16,7
"Pesca (068)",1,1,,,
"Explotación de minas y canteras (069)",139,37,20,32,50
"Industrias manufactureras (070)",175,152,13,3,7
"Suministro de electricidad, gas y agua (071)",7,,5,2,
"Construcción (072)",248,147,67,31,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",933,896,27,7,3
"Venta, mant.y rep. veh.autom y motoc. (074)",60,48,7,2,3
"Comercio al por mayor (075)",20,18,1,1,
"Comercio al por menor (076)",853,830,19,4,
"Hoteles y restaurantes (077)",224,209,12,2,1
"Trans., almac. y comunicaciones (078)",215,176,26,6,7
"Intermediación financiera (079)",1,,1,,
"Activid.inmobil., empres. y alquileres (080)",160,89,32,26,13
"Admin.pub. y defensa; p. segur soc.afil (081)",186,,,,186
"Enseñanza (082)",791,150,368,240,33
"Servicios sociales y de salud (083)",108,27,4,4,73
"Otras activ. serv.comun.soc y personales (084)",82,58,13,7,4
"Hogares privados con servicio doméstico (085)",148,148,,,
"Actividad economica no especificada (087)",501,410,40,33,18
"Hombres (088)",5591,4411,613,287,280
"Agric., ganadería, caza y silvicultura (089)",3247,3055,170,15,7
"Pesca (090)",1,1,,,
"Explotación de minas y canteras (091)",138,36,20,32,50
"Industrias manufactureras (092)",127,115,6,2,4
"Suministro de electricidad, gas y agua (093)",7,,5,2,
"Construcción (094)",243,144,67,29,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",465,443,15,4,3
"Venta, mant.y rep. veh.autom y motoc. (096)",57,45,7,2,3
"Comercio al por mayor (097)",12,11,1,,
"Comercio al por menor (098)",396,387,7,2,
"Hoteles y restaurantes (099)",71,64,4,2,1
"Trans., almac. y comunicaciones (100)",206,169,24,6,7
"Intermediación financiera (101)",1,,1,,
"Activid.inmobil., empres. y alquileres (102)",119,64,27,18,10
"Admin.pub. y defensa; p. segur soc.afil (103)",130,,,,130
"Enseñanza (104)",473,71,237,144,21
"Servicios sociales y de salud (105)",46,14,3,2,27
"Otras activ. serv.comun.soc y personales (106)",50,31,9,7,3
"Hogares privados con servicio doméstico (107)",12,12,,,
"Actividad economica no especificada (109)",255,192,25,24,14
"Mujeres (110)",2251,1790,214,122,125
"Agric., ganadería, caza y silvicultura (111)",676,646,29,1,
"Explotación de minas y canteras (113)",1,1,,,
"Industrias manufactureras (114)",48,37,7,1,3
"Construcción (116)",5,3,,2,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",468,453,12,3,
"Venta, mant.y rep. veh.autom y motoc. (118)",3,3,,,
"Comercio al por mayor (119)",8,7,,1,
"Comercio al por menor (120)",457,443,12,2,
"Hoteles y restaurantes (121)",153,145,8,,
"Trans., almac. y comunicaciones (122)",9,7,2,,
"Activid.inmobil., empres. y alquileres (124)",41,25,5,8,3
"Admin.pub. y defensa; p. segur soc.afil (125)",56,,,,56
"Enseñanza (126)",318,79,131,96,12
"Servicios sociales y de salud (127)",62,13,1,2,46
"Otras activ. serv.comun.soc y personales (128)",32,27,4,,1
"Hogares privados con servicio doméstico (129)",136,136,,,
"Actividad economica no especificada (131)",246,218,15,9,4
,,,,,
"RURAL (132)",4471,4111,233,36,91
"Agric., ganadería, caza y silvicultura (133)",3539,3438,96,,5
"Pesca (134)",2,2,,,
"Explotación de minas y canteras (135)",30,8,5,5,12
"Industrias manufactureras (136)",26,25,1,,
"Suministro de electricidad, gas y agua (137)",4,2,,2,
"Construcción (138)",57,38,15,3,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",182,172,10,,
"Venta, mant.y rep. veh.autom y motoc. (140)",10,7,3,,
"Comercio al por mayor (141)",2,2,,,
"Comercio al por menor (142)",170,163,7,,
"Hoteles y restaurantes (143)",34,30,4,,
"Trans., almac. y comunicaciones (144)",64,61,2,1,
"Intermediación financiera (145)",2,2,,,
"Activid.inmobil., empres. y alquileres (146)",20,14,2,2,2
"Admin.pub. y defensa; p. segur soc.afil (147)",34,,,,34
"Enseñanza (148)",152,61,74,12,5
"Servicios sociales y de salud (149)",34,9,1,,24
"Otras activ. serv.comun.soc y personales (150)",17,14,2,,1
"Hogares privados con servicio doméstico (151)",22,22,,,
"Actividad economica no especificada (153)",252,213,21,11,7
"Hombres (154)",3505,3225,178,31,71
"Agric., ganadería, caza y silvicultura (155)",2920,2840,75,,5
"Pesca (156)",2,2,,,
"Explotación de minas y canteras (157)",29,7,5,5,12
"Industrias manufactureras (158)",21,21,,,
"Suministro de electricidad, gas y agua (159)",4,2,,2,
"Construcción (160)",56,37,15,3,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (161)",112,103,9,,
"Venta, mant.y rep. veh.autom y motoc. (162)",9,6,3,,
"Comercio al por mayor (163)",2,2,,,
"Comercio al por menor (164)",101,95,6,,
"Hoteles y restaurantes (165)",8,7,1,,
"Trans., almac. y comunicaciones (166)",63,60,2,1,
"Activid.inmobil., empres. y alquileres (168)",17,11,2,2,2
"Admin.pub. y defensa; p. segur soc.afil (169)",28,,,,28
"Enseñanza (170)",92,29,53,7,3
"Servicios sociales y de salud (171)",16,3,,,13
"Otras activ. serv.comun.soc y personales (172)",9,8,1,,
"Hogares privados con servicio doméstico (173)",6,6,,,
"Actividad economica no especificada (175)",122,89,15,11,7
"Mujeres (176)",966,886,55,5,20
"Agric., ganadería, caza y silvicultura (177)",619,598,21,,
"Explotación de minas y canteras (179)",1,1,,,
"Industrias manufactureras (180)",5,4,1,,
"Construcción (182)",1,1,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (183)",70,69,1,,
"Venta, mant.y rep. veh.autom y motoc. (184)",1,1,,,
"Comercio al por menor (186)",69,68,1,,
"Hoteles y restaurantes (187)",26,23,3,,
"Trans., almac. y comunicaciones (188)",1,1,,,
"Intermediación financiera (189)",2,2,,,
"Activid.inmobil., empres. y alquileres (190)",3,3,,,
"Admin.pub. y defensa; p. segur soc.afil (191)",6,,,,6
"Enseñanza (192)",60,32,21,5,2
"Servicios sociales y de salud (193)",18,6,1,,11
"Otras activ. serv.comun.soc y personales (194)",8,6,1,,1
"Hogares privados con servicio doméstico (195)",16,16,,,
"Actividad economica no especificada (197)",130,124,6,,
