"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"Educación inicial (062)",15,12,3,,
"Primaria (063)",1189,905,107,66,111
"Secundaria (064)",2407,1672,297,139,299
"Superior no univ. incompleta (065)",381,211,61,49,60
"Superior no univ. completa (066)",586,253,79,78,176
"Superior univ. incompleta (067)",197,107,22,28,40
"Superior univ. completa (068)",445,128,87,95,135
"De 06 a 14 años (070)",151,132,13,5,1
"Sin nivel (071)",17,15,2,,
"Educación inicial (072)",5,5,,,
"Primaria (073)",88,75,8,4,1
"Secundaria (074)",41,37,3,1,
"De 15 a 29 años (080)",1980,1272,250,177,281
"Sin nivel (081)",34,27,1,3,3
"Educación inicial (082)",8,6,2,,
"Primaria (083)",254,184,34,16,20
"Secundaria (084)",1107,776,128,76,127
"Superior no univ. incompleta (085)",199,104,32,34,29
"Superior no univ. completa (086)",205,94,27,21,63
"Superior univ. incompleta (087)",61,39,7,5,10
"Superior univ. completa (088)",112,42,19,22,29
"De 30 a 44 años (090)",2022,1151,275,207,389
"Sin nivel (091)",44,32,6,1,5
"Educación inicial (092)",2,1,1,,
"Primaria (093)",393,284,33,25,51
"Secundaria (094)",820,545,115,42,118
"Superior no univ. incompleta (095)",129,72,22,10,25
"Superior no univ. completa (096)",294,115,36,48,95
"Superior univ. incompleta (097)",96,50,9,17,20
"Superior univ. completa (098)",244,52,53,64,75
"De 45 a 64 años (100)",1094,747,123,69,155
"Sin nivel (101)",60,51,4,1,4
"Primaria (103)",365,281,28,21,35
"Secundaria (104)",407,289,48,18,52
"Superior no univ. incompleta (105)",51,34,6,5,6
"Superior no univ. completa (106)",85,42,16,9,18
"Superior univ. incompleta (107)",37,16,6,6,9
"Superior univ. completa (108)",89,34,15,9,31
"De 65 y más años (110)",146,127,8,3,8
"Sin nivel (111)",18,16,,1,1
"Primaria (113)",89,81,4,,4
"Secundaria (114)",32,25,3,2,2
"Superior no univ. incompleta (115)",2,1,1,,
"Superior no univ. completa (116)",2,2,,,
"Superior univ. incompleta (117)",3,2,,,1
,,,,,
"RURAL (120)",7562,6447,883,142,90
"Sin nivel (121)",2138,1977,146,15,
"Educación inicial (122)",82,59,20,3,
"Primaria (123)",3697,3263,358,41,35
"Secundaria (124)",1264,969,219,53,23
"Superior no univ. incompleta (125)",89,55,21,8,5
"Superior no univ. completa (126)",156,55,76,8,17
"Superior univ. incompleta (127)",39,22,10,1,6
"Superior univ. completa (128)",97,47,33,13,4
"De 06 a 14 años (130)",692,580,110,2,
"Sin nivel (131)",157,135,21,1,
"Educación inicial (132)",10,6,4,,
"Primaria (133)",506,425,80,1,
"Secundaria (134)",19,14,5,,
"De 15 a 29 años (140)",3177,2721,360,61,35
"Sin nivel (141)",563,526,36,1,
"Educación inicial (142)",52,40,12,,
"Primaria (143)",1652,1485,128,27,12
"Secundaria (144)",775,607,132,25,11
"Superior no univ. incompleta (145)",40,23,14,1,2
"Superior no univ. completa (146)",55,17,27,1,10
"Superior univ. incompleta (147)",10,9,1,,
"Superior univ. completa (148)",30,14,10,6,
"De 30 a 44 años (150)",2228,1859,280,56,33
"Sin nivel (151)",706,654,46,6,
"Educación inicial (152)",20,13,4,3,
"Primaria (153)",959,847,96,8,8
"Secundaria (154)",353,258,61,25,9
"Superior no univ. incompleta (155)",37,24,5,5,3
"Superior no univ. completa (156)",81,28,41,7,5
"Superior univ. incompleta (157)",24,11,9,,4
"Superior univ. completa (158)",48,24,18,2,4
"De 45 a 64 años (160)",1285,1121,124,21,19
"Sin nivel (161)",603,561,36,6,
"Primaria (163)",516,447,52,5,12
"Secundaria (164)",114,87,21,3,3
"Superior no univ. incompleta (165)",11,8,2,1,
"Superior no univ. completa (166)",18,8,8,,2
"Superior univ. incompleta (167)",4,1,,1,2
"Superior univ. completa (168)",19,9,5,5,
"De 65 y más años (170)",180,166,9,2,3
"Sin nivel (171)",109,101,7,1,
"Primaria (173)",64,59,2,,3
"Secundaria (174)",3,3,,,
"Superior no univ. incompleta (175)",1,,,1,
"Superior no univ. completa (176)",2,2,,,
"Superior univ. incompleta (177)",1,1,,,
