"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
"De 50 y más años (039)",13,62,55,,88.7,,
"No PEA (040)",5998,15953,14111,218,88.5,1.4,
"De 12 a 14 años (041)",596,4,4,1,100,25,
"De 15 a 19 años (042)",846,94,94,28,100,29.8,
"De 20 a 24 años (043)",679,414,406,57,98.1,13.8,
"De 25 a 29 años (044)",505,700,687,57,98.1,8.1,
"De 30 a 34 años (045)",441,919,892,38,97.1,4.1,
"De 35 a 39 años (046)",402,1090,1042,25,95.6,2.3,
"De 40 a 44 años (047)",387,1356,1274,11,94,0.8,
"De 45 a 49 años (048)",325,1335,1197,1,89.7,0.1,
"De 50 y más años (049)",1817,10041,8515,,84.8,,
,,,,,,,
"URBANA (060)",4224,10024,9144,145,91.2,1.4,
"De 12 a 14 años (061)",264,2,2,1,100,50,
"De 15 a 19 años (062)",475,56,54,17,96.4,30.4,
"De 20 a 24 años (063)",579,295,289,42,98,14.2,
"De 25 a 29 años (064)",459,522,510,35,97.7,6.7,
"De 30 a 34 años (065)",420,684,669,21,97.8,3.1,
"De 35 a 39 años (066)",366,888,859,21,96.7,2.4,
"De 40 a 44 años (067)",281,823,783,8,95.1,1,
"De 45 a 49 años (068)",261,967,892,,92.2,,
"De 50 y más años (069)",1119,5787,5086,,87.9,,
"PEA (070)",1724,4108,3857,46,93.9,1.1,
"De 12 a 14 años (071)",9,,,,,,
"De 15 a 19 años (072)",85,12,10,5,83.3,41.7,
"De 20 a 24 años (073)",205,91,90,11,98.9,12.1,
"De 25 a 29 años (074)",251,258,249,11,96.5,4.3,
"De 30 a 34 años (075)",243,342,338,11,98.8,3.2,
"De 35 a 39 años (076)",207,445,434,7,97.5,1.6,
"De 40 a 44 años (077)",155,401,385,1,96,0.2,
"De 45 a 49 años (078)",154,525,503,,95.8,,
"De 50 y más años (079)",415,2034,1848,,90.9,,
"Ocupada (080)",1621,3993,3752,44,94,1.1,
"De 12 a 14 años (081)",9,,,,,,
"De 15 a 19 años (082)",70,11,9,4,81.8,36.4,
"De 20 a 24 años (083)",181,89,88,11,98.9,12.4,
"De 25 a 29 años (084)",229,244,236,10,96.7,4.1,
"De 30 a 34 años (085)",225,321,318,11,99.1,3.4,
"De 35 a 39 años (086)",201,435,424,7,97.5,1.6,
"De 40 a 44 años (087)",150,384,368,1,95.8,0.3,
"De 45 a 49 años (088)",147,507,486,,95.9,,
"De 50 y más años (089)",409,2002,1823,,91.1,,
"Desocupada (090)",103,115,105,2,91.3,1.7,
"De 15 a 19 años (092)",15,1,1,1,100,100,
"De 20 a 24 años (093)",24,2,2,,100,,
"De 25 a 29 años (094)",22,14,13,1,92.9,7.1,
"De 30 a 34 años (095)",18,21,20,,95.2,,
"De 35 a 39 años (096)",6,10,10,,100,,
"De 40 a 44 años (097)",5,17,17,,100,,
"De 45 a 49 años (098)",7,18,17,,94.4,,
"De 50 y más años (099)",6,32,25,,78.1,,
"No PEA (100)",2500,5916,5287,99,89.4,1.7,
"De 12 a 14 años (101)",255,2,2,1,100,50,
"De 15 a 19 años (102)",390,44,44,12,100,27.3,
"De 20 a 24 años (103)",374,204,199,31,97.5,15.2,
"De 25 a 29 años (104)",208,264,261,24,98.9,9.1,
"De 30 a 34 años (105)",177,342,331,10,96.8,2.9,
"De 35 a 39 años (106)",159,443,425,14,95.9,3.2,
"De 40 a 44 años (107)",126,422,398,7,94.3,1.7,
"De 45 a 49 años (108)",107,442,389,,88,,
"De 50 y más años (109)",704,3753,3238,,86.3,,
,,,,,,,
"RURAL (120)",5099,14036,12461,156,88.8,1.1,
"De 12 a 14 años (121)",356,2,2,,100,,
"De 15 a 19 años (122)",561,75,75,18,100,24,
"De 20 a 24 años (123)",503,328,324,35,98.8,10.7,
"De 25 a 29 años (124)",519,675,657,43,97.3,6.4,
"De 30 a 34 años (125)",441,893,870,42,97.4,4.7,
"De 35 a 39 años (126)",394,988,946,11,95.7,1.1,
"De 40 a 44 años (127)",407,1363,1281,6,94,0.4,
"De 45 a 49 años (128)",352,1290,1191,1,92.3,0.1,
"De 50 y más años (129)",1566,8422,7115,,84.5,,
"PEA (130)",1601,3999,3637,37,90.9,0.9,
"De 12 a 14 años (131)",15,,,,,,
"De 15 a 19 años (132)",105,25,25,2,100,8,
"De 20 a 24 años (133)",198,118,117,9,99.2,7.6,
"De 25 a 29 años (134)",222,239,231,9,96.7,3.8,
"De 30 a 34 años (135)",177,316,309,14,97.8,4.4,
"De 35 a 39 años (136)",151,341,329,1,96.5,0.3,
"De 40 a 44 años (137)",146,429,405,2,94.4,0.5,
"De 45 a 49 años (138)",134,397,383,,96.5,,
"De 50 y más años (139)",453,2134,1838,,86.1,,
"Ocupada (140)",1444,3880,3522,36,90.8,0.9,
"De 12 a 14 años (141)",14,,,,,,
"De 15 a 19 años (142)",79,22,22,2,100,9.1,
"De 20 a 24 años (143)",140,111,110,8,99.1,7.2,
"De 25 a 29 años (144)",191,227,220,9,96.9,4,
"De 30 a 34 años (145)",161,288,282,14,97.9,4.9,
"De 35 a 39 años (146)",142,320,310,1,96.9,0.3,
"De 40 a 44 años (147)",141,424,400,2,94.3,0.5,
"De 45 a 49 años (148)",130,384,370,,96.4,,
"De 50 y más años (149)",446,2104,1808,,85.9,,
"Desocupada (150)",157,119,115,1,96.6,0.8,
"De 12 a 14 años (151)",1,,,,,,
"De 15 a 19 años (152)",26,3,3,,100,,
"De 20 a 24 años (153)",58,7,7,1,100,14.3,
"De 25 a 29 años (154)",31,12,11,,91.7,,
"De 30 a 34 años (155)",16,28,27,,96.4,,
"De 35 a 39 años (156)",9,21,19,,90.5,,
"De 40 a 44 años (157)",5,5,5,,100,,
"De 45 a 49 años (158)",4,13,13,,100,,
"De 50 y más años (159)",7,30,30,,100,,
"No PEA (160)",3498,10037,8824,119,87.9,1.2,
"De 12 a 14 años (161)",341,2,2,,100,,
"De 15 a 19 años (162)",456,50,50,16,100,32,
"De 20 a 24 años (163)",305,210,207,26,98.6,12.4,
"De 25 a 29 años (164)",297,436,426,34,97.7,7.8,
"De 30 a 34 años (165)",264,577,561,28,97.2,4.9,
"De 35 a 39 años (166)",243,647,617,10,95.4,1.5,
"De 40 a 44 años (167)",261,934,876,4,93.8,0.4,
"De 45 a 49 años (168)",218,893,808,1,90.5,0.1,
"De 50 y más años (169)",1113,6288,5277,,83.9,,
