"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
"De 20 a 24 años (023)",100,92,,62,25,5,,,,,8,127
"De 25 a 29 años (024)",162,145,,65,51,23,6,,,,17,262
"De 30 a 34 años (025)",199,188,1,45,57,38,37,10,,,11,499
"De 35 a 39 años (026)",171,167,,16,27,40,57,23,4,,4,629
"De 40 a 44 años (027)",170,168,1,14,16,27,62,35,12,1,2,740
"De 45 a 49 años (028)",144,143,2,14,18,24,38,25,17,5,1,656
"De 50 y más años (029)",371,368,2,22,26,34,110,93,61,20,3,1997
"Desocupada (030)",43,37,1,17,7,3,5,3,1,,6,91
"De 15 a 19 años (032)",6,5,,5,,,,,,,1,5
"De 20 a 24 años (033)",10,7,1,5,1,,,,,,3,7
"De 25 a 29 años (034)",10,9,,5,2,1,1,,,,1,16
"De 30 a 34 años (035)",6,5,,1,3,,1,,,,1,11
"De 35 a 39 años (036)",6,6,,1,1,1,2,1,,,,23
"De 40 a 44 años (037)",4,4,,,,,1,2,1,,,26
"De 45 a 49 años (038)",1,1,,,,1,,,,,,3
"No PEA (040)",5071,4954,23,660,687,705,1276,1001,463,139,117,21645
"De 12 a 14 años (041)",7,4,,4,,,,,,,3,4
"De 15 a 19 años (042)",143,129,1,105,19,3,1,,,,14,156
"De 20 a 24 años (043)",431,400,1,210,144,37,8,,,,31,644
"De 25 a 29 años (044)",506,484,1,107,157,144,71,4,,,22,1179
"De 30 a 34 años (045)",494,485,1,46,101,117,184,34,1,1,9,1637
"De 35 a 39 años (046)",500,494,,23,51,81,206,102,29,2,6,2197
"De 40 a 44 años (047)",443,438,1,21,23,40,125,150,66,12,5,2392
"De 45 a 49 años (048)",411,407,,17,18,29,112,134,80,17,4,2370
"De 50 y más años (049)",2136,2113,18,127,174,254,569,577,287,107,23,11066
,,,,,,,,,,,,
"URBANA (060)",2572,2503,18,437,463,410,566,394,168,47,69,9531
"De 12 a 14 años (061)",3,2,,2,,,,,,,1,2
"De 15 a 19 años (062)",59,52,1,44,4,2,1,,,,7,62
"De 20 a 24 años (063)",235,221,1,142,68,9,1,,,,14,309
"De 25 a 29 años (064)",319,299,1,95,112,74,17,,,,20,611
"De 30 a 34 años (065)",300,291,2,52,103,66,61,7,,,9,764
"De 35 a 39 años (066)",301,295,,24,49,70,106,37,9,,6,1116
"De 40 a 44 años (067)",258,255,1,11,24,47,88,59,19,6,3,1182
"De 45 a 49 años (068)",209,206,2,12,20,32,62,54,20,4,3,990
"De 50 y más años (069)",888,882,10,55,83,110,230,237,120,37,6,4495
"PEA (070)",821,792,6,168,170,131,176,89,42,10,29,2712
"De 15 a 19 años (072)",15,13,1,9,3,,,,,,2,15
"De 20 a 24 años (073)",74,69,1,48,17,3,,,,,5,91
"De 25 a 29 años (074)",115,104,,50,35,14,5,,,,11,183
"De 30 a 34 años (075)",122,117,1,29,46,23,14,4,,,5,277
"De 35 a 39 años (076)",125,121,,14,23,34,37,11,2,,4,416
"De 40 a 44 años (077)",99,98,1,5,14,20,41,14,3,,1,383
"De 45 a 49 años (078)",87,87,2,7,16,20,22,15,3,2,,344
"De 50 y más años (079)",184,183,,6,16,17,57,45,34,8,1,1003
"Ocupada (080)",792,766,5,156,163,130,173,87,42,10,26,2656
"De 15 a 19 años (082)",11,10,1,6,3,,,,,,1,12
"De 20 a 24 años (083)",67,63,,44,16,3,,,,,4,85
"De 25 a 29 años (084)",106,96,,46,33,13,4,,,,10,168
"De 30 a 34 años (085)",117,112,1,28,43,23,13,4,,,5,266
"De 35 a 39 años (086)",122,118,,14,22,34,36,10,2,,4,402
"De 40 a 44 años (087)",98,97,1,5,14,20,41,13,3,,1,376
"De 45 a 49 años (088)",87,87,2,7,16,20,22,15,3,2,,344
"De 50 y más años (089)",184,183,,6,16,17,57,45,34,8,1,1003
"Desocupada (090)",29,26,1,12,7,1,3,2,,,3,56
"De 15 a 19 años (092)",4,3,,3,,,,,,,1,3
"De 20 a 24 años (093)",7,6,1,4,1,,,,,,1,6
"De 25 a 29 años (094)",9,8,,4,2,1,1,,,,1,15
"De 30 a 34 años (095)",5,5,,1,3,,1,,,,,11
"De 35 a 39 años (096)",3,3,,,1,,1,1,,,,14
"De 40 a 44 años (097)",1,1,,,,,,1,,,,7
"No PEA (100)",1751,1711,12,269,293,279,390,305,126,37,40,6819
"De 12 a 14 años (101)",3,2,,2,,,,,,,1,2
"De 15 a 19 años (102)",44,39,,35,1,2,1,,,,5,47
"De 20 a 24 años (103)",161,152,,94,51,6,1,,,,9,218
"De 25 a 29 años (104)",204,195,1,45,77,60,12,,,,9,428
"De 30 a 34 años (105)",178,174,1,23,57,43,47,3,,,4,487
"De 35 a 39 años (106)",176,174,,10,26,36,69,26,7,,2,700
"De 40 a 44 años (107)",159,157,,6,10,27,47,45,16,6,2,799
"De 45 a 49 años (108)",122,119,,5,4,12,40,39,17,2,3,646
"De 50 y más años (109)",704,699,10,49,67,93,173,192,86,29,5,3492
,,,,,,,,,,,,
"RURAL (120)",3890,3787,13,500,456,489,1025,796,390,118,103,17147
"De 12 a 14 años (121)",5,3,,3,,,,,,,2,3
"De 15 a 19 años (122)",120,109,1,87,20,1,,,,,11,130
"De 20 a 24 años (123)",306,278,1,135,102,33,7,,,,28,469
"De 25 a 29 años (124)",359,339,,82,98,94,61,4,,,20,846
"De 30 a 34 años (125)",399,387,,40,58,89,161,37,1,1,12,1383
"De 35 a 39 años (126)",376,372,,16,30,52,159,89,24,2,4,1733
"De 40 a 44 años (127)",359,355,1,24,15,20,100,128,60,7,4,1976
"De 45 a 49 años (128)",347,345,,19,16,22,88,105,77,18,2,2039
"De 50 y más años (129)",1619,1599,10,94,117,178,449,433,228,90,20,8568
"PEA (130)",570,544,2,109,62,63,139,100,53,16,26,2321
"De 12 a 14 años (131)",1,1,,1,,,,,,,,1
"De 15 a 19 años (132)",21,19,,17,2,,,,,,2,21
"De 20 a 24 años (133)",36,30,,19,9,2,,,,,6,43
"De 25 a 29 años (134)",57,50,,20,18,10,2,,,,7,95
"De 30 a 34 años (135)",83,76,,17,14,15,24,6,,,7,233
"De 35 a 39 años (136)",52,52,,3,5,7,22,13,2,,,236
"De 40 a 44 años (137)",75,74,,9,2,7,22,23,10,1,1,383
"De 45 a 49 años (138)",58,57,,7,2,5,16,10,14,3,1,315
"De 50 y más años (139)",187,185,2,16,10,17,53,48,27,12,2,994
"Ocupada (140)",556,533,2,104,62,61,137,99,52,16,23,2286
"De 12 a 14 años (141)",1,1,,1,,,,,,,,1
"De 15 a 19 años (142)",19,17,,15,2,,,,,,2,19
"De 20 a 24 años (143)",33,29,,18,9,2,,,,,4,42
"De 25 a 29 años (144)",56,49,,19,18,10,2,,,,7,94
"De 30 a 34 años (145)",82,76,,17,14,15,24,6,,,6,233
"De 35 a 39 años (146)",49,49,,2,5,6,21,13,2,,,227
"De 40 a 44 años (147)",72,71,,9,2,7,21,22,9,1,1,364
"De 45 a 49 años (148)",57,56,,7,2,4,16,10,14,3,1,312
"De 50 y más años (149)",187,185,2,16,10,17,53,48,27,12,2,994
"Desocupada (150)",14,11,,5,,2,2,1,1,,3,35
"De 15 a 19 años (152)",2,2,,2,,,,,,,,2
"De 20 a 24 años (153)",3,1,,1,,,,,,,2,1
"De 25 a 29 años (154)",1,1,,1,,,,,,,,1
"De 30 a 34 años (155)",1,,,,,,,,,,1,
"De 35 a 39 años (156)",3,3,,1,,1,1,,,,,9
"De 40 a 44 años (157)",3,3,,,,,1,1,1,,,19
"De 45 a 49 años (158)",1,1,,,,1,,,,,,3
"No PEA (160)",3320,3243,11,391,394,426,886,696,337,102,77,14826
"De 12 a 14 años (161)",4,2,,2,,,,,,,2,2
"De 15 a 19 años (162)",99,90,1,70,18,1,,,,,9,109
"De 20 a 24 años (163)",270,248,1,116,93,31,7,,,,22,426
"De 25 a 29 años (164)",302,289,,62,80,84,59,4,,,13,751
"De 30 a 34 años (165)",316,311,,23,44,74,137,31,1,1,5,1150
"De 35 a 39 años (166)",324,320,,13,25,45,137,76,22,2,4,1497
"De 40 a 44 años (167)",284,281,1,15,13,13,78,105,50,6,3,1593
"De 45 a 49 años (168)",289,288,,12,14,17,72,95,63,15,1,1724
"De 50 y más años (169)",1432,1414,8,78,107,161,396,385,201,78,18,7574
