"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
"No PEA (040)",5948,18749,16535,230,88.2,1.2,
"De 12 a 14 años (041)",544,1,1,,100,,
"De 15 a 19 años (042)",765,79,74,27,93.7,34.2,
"De 20 a 24 años (043)",559,408,398,53,97.5,13,
"De 25 a 29 años (044)",490,734,715,50,97.4,6.8,
"De 30 a 34 años (045)",376,942,904,47,96,5,
"De 35 a 39 años (046)",420,1347,1281,30,95.1,2.2,
"De 40 a 44 años (047)",401,1560,1486,22,95.3,1.4,
"De 45 a 49 años (048)",341,1630,1515,1,92.9,0.1,
"De 50 y más años (049)",2052,12048,10161,,84.3,,
,,,,,,,
"URBANA (060)",4451,12603,11246,173,89.2,1.4,
"De 12 a 14 años (061)",299,1,1,,100,,
"De 15 a 19 años (062)",496,53,50,18,94.3,34,
"De 20 a 24 años (063)",417,253,248,35,98,13.8,
"De 25 a 29 años (064)",453,549,533,44,97.1,8,
"De 30 a 34 años (065)",353,638,615,34,96.4,5.3,
"De 35 a 39 años (066)",373,974,931,28,95.6,2.9,
"De 40 a 44 años (067)",320,1116,1041,13,93.3,1.2,
"De 45 a 49 años (068)",277,1082,1027,1,94.9,0.1,
"De 50 y más años (069)",1463,7937,6800,,85.7,,
"PEA (070)",1134,2630,2407,36,91.5,1.4,
"De 12 a 14 años (071)",9,,,,,,
"De 15 a 19 años (072)",51,7,7,1,100,14.3,
"De 20 a 24 años (073)",118,44,43,3,97.7,6.8,
"De 25 a 29 años (074)",177,146,141,15,96.6,10.3,
"De 30 a 34 años (075)",143,179,175,6,97.8,3.4,
"De 35 a 39 años (076)",146,296,287,8,97,2.7,
"De 40 a 44 años (077)",100,313,287,2,91.7,0.6,
"De 45 a 49 años (078)",101,291,279,1,95.9,0.3,
"De 50 y más años (079)",289,1354,1188,,87.7,,
"Ocupada (080)",1069,2548,2334,35,91.6,1.4,
"De 12 a 14 años (081)",9,,,,,,
"De 15 a 19 años (082)",48,7,7,1,100,14.3,
"De 20 a 24 años (083)",103,36,35,2,97.2,5.6,
"De 25 a 29 años (084)",164,137,132,15,96.4,10.9,
"De 30 a 34 años (085)",131,171,167,6,97.7,3.5,
"De 35 a 39 años (086)",143,288,279,8,96.9,2.8,
"De 40 a 44 años (087)",97,308,282,2,91.6,0.6,
"De 45 a 49 años (088)",95,278,268,1,96.4,0.4,
"De 50 y más años (089)",279,1323,1164,,88,,
"Desocupada (090)",65,82,73,1,89,1.2,
"De 15 a 19 años (092)",3,,,,,,
"De 20 a 24 años (093)",15,8,8,1,100,12.5,
"De 25 a 29 años (094)",13,9,9,,100,,
"De 30 a 34 años (095)",12,8,8,,100,,
"De 35 a 39 años (096)",3,8,8,,100,,
"De 40 a 44 años (097)",3,5,5,,100,,
"De 45 a 49 años (098)",6,13,11,,84.6,,
"De 50 y más años (099)",10,31,24,,77.4,,
"No PEA (100)",3317,9973,8839,137,88.6,1.4,
"De 12 a 14 años (101)",290,1,1,,100,,
"De 15 a 19 años (102)",445,46,43,17,93.5,37,
"De 20 a 24 años (103)",299,209,205,32,98.1,15.3,
"De 25 a 29 años (104)",276,403,392,29,97.3,7.2,
"De 30 a 34 años (105)",210,459,440,28,95.9,6.1,
"De 35 a 39 años (106)",227,678,644,20,95,2.9,
"De 40 a 44 años (107)",220,803,754,11,93.9,1.4,
"De 45 a 49 años (108)",176,791,748,,94.6,,
"De 50 y más años (109)",1174,6583,5612,,85.2,,
,,,,,,,
"RURAL (120)",3147,10256,9042,119,88.2,1.2,
"De 12 a 14 años (121)",262,,,,,,
"De 15 a 19 años (122)",364,41,38,14,92.7,34.1,
"De 20 a 24 años (123)",330,260,250,29,96.2,11.2,
"De 25 a 29 años (124)",287,405,396,25,97.8,6.2,
"De 30 a 34 años (125)",225,612,588,25,96.1,4.1,
"De 35 a 39 años (126)",236,780,744,14,95.4,1.8,
"De 40 a 44 años (127)",240,972,938,11,96.5,1.1,
"De 45 a 49 años (128)",207,1058,965,1,91.2,0.1,
"De 50 y más años (129)",996,6128,5123,,83.6,,
"PEA (130)",516,1480,1346,24,90.9,1.6,
"De 12 a 14 años (131)",8,,,,,,
"De 15 a 19 años (132)",44,8,7,4,87.5,50,
"De 20 a 24 años (133)",70,61,57,8,93.4,13.1,
"De 25 a 29 años (134)",73,74,73,4,98.6,5.4,
"De 30 a 34 años (135)",59,129,124,5,96.1,3.9,
"De 35 a 39 años (136)",43,111,107,3,96.4,2.7,
"De 40 a 44 años (137)",59,215,206,,95.8,,
"De 45 a 49 años (138)",42,219,198,,90.4,,
"De 50 y más años (139)",118,663,574,,86.6,,
"Ocupada (140)",489,1460,1327,24,90.9,1.6,
"De 12 a 14 años (141)",8,,,,,,
"De 15 a 19 años (142)",33,8,7,4,87.5,50,
"De 20 a 24 años (143)",62,56,52,8,92.9,14.3,
"De 25 a 29 años (144)",71,73,72,4,98.6,5.5,
"De 30 a 34 años (145)",57,126,121,5,96,4,
"De 35 a 39 años (146)",41,106,102,3,96.2,2.8,
"De 40 a 44 años (147)",58,211,202,,95.7,,
"De 45 a 49 años (148)",42,219,198,,90.4,,
"De 50 y más años (149)",117,661,573,,86.7,,
"Desocupada (150)",27,20,19,,95,,
"De 15 a 19 años (152)",11,,,,,,
"De 20 a 24 años (153)",8,5,5,,100,,
"De 25 a 29 años (154)",2,1,1,,100,,
"De 30 a 34 años (155)",2,3,3,,100,,
"De 35 a 39 años (156)",2,5,5,,100,,
"De 40 a 44 años (157)",1,4,4,,100,,
"De 50 y más años (159)",1,2,1,,50,,
"No PEA (160)",2631,8776,7696,95,87.7,1.1,
"De 12 a 14 años (161)",254,,,,,,
"De 15 a 19 años (162)",320,33,31,10,93.9,30.3,
"De 20 a 24 años (163)",260,199,193,21,97,10.6,
"De 25 a 29 años (164)",214,331,323,21,97.6,6.3,
"De 30 a 34 años (165)",166,483,464,20,96.1,4.1,
"De 35 a 39 años (166)",193,669,637,11,95.2,1.6,
"De 40 a 44 años (167)",181,757,732,11,96.7,1.5,
"De 45 a 49 años (168)",165,839,767,1,91.4,0.1,
"De 50 y más años (169)",878,5465,4549,,83.2,,
