"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Otras activ. serv.comun.soc y personales (041)",398,6,127,127,106,32
"Hogares privados con servicio doméstico (042)",47,4,31,6,4,2
"Actividad economica no especificada (044)",180,,62,66,43,9
"Desocupado (045)",670,5,268,210,153,34
"Mujeres (046)",7641,61,2514,2986,1842,238
"Agric., ganadería, caza y silvicultura (047)",1667,6,453,714,432,62
"Pesca (048)",16,,7,5,3,1
"Explotación de minas y canteras (049)",155,1,84,49,21,
"Industrias manufactureras (050)",216,,59,83,63,11
"Suministro de electricidad, gas y agua (051)",4,,1,2,1,
"Construcción (052)",31,,10,18,2,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",1962,18,556,720,558,110
"Venta, mant.y rep. veh.autom.y motoc. (054)",32,,11,16,4,1
"Comercio al por mayor (055)",68,,24,24,16,4
"Comercio al por menor (056)",1862,18,521,680,538,105
"Hoteles y restaurantes (057)",692,12,254,214,187,25
"Trans., almac. y comunicaciones (058)",147,1,80,44,21,1
"Intermediación financiera (059)",37,,20,13,4,
"Activid.inmobil., empres. y alquileres (060)",195,2,84,73,36,
"Admin.pub. y defensa; p. segur.soc afil (061)",219,,74,88,57,
"Enseñanza (062)",707,,166,388,152,1
"Servicios sociales y de salud (063)",256,,62,110,80,4
"Otras activ. serv.comun.soc y personales (064)",312,1,119,126,63,3
"Hogares privados con servicio doméstico (065)",411,15,220,104,69,3
"Actividad economica no especificada (067)",260,1,85,109,51,14
"Desocupado (068)",354,4,180,126,42,2
,,,,,,
"URBANA (069)",18855,153,5528,7161,5092,921
"Agric., ganadería, caza y silvicultura (070)",5296,31,1288,1964,1583,430
"Pesca (071)",615,2,192,247,163,11
"Explotación de minas y canteras (072)",289,1,120,117,46,5
"Industrias manufactureras (073)",720,9,209,263,204,35
"Suministro de electricidad, gas y agua (074)",42,,6,13,22,1
"Construcción (075)",913,3,273,369,235,33
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",3260,36,925,1178,930,191
"Venta, mant.y rep. veh.autom.y motoc. (077)",338,,122,129,77,10
"Comercio al por mayor (078)",179,,62,66,43,8
"Comercio al por menor (079)",2743,36,741,983,810,173
"Hoteles y restaurantes (080)",919,18,341,287,239,34
"Trans., almac. y comunicaciones (081)",1592,16,493,599,435,49
"Intermediación financiera (082)",82,,32,39,9,2
"Activid.inmobil., empres. y alquileres (083)",592,3,198,254,125,12
"Admin.pub. y defensa; p. segur.soc afil (084)",700,,164,314,212,10
"Enseñanza (085)",1045,,216,549,272,8
"Servicios sociales y de salud (086)",368,,73,161,125,9
"Otras activ. serv.comun.soc y personales (087)",669,7,231,239,159,33
"Hogares privados con servicio doméstico (088)",433,19,237,103,70,4
"Actividad economica no especificada (090)",353,1,103,145,83,21
"Desocupado (091)",967,7,427,320,180,33
"Hombres (092)",12040,96,3365,4474,3398,707
"Agric., ganadería, caza y silvicultura (093)",3881,25,903,1358,1213,382
"Pesca (094)",603,2,187,243,161,10
"Explotación de minas y canteras (095)",268,1,111,110,41,5
"Industrias manufactureras (096)",520,9,158,186,143,24
"Suministro de electricidad, gas y agua (097)",39,,5,12,21,1
"Construcción (098)",883,3,264,351,233,32
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",1464,20,432,515,407,90
"Venta, mant.y rep. veh.autom.y motoc. (100)",307,,112,113,73,9
"Comercio al por mayor (101)",113,,38,44,27,4
"Comercio al por menor (102)",1044,20,282,358,307,77
"Hoteles y restaurantes (103)",300,7,126,93,64,10
"Trans., almac. y comunicaciones (104)",1448,15,416,555,414,48
"Intermediación financiera (105)",46,,13,26,5,2
"Activid.inmobil., empres. y alquileres (106)",407,1,121,183,90,12
"Admin.pub. y defensa; p. segur.soc afil (107)",497,,96,233,158,10
"Enseñanza (108)",365,,58,176,124,7
"Servicios sociales y de salud (109)",117,,14,53,45,5
"Otras activ. serv.comun.soc y personales (110)",378,6,124,119,99,30
"Hogares privados con servicio doméstico (111)",42,4,29,5,3,1
"Actividad economica no especificada (113)",157,,54,59,37,7
"Desocupado (114)",625,3,254,197,140,31
"Mujeres (115)",6815,57,2163,2687,1694,214
"Agric., ganadería, caza y silvicultura (116)",1415,6,385,606,370,48
"Pesca (117)",12,,5,4,2,1
"Explotación de minas y canteras (118)",21,,9,7,5,
"Industrias manufactureras (119)",200,,51,77,61,11
"Suministro de electricidad, gas y agua (120)",3,,1,1,1,
"Construcción (121)",30,,9,18,2,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",1796,16,493,663,523,101
"Venta, mant.y rep. veh.autom.y motoc. (123)",31,,10,16,4,1
"Comercio al por mayor (124)",66,,24,22,16,4
"Comercio al por menor (125)",1699,16,459,625,503,96
"Hoteles y restaurantes (126)",619,11,215,194,175,24
"Trans., almac. y comunicaciones (127)",144,1,77,44,21,1
"Intermediación financiera (128)",36,,19,13,4,
"Activid.inmobil., empres. y alquileres (129)",185,2,77,71,35,
"Admin.pub. y defensa; p. segur.soc afil (130)",203,,68,81,54,
"Enseñanza (131)",680,,158,373,148,1
"Servicios sociales y de salud (132)",251,,59,108,80,4
"Otras activ. serv.comun.soc y personales (133)",291,1,107,120,60,3
"Hogares privados con servicio doméstico (134)",391,15,208,98,67,3
"Actividad economica no especificada (136)",196,1,49,86,46,14
"Desocupado (137)",342,4,173,123,40,2
,,,,,,
"RURAL (138)",4351,27,1877,1437,801,209
"Agric., ganadería, caza y silvicultura (139)",1166,6,290,373,341,156
"Pesca (140)",407,1,149,162,83,12
"Explotación de minas y canteras (141)",1913,11,1084,600,208,10
"Industrias manufactureras (142)",55,,26,16,11,2
"Suministro de electricidad, gas y agua (143)",2,,1,1,,
"Construcción (144)",51,,13,24,14,
"Comerc., rep. veh. autom.,motoc. efect. pers. (145)",243,3,91,82,54,13
"Venta, mant.y rep. veh.autom.y motoc. (146)",15,,8,6,1,
"Comercio al por mayor (147)",5,,1,4,,
"Comercio al por menor (148)",223,3,82,72,53,13
"Hoteles y restaurantes (149)",97,2,48,29,16,2
"Trans., almac. y comunicaciones (150)",81,2,36,24,17,2
"Intermediación financiera (151)",1,,1,,,
"Activid.inmobil., empres. y alquileres (152)",51,,20,22,6,3
"Admin.pub. y defensa; p. segur.soc afil (153)",30,,8,14,7,1
"Enseñanza (154)",36,,10,21,5,
"Servicios sociales y de salud (155)",8,,6,2,,
"Otras activ. serv.comun.soc y personales (156)",41,,15,14,10,2
"Hogares privados con servicio doméstico (157)",25,,14,7,3,1
"Actividad economica no especificada (159)",87,,44,30,11,2
"Desocupado (160)",57,2,21,16,15,3
"Hombres (161)",3525,23,1526,1138,653,185
"Agric., ganadería, caza y silvicultura (162)",914,6,222,265,279,142
"Pesca (163)",403,1,147,161,82,12
"Explotación de minas y canteras (164)",1779,10,1009,558,192,10
"Industrias manufactureras (165)",39,,18,10,9,2
"Suministro de electricidad, gas y agua (166)",1,,1,,,
"Construcción (167)",50,,12,24,14,
"Comerc., rep. veh. autom.,motoc. efect. pers. (168)",77,1,28,25,19,4
"Venta, mant.y rep. veh.autom.y motoc. (169)",14,,7,6,1,
"Comercio al por mayor (170)",3,,1,2,,
"Comercio al por menor (171)",60,1,20,17,18,4
"Hoteles y restaurantes (172)",24,1,9,9,4,1
"Trans., almac. y comunicaciones (173)",78,2,33,24,17,2
"Activid.inmobil., empres. y alquileres (175)",41,,13,20,5,3
"Admin.pub. y defensa; p. segur.soc afil (176)",14,,2,7,4,1
"Enseñanza (177)",9,,2,6,1,
"Servicios sociales y de salud (178)",3,,3,,,
"Otras activ. serv.comun.soc y personales (179)",20,,3,8,7,2
"Hogares privados con servicio doméstico (180)",5,,2,1,1,1
"Actividad economica no especificada (182)",23,,8,7,6,2
"Desocupado (183)",45,2,14,13,13,3
"Mujeres (184)",826,4,351,299,148,24
"Agric., ganadería, caza y silvicultura (185)",252,,68,108,62,14
"Pesca (186)",4,,2,1,1,
"Explotación de minas y canteras (187)",134,1,75,42,16,
"Industrias manufactureras (188)",16,,8,6,2,
"Suministro de electricidad, gas y agua (189)",1,,,1,,
"Construcción (190)",1,,1,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (191)",166,2,63,57,35,9
"Venta, mant.y rep. veh.autom.y motoc. (192)",1,,1,,,
"Comercio al por mayor (193)",2,,,2,,
"Comercio al por menor (194)",163,2,62,55,35,9
"Hoteles y restaurantes (195)",73,1,39,20,12,1
"Trans., almac. y comunicaciones (196)",3,,3,,,
"Intermediación financiera (197)",1,,1,,,
"Activid.inmobil., empres. y alquileres (198)",10,,7,2,1,
"Admin.pub. y defensa; p. segur.soc afil (199)",16,,6,7,3,
"Enseñanza (200)",27,,8,15,4,
"Servicios sociales y de salud (201)",5,,3,2,,
"Otras activ. serv.comun.soc y personales (202)",21,,12,6,3,
"Hogares privados con servicio doméstico (203)",20,,12,6,2,
"Actividad economica no especificada (205)",64,,36,23,5,
"Desocupado (206)",12,,7,3,2,
