"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"URBANA (060)",6619,4244,464,460,1451
"Sin nivel (061)",318,265,9,9,35
"Educación inicial (062)",7,3,,,4
"Primaria (063)",1799,1457,87,74,181
"Secundaria (064)",1986,1441,160,101,284
"Superior no univ. incompleta (065)",388,241,33,24,90
"Superior no univ. completa (066)",995,398,79,116,402
"Superior univ. incompleta (067)",298,151,32,26,89
"Superior univ. completa (068)",828,288,64,110,366
"De 06 a 14 años (070)",70,66,2,2,
"Primaria (073)",55,51,2,2,
"Secundaria (074)",15,15,,,
"De 15 a 29 años (080)",1904,1208,167,121,408
"Sin nivel (081)",40,27,2,1,10
"Educación inicial (082)",6,3,,,3
"Primaria (083)",397,275,16,30,76
"Secundaria (084)",840,597,77,44,122
"Superior no univ. incompleta (085)",149,100,21,8,20
"Superior no univ. completa (086)",240,114,29,19,78
"Superior univ. incompleta (087)",105,56,12,8,29
"Superior univ. completa (088)",127,36,10,11,70
"De 30 a 44 años (090)",2471,1417,171,226,657
"Sin nivel (091)",78,59,1,4,14
"Educación inicial (092)",1,,,,1
"Primaria (093)",542,421,29,24,68
"Secundaria (094)",667,479,52,44,92
"Superior no univ. incompleta (095)",158,97,10,7,44
"Superior no univ. completa (096)",509,183,34,70,222
"Superior univ. incompleta (097)",109,51,10,13,35
"Superior univ. completa (098)",407,127,35,64,181
"De 45 a 64 años (100)",1781,1199,110,101,371
"Sin nivel (101)",127,108,4,4,11
"Primaria (103)",599,514,35,17,33
"Secundaria (104)",409,309,26,9,65
"Superior no univ. incompleta (105)",76,39,2,9,26
"Superior no univ. completa (106)",227,87,16,25,99
"Superior univ. incompleta (107)",76,38,9,4,25
"Superior univ. completa (108)",267,104,18,33,112
"De 65 y más años (110)",393,354,14,10,15
"Sin nivel (111)",73,71,2,,
"Primaria (113)",206,196,5,1,4
"Secundaria (114)",55,41,5,4,5
"Superior no univ. incompleta (115)",5,5,,,
"Superior no univ. completa (116)",19,14,,2,3
"Superior univ. incompleta (117)",8,6,1,1,
"Superior univ. completa (118)",27,21,1,2,3
,,,,,
"RURAL (120)",9478,8172,471,332,503
"Sin nivel (121)",1865,1728,70,39,28
"Educación inicial (122)",15,12,1,,2
"Primaria (123)",5438,4775,250,181,232
"Secundaria (124)",1670,1374,90,64,142
"Superior no univ. incompleta (125)",112,77,16,5,14
"Superior no univ. completa (126)",247,131,34,30,52
"Superior univ. incompleta (127)",53,32,2,5,14
"Superior univ. completa (128)",78,43,8,8,19
"De 06 a 14 años (130)",263,250,8,1,4
"Sin nivel (131)",36,34,2,,
"Educación inicial (132)",2,2,,,
"Primaria (133)",204,193,6,1,4
"Secundaria (134)",21,21,,,
"De 15 a 29 años (140)",3064,2512,186,136,230
"Sin nivel (141)",274,245,11,8,10
"Educación inicial (142)",10,8,1,,1
"Primaria (143)",1721,1435,110,76,100
"Secundaria (144)",911,739,47,41,84
"Superior no univ. incompleta (145)",41,30,4,1,6
"Superior no univ. completa (146)",69,39,11,5,14
"Superior univ. incompleta (147)",18,9,1,2,6
"Superior univ. completa (148)",20,7,1,3,9
"De 30 a 44 años (150)",3037,2523,185,132,197
"Sin nivel (151)",536,484,25,17,10
"Educación inicial (152)",3,2,,,1
"Primaria (153)",1739,1481,96,73,89
"Secundaria (154)",534,438,35,16,45
"Superior no univ. incompleta (155)",47,30,7,4,6
"Superior no univ. completa (156)",127,58,19,19,31
"Superior univ. incompleta (157)",19,11,1,1,6
"Superior univ. completa (158)",32,19,2,2,9
"De 45 a 64 años (160)",2268,2063,82,56,67
"Sin nivel (161)",681,635,28,11,7
"Primaria (163)",1306,1207,34,29,36
"Secundaria (164)",173,147,8,6,12
"Superior no univ. incompleta (165)",23,17,4,,2
"Superior no univ. completa (166)",48,32,3,6,7
"Superior univ. incompleta (167)",13,10,,1,2
"Superior univ. completa (168)",24,15,5,3,1
"De 65 y más años (170)",846,824,10,7,5
"Sin nivel (171)",338,330,4,3,1
"Primaria (173)",468,459,4,2,3
"Secundaria (174)",31,29,,1,1
"Superior no univ. incompleta (175)",1,,1,,
"Superior no univ. completa (176)",3,2,1,,
"Superior univ. incompleta (177)",3,2,,1,
"Superior univ. completa (178)",2,2,,,
