"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
"De 30 a 34 años (045)",5255,,,,3,833,3379,1040
"De 35 a 39 años (046)",4786,,,,48,1384,2641,713
"De 40 a 44 años (047)",3876,,,,195,1538,1626,517
"De 45 a 49 años (048)",3515,,,15,498,1710,810,482
"De 50 y más años (049)",14375,384,1237,2909,4131,2451,181,3082
,,,,,,,,
"URBANA (060)",43659,287,990,2527,5199,9144,13855,11657
"De 12 a 14 años (061)",45,,,,,,3,42
"De 15 a 19 años (062)",890,,,,,,542,348
"De 20 a 24 años (063)",4666,,,,,12,2309,2345
"De 25 a 29 años (064)",5576,,,,,322,3114,2140
"De 30 a 34 años (065)",5447,,,,6,936,3047,1458
"De 35 a 39 años (066)",5492,,,,91,1729,2616,1056
"De 40 a 44 años (067)",4859,,,1,345,2114,1523,876
"De 45 a 49 años (068)",4080,,,26,830,1983,591,650
"De 50 y más años (069)",12604,287,990,2500,3927,2048,110,2742
"PEA (070)",19259,19,129,627,2288,4992,6034,5170
"De 12 a 14 años (071)",7,,,,,,1,6
"De 15 a 19 años (072)",211,,,,,,125,86
"De 20 a 24 años (073)",1564,,,,,4,706,854
"De 25 a 29 años (074)",2510,,,,,163,1248,1099
"De 30 a 34 años (075)",2725,,,,3,512,1416,794
"De 35 a 39 años (076)",3027,,,,60,973,1368,626
"De 40 a 44 años (077)",2838,,,1,218,1273,806,540
"De 45 a 49 años (078)",2280,,,15,471,1116,311,367
"De 50 y más años (079)",4097,19,129,611,1536,951,53,798
"Ocupada (080)",18325,17,125,615,2232,4812,5700,4824
"De 12 a 14 años (081)",7,,,,,,1,6
"De 15 a 19 años (082)",188,,,,,,113,75
"De 20 a 24 años (083)",1391,,,,,4,646,741
"De 25 a 29 años (084)",2315,,,,,148,1164,1003
"De 30 a 34 años (085)",2548,,,,3,484,1323,738
"De 35 a 39 años (086)",2909,,,,59,931,1325,594
"De 40 a 44 años (087)",2752,,,1,215,1234,773,529
"De 45 a 49 años (088)",2215,,,15,454,1087,302,357
"De 50 y más años (089)",4000,17,125,599,1501,924,53,781
"Desocupada (090)",934,2,4,12,56,180,334,346
"De 15 a 19 años (092)",23,,,,,,12,11
"De 20 a 24 años (093)",173,,,,,,60,113
"De 25 a 29 años (094)",195,,,,,15,84,96
"De 30 a 34 años (095)",177,,,,,28,93,56
"De 35 a 39 años (096)",118,,,,1,42,43,32
"De 40 a 44 años (097)",86,,,,3,39,33,11
"De 45 a 49 años (098)",65,,,,17,29,9,10
"De 50 y más años (099)",97,2,4,12,35,27,,17
"No PEA (100)",24400,268,861,1900,2911,4152,7821,6487
"De 12 a 14 años (101)",38,,,,,,2,36
"De 15 a 19 años (102)",679,,,,,,417,262
"De 20 a 24 años (103)",3102,,,,,8,1603,1491
"De 25 a 29 años (104)",3066,,,,,159,1866,1041
"De 30 a 34 años (105)",2722,,,,3,424,1631,664
"De 35 a 39 años (106)",2465,,,,31,756,1248,430
"De 40 a 44 años (107)",2021,,,,127,841,717,336
"De 45 a 49 años (108)",1800,,,11,359,867,280,283
"De 50 y más años (109)",8507,268,861,1889,2391,1097,57,1944
,,,,,,,,
"RURAL (120)",25421,126,417,1215,2463,5303,11061,4836
"De 12 a 14 años (121)",52,,,,,,9,43
"De 15 a 19 años (122)",988,,,,,,688,300
"De 20 a 24 años (123)",3099,,,,,13,2148,938
"De 25 a 29 años (124)",3473,,,,,226,2442,805
"De 30 a 34 años (125)",3191,,,,1,525,2150,515
"De 35 a 39 años (126)",2969,,,,25,844,1703,397
"De 40 a 44 años (127)",2408,,,,103,932,1134,239
"De 45 a 49 años (128)",2182,,,6,204,1069,645,258
"De 50 y más años (129)",7059,126,417,1209,2130,1694,142,1341
"PEA (130)",4842,10,41,191,499,1185,1908,1008
"De 12 a 14 años (131)",9,,,,,,2,7
"De 15 a 19 años (132)",122,,,,,,88,34
"De 20 a 24 años (133)",520,,,,,1,325,194
"De 25 a 29 años (134)",674,,,,,51,423,200
"De 30 a 34 años (135)",658,,,,1,116,402,139
"De 35 a 39 años (136)",648,,,,8,216,310,114
"De 40 a 44 años (137)",553,,,,35,235,225,58
"De 45 a 49 años (138)",467,,,2,65,226,115,59
"De 50 y más años (139)",1191,10,41,189,390,340,18,203
"Ocupada (140)",4626,10,38,184,488,1153,1832,921
"De 12 a 14 años (141)",8,,,,,,2,6
"De 15 a 19 años (142)",116,,,,,,86,30
"De 20 a 24 años (143)",478,,,,,1,306,171
"De 25 a 29 años (144)",633,,,,,49,407,177
"De 30 a 34 años (145)",619,,,,1,112,385,121
"De 35 a 39 años (146)",622,,,,7,209,301,105
"De 40 a 44 años (147)",537,,,,35,232,215,55
"De 45 a 49 años (148)",453,,,2,64,216,113,58
"De 50 y más años (149)",1160,10,38,182,381,334,17,198
"Desocupada (150)",216,,3,7,11,32,76,87
"De 12 a 14 años (151)",1,,,,,,,1
"De 15 a 19 años (152)",6,,,,,,2,4
"De 20 a 24 años (153)",42,,,,,,19,23
"De 25 a 29 años (154)",41,,,,,2,16,23
"De 30 a 34 años (155)",39,,,,,4,17,18
"De 35 a 39 años (156)",26,,,,1,7,9,9
"De 40 a 44 años (157)",16,,,,,3,10,3
"De 45 a 49 años (158)",14,,,,1,10,2,1
"De 50 y más años (159)",31,,3,7,9,6,1,5
"No PEA (160)",20579,116,376,1024,1964,4118,9153,3828
"De 12 a 14 años (161)",43,,,,,,7,36
"De 15 a 19 años (162)",866,,,,,,600,266
"De 20 a 24 años (163)",2579,,,,,12,1823,744
"De 25 a 29 años (164)",2799,,,,,175,2019,605
"De 30 a 34 años (165)",2533,,,,,409,1748,376
"De 35 a 39 años (166)",2321,,,,17,628,1393,283
"De 40 a 44 años (167)",1855,,,,68,697,909,181
"De 45 a 49 años (168)",1715,,,4,139,843,530,199
"De 50 y más años (169)",5868,116,376,1020,1740,1354,124,1138
