"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,,,,
"URBANA (060)",21840,16102,2335,1635,1768
"Sin nivel (061)",549,509,29,7,4
"Educación inicial (062)",26,23,2,,1
"Primaria (063)",7974,6906,637,237,194
"Secundaria (064)",8288,6428,839,489,532
"Superior no univ. incompleta (065)",1068,670,165,101,132
"Superior no univ. completa (066)",1596,669,267,318,342
"Superior univ. incompleta (067)",690,371,107,89,123
"Superior univ. completa (068)",1649,526,289,394,440
"De 06 a 14 años (070)",681,607,59,13,2
"Sin nivel (071)",21,20,1,,
"Educación inicial (072)",10,10,,,
"Primaria (073)",487,437,41,9,
"Secundaria (074)",163,140,17,4,2
"De 15 a 29 años (080)",7186,5424,811,465,486
"Sin nivel (081)",74,69,2,2,1
"Educación inicial (082)",5,4,1,,
"Primaria (083)",1770,1487,164,60,59
"Secundaria (084)",3693,2943,379,205,166
"Superior no univ. incompleta (085)",525,361,82,33,49
"Superior no univ. completa (086)",479,236,80,68,95
"Superior univ. incompleta (087)",290,181,38,32,39
"Superior univ. completa (088)",350,143,65,65,77
"De 30 a 44 años (090)",7618,5167,899,742,810
"Sin nivel (091)",108,97,8,2,1
"Educación inicial (092)",11,9,1,,1
"Primaria (093)",2445,2049,229,93,74
"Secundaria (094)",2836,2179,268,180,209
"Superior no univ. incompleta (095)",370,213,58,48,51
"Superior no univ. completa (096)",759,289,135,159,176
"Superior univ. incompleta (097)",258,113,50,42,53
"Superior univ. completa (098)",831,218,150,218,245
"De 45 a 64 años (100)",5379,4020,512,394,453
"Sin nivel (101)",213,194,15,2,2
"Primaria (103)",2565,2282,163,63,57
"Secundaria (104)",1510,1097,168,98,147
"Superior no univ. incompleta (105)",162,88,24,18,32
"Superior no univ. completa (106)",349,138,51,91,69
"Superior univ. incompleta (107)",133,70,18,15,30
"Superior univ. completa (108)",447,151,73,107,116
"De 65 y más años (110)",976,884,54,21,17
"Sin nivel (111)",133,129,3,1,
"Primaria (113)",707,651,40,12,4
"Secundaria (114)",86,69,7,2,8
"Superior no univ. incompleta (115)",11,8,1,2,
"Superior no univ. completa (116)",9,6,1,,2
"Superior univ. incompleta (117)",9,7,1,,1
"Superior univ. completa (118)",21,14,1,4,2
,,,,,
"RURAL (120)",11532,10537,797,136,62
"Sin nivel (121)",1545,1446,89,8,2
"Educación inicial (122)",12,10,2,,
"Primaria (123)",7447,6919,466,54,8
"Secundaria (124)",2123,1930,147,29,17
"Superior no univ. incompleta (125)",96,67,15,9,5
"Superior no univ. completa (126)",153,77,44,16,16
"Superior univ. incompleta (127)",47,38,5,3,1
"Superior univ. completa (128)",109,50,29,17,13
"De 06 a 14 años (130)",419,373,39,6,1
"Sin nivel (131)",53,53,,,
"Educación inicial (132)",5,5,,,
"Primaria (133)",335,291,37,6,1
"Secundaria (134)",26,24,2,,
"De 15 a 29 años (140)",4359,3987,301,50,21
"Sin nivel (141)",298,275,21,1,1
"Educación inicial (142)",7,5,2,,
"Primaria (143)",2786,2592,170,21,3
"Secundaria (144)",1149,1046,77,18,8
"Superior no univ. incompleta (145)",42,30,8,3,1
"Superior no univ. completa (146)",32,13,11,5,3
"Superior univ. incompleta (147)",19,17,2,,
"Superior univ. completa (148)",26,9,10,2,5
"De 30 a 44 años (150)",3802,3448,274,50,30
"Sin nivel (151)",540,505,33,2,
"Primaria (153)",2370,2209,144,14,3
"Secundaria (154)",676,613,49,9,5
"Superior no univ. incompleta (155)",44,30,5,5,4
"Superior no univ. completa (156)",92,49,27,7,9
"Superior univ. incompleta (157)",22,16,2,3,1
"Superior univ. completa (158)",58,26,14,10,8
"De 45 a 64 años (160)",2476,2274,165,27,10
"Sin nivel (161)",533,495,32,5,1
"Primaria (163)",1619,1507,101,10,1
"Secundaria (164)",257,233,18,2,4
"Superior no univ. incompleta (165)",10,7,2,1,
"Superior no univ. completa (166)",29,15,6,4,4
"Superior univ. incompleta (167)",5,4,1,,
"Superior univ. completa (168)",23,13,5,5,
"De 65 y más años (170)",476,455,18,3,
"Sin nivel (171)",121,118,3,,
"Primaria (173)",337,320,14,3,
"Secundaria (174)",15,14,1,,
"Superior univ. incompleta (177)",1,1,,,
"Superior univ. completa (178)",2,2,,,
