"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Otras activ. serv.comun.soc y personales (041)",319,5,102,122,73,17
"Hogares privados con servicio doméstico (042)",16,,8,6,1,1
"Actividad economica no especificada (044)",139,,55,28,42,14
"Desocupado (045)",1318,28,590,374,267,59
"Mujeres (046)",8096,135,2503,3213,1988,257
"Agric., ganadería, caza y silvicultura (047)",1757,82,582,637,396,60
"Pesca (048)",2,,2,,,
"Explotación de minas y canteras (049)",1,,1,,,
"Industrias manufactureras (050)",236,2,58,83,84,9
"Suministro de electricidad, gas y agua (051)",7,,6,1,,
"Construcción (052)",34,1,12,14,6,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",2230,26,527,893,674,110
"Venta, mant.y rep. veh.autom.y motoc. (054)",34,,18,10,5,1
"Comercio al por mayor (055)",89,3,20,43,22,1
"Comercio al por menor (056)",2107,23,489,840,647,108
"Hoteles y restaurantes (057)",664,6,184,238,209,27
"Trans., almac. y comunicaciones (058)",110,,62,39,9,
"Intermediación financiera (059)",49,,31,14,4,
"Activid.inmobil., empres. y alquileres (060)",172,,80,67,25,
"Admin.pub. y defensa; p. segur.soc afil (061)",161,,50,73,38,
"Enseñanza (062)",933,,151,587,192,3
"Servicios sociales y de salud (063)",218,,47,94,75,2
"Otras activ. serv.comun.soc y personales (064)",205,3,70,74,53,5
"Hogares privados con servicio doméstico (065)",590,7,265,189,116,13
"Actividad economica no especificada (067)",279,,99,90,69,21
"Desocupado (068)",448,8,276,120,38,6
,,,,,,
"URBANA (069)",23706,389,7350,8703,6145,1119
"Agric., ganadería, caza y silvicultura (070)",7690,212,2423,2526,2063,466
"Pesca (071)",34,,9,15,9,1
"Explotación de minas y canteras (072)",22,,10,8,4,
"Industrias manufactureras (073)",1072,10,316,350,323,73
"Suministro de electricidad, gas y agua (074)",51,,18,26,7,
"Construcción (075)",1097,5,344,446,263,39
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",4828,91,1233,1816,1404,284
"Venta, mant.y rep. veh.autom.y motoc. (077)",400,5,149,142,83,21
"Comercio al por mayor (078)",249,6,67,108,64,4
"Comercio al por menor (079)",4179,80,1017,1566,1257,259
"Hoteles y restaurantes (080)",962,18,280,325,294,45
"Trans., almac. y comunicaciones (081)",2075,9,790,844,382,50
"Intermediación financiera (082)",119,,65,41,13,
"Activid.inmobil., empres. y alquileres (083)",610,2,229,243,127,9
"Admin.pub. y defensa; p. segur.soc afil (084)",466,,100,190,168,8
"Enseñanza (085)",1444,,203,852,375,14
"Servicios sociales y de salud (086)",353,,64,150,130,9
"Otras activ. serv.comun.soc y personales (087)",504,8,167,184,124,21
"Hogares privados con servicio doméstico (088)",571,7,257,184,110,13
"Actividad economica no especificada (090)",383,,142,108,101,32
"Desocupado (091)",1425,27,700,395,248,55
"Hombres (092)",16360,279,5141,5748,4305,887
"Agric., ganadería, caza y silvicultura (093)",6422,152,2023,2061,1763,423
"Pesca (094)",32,,7,15,9,1
"Explotación de minas y canteras (095)",21,,9,8,4,
"Industrias manufactureras (096)",844,8,263,269,240,64
"Suministro de electricidad, gas y agua (097)",44,,12,25,7,
"Construcción (098)",1074,5,336,435,260,38
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",2665,66,731,943,749,176
"Venta, mant.y rep. veh.autom.y motoc. (100)",367,5,132,132,78,20
"Comercio al por mayor (101)",162,3,48,66,42,3
"Comercio al por menor (102)",2136,58,551,745,629,153
"Hoteles y restaurantes (103)",315,12,100,92,91,20
"Trans., almac. y comunicaciones (104)",1968,9,728,807,374,50
"Intermediación financiera (105)",71,,35,27,9,
"Activid.inmobil., empres. y alquileres (106)",443,2,154,176,102,9
"Admin.pub. y defensa; p. segur.soc afil (107)",310,,53,118,131,8
"Enseñanza (108)",542,,63,281,187,11
"Servicios sociales y de salud (109)",143,,19,61,56,7
"Otras activ. serv.comun.soc y personales (110)",304,5,99,113,71,16
"Hogares privados con servicio doméstico (111)",16,,8,6,1,1
"Actividad economica no especificada (113)",124,,52,24,36,12
"Desocupado (114)",1022,20,449,287,215,51
"Mujeres (115)",7346,110,2209,2955,1840,232
"Agric., ganadería, caza y silvicultura (116)",1268,60,400,465,300,43
"Pesca (117)",2,,2,,,
"Explotación de minas y canteras (118)",1,,1,,,
"Industrias manufactureras (119)",228,2,53,81,83,9
"Suministro de electricidad, gas y agua (120)",7,,6,1,,
"Construcción (121)",23,,8,11,3,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",2163,25,502,873,655,108
"Venta, mant.y rep. veh.autom.y motoc. (123)",33,,17,10,5,1
"Comercio al por mayor (124)",87,3,19,42,22,1
"Comercio al por menor (125)",2043,22,466,821,628,106
"Hoteles y restaurantes (126)",647,6,180,233,203,25
"Trans., almac. y comunicaciones (127)",107,,62,37,8,
"Intermediación financiera (128)",48,,30,14,4,
"Activid.inmobil., empres. y alquileres (129)",167,,75,67,25,
"Admin.pub. y defensa; p. segur.soc afil (130)",156,,47,72,37,
"Enseñanza (131)",902,,140,571,188,3
"Servicios sociales y de salud (132)",210,,45,89,74,2
"Otras activ. serv.comun.soc y personales (133)",200,3,68,71,53,5
"Hogares privados con servicio doméstico (134)",555,7,249,178,109,12
"Actividad economica no especificada (136)",259,,90,84,65,20
"Desocupado (137)",403,7,251,108,33,4
,,,,,,
"RURAL (138)",4700,108,1773,1497,1086,236
"Agric., ganadería, caza y silvicultura (139)",3618,96,1349,1118,850,205
"Pesca (140)",4,,,2,2,
"Explotación de minas y canteras (141)",1,,,,1,
"Industrias manufactureras (142)",61,1,23,18,17,2
"Suministro de electricidad, gas y agua (143)",1,,,,1,
"Construcción (144)",121,1,35,49,30,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (145)",155,1,57,58,34,5
"Venta, mant.y rep. veh.autom.y motoc. (146)",20,,12,7,1,
"Comercio al por mayor (147)",7,,3,4,,
"Comercio al por menor (148)",128,1,42,47,33,5
"Hoteles y restaurantes (149)",26,,11,5,8,2
"Trans., almac. y comunicaciones (150)",168,,67,61,39,1
"Intermediación financiera (151)",1,,1,,,
"Activid.inmobil., empres. y alquileres (152)",36,,11,15,10,
"Admin.pub. y defensa; p. segur.soc afil (153)",13,,5,4,4,
"Enseñanza (154)",51,,13,27,11,
"Servicios sociales y de salud (155)",13,,2,8,3,
"Otras activ. serv.comun.soc y personales (156)",20,,5,12,2,1
"Hogares privados con servicio doméstico (157)",35,,16,11,7,1
"Actividad economica no especificada (159)",35,,12,10,10,3
"Desocupado (160)",341,9,166,99,57,10
"Hombres (161)",3950,83,1479,1239,938,211
"Agric., ganadería, caza y silvicultura (162)",3129,74,1167,946,754,188
"Pesca (163)",4,,,2,2,
"Explotación de minas y canteras (164)",1,,,,1,
"Industrias manufactureras (165)",53,1,18,16,16,2
"Suministro de electricidad, gas y agua (166)",1,,,,1,
"Construcción (167)",110,,31,46,27,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (168)",88,,32,38,15,3
"Venta, mant.y rep. veh.autom.y motoc. (169)",19,,11,7,1,
"Comercio al por mayor (170)",5,,2,3,,
"Comercio al por menor (171)",64,,19,28,14,3
"Hoteles y restaurantes (172)",9,,7,,2,
"Trans., almac. y comunicaciones (173)",165,,67,59,38,1
"Activid.inmobil., empres. y alquileres (175)",31,,6,15,10,
"Admin.pub. y defensa; p. segur.soc afil (176)",8,,2,3,3,
"Enseñanza (177)",20,,2,11,7,
"Servicios sociales y de salud (178)",5,,,3,2,
"Otras activ. serv.comun.soc y personales (179)",15,,3,9,2,1
"Actividad economica no especificada (182)",15,,3,4,6,2
"Desocupado (183)",296,8,141,87,52,8
"Mujeres (184)",750,25,294,258,148,25
"Agric., ganadería, caza y silvicultura (185)",489,22,182,172,96,17
"Industrias manufactureras (188)",8,,5,2,1,
"Construcción (190)",11,1,4,3,3,
"Comerc., rep. veh. autom.,motoc. efect. pers. (191)",67,1,25,20,19,2
"Venta, mant.y rep. veh.autom.y motoc. (192)",1,,1,,,
"Comercio al por mayor (193)",2,,1,1,,
"Comercio al por menor (194)",64,1,23,19,19,2
"Hoteles y restaurantes (195)",17,,4,5,6,2
"Trans., almac. y comunicaciones (196)",3,,,2,1,
"Intermediación financiera (197)",1,,1,,,
"Activid.inmobil., empres. y alquileres (198)",5,,5,,,
"Admin.pub. y defensa; p. segur.soc afil (199)",5,,3,1,1,
"Enseñanza (200)",31,,11,16,4,
"Servicios sociales y de salud (201)",8,,2,5,1,
"Otras activ. serv.comun.soc y personales (202)",5,,2,3,,
"Hogares privados con servicio doméstico (203)",35,,16,11,7,1
"Actividad economica no especificada (205)",20,,9,6,4,1
"Desocupado (206)",45,1,25,12,5,2
