"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"De 30 a 34 años (135)",327,313,50,48,67,65,62,19,2,,14,779
"De 35 a 39 años (136)",360,351,36,38,54,70,110,27,12,4,9,1142
"De 40 a 44 años (137)",326,322,23,31,39,52,90,49,29,9,4,1320
"De 45 a 49 años (138)",330,326,28,22,31,37,83,61,44,20,4,1540
"De 50 y más años (139)",1253,1243,72,50,89,91,276,288,226,151,10,7177
"Ocupada (140)",3621,3525,774,392,400,366,652,444,313,184,96,12685
"De 12 a 14 años (141)",43,43,43,,,,,,,,,
"De 15 a 19 años (142)",278,275,242,27,6,,,,,,3,39
"De 20 a 24 años (143)",402,373,200,106,52,12,3,,,,29,258
"De 25 a 29 años (144)",320,296,84,73,69,39,30,1,,,24,462
"De 30 a 34 años (145)",321,308,48,47,65,65,62,19,2,,13,774
"De 35 a 39 años (146)",354,345,34,36,52,70,110,27,12,4,9,1136
"De 40 a 44 años (147)",325,321,23,31,38,52,90,49,29,9,4,1318
"De 45 a 49 años (148)",327,323,28,22,29,37,82,61,44,20,4,1532
"De 50 y más años (149)",1251,1241,72,50,89,91,275,287,226,151,10,7166
"Desocupada (150)",86,81,54,13,9,2,2,1,,,5,52
"De 12 a 14 años (151)",2,2,2,,,,,,,,,
"De 15 a 19 años (152)",24,24,24,,,,,,,,,
"De 20 a 24 años (153)",33,31,22,8,1,,,,,,2,10
"De 25 a 29 años (154)",9,7,2,2,1,2,,,,,2,10
"De 30 a 34 años (155)",6,5,2,1,2,,,,,,1,5
"De 35 a 39 años (156)",6,6,2,2,2,,,,,,,6
"De 40 a 44 años (157)",1,1,,,1,,,,,,,2
"De 45 a 49 años (158)",3,3,,,2,,1,,,,,8
"De 50 y más años (159)",2,2,,,,,1,1,,,,11
"No PEA (160)",4312,4235,1693,347,383,347,609,438,280,138,77,11590
"De 12 a 14 años (161)",715,714,714,,,,,,,,1,
"De 15 a 19 años (162)",689,686,638,37,10,,1,,,,3,61
"De 20 a 24 años (163)",397,370,165,112,69,17,6,1,,,27,332
"De 25 a 29 años (164)",315,294,56,57,85,60,33,2,1,,21,567
"De 30 a 34 años (165)",276,265,27,27,64,61,72,13,1,,11,740
"De 35 a 39 años (166)",219,216,12,24,22,41,70,37,10,,3,825
"De 40 a 44 años (167)",226,223,14,16,21,38,76,35,19,4,3,938
"De 45 a 49 años (168)",206,203,9,9,22,19,52,54,30,8,3,1035
"De 50 y más años (169)",1269,1264,58,65,90,111,299,296,219,126,5,7092
