"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Intermediación financiera (036)",1730,,607,821,274,28
"Activid.inmobil., empres. y alquileres (037)",14120,18,4777,5744,3203,378
"Admin.pub. y defensa; p. segur.soc afil (038)",6045,,1261,2461,2168,155
"Enseñanza (039)",8398,4,1440,3420,3160,374
"Servicios sociales y de salud (040)",3162,1,638,1231,1098,194
"Otras activ. serv.comun.soc y personales (041)",6659,93,2323,2280,1595,368
"Hogares privados con servicio doméstico (042)",505,20,274,112,73,26
"Organiz. y organos extraterritoriales (043)",1,,,,1,
"Actividad economica no especificada (044)",3546,20,1333,1225,809,159
"Desocupado (045)",8427,109,4185,2213,1618,302
"Mujeres (046)",123839,1125,45203,45751,28539,3221
"Agric., ganadería, caza y silvicultura (047)",2402,38,794,868,580,122
"Pesca (048)",40,1,13,19,7,
"Explotación de minas y canteras (049)",147,5,71,43,26,2
"Industrias manufactureras (050)",11161,93,4341,4394,2123,210
"Suministro de electricidad, gas y agua (051)",113,,46,42,23,2
"Construcción (052)",893,6,364,372,137,14
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",36964,382,11474,13466,9998,1644
"Venta, mant.y rep. veh.autom.y motoc. (054)",707,4,377,225,92,9
"Comercio al por mayor (055)",1855,6,756,708,341,44
"Comercio al por menor (056)",34402,372,10341,12533,9565,1591
"Hoteles y restaurantes (057)",12885,206,4074,4436,3708,461
"Trans., almac. y comunicaciones (058)",3025,7,1637,1010,356,15
"Intermediación financiera (059)",1433,,729,559,144,1
"Activid.inmobil., empres. y alquileres (060)",7380,12,3117,3097,1103,51
"Admin.pub. y defensa; p. segur.soc afil (061)",3294,,1158,1317,806,13
"Enseñanza (062)",13479,5,3473,6416,3456,129
"Servicios sociales y de salud (063)",5408,1,1454,2202,1707,44
"Otras activ. serv.comun.soc y personales (064)",5106,26,1709,1943,1289,139
"Hogares privados con servicio doméstico (065)",12428,283,6810,3178,1955,202
"Organiz. y organos extraterritoriales (066)",2,,1,,1,
"Actividad economica no especificada (067)",2872,9,1059,1010,668,126
"Desocupado (068)",4807,51,2879,1379,452,46
,,,,,,
"URBANA (069)",322007,3301,114077,115780,77706,11143
"Agric., ganadería, caza y silvicultura (070)",11500,141,3952,3645,2906,856
"Pesca (071)",690,3,185,266,206,30
"Explotación de minas y canteras (072)",1699,11,531,759,370,28
"Industrias manufactureras (073)",43955,613,18366,15271,8556,1149
"Suministro de electricidad, gas y agua (074)",882,2,241,346,276,17
"Construcción (075)",23534,164,8139,8405,5944,882
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",79513,1148,25358,27858,21301,3848
"Venta, mant.y rep. veh.autom.y motoc. (077)",8629,77,3567,2715,1978,292
"Comercio al por mayor (078)",4701,23,1812,1785,967,114
"Comercio al por menor (079)",66183,1048,19979,23358,18356,3442
"Hoteles y restaurantes (080)",18772,344,6640,6042,5052,694
"Trans., almac. y comunicaciones (081)",33731,246,11903,12914,7732,936
"Intermediación financiera (082)",3155,,1334,1374,418,29
"Activid.inmobil., empres. y alquileres (083)",21389,30,7852,8794,4286,427
"Admin.pub. y defensa; p. segur.soc afil (084)",9282,,2402,3757,2957,166
"Enseñanza (085)",21765,9,4882,9785,6587,502
"Servicios sociales y de salud (086)",8531,2,2080,3416,2795,238
"Otras activ. serv.comun.soc y personales (087)",11651,118,3990,4180,2861,502
"Hogares privados con servicio doméstico (088)",12677,294,6944,3230,1985,224
"Organiz. y organos extraterritoriales (089)",3,,1,,2,
"Actividad economica no especificada (090)",6320,29,2367,2202,1446,276
"Desocupado (091)",12958,147,6910,3536,2026,339
"Hombres (092)",199755,2209,69470,70547,49532,7997
"Agric., ganadería, caza y silvicultura (093)",9461,117,3265,2892,2427,760
"Pesca (094)",650,2,172,247,199,30
"Explotación de minas y canteras (095)",1562,6,464,718,347,27
"Industrias manufactureras (096)",32895,520,14068,10921,6446,940
"Suministro de electricidad, gas y agua (097)",770,2,195,305,253,15
"Construcción (098)",22658,158,7782,8038,5812,868
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",42926,769,13982,14522,11418,2235
"Venta, mant.y rep. veh.autom.y motoc. (100)",7924,73,3192,2490,1886,283
"Comercio al por mayor (101)",2857,17,1060,1077,632,71
"Comercio al por menor (102)",32145,679,9730,10955,8900,1881
"Hoteles y restaurantes (103)",6056,143,2627,1662,1385,239
"Trans., almac. y comunicaciones (104)",30719,240,10275,11906,7377,921
"Intermediación financiera (105)",1729,,607,820,274,28
"Activid.inmobil., empres. y alquileres (106)",14041,18,4750,5712,3185,376
"Admin.pub. y defensa; p. segur.soc afil (107)",6001,,1254,2443,2151,153
"Enseñanza (108)",8359,4,1438,3398,3145,374
"Servicios sociales y de salud (109)",3147,1,633,1224,1095,194
"Otras activ. serv.comun.soc y personales (110)",6578,93,2296,2251,1574,364
"Hogares privados con servicio doméstico (111)",493,20,267,111,69,26
"Organiz. y organos extraterritoriales (112)",1,,,,1,
"Actividad economica no especificada (113)",3502,20,1321,1210,797,154
"Desocupado (114)",8207,96,4074,2167,1577,293
"Mujeres (115)",122252,1092,44607,45233,28174,3146
"Agric., ganadería, caza y silvicultura (116)",2039,24,687,753,479,96
"Pesca (117)",40,1,13,19,7,
"Explotación de minas y canteras (118)",137,5,67,41,23,1
"Industrias manufactureras (119)",11060,93,4298,4350,2110,209
"Suministro de electricidad, gas y agua (120)",112,,46,41,23,2
"Construcción (121)",876,6,357,367,132,14
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",36587,379,11376,13336,9883,1613
"Venta, mant.y rep. veh.autom.y motoc. (123)",705,4,375,225,92,9
"Comercio al por mayor (124)",1844,6,752,708,335,43
"Comercio al por menor (125)",34038,369,10249,12403,9456,1561
"Hoteles y restaurantes (126)",12716,201,4013,4380,3667,455
"Trans., almac. y comunicaciones (127)",3012,6,1628,1008,355,15
"Intermediación financiera (128)",1426,,727,554,144,1
"Activid.inmobil., empres. y alquileres (129)",7348,12,3102,3082,1101,51
"Admin.pub. y defensa; p. segur.soc afil (130)",3281,,1148,1314,806,13
"Enseñanza (131)",13406,5,3444,6387,3442,128
"Servicios sociales y de salud (132)",5384,1,1447,2192,1700,44
"Otras activ. serv.comun.soc y personales (133)",5073,25,1694,1929,1287,138
"Hogares privados con servicio doméstico (134)",12184,274,6677,3119,1916,198
"Organiz. y organos extraterritoriales (135)",2,,1,,1,
"Actividad economica no especificada (136)",2818,9,1046,992,649,122
"Desocupado (137)",4751,51,2836,1369,449,46
,,,,,,
"RURAL (138)",7456,167,2657,2381,1730,521
"Agric., ganadería, caza y silvicultura (139)",4067,115,1325,1230,1000,397
"Pesca (140)",9,,3,1,5,
"Explotación de minas y canteras (141)",132,,61,40,25,6
"Industrias manufactureras (142)",454,7,204,146,87,10
"Suministro de electricidad, gas y agua (143)",14,,4,8,2,
"Construcción (144)",394,1,138,160,84,11
"Comerc., rep. veh. autom.,motoc. efect. pers. (145)",680,9,206,232,181,52
"Venta, mant.y rep. veh.autom.y motoc. (146)",85,1,38,25,18,3
"Comercio al por mayor (147)",31,1,18,3,7,2
"Comercio al por menor (148)",564,7,150,204,156,47
"Hoteles y restaurantes (149)",226,8,82,77,51,8
"Trans., almac. y comunicaciones (150)",409,4,169,153,78,5
"Intermediación financiera (151)",8,,2,6,,
"Activid.inmobil., empres. y alquileres (152)",111,,42,47,20,2
"Admin.pub. y defensa; p. segur.soc afil (153)",57,,17,21,17,2
"Enseñanza (154)",112,,31,51,29,1
"Servicios sociales y de salud (155)",39,,12,17,10,
"Otras activ. serv.comun.soc y personales (156)",114,1,42,43,23,5
"Hogares privados con servicio doméstico (157)",256,9,140,60,43,4
"Actividad economica no especificada (159)",98,,25,33,31,9
"Desocupado (160)",276,13,154,56,44,9
"Hombres (161)",5869,134,2061,1863,1365,446
"Agric., ganadería, caza y silvicultura (162)",3704,101,1218,1115,899,371
"Pesca (163)",9,,3,1,5,
"Explotación de minas y canteras (164)",122,,57,38,22,5
"Industrias manufactureras (165)",353,7,161,102,74,9
"Suministro de electricidad, gas y agua (166)",13,,4,7,2,
"Construcción (167)",377,1,131,155,79,11
"Comerc., rep. veh. autom.,motoc. efect. pers. (168)",303,6,108,102,66,21
"Venta, mant.y rep. veh.autom.y motoc. (169)",83,1,36,25,18,3
"Comercio al por mayor (170)",20,1,14,3,1,1
"Comercio al por menor (171)",200,4,58,74,47,17
"Hoteles y restaurantes (172)",57,3,21,21,10,2
"Trans., almac. y comunicaciones (173)",396,3,160,151,77,5
"Intermediación financiera (174)",1,,,1,,
"Activid.inmobil., empres. y alquileres (175)",79,,27,32,18,2
"Admin.pub. y defensa; p. segur.soc afil (176)",44,,7,18,17,2
"Enseñanza (177)",39,,2,22,15,
"Servicios sociales y de salud (178)",15,,5,7,3,
"Otras activ. serv.comun.soc y personales (179)",81,,27,29,21,4
"Hogares privados con servicio doméstico (180)",12,,7,1,4,
"Actividad economica no especificada (182)",44,,12,15,12,5
"Desocupado (183)",220,13,111,46,41,9
"Mujeres (184)",1587,33,596,518,365,75
"Agric., ganadería, caza y silvicultura (185)",363,14,107,115,101,26
"Explotación de minas y canteras (187)",10,,4,2,3,1
"Industrias manufactureras (188)",101,,43,44,13,1
"Suministro de electricidad, gas y agua (189)",1,,,1,,
"Construcción (190)",17,,7,5,5,
"Comerc., rep. veh. autom.,motoc. efect. pers. (191)",377,3,98,130,115,31
"Venta, mant.y rep. veh.autom.y motoc. (192)",2,,2,,,
"Comercio al por mayor (193)",11,,4,,6,1
"Comercio al por menor (194)",364,3,92,130,109,30
"Hoteles y restaurantes (195)",169,5,61,56,41,6
"Trans., almac. y comunicaciones (196)",13,1,9,2,1,
"Intermediación financiera (197)",7,,2,5,,
"Activid.inmobil., empres. y alquileres (198)",32,,15,15,2,
"Admin.pub. y defensa; p. segur.soc afil (199)",13,,10,3,,
"Enseñanza (200)",73,,29,29,14,1
"Servicios sociales y de salud (201)",24,,7,10,7,
"Otras activ. serv.comun.soc y personales (202)",33,1,15,14,2,1
"Hogares privados con servicio doméstico (203)",244,9,133,59,39,4
"Actividad economica no especificada (205)",54,,13,18,19,4
"Desocupado (206)",56,,43,10,3,
