"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Hogares privados con servicio doméstico (041)",18,2,10,2,1,3
"Actividad economica no especificada (043)",377,4,130,127,85,31
"Mujeres (045)",3217,76,1086,1087,746,222
"Agric., ganadería, caza y silvicultura (046)",1295,60,376,350,363,146
"Explotación de minas y canteras (048)",2,,1,,1,
"Industrias manufactureras (049)",53,,26,11,13,3
"Construcción (051)",6,,5,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (052)",538,8,181,205,128,16
"Venta, mant.y rep. veh.autom.y motoc. (053)",4,,3,1,,
"Comercio al por mayor (054)",8,,3,4,1,
"Comercio al por menor (055)",526,8,175,200,127,16
"Hoteles y restaurantes (056)",179,3,70,59,39,8
"Trans., almac. y comunicaciones (057)",10,,5,4,1,
"Intermediación financiera (058)",2,,2,,,
"Activid.inmobil., empres. y alquileres (059)",44,,26,13,5,
"Admin.pub. y defensa; p. segur.soc.afil (060)",62,,39,19,3,1
"Enseñanza (061)",378,,81,226,71,
"Servicios sociales y de salud (062)",80,,43,32,5,
"Otras activ. serv.comun.soc y personales (063)",40,,15,11,14,
"Hogares privados con servicio doméstico (064)",152,4,79,42,19,8
"Actividad economica no especificada (066)",376,1,137,114,84,40
,,,,,,
"URBANA (067)",7842,110,2266,2740,2017,709
"Agric., ganadería, caza y silvicultura (068)",3923,81,967,1158,1140,577
"Pesca (069)",1,,,1,,
"Explotación de minas y canteras (070)",139,,46,68,23,2
"Industrias manufactureras (071)",175,1,69,46,45,14
"Suministro de electricidad, gas y agua (072)",7,,2,3,2,
"Construcción (073)",248,,93,94,58,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (074)",933,13,313,358,217,32
"Venta, mant.y rep. veh.autom.y motoc. (075)",60,,39,14,5,2
"Comercio al por mayor (076)",20,,5,10,5,
"Comercio al por menor (077)",853,13,269,334,207,30
"Hoteles y restaurantes (078)",224,4,82,83,45,10
"Trans., almac. y comunicaciones (079)",215,2,89,88,34,2
"Intermediación financiera (080)",1,,,1,,
"Activid.inmobil., empres. y alquileres (081)",160,1,70,55,31,3
"Admin.pub. y defensa; p. segur.soc.afil (082)",186,,84,63,36,3
"Enseñanza (083)",791,,115,450,220,6
"Servicios sociales y de salud (084)",108,,50,47,11,
"Otras activ. serv.comun.soc y personales (085)",82,,32,25,23,2
"Hogares privados con servicio doméstico (086)",148,4,75,40,20,9
"Actividad economica no especificada (088)",501,4,179,160,112,46
"Hombres (089)",5591,67,1533,1953,1483,555
"Agric., ganadería, caza y silvicultura (090)",3247,52,798,989,927,481
"Pesca (091)",1,,,1,,
"Explotación de minas y canteras (092)",138,,45,68,23,2
"Industrias manufactureras (093)",127,1,47,35,33,11
"Suministro de electricidad, gas y agua (094)",7,,2,3,2,
"Construcción (095)",243,,89,93,58,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (096)",465,6,158,179,105,17
"Venta, mant.y rep. veh.autom.y motoc. (097)",57,,37,13,5,2
"Comercio al por mayor (098)",12,,2,6,4,
"Comercio al por menor (099)",396,6,119,160,96,15
"Hoteles y restaurantes (100)",71,1,21,32,13,4
"Trans., almac. y comunicaciones (101)",206,2,84,85,33,2
"Intermediación financiera (102)",1,,,1,,
"Activid.inmobil., empres. y alquileres (103)",119,1,47,42,26,3
"Admin.pub. y defensa; p. segur.soc.afil (104)",130,,48,47,33,2
"Enseñanza (105)",473,,55,258,154,6
"Servicios sociales y de salud (106)",46,,20,19,7,
"Otras activ. serv.comun.soc y personales (107)",50,,20,16,12,2
"Hogares privados con servicio doméstico (108)",12,,9,1,1,1
"Actividad economica no especificada (110)",255,4,90,84,56,21
"Mujeres (112)",2251,43,733,787,534,154
"Agric., ganadería, caza y silvicultura (113)",676,29,169,169,213,96
"Explotación de minas y canteras (115)",1,,1,,,
"Industrias manufactureras (116)",48,,22,11,12,3
"Construcción (118)",5,,4,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (119)",468,7,155,179,112,15
"Venta, mant.y rep. veh.autom.y motoc. (120)",3,,2,1,,
"Comercio al por mayor (121)",8,,3,4,1,
"Comercio al por menor (122)",457,7,150,174,111,15
"Hoteles y restaurantes (123)",153,3,61,51,32,6
"Trans., almac. y comunicaciones (124)",9,,5,3,1,
"Activid.inmobil., empres. y alquileres (126)",41,,23,13,5,
"Admin.pub. y defensa; p. segur.soc.afil (127)",56,,36,16,3,1
"Enseñanza (128)",318,,60,192,66,
"Servicios sociales y de salud (129)",62,,30,28,4,
"Otras activ. serv.comun.soc y personales (130)",32,,12,9,11,
"Hogares privados con servicio doméstico (131)",136,4,66,39,19,8
"Actividad economica no especificada (133)",246,,89,76,56,25
,,,,,,
"RURAL (134)",4471,69,1309,1522,1156,415
"Agric., ganadería, caza y silvicultura (135)",3539,64,969,1161,965,380
"Pesca (136)",2,,,1,1,
"Explotación de minas y canteras (137)",30,,13,13,4,
"Industrias manufactureras (138)",26,,12,9,4,1
"Suministro de electricidad, gas y agua (139)",4,,,1,3,
"Construcción (140)",57,1,24,20,11,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (141)",182,1,72,68,39,2
"Venta, mant.y rep. veh.autom.y motoc. (142)",10,,9,1,,
"Comercio al por mayor (143)",2,,,1,1,
"Comercio al por menor (144)",170,1,63,66,38,2
"Hoteles y restaurantes (145)",34,,14,9,9,2
"Trans., almac. y comunicaciones (146)",64,,19,33,11,1
"Intermediación financiera (147)",2,,2,,,
"Activid.inmobil., empres. y alquileres (148)",20,,10,4,6,
"Admin.pub. y defensa; p. segur.soc.afil (149)",34,,11,12,11,
"Enseñanza (150)",152,,34,92,25,1
"Servicios sociales y de salud (151)",34,,21,9,4,
"Otras activ. serv.comun.soc y personales (152)",17,,6,5,6,
"Hogares privados con servicio doméstico (153)",22,2,14,4,,2
"Actividad economica no especificada (155)",252,1,88,81,57,25
"Hombres (156)",3505,36,956,1222,944,347
"Agric., ganadería, caza y silvicultura (157)",2920,33,762,980,815,330
"Pesca (158)",2,,,1,1,
"Explotación de minas y canteras (159)",29,,13,13,3,
"Industrias manufactureras (160)",21,,8,9,3,1
"Suministro de electricidad, gas y agua (161)",4,,,1,3,
"Construcción (162)",56,1,23,20,11,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (163)",112,,46,42,23,1
"Venta, mant.y rep. veh.autom.y motoc. (164)",9,,8,1,,
"Comercio al por mayor (165)",2,,,1,1,
"Comercio al por menor (166)",101,,38,40,22,1
"Hoteles y restaurantes (167)",8,,5,1,2,
"Trans., almac. y comunicaciones (168)",63,,19,32,11,1
"Activid.inmobil., empres. y alquileres (170)",17,,7,4,6,
"Admin.pub. y defensa; p. segur.soc.afil (171)",28,,8,9,11,
"Enseñanza (172)",92,,13,58,20,1
"Servicios sociales y de salud (173)",16,,8,5,3,
"Otras activ. serv.comun.soc y personales (174)",9,,3,3,3,
"Hogares privados con servicio doméstico (175)",6,2,1,1,,2
"Actividad economica no especificada (177)",122,,40,43,29,10
"Mujeres (179)",966,33,353,300,212,68
"Agric., ganadería, caza y silvicultura (180)",619,31,207,181,150,50
"Explotación de minas y canteras (182)",1,,,,1,
"Industrias manufactureras (183)",5,,4,,1,
"Construcción (185)",1,,1,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (186)",70,1,26,26,16,1
"Venta, mant.y rep. veh.autom.y motoc. (187)",1,,1,,,
"Comercio al por menor (189)",69,1,25,26,16,1
"Hoteles y restaurantes (190)",26,,9,8,7,2
"Trans., almac. y comunicaciones (191)",1,,,1,,
"Intermediación financiera (192)",2,,2,,,
"Activid.inmobil., empres. y alquileres (193)",3,,3,,,
"Admin.pub. y defensa; p. segur.soc.afil (194)",6,,3,3,,
"Enseñanza (195)",60,,21,34,5,
"Servicios sociales y de salud (196)",18,,13,4,1,
"Otras activ. serv.comun.soc y personales (197)",8,,3,2,3,
"Hogares privados con servicio doméstico (198)",16,,13,3,,
"Actividad economica no especificada (200)",130,1,48,38,28,15
