"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"Sin nivel (061)",315,276,22,14,3
"Educación inicial (062)",15,13,,2,
"Primaria (063)",4705,4066,388,211,40
"Secundaria (064)",3982,3271,331,252,128
"Superior no univ. incompleta (065)",483,349,45,44,45
"Superior no univ. completa (066)",757,293,113,196,155
"Superior univ. incompleta (067)",180,109,25,24,22
"Superior univ. completa (068)",404,166,55,108,75
"De 06 a 14 años (070)",376,301,31,44,
"Sin nivel (071)",3,3,,,
"Educación inicial (072)",5,4,,1,
"Primaria (073)",263,206,26,31,
"Secundaria (074)",105,88,5,12,
"De 15 a 29 años (080)",3518,2719,375,294,130
"Sin nivel (081)",35,25,3,6,1
"Educación inicial (082)",8,7,,1,
"Primaria (083)",1038,848,105,74,11
"Secundaria (084)",1846,1486,182,141,37
"Superior no univ. incompleta (085)",215,169,22,14,10
"Superior no univ. completa (086)",238,113,38,36,51
"Superior univ. incompleta (087)",53,32,11,3,7
"Superior univ. completa (088)",85,39,14,19,13
"De 30 a 44 años (090)",4065,3102,364,364,235
"Sin nivel (091)",73,62,6,4,1
"Educación inicial (092)",2,2,,,
"Primaria (093)",1691,1473,132,62,24
"Secundaria (094)",1378,1157,103,69,49
"Superior no univ. incompleta (095)",196,131,21,19,25
"Superior no univ. completa (096)",413,142,61,124,86
"Superior univ. incompleta (097)",85,48,12,18,7
"Superior univ. completa (098)",227,87,29,68,43
"De 45 a 64 años (100)",2418,1988,187,143,100
"Sin nivel (101)",131,114,12,4,1
"Primaria (103)",1371,1220,105,41,5
"Secundaria (104)",616,507,41,29,39
"Superior no univ. incompleta (105)",67,44,2,11,10
"Superior no univ. completa (106)",104,36,14,36,18
"Superior univ. incompleta (107)",41,28,2,3,8
"Superior univ. completa (108)",88,39,11,19,19
"De 65 y más años (110)",464,433,22,6,3
"Sin nivel (111)",73,72,1,,
"Primaria (113)",342,319,20,3,
"Secundaria (114)",37,33,,1,3
"Superior no univ. incompleta (115)",5,5,,,
"Superior no univ. completa (116)",2,2,,,
"Superior univ. incompleta (117)",1,1,,,
"Superior univ. completa (118)",4,1,1,2,
,,,,,
"RURAL (120)",8256,7569,426,210,51
"Sin nivel (121)",586,560,18,4,4
"Educación inicial (122)",14,12,,2,
"Primaria (123)",5552,5135,280,120,17
"Secundaria (124)",1856,1658,103,75,20
"Superior no univ. incompleta (125)",69,62,4,2,1
"Superior no univ. completa (126)",111,86,18,2,5
"Superior univ. incompleta (127)",26,23,1,1,1
"Superior univ. completa (128)",42,33,2,4,3
"De 06 a 14 años (130)",365,327,22,13,3
"Sin nivel (131)",30,28,1,1,
"Educación inicial (132)",5,4,,1,
"Primaria (133)",293,259,21,11,2
"Secundaria (134)",37,36,,,1
"De 15 a 29 años (140)",3325,3022,171,109,23
"Sin nivel (141)",103,96,2,2,3
"Educación inicial (142)",7,7,,,
"Primaria (143)",2077,1916,98,56,7
"Secundaria (144)",1014,900,59,48,7
"Superior no univ. incompleta (145)",38,35,2,1,
"Superior no univ. completa (146)",63,50,9,1,3
"Superior univ. incompleta (147)",8,8,,,
"Superior univ. completa (148)",15,10,1,1,3
"De 30 a 44 años (150)",2680,2447,152,62,19
"Sin nivel (151)",150,142,7,,1
"Educación inicial (152)",2,1,,1,
"Primaria (153)",1819,1679,101,33,6
"Secundaria (154)",613,548,34,22,9
"Superior no univ. incompleta (155)",21,18,2,1,
"Superior no univ. completa (156)",42,31,8,1,2
"Superior univ. incompleta (157)",13,11,,1,1
"Superior univ. completa (158)",20,17,,3,
"De 45 a 64 años (160)",1494,1403,64,21,6
"Sin nivel (161)",199,191,7,1,
"Primaria (163)",1089,1027,45,15,2
"Secundaria (164)",183,166,9,5,3
"Superior no univ. incompleta (165)",8,7,,,1
"Superior no univ. completa (166)",5,4,1,,
"Superior univ. incompleta (167)",5,4,1,,
"Superior univ. completa (168)",5,4,1,,
"De 65 y más años (170)",392,370,17,5,
"Sin nivel (171)",104,103,1,,
"Primaria (173)",274,254,15,5,
"Secundaria (174)",9,8,1,,
"Superior no univ. incompleta (175)",2,2,,,
"Superior no univ. completa (176)",1,1,,,
"Superior univ. completa (178)",2,2,,,
