"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"Sin nivel (061)",202,187,11,2,2
"Educación inicial (062)",8,8,,,
"Primaria (063)",4377,3803,437,100,37
"Secundaria (064)",5190,4096,574,239,281
"Superior no univ. incompleta (065)",462,259,77,67,59
"Superior no univ. completa (066)",965,247,162,355,201
"Superior univ. incompleta (067)",223,99,27,44,53
"Superior univ. completa (068)",499,137,77,148,137
"De 06 a 14 años (070)",358,292,45,21,
"Sin nivel (071)",6,5,1,,
"Educación inicial (072)",4,4,,,
"Primaria (073)",260,214,31,15,
"Secundaria (074)",88,69,13,6,
"De 15 a 29 años (080)",3759,2807,471,261,220
"Sin nivel (081)",25,22,1,1,1
"Educación inicial (082)",2,2,,,
"Primaria (083)",789,663,96,21,9
"Secundaria (084)",2352,1859,289,113,91
"Superior no univ. incompleta (085)",168,111,26,14,17
"Superior no univ. completa (086)",244,75,33,78,58
"Superior univ. incompleta (087)",62,36,7,9,10
"Superior univ. completa (088)",117,39,19,25,34
"De 30 a 44 años (090)",4205,2919,496,436,354
"Sin nivel (091)",32,29,1,1,1
"Educación inicial (092)",2,2,,,
"Primaria (093)",1283,1098,137,34,14
"Secundaria (094)",1833,1473,182,74,104
"Superior no univ. incompleta (095)",195,108,32,26,29
"Superior no univ. completa (096)",499,113,93,189,104
"Superior univ. incompleta (097)",102,37,14,25,26
"Superior univ. completa (098)",259,59,37,87,76
"De 45 a 64 años (100)",2862,2148,299,229,186
"Sin nivel (101)",59,55,4,,
"Primaria (103)",1484,1314,136,24,10
"Secundaria (104)",835,628,81,44,82
"Superior no univ. incompleta (105)",97,38,19,27,13
"Superior no univ. completa (106)",212,53,34,88,37
"Superior univ. incompleta (107)",57,24,6,10,17
"Superior univ. completa (108)",118,36,19,36,27
"De 65 y más años (110)",742,670,54,8,10
"Sin nivel (111)",80,76,4,,
"Primaria (113)",561,514,37,6,4
"Secundaria (114)",82,67,9,2,4
"Superior no univ. incompleta (115)",2,2,,,
"Superior no univ. completa (116)",10,6,2,,2
"Superior univ. incompleta (117)",2,2,,,
"Superior univ. completa (118)",5,3,2,,
,,,,,
"RURAL (120)",9287,8310,828,115,34
"Sin nivel (121)",385,365,17,3,
"Educación inicial (122)",14,14,,,
"Primaria (123)",5719,5202,451,56,10
"Secundaria (124)",2735,2470,222,25,18
"Superior no univ. incompleta (125)",88,63,20,5,
"Superior no univ. completa (126)",199,104,77,14,4
"Superior univ. incompleta (127)",59,41,13,3,2
"Superior univ. completa (128)",88,51,28,9,
"De 06 a 14 años (130)",328,300,23,5,
"Sin nivel (131)",30,29,1,,
"Educación inicial (132)",7,7,,,
"Primaria (133)",242,219,19,4,
"Secundaria (134)",49,45,3,1,
"De 15 a 29 años (140)",3245,2862,334,37,12
"Sin nivel (141)",58,56,2,,
"Educación inicial (142)",4,4,,,
"Primaria (143)",1585,1418,145,18,4
"Secundaria (144)",1462,1310,135,10,7
"Superior no univ. incompleta (145)",28,19,7,2,
"Superior no univ. completa (146)",70,32,32,5,1
"Superior univ. incompleta (147)",18,14,3,1,
"Superior univ. completa (148)",20,9,10,1,
"De 30 a 44 años (150)",2936,2594,280,45,17
"Sin nivel (151)",65,61,2,2,
"Educación inicial (152)",3,3,,,
"Primaria (153)",1772,1609,142,17,4
"Secundaria (154)",872,784,69,11,8
"Superior no univ. incompleta (155)",39,29,7,3,
"Superior no univ. completa (156)",103,58,37,5,3
"Superior univ. incompleta (157)",31,19,8,2,2
"Superior univ. completa (158)",51,31,15,5,
"De 45 a 64 años (160)",2099,1907,161,26,5
"Sin nivel (161)",140,131,8,1,
"Primaria (163)",1560,1422,120,16,2
"Secundaria (164)",330,309,15,3,3
"Superior no univ. incompleta (165)",18,13,5,,
"Superior no univ. completa (166)",26,14,8,4,
"Superior univ. incompleta (167)",9,7,2,,
"Superior univ. completa (168)",16,11,3,2,
"De 65 y más años (170)",679,647,30,2,
"Sin nivel (171)",92,88,4,,
"Primaria (173)",560,534,25,1,
"Secundaria (174)",22,22,,,
"Superior no univ. incompleta (175)",3,2,1,,
"Superior univ. incompleta (177)",1,1,,,
"Superior univ. completa (178)",1,,,1,
