"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
"Otro(a) pariente (055)",155,9,3,64,51,7,13,5,3
"Pensionista (057)",2,,,,,,,,2
"Otro(a) no pariente (058)",54,2,,12,13,2,6,4,15
"Mujeres (060)",3685,774,117,1412,994,84,184,26,94
"Jefe o Jefa (061)",771,275,1,252,143,18,48,2,32
"Esposa(o)/ compa¤era(o) (062)",1116,200,1,423,338,31,84,9,30
"Hijo(a)/ hijastro(a) (063)",1378,185,100,598,418,18,34,12,13
"Yerno/ nuera (064)",28,1,,8,14,2,3,,
"Nieto(a) (065)",92,21,9,43,16,,3,,
"Padres/ suegros (066)",56,45,,9,1,,1,,
"Otro(a) pariente (067)",196,44,6,70,55,7,4,2,8
"Otro(a) no pariente (070)",48,3,,9,9,8,7,1,11
,,,,,,,,,
"RURAL (072)",4614,1017,109,2158,1122,41,81,23,63
"Jefe o Jefa (073)",1564,391,3,668,371,18,54,11,48
"Esposa(o)/ compa¤era(o) (074)",855,265,3,411,158,6,7,2,3
"Hijo(a)/ hijastro(a) (075)",1695,262,86,858,457,12,9,4,7
"Yerno/ nuera (076)",45,2,,9,28,1,3,1,1
"Nieto(a) (077)",154,28,11,85,29,1,,,
"Padres/ suegros (078)",31,21,,6,4,,,,
"Otro(a) pariente (079)",237,44,6,111,66,1,5,4,
"Pensionista (081)",1,,,,,1,,,
"Otro(a) no pariente (082)",32,4,,10,9,1,3,1,4
"Hombres (084)",2292,292,58,1128,673,25,54,12,50
"Jefe o Jefa (085)",1096,136,,540,313,16,43,10,38
"Esposa(o)/ compa¤era(o) (086)",41,2,,22,15,,,,2
"Hijo(a)/ hijastro(a) (087)",912,122,46,466,261,7,4,,6
"Yerno/ nuera (088)",23,1,,1,17,,2,1,1
"Nieto(a) (089)",66,12,7,31,16,,,,
"Padres/ suegros (090)",6,2,,2,2,,,,
"Otro(a) pariente (091)",124,16,5,59,42,,2,,
"Pensionista (093)",1,,,,,1,,,
"Otro(a) no pariente (094)",23,1,,7,7,1,3,1,3
"Mujeres (096)",2322,725,51,1030,449,16,27,11,13
"Jefe o Jefa (097)",468,255,3,128,58,2,11,1,10
"Esposa(o)/ compa¤era(o) (098)",814,263,3,389,143,6,7,2,1
"Hijo(a)/ hijastro(a) (099)",783,140,40,392,196,5,5,4,1
"Yerno/ nuera (100)",22,1,,8,11,1,1,,
"Nieto(a) (101)",88,16,4,54,13,1,,,
"Padres/ suegros (102)",25,19,,4,2,,,,
"Otro(a) pariente (103)",113,28,1,52,24,1,3,4,
"Otro(a) no pariente (106)",9,3,,3,2,,,,1
