"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Servicios sociales y de salud (040)",239,,53,108,71,7
"Otras activ. serv.comun.soc y personales (041)",290,7,110,101,66,6
"Hogares privados con servicio doméstico (042)",59,5,30,11,11,2
"Actividad economica no especificada (044)",422,7,163,133,100,19
"Desocupado (045)",734,27,392,198,90,27
"Mujeres (046)",11243,392,4224,4134,2154,339
"Agric., ganadería, caza y silvicultura (047)",2669,203,1024,792,544,106
"Pesca (048)",4,1,2,1,,
"Explotación de minas y canteras (049)",3,,3,,,
"Industrias manufactureras (050)",353,2,87,144,103,17
"Suministro de electricidad, gas y agua (051)",8,,7,1,,
"Construcción (052)",51,2,17,26,6,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",2260,43,726,896,519,76
"Venta, mant.y rep. veh.autom.y motoc. (054)",47,1,23,18,5,
"Comercio al por mayor (055)",88,,34,29,22,3
"Comercio al por menor (056)",2125,42,669,849,492,73
"Hoteles y restaurantes (057)",1019,39,360,356,229,35
"Trans., almac. y comunicaciones (058)",166,3,108,39,15,1
"Intermediación financiera (059)",51,,36,13,2,
"Activid.inmobil., empres. y alquileres (060)",222,,93,96,29,4
"Admin.pub. y defensa; p. segur.soc afil (061)",374,,141,161,71,1
"Enseñanza (062)",1159,,225,733,195,6
"Servicios sociales y de salud (063)",277,1,88,132,55,1
"Otras activ. serv.comun.soc y personales (064)",258,4,110,97,41,6
"Hogares privados con servicio doméstico (065)",1262,60,666,315,179,42
"Actividad economica no especificada (067)",837,5,365,279,149,39
"Desocupado (068)",270,29,166,53,17,5
,,,,,,
"URBANA (069)",26983,682,9273,9893,6044,1091
"Agric., ganadería, caza y silvicultura (070)",8707,359,2891,2620,2210,627
"Pesca (071)",7,,2,3,1,1
"Explotación de minas y canteras (072)",13,,9,2,2,
"Industrias manufactureras (073)",1234,27,416,457,288,46
"Suministro de electricidad, gas y agua (074)",90,,26,43,21,
"Construcción (075)",1351,16,432,550,318,35
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",4357,121,1454,1617,1008,157
"Venta, mant.y rep. veh.autom.y motoc. (077)",497,18,222,183,70,4
"Comercio al por mayor (078)",233,2,87,78,59,7
"Comercio al por menor (079)",3627,101,1145,1356,879,146
"Hoteles y restaurantes (080)",1186,43,418,406,274,45
"Trans., almac. y comunicaciones (081)",2053,12,902,767,360,12
"Intermediación financiera (082)",122,,68,43,11,
"Activid.inmobil., empres. y alquileres (083)",788,1,284,327,157,19
"Admin.pub. y defensa; p. segur.soc afil (084)",1077,,294,476,297,10
"Enseñanza (085)",2208,,384,1388,425,11
"Servicios sociales y de salud (086)",497,1,134,231,123,8
"Otras activ. serv.comun.soc y personales (087)",525,11,209,189,104,12
"Hogares privados con servicio doméstico (088)",1185,52,615,305,174,39
"Actividad economica no especificada (090)",873,11,345,283,190,44
"Desocupado (091)",710,28,390,186,81,25
"Hombres (092)",17938,479,6035,6367,4249,808
"Agric., ganadería, caza y silvicultura (093)",7457,312,2486,2191,1911,557
"Pesca (094)",6,,1,3,1,1
"Explotación de minas y canteras (095)",10,,6,2,2,
"Industrias manufactureras (096)",896,25,336,319,186,30
"Suministro de electricidad, gas y agua (097)",82,,19,42,21,
"Construcción (098)",1301,14,416,524,312,35
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",2232,81,779,776,513,83
"Venta, mant.y rep. veh.autom.y motoc. (100)",450,17,199,165,65,4
"Comercio al por mayor (101)",149,2,55,50,37,5
"Comercio al por menor (102)",1633,62,525,561,411,74
"Hoteles y restaurantes (103)",261,8,103,80,59,11
"Trans., almac. y comunicaciones (104)",1889,9,795,729,345,11
"Intermediación financiera (105)",71,,32,30,9,
"Activid.inmobil., empres. y alquileres (106)",566,1,191,231,128,15
"Admin.pub. y defensa; p. segur.soc afil (107)",705,,154,316,226,9
"Enseñanza (108)",1084,,175,671,233,5
"Servicios sociales y de salud (109)",225,,49,101,68,7
"Otras activ. serv.comun.soc y personales (110)",275,7,103,95,64,6
"Hogares privados con servicio doméstico (111)",40,4,15,10,9,2
"Actividad economica no especificada (113)",357,7,129,111,94,16
"Desocupado (114)",481,11,246,136,68,20
"Mujeres (115)",9045,203,3238,3526,1795,283
"Agric., ganadería, caza y silvicultura (116)",1250,47,405,429,299,70
"Pesca (117)",1,,1,,,
"Explotación de minas y canteras (118)",3,,3,,,
"Industrias manufactureras (119)",338,2,80,138,102,16
"Suministro de electricidad, gas y agua (120)",8,,7,1,,
"Construcción (121)",50,2,16,26,6,
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",2125,40,675,841,495,74
"Venta, mant.y rep. veh.autom.y motoc. (123)",47,1,23,18,5,
"Comercio al por mayor (124)",84,,32,28,22,2
"Comercio al por menor (125)",1994,39,620,795,468,72
"Hoteles y restaurantes (126)",925,35,315,326,215,34
"Trans., almac. y comunicaciones (127)",164,3,107,38,15,1
"Intermediación financiera (128)",51,,36,13,2,
"Activid.inmobil., empres. y alquileres (129)",222,,93,96,29,4
"Admin.pub. y defensa; p. segur.soc afil (130)",372,,140,160,71,1
"Enseñanza (131)",1124,,209,717,192,6
"Servicios sociales y de salud (132)",272,1,85,130,55,1
"Otras activ. serv.comun.soc y personales (133)",250,4,106,94,40,6
"Hogares privados con servicio doméstico (134)",1145,48,600,295,165,37
"Actividad economica no especificada (136)",516,4,216,172,96,28
"Desocupado (137)",229,17,144,50,13,5
,,,,,,
"RURAL (138)",15646,760,6950,4688,2619,629
"Agric., ganadería, caza y silvicultura (139)",13922,704,6154,4099,2370,595
"Pesca (140)",14,4,5,2,3,
"Explotación de minas y canteras (141)",1,,,,1,
"Industrias manufactureras (142)",107,1,46,41,18,1
"Suministro de electricidad, gas y agua (143)",1,,,1,,
"Construcción (144)",74,,31,31,12,
"Comerc., rep. veh. autom.,motoc. efect. pers. (145)",308,3,95,147,59,4
"Venta, mant.y rep. veh.autom.y motoc. (146)",10,,6,4,,
"Comercio al por mayor (147)",11,,2,7,1,1
"Comercio al por menor (148)",287,3,87,136,58,3
"Hoteles y restaurantes (149)",99,5,47,30,16,1
"Trans., almac. y comunicaciones (150)",134,1,74,40,19,
"Activid.inmobil., empres. y alquileres (152)",13,,5,4,3,1
"Admin.pub. y defensa; p. segur.soc afil (153)",24,,8,13,2,1
"Enseñanza (154)",91,,35,47,9,
"Servicios sociales y de salud (155)",19,,7,9,3,
"Otras activ. serv.comun.soc y personales (156)",23,,11,9,3,
"Hogares privados con servicio doméstico (157)",136,13,81,21,16,5
"Actividad economica no especificada (159)",386,1,183,129,59,14
"Desocupado (160)",294,28,168,65,26,7
"Hombres (161)",13448,571,5964,4080,2260,573
"Agric., ganadería, caza y silvicultura (162)",12503,548,5535,3736,2125,559
"Pesca (163)",11,3,4,1,3,
"Explotación de minas y canteras (164)",1,,,,1,
"Industrias manufactureras (165)",92,1,39,35,17,
"Suministro de electricidad, gas y agua (166)",1,,,1,,
"Construcción (167)",73,,30,31,12,
"Comerc., rep. veh. autom.,motoc. efect. pers. (168)",173,,44,92,35,2
"Venta, mant.y rep. veh.autom.y motoc. (169)",10,,6,4,,
"Comercio al por mayor (170)",7,,,6,1,
"Comercio al por menor (171)",156,,38,82,34,2
"Hoteles y restaurantes (172)",5,1,2,,2,
"Trans., almac. y comunicaciones (173)",132,1,73,39,19,
"Activid.inmobil., empres. y alquileres (175)",13,,5,4,3,1
"Admin.pub. y defensa; p. segur.soc afil (176)",22,,7,12,2,1
"Enseñanza (177)",56,,19,31,6,
"Servicios sociales y de salud (178)",14,,4,7,3,
"Otras activ. serv.comun.soc y personales (179)",15,,7,6,2,
"Hogares privados con servicio doméstico (180)",19,1,15,1,2,
"Actividad economica no especificada (182)",65,,34,22,6,3
"Desocupado (183)",253,16,146,62,22,7
"Mujeres (184)",2198,189,986,608,359,56
"Agric., ganadería, caza y silvicultura (185)",1419,156,619,363,245,36
"Pesca (186)",3,1,1,1,,
"Industrias manufactureras (188)",15,,7,6,1,1
"Construcción (190)",1,,1,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (191)",135,3,51,55,24,2
"Comercio al por mayor (193)",4,,2,1,,1
"Comercio al por menor (194)",131,3,49,54,24,1
"Hoteles y restaurantes (195)",94,4,45,30,14,1
"Trans., almac. y comunicaciones (196)",2,,1,1,,
"Admin.pub. y defensa; p. segur.soc afil (199)",2,,1,1,,
"Enseñanza (200)",35,,16,16,3,
"Servicios sociales y de salud (201)",5,,3,2,,
"Otras activ. serv.comun.soc y personales (202)",8,,4,3,1,
"Hogares privados con servicio doméstico (203)",117,12,66,20,14,5
"Actividad economica no especificada (205)",321,1,149,107,53,11
"Desocupado (206)",41,12,22,3,4,
