"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
"De 20 a 24 años (023)",139,100,1,66,27,5,,1,,,39,141
"De 25 a 29 años (024)",190,157,1,79,50,21,6,,,,33,266
"De 30 a 34 años (025)",197,180,,62,52,31,33,1,1,,17,416
"De 35 a 39 años (026)",258,245,1,31,60,72,69,11,1,,13,751
"De 40 a 44 años (027)",151,148,,8,36,34,47,13,8,2,3,574
"De 45 a 49 años (028)",168,164,1,11,23,32,52,30,12,3,4,719
"De 50 y más años (029)",412,401,1,26,46,50,108,95,51,24,11,2047
"Desocupada (030)",28,21,,3,7,5,3,2,1,,7,66
"De 15 a 19 años (032)",3,2,,2,,,,,,,1,2
"De 20 a 24 años (033)",5,1,,,1,,,,,,4,2
"De 25 a 29 años (034)",4,3,,,2,1,,,,,1,7
"De 30 a 34 años (035)",7,6,,1,3,,2,,,,1,15
"De 35 a 39 años (036)",2,2,,,,2,,,,,,6
"De 40 a 44 años (037)",3,3,,,1,1,1,,,,,10
"De 45 a 49 años (038)",1,1,,,,,,1,,,,7
"De 50 y más años (039)",3,3,,,,1,,1,1,,,17
"No PEA (040)",3639,3515,16,611,629,519,851,526,267,96,124,13871
"De 12 a 14 años (041)",9,2,1,1,,,,,,,7,1
"De 15 a 19 años (042)",110,89,2,80,6,1,,,,,21,95
"De 20 a 24 años (043)",412,377,3,227,116,28,3,,,,35,555
"De 25 a 29 años (044)",430,410,2,123,167,80,37,,1,,20,864
"De 30 a 34 años (045)",416,412,1,52,120,130,97,12,,,4,1180
"De 35 a 39 años (046)",415,405,1,26,68,93,154,53,8,2,10,1550
"De 40 a 44 años (047)",321,316,,21,36,49,112,69,24,5,5,1444
"De 45 a 49 años (048)",265,261,1,13,17,20,88,73,38,11,4,1401
"De 50 y más años (049)",1261,1243,5,68,99,118,360,319,196,78,18,6781
,,,,,,,,,,,,
"URBANA (060)",3605,3441,15,668,694,544,806,437,203,74,164,12573
"De 12 a 14 años (061)",8,2,1,1,,,,,,,6,1
"De 15 a 19 años (062)",91,70,2,63,3,1,1,,,,21,76
"De 20 a 24 años (063)",388,339,3,218,96,19,3,,,,49,479
"De 25 a 29 años (064)",460,428,2,151,168,73,34,,,,32,848
"De 30 a 34 años (065)",465,451,1,92,143,114,90,10,1,,14,1183
"De 35 a 39 años (066)",484,473,1,44,99,128,159,34,6,2,11,1614
"De 40 a 44 años (067)",313,309,,19,51,56,111,50,17,5,4,1308
"De 45 a 49 años (068)",275,268,1,16,32,32,86,66,28,7,7,1296
"De 50 y más años (069)",1121,1101,4,64,102,121,322,277,151,60,20,5768
"PEA (070)",1032,968,4,218,223,176,204,92,41,10,64,3160
"De 12 a 14 años (071)",1,,,,,,,,,,1,
"De 15 a 19 años (072)",16,14,,13,,,1,,,,2,17
"De 20 a 24 años (073)",79,59,,42,15,2,,,,,20,78
"De 25 a 29 años (074)",126,110,1,55,36,14,4,,,,16,185
"De 30 a 34 años (075)",144,132,,50,44,18,19,,1,,12,285
"De 35 a 39 años (076)",191,188,1,28,48,60,45,5,1,,3,540
"De 40 a 44 años (077)",103,102,,5,29,22,32,8,5,1,1,384
"De 45 a 49 años (078)",114,111,1,7,19,22,35,21,5,1,3,465
"De 50 y más años (079)",258,252,1,18,32,38,68,58,29,8,6,1206
"Ocupada (080)",1011,950,4,215,216,171,203,90,41,10,61,3110
"De 12 a 14 años (081)",1,,,,,,,,,,1,
"De 15 a 19 años (082)",14,12,,11,,,1,,,,2,15
"De 20 a 24 años (083)",77,58,,42,14,2,,,,,19,76
"De 25 a 29 años (084)",122,107,1,55,34,13,4,,,,15,178
"De 30 a 34 años (085)",139,128,,49,41,18,19,,1,,11,278
"De 35 a 39 años (086)",189,186,1,28,48,58,45,5,1,,3,534
"De 40 a 44 años (087)",100,99,,5,28,21,31,8,5,1,1,374
"De 45 a 49 años (088)",113,110,1,7,19,22,35,20,5,1,3,458
"De 50 y más años (089)",256,250,1,18,32,37,68,57,29,8,6,1197
"Desocupada (090)",21,18,,3,7,5,1,2,,,3,50
"De 15 a 19 años (092)",2,2,,2,,,,,,,,2
"De 20 a 24 años (093)",2,1,,,1,,,,,,1,2
"De 25 a 29 años (094)",4,3,,,2,1,,,,,1,7
"De 30 a 34 años (095)",5,4,,1,3,,,,,,1,7
"De 35 a 39 años (096)",2,2,,,,2,,,,,,6
"De 40 a 44 años (097)",3,3,,,1,1,1,,,,,10
"De 45 a 49 años (098)",1,1,,,,,,1,,,,7
"De 50 y más años (099)",2,2,,,,1,,1,,,,9
"No PEA (100)",2573,2473,11,450,471,368,602,345,162,64,100,9413
"De 12 a 14 años (101)",7,2,1,1,,,,,,,5,1
"De 15 a 19 años (102)",75,56,2,50,3,1,,,,,19,59
"De 20 a 24 años (103)",309,280,3,176,81,17,3,,,,29,401
"De 25 a 29 años (104)",334,318,1,96,132,59,30,,,,16,663
"De 30 a 34 años (105)",321,319,1,42,99,96,71,10,,,2,898
"De 35 a 39 años (106)",293,285,,16,51,68,114,29,5,2,8,1074
"De 40 a 44 años (107)",210,207,,14,22,34,79,42,12,4,3,924
"De 45 a 49 años (108)",161,157,,9,13,10,51,45,23,6,4,831
"De 50 y más años (109)",863,849,3,46,70,83,254,219,122,52,14,4562
,,,,,,,,,,,,
"RURAL (120)",1608,1514,6,251,237,225,364,242,138,51,94,6306
"De 12 a 14 años (121)",4,,,,,,,,,,4,
"De 15 a 19 años (122)",50,45,,41,4,,,,,,5,49
"De 20 a 24 años (123)",168,139,1,75,48,14,,1,,,29,219
"De 25 a 29 años (124)",164,142,1,51,51,29,9,,1,,22,289
"De 30 a 34 años (125)",155,147,,23,32,47,42,3,,,8,428
"De 35 a 39 años (126)",191,179,1,13,29,39,64,30,3,,12,693
"De 40 a 44 años (127)",162,158,,10,22,28,49,32,15,2,4,720
"De 45 a 49 años (128)",159,158,1,8,8,20,54,38,22,7,1,831
"De 50 y más años (129)",555,546,2,30,43,48,146,138,97,42,9,3077
"PEA (130)",542,472,1,90,79,74,115,61,33,19,70,1848
"De 12 a 14 años (131)",2,,,,,,,,,,2,
"De 15 a 19 años (132)",15,12,,11,1,,,,,,3,13
"De 20 a 24 años (133)",65,42,1,24,13,3,,1,,,23,65
"De 25 a 29 años (134)",68,50,,24,16,8,2,,,,18,88
"De 30 a 34 años (135)",60,54,,13,11,13,16,1,,,6,146
"De 35 a 39 años (136)",69,59,,3,12,14,24,6,,,10,217
"De 40 a 44 años (137)",51,49,,3,8,13,16,5,3,1,2,200
"De 45 a 49 años (138)",55,54,,4,4,10,17,10,7,2,1,261
"De 50 y más años (139)",157,152,,8,14,13,40,38,23,16,5,858
"Ocupada (140)",535,469,1,90,79,74,113,61,32,19,66,1832
"De 12 a 14 años (141)",2,,,,,,,,,,2,
"De 15 a 19 años (142)",14,12,,11,1,,,,,,2,13
"De 20 a 24 años (143)",62,42,1,24,13,3,,1,,,20,65
"De 25 a 29 años (144)",68,50,,24,16,8,2,,,,18,88
"De 30 a 34 años (145)",58,52,,13,11,13,14,1,,,6,138
"De 35 a 39 años (146)",69,59,,3,12,14,24,6,,,10,217
"De 40 a 44 años (147)",51,49,,3,8,13,16,5,3,1,2,200
"De 45 a 49 años (148)",55,54,,4,4,10,17,10,7,2,1,261
"De 50 y más años (149)",156,151,,8,14,13,40,38,22,16,5,850
"Desocupada (150)",7,3,,,,,2,,1,,4,16
"De 15 a 19 años (152)",1,,,,,,,,,,1,
"De 20 a 24 años (153)",3,,,,,,,,,,3,
"De 30 a 34 años (155)",2,2,,,,,2,,,,,8
"De 50 y más años (159)",1,1,,,,,,,1,,,8
"No PEA (160)",1066,1042,5,161,158,151,249,181,105,32,24,4458
"De 12 a 14 años (161)",2,,,,,,,,,,2,
"De 15 a 19 años (162)",35,33,,30,3,,,,,,2,36
"De 20 a 24 años (163)",103,97,,51,35,11,,,,,6,154
"De 25 a 29 años (164)",96,92,1,27,35,21,7,,1,,4,201
"De 30 a 34 años (165)",95,93,,10,21,34,26,2,,,2,282
"De 35 a 39 años (166)",122,120,1,10,17,25,40,24,3,,2,476
"De 40 a 44 años (167)",111,109,,7,14,15,33,27,12,1,2,520
"De 45 a 49 años (168)",104,104,1,4,4,10,37,28,15,5,,570
"De 50 y más años (169)",398,394,2,22,29,35,106,100,74,26,4,2219
