"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
"Padres/ suegros (042)",6377,1070,,3790,1146,65,106,49,151
"Otro(a) pariente (043)",33285,2399,713,9849,15002,1630,1186,1323,1183
"Trabajador(a) del hogar (044)",1961,55,6,740,1052,71,16,14,7
"Pensionista (045)",572,11,,91,283,48,29,54,56
"Otro(a) no pariente (046)",6650,322,97,1604,3118,384,377,319,429
"Hombres (048)",175421,12120,5046,47007,74231,8646,8533,8675,11163
"Jefe o Jefa (049)",54377,365,33,10995,25147,3145,4666,3083,6943
"Esposa(o)/ compa¤era(o) (050)",5762,78,6,1221,3002,315,367,308,465
"Hijo(a)/ hijastro(a) (051)",76197,7583,3485,23372,30237,3454,2091,3748,2227
"Yerno/ nuera (052)",4393,22,3,348,2561,357,407,247,448
"Nieto(a) (053)",11604,2635,1126,4297,2853,229,117,262,85
"Padres/ suegros (054)",2071,162,,1261,479,29,36,23,81
"Otro(a) pariente (055)",17128,1124,356,4689,8040,875,637,775,632
"Trabajador(a) del hogar (056)",161,4,,56,82,10,1,5,3
"Pensionista (057)",332,4,,42,168,28,18,37,35
"Otro(a) no pariente (058)",3396,143,37,726,1662,204,193,187,244
"Mujeres (060)",183206,13787,4828,58147,74348,7563,8385,6685,9463
"Jefe o Jefa (061)",26568,689,17,8383,11052,1190,1960,891,2386
"Esposa(o)/ compa¤era(o) (062)",44645,873,44,13397,20764,1778,3053,1317,3419
"Hijo(a)/ hijastro(a) (063)",70280,7195,3272,22081,26599,3078,2200,3361,2494
"Yerno/ nuera (064)",5280,46,2,957,3292,286,256,191,250
"Nieto(a) (065)",10676,2564,1070,4029,2471,179,87,193,83
"Padres/ suegros (066)",4306,908,,2529,667,36,70,26,70
"Otro(a) pariente (067)",16157,1275,357,5160,6962,755,549,548,551
"Trabajador(a) del hogar (068)",1800,51,6,684,970,61,15,9,4
"Pensionista (069)",240,7,,49,115,20,11,17,21
"Otro(a) no pariente (070)",3254,179,60,878,1456,180,184,132,185
,,,,,,,,,
"RURAL (072)",89432,13338,2096,51604,20317,588,537,281,671
"Jefe o Jefa (073)",19449,1194,11,11644,5559,222,280,145,394
"Esposa(o)/ compa¤era(o) (074)",15227,1753,4,10170,3000,55,105,28,112
"Hijo(a)/ hijastro(a) (075)",40603,7526,1693,22488,8536,202,69,62,27
"Yerno/ nuera (076)",1869,45,2,875,895,23,13,10,6
"Nieto(a) (077)",3604,1285,263,1674,381,,1,,
"Padres/ suegros (078)",1261,471,,730,58,,,,2
"Otro(a) pariente (079)",5617,903,101,3167,1320,39,27,11,49
"Trabajador(a) del hogar (080)",66,7,,32,26,,1,,
"Pensionista (081)",63,2,,11,17,4,9,3,17
"Otro(a) no pariente (082)",1673,152,22,813,525,43,32,22,64
"Hombres (084)",48461,5990,1076,27382,12662,415,321,217,398
"Jefe o Jefa (085)",17437,843,9,10570,5187,190,220,125,293
"Esposa(o)/ compa¤era(o) (086)",359,21,,163,149,4,6,4,12
"Hijo(a)/ hijastro(a) (087)",22569,3815,870,12425,5212,138,41,49,19
"Yerno/ nuera (088)",873,11,,337,490,16,6,10,3
"Nieto(a) (089)",1922,656,141,900,224,,1,,
"Padres/ suegros (090)",578,114,,419,43,,,,2
"Otro(a) pariente (091)",3384,440,45,1925,891,31,17,9,26
"Trabajador(a) del hogar (092)",26,1,,11,13,,1,,
"Pensionista (093)",42,2,,9,13,1,5,2,10
"Otro(a) no pariente (094)",1271,87,11,623,440,35,24,18,33
"Mujeres (096)",40971,7348,1020,24222,7655,173,216,64,273
"Jefe o Jefa (097)",2012,351,2,1074,372,32,60,20,101
"Esposa(o)/ compa¤era(o) (098)",14868,1732,4,10007,2851,51,99,24,100
"Hijo(a)/ hijastro(a) (099)",18034,3711,823,10063,3324,64,28,13,8
"Yerno/ nuera (100)",996,34,2,538,405,7,7,,3
"Nieto(a) (101)",1682,629,122,774,157,,,,
"Padres/ suegros (102)",683,357,,311,15,,,,
"Otro(a) pariente (103)",2233,463,56,1242,429,8,10,2,23
"Trabajador(a) del hogar (104)",40,6,,21,13,,,,
"Pensionista (105)",21,,,2,4,3,4,1,7
"Otro(a) no pariente (106)",402,65,11,190,85,8,8,4,31
