"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
"Explotación de minas y canteras (091)",24,,,6,1,,,7,4,6,,
"Industrias manufactureras (092)",582,,3,12,4,,,536,13,14,,
"Suministro de electricidad, gas y agua (093)",14,,,5,,,,3,2,4,,
"Construcción (094)",961,,25,63,21,,,63,482,307,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",928,,9,14,5,564,,186,18,132,,
"Venta, mant.y rep. veh.autom.y motoc. (096)",215,,3,4,,33,,163,7,5,,
"Comercio al por mayor (097)",64,,1,1,1,51,,1,1,8,,
"Comercio al por menor (098)",649,,5,9,4,480,,22,10,119,,
"Hoteles y restaurantes (099)",140,,2,14,7,76,,,,41,,
"Trans., almac. y comunicaciones (100)",859,,2,5,8,,,3,771,70,,
"Intermediación financiera (101)",6,,1,1,4,,,,,,,
"Activid.inmobil., empres. y alquileres (102)",232,,63,56,29,45,,2,15,22,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",461,10,15,10,97,20,,8,20,50,231,
"Enseñanza (104)",212,3,203,,4,,,,,2,,
"Servicios sociales y de salud (105)",55,,18,27,4,2,,,,4,,
"Otras activ. serv.comun.soc y personales (106)",82,,6,23,5,8,,,1,39,,
"Hogares privados con servicio doméstico (107)",27,,,,,,,,,27,,
"Actividad economica no especificada (109)",310,,1,4,7,,,,,2,,296
