"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"Superior univ. completa (058)",34,21,4,5,4
,,,,,
"URBANA (060)",33112,19162,4675,3234,6041
"Sin nivel (061)",1454,1130,132,74,118
"Educación inicial (062)",49,33,6,5,5
"Primaria (063)",10013,6857,1325,611,1220
"Secundaria (064)",12444,6857,1951,1248,2388
"Superior no univ. incompleta (065)",2387,1279,336,269,503
"Superior no univ. completa (066)",3618,1558,507,555,998
"Superior univ. incompleta (067)",1158,607,145,135,271
"Superior univ. completa (068)",1989,841,273,337,538
"De 06 a 14 años (070)",429,363,52,7,7
"Sin nivel (071)",7,6,1,,
"Educación inicial (072)",9,7,1,1,
"Primaria (073)",312,272,30,5,5
"Secundaria (074)",101,78,20,1,2
"De 15 a 29 años (080)",12270,6603,2013,1222,2432
"Sin nivel (081)",100,68,12,7,13
"Educación inicial (082)",21,10,3,3,5
"Primaria (083)",2601,1587,450,179,385
"Secundaria (084)",5877,3185,998,556,1138
"Superior no univ. incompleta (085)",1173,631,163,128,251
"Superior no univ. completa (086)",1363,595,222,196,350
"Superior univ. incompleta (087)",536,278,79,49,130
"Superior univ. completa (088)",599,249,86,104,160
"De 30 a 44 años (090)",12088,6576,1754,1302,2456
"Sin nivel (091)",473,328,53,32,60
"Educación inicial (092)",19,16,2,1,
"Primaria (093)",3348,2131,479,236,502
"Secundaria (094)",4488,2396,708,491,893
"Superior no univ. incompleta (095)",865,454,133,96,182
"Superior no univ. completa (096)",1591,665,208,242,476
"Superior univ. incompleta (097)",388,199,45,57,87
"Superior univ. completa (098)",916,387,126,147,256
"De 45 a 64 años (100)",7154,4614,792,669,1079
"Sin nivel (101)",602,476,54,34,38
"Primaria (103)",3090,2285,333,179,293
"Secundaria (104)",1847,1095,216,193,343
"Superior no univ. incompleta (105)",324,176,37,43,68
"Superior no univ. completa (106)",628,275,74,113,166
"Superior univ. incompleta (107)",223,123,21,26,53
"Superior univ. completa (108)",440,184,57,81,118
"De 65 y más años (110)",1171,1006,64,34,67
"Sin nivel (111)",272,252,12,1,7
"Primaria (113)",662,582,33,12,35
"Secundaria (114)",131,103,9,7,12
"Superior no univ. incompleta (115)",25,18,3,2,2
"Superior no univ. completa (116)",36,23,3,4,6
"Superior univ. incompleta (117)",11,7,,3,1
"Superior univ. completa (118)",34,21,4,5,4
,,,,,
"RURAL (120)",1490,1031,135,110,214
"Sin nivel (121)",132,114,4,7,7
"Educación inicial (122)",4,2,1,,1
"Primaria (123)",733,591,62,27,53
"Secundaria (124)",406,233,45,34,94
"Superior no univ. incompleta (125)",55,27,6,7,15
"Superior no univ. completa (126)",101,41,12,22,26
"Superior univ. incompleta (127)",19,7,2,4,6
"Superior univ. completa (128)",40,16,3,9,12
"De 06 a 14 años (130)",30,30,,,
"Sin nivel (131)",2,2,,,
"Primaria (133)",22,22,,,
"Secundaria (134)",6,6,,,
"De 15 a 29 años (140)",550,354,47,50,99
"Sin nivel (141)",6,5,,,1
"Educación inicial (142)",2,,1,,1
"Primaria (143)",216,172,18,8,18
"Secundaria (144)",226,132,22,19,53
"Superior no univ. incompleta (145)",28,14,3,4,7
"Superior no univ. completa (146)",51,22,3,13,13
"Superior univ. incompleta (147)",11,6,,3,2
"Superior univ. completa (148)",10,3,,3,4
"De 30 a 44 años (150)",514,335,62,34,83
"Sin nivel (151)",32,23,2,4,3
"Educación inicial (152)",2,2,,,
"Primaria (153)",267,198,31,10,28
"Secundaria (154)",138,79,19,12,28
"Superior no univ. incompleta (155)",17,9,3,1,4
"Superior no univ. completa (156)",34,16,5,3,10
"Superior univ. incompleta (157)",5,1,1,1,2
"Superior univ. completa (158)",19,7,1,3,8
"De 45 a 64 años (160)",316,237,24,25,30
"Sin nivel (161)",54,48,1,3,2
"Primaria (163)",188,161,12,8,7
"Secundaria (164)",34,15,4,3,12
"Superior no univ. incompleta (165)",10,4,,2,4
"Superior no univ. completa (166)",16,3,4,6,3
"Superior univ. incompleta (167)",3,,1,,2
"Superior univ. completa (168)",11,6,2,3,
"De 65 y más años (170)",80,75,2,1,2
"Sin nivel (171)",38,36,1,,1
"Primaria (173)",40,38,1,1,
"Secundaria (174)",2,1,,,1
