"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"Secundaria (054)",2112,1749,125,92,146
"Superior no univ. incompleta (055)",328,260,30,17,21
"Superior no univ. completa (056)",659,508,49,42,60
"Superior univ. incompleta (057)",351,278,24,28,21
"Superior univ. completa (058)",1771,1106,150,151,364
,,,,,
"URBANA (060)",309049,193224,35109,34490,46226
"Sin nivel (061)",8254,6939,551,335,429
"Educación inicial (062)",345,247,39,33,26
"Primaria (063)",51560,40052,5142,3134,3232
"Secundaria (064)",105586,73316,12365,9224,10681
"Superior no univ. incompleta (065)",23140,14857,2742,2529,3012
"Superior no univ. completa (066)",39578,21776,4653,5562,7587
"Superior univ. incompleta (067)",21802,12573,2839,2884,3506
"Superior univ. completa (068)",58784,23464,6778,10789,17753
"De 06 a 14 años (070)",3154,2574,380,149,51
"Sin nivel (071)",68,55,8,3,2
"Educación inicial (072)",34,28,6,,
"Primaria (073)",1780,1479,203,78,20
"Secundaria (074)",1272,1012,163,68,29
"De 15 a 29 años (080)",107167,63921,15602,13392,14252
"Sin nivel (081)",1091,854,106,73,58
"Educación inicial (082)",191,139,21,15,16
"Primaria (083)",13582,9701,1826,1095,960
"Secundaria (084)",45587,29942,6599,4616,4430
"Superior no univ. incompleta (085)",10651,6523,1543,1296,1289
"Superior no univ. completa (086)",12033,6199,1862,1890,2082
"Superior univ. incompleta (087)",10584,5759,1608,1553,1664
"Superior univ. completa (088)",13448,4804,2037,2854,3753
"De 30 a 44 años (090)",112244,67319,12381,13738,18806
"Sin nivel (091)",2636,2086,230,125,195
"Educación inicial (092)",120,80,12,18,10
"Primaria (093)",15423,11447,1691,1084,1201
"Secundaria (094)",35366,24576,3779,3069,3942
"Superior no univ. incompleta (095)",8165,5326,837,898,1104
"Superior no univ. completa (096)",17327,9477,2008,2571,3271
"Superior univ. incompleta (097)",6861,3989,792,900,1180
"Superior univ. completa (098)",26346,10338,3032,5073,7903
"De 45 a 64 años (100)",75680,50520,6111,6743,12306
"Sin nivel (101)",3205,2795,163,111,136
"Primaria (103)",16373,13517,1209,760,887
"Secundaria (104)",21302,16088,1699,1379,2136
"Superior no univ. incompleta (105)",3999,2751,332,318,598
"Superior no univ. completa (106)",9563,5595,734,1059,2175
"Superior univ. incompleta (107)",4008,2549,415,403,641
"Superior univ. completa (108)",17230,7225,1559,2713,5733
"De 65 y más años (110)",10804,8890,635,468,811
"Sin nivel (111)",1254,1149,44,23,38
"Primaria (113)",4402,3908,213,117,164
"Secundaria (114)",2059,1698,125,92,144
"Superior no univ. incompleta (115)",325,257,30,17,21
"Superior no univ. completa (116)",655,505,49,42,59
"Superior univ. incompleta (117)",349,276,24,28,21
"Superior univ. completa (118)",1760,1097,150,149,364
,,,,,
"RURAL (120)",7180,5658,531,541,450
"Sin nivel (121)",532,460,40,20,12
"Educación inicial (122)",5,5,,,
"Primaria (123)",2986,2480,212,188,106
"Secundaria (124)",2652,2062,178,215,197
"Superior no univ. incompleta (125)",245,180,15,21,29
"Superior no univ. completa (126)",372,228,47,45,52
"Superior univ. incompleta (127)",121,71,17,21,12
"Superior univ. completa (128)",267,172,22,31,42
"De 06 a 14 años (130)",154,134,17,3,
"Sin nivel (131)",6,5,1,,
"Educación inicial (132)",2,2,,,
"Primaria (133)",100,87,13,,
"Secundaria (134)",46,40,3,3,
"De 15 a 29 años (140)",2503,1850,228,237,188
"Sin nivel (141)",63,53,3,3,4
"Educación inicial (142)",2,2,,,
"Primaria (143)",866,665,87,75,39
"Secundaria (144)",1209,902,99,117,91
"Superior no univ. incompleta (145)",107,78,6,10,13
"Superior no univ. completa (146)",155,92,23,17,23
"Superior univ. incompleta (147)",51,28,6,12,5
"Superior univ. completa (148)",50,30,4,3,13
"De 30 a 44 años (150)",2325,1741,188,212,184
"Sin nivel (151)",136,107,16,7,6
"Educación inicial (152)",1,1,,,
"Primaria (153)",840,651,68,77,44
"Secundaria (154)",925,712,61,74,78
"Superior no univ. incompleta (155)",97,70,8,7,12
"Superior no univ. completa (156)",154,98,16,21,19
"Superior univ. incompleta (157)",52,32,7,7,6
"Superior univ. completa (158)",120,70,12,19,19
"De 45 a 64 años (160)",1686,1444,92,77,73
"Sin nivel (161)",205,178,17,8,2
"Primaria (163)",863,773,41,28,21
"Secundaria (164)",419,357,15,21,26
"Superior no univ. incompleta (165)",38,29,1,4,4
"Superior no univ. completa (166)",59,35,8,7,9
"Superior univ. incompleta (167)",16,9,4,2,1
"Superior univ. completa (168)",86,63,6,7,10
"De 65 y más años (170)",512,489,6,12,5
"Sin nivel (171)",122,117,3,2,
"Primaria (173)",317,304,3,8,2
"Secundaria (174)",53,51,,,2
"Superior no univ. incompleta (175)",3,3,,,
"Superior no univ. completa (176)",4,3,,,1
"Superior univ. incompleta (177)",2,2,,,
"Superior univ. completa (178)",11,9,,2,
