"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"Explotación de minas y canteras (047)",13,7,,2,4
"Industrias manufactureras (048)",51,42,7,2,
"Suministro de electricidad, gas y agua (049)",1,,,,1
"Construcción (050)",16,9,2,3,2
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",241,233,7,,1
"Comercio al por mayor (053)",8,7,,,1
"Comercio al por menor (054)",233,226,7,,
"Hoteles y restaurantes (055)",101,87,9,1,4
"Trans., almac. y comunicaciones (056)",6,2,3,,1
"Intermediación financiera (057)",2,,,,2
"Activid.inmobil., empres. y alquileres (058)",6,5,1,,
"Admin.pub. y defensa; p. segur soc.afil (059)",68,,,,68
"Enseñanza (060)",232,42,30,14,146
"Servicios sociales y de salud (061)",62,7,1,1,53
"Otras activ. serv.comun.soc y personales (062)",15,13,1,,1
"Hogares privados con servicio doméstico (063)",49,49,,,
"Actividad economica no especificada (065)",74,59,11,3,1
,,,,,
"URBANA (066)",2694,1460,386,119,729
"Agric., ganadería, caza y silvicultura (067)",793,599,173,19,2
"Explotación de minas y canteras (069)",136,48,21,11,56
"Industrias manufactureras (070)",109,88,11,10,
"Suministro de electricidad, gas y agua (071)",5,1,,2,2
"Construcción (072)",200,117,50,31,2
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",289,280,8,1,
"Venta, mant.y rep. veh.autom y motoc. (074)",10,9,,1,
"Comercio al por mayor (075)",9,9,,,
"Comercio al por menor (076)",270,262,8,,
"Hoteles y restaurantes (077)",95,86,9,,
"Trans., almac. y comunicaciones (078)",59,45,8,4,2
"Intermediación financiera (079)",3,,,1,2
"Activid.inmobil., empres. y alquileres (080)",22,14,2,1,5
"Admin.pub. y defensa; p. segur soc.afil (081)",268,,,,268
"Enseñanza (082)",476,54,82,33,307
"Servicios sociales y de salud (083)",94,10,1,3,80
"Otras activ. serv.comun.soc y personales (084)",28,21,4,1,2
"Hogares privados con servicio doméstico (085)",47,47,,,
"Actividad economica no especificada (087)",70,50,17,2,1
"Hombres (088)",1779,901,299,95,484
"Agric., ganadería, caza y silvicultura (089)",610,451,145,13,1
"Explotación de minas y canteras (091)",131,43,21,11,56
"Industrias manufactureras (092)",85,69,6,10,
"Suministro de electricidad, gas y agua (093)",4,1,,2,1
"Construcción (094)",191,114,48,28,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",91,89,1,1,
"Venta, mant.y rep. veh.autom y motoc. (096)",10,9,,1,
"Comercio al por mayor (097)",3,3,,,
"Comercio al por menor (098)",78,77,1,,
"Hoteles y restaurantes (099)",12,10,2,,
"Trans., almac. y comunicaciones (100)",53,43,5,4,1
"Intermediación financiera (101)",1,,,1,
"Activid.inmobil., empres. y alquileres (102)",16,9,1,1,5
"Admin.pub. y defensa; p. segur soc.afil (103)",202,,,,202
"Enseñanza (104)",284,28,57,21,178
"Servicios sociales y de salud (105)",44,4,,2,38
"Otras activ. serv.comun.soc y personales (106)",14,9,3,1,1
"Hogares privados con servicio doméstico (107)",9,9,,,
"Actividad economica no especificada (109)",32,22,10,,
"Mujeres (110)",915,559,87,24,245
"Agric., ganadería, caza y silvicultura (111)",183,148,28,6,1
"Explotación de minas y canteras (113)",5,5,,,
"Industrias manufactureras (114)",24,19,5,,
"Suministro de electricidad, gas y agua (115)",1,,,,1
"Construcción (116)",9,3,2,3,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",198,191,7,,
"Comercio al por mayor (119)",6,6,,,
"Comercio al por menor (120)",192,185,7,,
"Hoteles y restaurantes (121)",83,76,7,,
"Trans., almac. y comunicaciones (122)",6,2,3,,1
"Intermediación financiera (123)",2,,,,2
"Activid.inmobil., empres. y alquileres (124)",6,5,1,,
"Admin.pub. y defensa; p. segur soc.afil (125)",66,,,,66
"Enseñanza (126)",192,26,25,12,129
"Servicios sociales y de salud (127)",50,6,1,1,42
"Otras activ. serv.comun.soc y personales (128)",14,12,1,,1
"Hogares privados con servicio doméstico (129)",38,38,,,
"Actividad economica no especificada (131)",38,28,7,2,1
,,,,,
"RURAL (132)",3096,2357,437,57,245
"Agric., ganadería, caza y silvicultura (133)",2222,1859,336,19,8
"Explotación de minas y canteras (135)",141,54,6,6,75
"Industrias manufactureras (136)",100,80,11,9,
"Suministro de electricidad, gas y agua (137)",5,2,,3,
"Construcción (138)",170,118,41,5,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",87,85,1,,1
"Comercio al por mayor (141)",2,1,,,1
"Comercio al por menor (142)",85,84,1,,
"Hoteles y restaurantes (143)",21,14,2,1,4
"Trans., almac. y comunicaciones (144)",17,17,,,
"Activid.inmobil., empres. y alquileres (146)",7,1,1,1,4
"Admin.pub. y defensa; p. segur soc.afil (147)",56,,,,56
"Enseñanza (148)",144,41,27,11,65
"Servicios sociales y de salud (149)",28,3,1,,24
"Otras activ. serv.comun.soc y personales (150)",3,2,,,1
"Hogares privados con servicio doméstico (151)",13,13,,,
"Actividad economica no especificada (153)",82,68,11,2,1
"Hombres (154)",2457,1835,377,41,204
"Agric., ganadería, caza y silvicultura (155)",1788,1481,289,11,7
"Explotación de minas y canteras (157)",133,52,6,4,71
"Industrias manufactureras (158)",73,57,9,7,
"Suministro de electricidad, gas y agua (159)",5,2,,3,
"Construcción (160)",163,112,41,5,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (161)",44,43,1,,
"Comercio al por menor (164)",44,43,1,,
"Hoteles y restaurantes (165)",3,3,,,
"Trans., almac. y comunicaciones (166)",17,17,,,
"Activid.inmobil., empres. y alquileres (168)",7,1,1,1,4
"Admin.pub. y defensa; p. segur soc.afil (169)",54,,,,54
"Enseñanza (170)",104,25,22,9,48
"Servicios sociales y de salud (171)",16,2,1,,13
"Otras activ. serv.comun.soc y personales (172)",2,1,,,1
"Hogares privados con servicio doméstico (173)",2,2,,,
"Actividad economica no especificada (175)",46,37,7,1,1
"Mujeres (176)",639,522,60,16,41
"Agric., ganadería, caza y silvicultura (177)",434,378,47,8,1
"Explotación de minas y canteras (179)",8,2,,2,4
"Industrias manufactureras (180)",27,23,2,2,
"Construcción (182)",7,6,,,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (183)",43,42,,,1
"Comercio al por mayor (185)",2,1,,,1
"Comercio al por menor (186)",41,41,,,
"Hoteles y restaurantes (187)",18,11,2,1,4
"Admin.pub. y defensa; p. segur soc.afil (191)",2,,,,2
"Enseñanza (192)",40,16,5,2,17
"Servicios sociales y de salud (193)",12,1,,,11
"Otras activ. serv.comun.soc y personales (194)",1,1,,,
"Hogares privados con servicio doméstico (195)",11,11,,,
"Actividad economica no especificada (197)",36,31,4,1,
