"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"De 50 y más años (189)",194,193,,31,34,26,51,21,23,7,1,810
"Casado(a) (190)",3035,3000,5,384,622,524,703,452,221,89,35,12067
"De 12 a 14 años (191)",3,1,,,1,,,,,,2,2
"De 15 a 19 años (192)",20,18,,12,3,3,,,,,2,27
"De 20 a 24 años (193)",118,112,,84,25,2,1,,,,6,144
"De 25 a 29 años (194)",227,224,1,100,94,23,6,,,,3,383
"De 30 a 34 años (195)",289,284,,65,125,70,21,2,1,,5,634
"De 35 a 39 años (196)",350,344,,42,122,106,61,11,2,,6,954
"De 40 a 44 años (197)",350,345,1,17,95,90,103,34,4,1,5,1186
"De 45 a 49 años (198)",324,322,,19,55,74,109,47,17,1,2,1277
"De 50 y más años (199)",1354,1350,3,45,102,156,402,358,197,87,4,7460
"Viudo(a) (200)",572,565,,44,54,57,149,133,84,44,7,3054
"De 20 a 24 años (203)",1,1,,1,,,,,,,,1
"De 25 a 29 años (204)",5,5,,1,4,,,,,,,9
"De 30 a 34 años (205)",11,11,,4,4,1,2,,,,,23
"De 35 a 39 años (206)",8,7,,1,4,2,,,,,1,15
"De 40 a 44 años (207)",22,21,,1,4,4,6,6,,,1,88
"De 45 a 49 años (208)",21,21,,3,4,4,9,1,,,,69
"De 50 y más años (209)",504,499,,33,34,46,132,126,84,44,5,2849
"Divorciado(a) (210)",21,19,,4,4,2,6,,2,1,2,71
"De 15 a 19 años (212)",1,,,,,,,,,,1,
"De 25 a 29 años (214)",2,2,,2,,,,,,,,2
"De 35 a 39 años (216)",2,2,,1,1,,,,,,,3
"De 40 a 44 años (217)",4,4,,,1,,3,,,,,15
"De 45 a 49 años (218)",5,4,,,1,2,,,1,,1,16
"De 50 y más años (219)",7,7,,1,1,,3,,1,1,,35
"Soltero(a) (220)",1151,400,1,251,87,40,21,,,,751,629
"De 15 a 19 años (222)",13,13,,12,1,,,,,,,14
"De 20 a 24 años (223)",279,57,,50,6,1,,,,,222,65
"De 25 a 29 años (224)",267,64,,47,12,4,1,,,,203,87
"De 30 a 34 años (225)",150,49,,30,12,4,3,,,,101,78
"De 35 a 39 años (226)",123,60,,32,17,9,2,,,,63,101
"De 40 a 44 años (227)",92,42,,21,9,8,4,,,,50,79
"De 45 a 49 años (228)",60,28,,16,4,4,4,,,,32,52
"De 50 y más años (229)",167,87,1,43,26,10,7,,,,80,153
