"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
"De 25 a 29 años (024)",108,93,27,28,20,10,8,,,,15,131
"De 30 a 34 años (025)",124,118,10,30,28,20,22,7,1,,6,297
"De 35 a 39 años (026)",132,130,4,8,26,32,38,20,2,,2,467
"De 40 a 44 años (027)",65,64,2,5,3,13,21,12,7,1,1,293
"De 45 a 49 años (028)",61,61,,1,8,6,18,17,7,4,,320
"De 50 y más años (029)",169,167,14,8,9,22,31,24,30,29,2,973
"Desocupada (030)",41,39,23,3,3,4,3,3,,,2,52
"De 12 a 14 años (031)",2,2,2,,,,,,,,,
"De 15 a 19 años (032)",11,11,11,,,,,,,,,
"De 20 a 24 años (033)",10,9,6,2,1,,,,,,1,4
"De 25 a 29 años (034)",10,10,4,,1,3,1,1,,,,21
"De 30 a 34 años (035)",3,2,,1,,,,1,,,1,7
"De 35 a 39 años (036)",2,2,,,,,1,1,,,,11
"De 40 a 44 años (037)",2,2,,,1,1,,,,,,5
"De 45 a 49 años (038)",1,1,,,,,1,,,,,4
"No PEA (040)",7689,7529,2262,797,769,648,1174,900,574,405,160,24667
"De 12 a 14 años (041)",1079,1073,1068,3,2,,,,,,6,7
"De 15 a 19 años (042)",1154,1134,899,204,28,2,1,,,,20,270
"De 20 a 24 años (043)",862,808,140,330,251,69,13,5,,,54,1127
"De 25 a 29 años (044)",722,690,27,122,198,189,134,18,2,,32,1792
"De 30 a 34 años (045)",671,660,16,48,115,128,240,102,10,1,11,2462
"De 35 a 39 años (046)",650,644,10,19,50,89,233,169,62,12,6,3170
"De 40 a 44 años (047)",513,511,13,12,25,44,132,153,91,41,2,2978
"De 45 a 49 años (048)",462,459,9,14,20,31,113,111,93,68,3,2906
"De 50 y más años (049)",1576,1550,80,45,80,96,308,342,316,283,26,9955
,,,,,,,,,,,,
"URBANA (060)",1387,1343,425,158,149,153,212,126,75,45,44,3806
"De 12 a 14 años (061)",170,169,168,1,,,,,,,1,1
"De 15 a 19 años (062)",204,201,177,22,2,,,,,,3,26
"De 20 a 24 años (063)",146,135,49,47,30,8,1,,,,11,136
"De 25 a 29 años (064)",146,129,16,35,36,27,12,3,,,17,259
"De 30 a 34 años (065)",149,145,6,34,38,33,28,5,1,,4,370
"De 35 a 39 años (066)",139,139,1,6,23,35,52,17,5,,,535
"De 40 a 44 años (067)",96,95,1,3,7,17,33,26,6,2,1,457
"De 45 a 49 años (068)",84,84,1,2,6,11,22,24,13,5,,464
"De 50 y más años (069)",253,246,6,8,7,22,64,51,50,38,7,1558
"PEA (070)",367,344,66,57,54,57,60,27,14,9,23,999
"De 12 a 14 años (071)",4,4,4,,,,,,,,,
"De 15 a 19 años (072)",35,34,30,4,,,,,,,1,4
"De 20 a 24 años (073)",36,31,14,11,6,,,,,,5,23
"De 25 a 29 años (074)",51,40,10,14,9,4,2,1,,,11,58
"De 30 a 34 años (075)",63,60,3,21,13,13,8,1,1,,3,137
"De 35 a 39 años (076)",65,65,1,3,15,22,19,4,1,,,214
"De 40 a 44 años (077)",32,31,1,,4,9,9,6,2,,1,133
"De 45 a 49 años (078)",24,24,,1,4,3,7,6,3,,,110
"De 50 y más años (079)",57,55,3,3,3,6,15,9,7,9,2,320
"Ocupada (080)",358,335,61,56,53,56,60,26,14,9,23,987
"De 12 a 14 años (081)",4,4,4,,,,,,,,,
"De 15 a 19 años (082)",33,32,28,4,,,,,,,1,4
"De 20 a 24 años (083)",33,28,12,10,6,,,,,,5,22
"De 25 a 29 años (084)",49,38,9,14,9,4,2,,,,11,52
"De 30 a 34 años (085)",63,60,3,21,13,13,8,1,1,,3,137
"De 35 a 39 años (086)",65,65,1,3,15,22,19,4,1,,,214
"De 40 a 44 años (087)",30,29,1,,3,8,9,6,2,,1,128
"De 45 a 49 años (088)",24,24,,1,4,3,7,6,3,,,110
"De 50 y más años (089)",57,55,3,3,3,6,15,9,7,9,2,320
"Desocupada (090)",9,9,5,1,1,1,,1,,,,12
"De 15 a 19 años (092)",2,2,2,,,,,,,,,
"De 20 a 24 años (093)",3,3,2,1,,,,,,,,1
"De 25 a 29 años (094)",2,2,1,,,,,1,,,,6
"De 40 a 44 años (097)",2,2,,,1,1,,,,,,5
"No PEA (100)",1020,999,359,101,95,96,152,99,61,36,21,2807
"De 12 a 14 años (101)",166,165,164,1,,,,,,,1,1
"De 15 a 19 años (102)",169,167,147,18,2,,,,,,2,22
"De 20 a 24 años (103)",110,104,35,36,24,8,1,,,,6,113
"De 25 a 29 años (104)",95,89,6,21,27,23,10,2,,,6,201
"De 30 a 34 años (105)",86,85,3,13,25,20,20,4,,,1,233
"De 35 a 39 años (106)",74,74,,3,8,13,33,13,4,,,321
"De 40 a 44 años (107)",64,64,,3,3,8,24,20,4,2,,324
"De 45 a 49 años (108)",60,60,1,1,2,8,15,18,10,5,,354
"De 50 y más años (109)",196,191,3,5,4,16,49,42,43,29,5,1238
,,,,,,,,,,,,
"RURAL (120)",7218,7058,2038,771,741,605,1106,857,546,394,160,23512
"De 12 a 14 años (121)",924,919,915,2,2,,,,,,5,6
"De 15 a 19 años (122)",1055,1037,808,199,27,2,1,,,,18,263
"De 20 a 24 años (123)",835,776,130,317,245,64,15,5,,,59,1094
"De 25 a 29 años (124)",694,664,42,115,183,175,131,16,2,,30,1685
"De 30 a 34 años (125)",649,635,20,45,105,115,234,105,10,1,14,2396
"De 35 a 39 años (126)",645,637,13,21,53,86,220,173,59,12,8,3113
"De 40 a 44 años (127)",484,482,14,14,22,41,120,139,92,40,2,2819
"De 45 a 49 años (128)",440,437,8,13,22,26,110,104,87,67,3,2766
"De 50 y más años (129)",1492,1471,88,45,82,96,275,315,296,274,21,9370
"PEA (130)",549,528,135,75,67,53,84,56,33,25,21,1652
"De 12 a 14 años (131)",11,11,11,,,,,,,,,
"De 15 a 19 años (132)",70,70,56,13,1,,,,,,,15
"De 20 a 24 años (133)",83,72,25,23,18,3,3,,,,11,80
"De 25 a 29 años (134)",67,63,21,14,12,9,7,,,,4,94
"De 30 a 34 años (135)",64,60,7,10,15,7,14,7,,,4,167
"De 35 a 39 años (136)",69,67,3,5,11,10,20,17,1,,2,264
"De 40 a 44 años (137)",35,35,1,5,,5,12,6,5,1,,165
"De 45 a 49 años (138)",38,38,,,4,3,12,11,4,4,,214
"De 50 y más años (139)",112,112,11,5,6,16,16,15,23,20,,653
"Ocupada (140)",517,498,117,73,65,50,81,54,33,25,19,1612
"De 12 a 14 años (141)",9,9,9,,,,,,,,,
"De 15 a 19 años (142)",61,61,47,13,1,,,,,,,15
"De 20 a 24 años (143)",76,66,21,22,17,3,3,,,,10,77
"De 25 a 29 años (144)",59,55,18,14,11,6,6,,,,4,79
"De 30 a 34 años (145)",61,58,7,9,15,7,14,6,,,3,160
"De 35 a 39 años (146)",67,65,3,5,11,10,19,16,1,,2,253
"De 40 a 44 años (147)",35,35,1,5,,5,12,6,5,1,,165
"De 45 a 49 años (148)",37,37,,,4,3,11,11,4,4,,210
"De 50 y más años (149)",112,112,11,5,6,16,16,15,23,20,,653
"Desocupada (150)",32,30,18,2,2,3,3,2,,,2,40
"De 12 a 14 años (151)",2,2,2,,,,,,,,,
"De 15 a 19 años (152)",9,9,9,,,,,,,,,
"De 20 a 24 años (153)",7,6,4,1,1,,,,,,1,3
"De 25 a 29 años (154)",8,8,3,,1,3,1,,,,,15
"De 30 a 34 años (155)",3,2,,1,,,,1,,,1,7
"De 35 a 39 años (156)",2,2,,,,,1,1,,,,11
"De 45 a 49 años (158)",1,1,,,,,1,,,,,4
"No PEA (160)",6669,6530,1903,696,674,552,1022,801,513,369,139,21860
"De 12 a 14 años (161)",913,908,904,2,2,,,,,,5,6
"De 15 a 19 años (162)",985,967,752,186,26,2,1,,,,18,248
"De 20 a 24 años (163)",752,704,105,294,227,61,12,5,,,48,1014
"De 25 a 29 años (164)",627,601,21,101,171,166,124,16,2,,26,1591
"De 30 a 34 años (165)",585,575,13,35,90,108,220,98,10,1,10,2229
"De 35 a 39 años (166)",576,570,10,16,42,76,200,156,58,12,6,2849
"De 40 a 44 años (167)",449,447,13,9,22,36,108,133,87,39,2,2654
"De 45 a 49 años (168)",402,399,8,13,18,23,98,93,83,63,3,2552
"De 50 y más años (169)",1380,1359,77,40,76,80,259,300,273,254,21,8717
