"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Otras activ. serv.comun.soc y personales (041)",163,3,65,52,34,9
"Hogares privados con servicio doméstico (042)",23,2,8,3,7,3
"Actividad economica no especificada (044)",184,1,66,60,34,23
"Desocupado (045)",530,8,257,158,78,29
"Mujeres (046)",6757,135,2009,2354,1763,496
"Agric., ganadería, caza y silvicultura (047)",2987,91,722,971,874,329
"Pesca (048)",8,,4,3,1,
"Explotación de minas y canteras (049)",24,,20,4,,
"Industrias manufactureras (050)",272,2,114,97,48,11
"Suministro de electricidad, gas y agua (051)",3,,1,1,1,
"Construcción (052)",22,,9,11,2,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",1163,11,311,421,345,75
"Venta, mant.y rep. veh.autom.y motoc. (054)",24,,10,11,3,
"Comercio al por mayor (055)",40,,14,16,9,1
"Comercio al por menor (056)",1099,11,287,394,333,74
"Hoteles y restaurantes (057)",366,5,102,128,109,22
"Trans., almac. y comunicaciones (058)",71,2,32,25,12,
"Intermediación financiera (059)",12,,6,5,1,
"Activid.inmobil., empres. y alquileres (060)",152,,68,64,16,4
"Admin.pub. y defensa; p. segur.soc afil (061)",109,,44,41,22,2
"Enseñanza (062)",459,,115,232,112,
"Servicios sociales y de salud (063)",149,,41,69,39,
"Otras activ. serv.comun.soc y personales (064)",153,4,57,57,25,10
"Hogares privados con servicio doméstico (065)",240,12,108,65,46,9
"Actividad economica no especificada (067)",305,1,87,95,94,28
"Desocupado (068)",262,7,168,65,16,6
,,,,,,
"URBANA (069)",11574,233,3451,3970,3036,884
"Agric., ganadería, caza y silvicultura (070)",4397,155,1098,1322,1266,556
"Pesca (071)",16,,6,7,3,
"Explotación de minas y canteras (072)",91,,33,36,21,1
"Industrias manufactureras (073)",654,10,260,202,142,40
"Suministro de electricidad, gas y agua (074)",16,,3,6,7,
"Construcción (075)",536,1,164,215,137,19
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",1861,27,533,647,527,127
"Venta, mant.y rep. veh.autom.y motoc. (077)",236,1,86,87,54,8
"Comercio al por mayor (078)",78,2,24,30,20,2
"Comercio al por menor (079)",1547,24,423,530,453,117
"Hoteles y restaurantes (080)",454,11,138,146,132,27
"Trans., almac. y comunicaciones (081)",728,5,278,287,143,15
"Intermediación financiera (082)",22,,14,7,1,
"Activid.inmobil., empres. y alquileres (083)",337,1,121,132,75,8
"Admin.pub. y defensa; p. segur.soc afil (084)",310,,68,146,91,5
"Enseñanza (085)",694,,139,336,210,9
"Servicios sociales y de salud (086)",205,,55,90,58,2
"Otras activ. serv.comun.soc y personales (087)",291,6,111,104,52,18
"Hogares privados con servicio doméstico (088)",207,9,89,52,47,10
"Actividad economica no especificada (090)",304,2,100,100,71,31
"Desocupado (091)",451,6,241,135,53,16
"Hombres (092)",6722,135,2057,2242,1757,531
"Agric., ganadería, caza y silvicultura (093)",2678,92,724,765,746,351
"Pesca (094)",10,,3,5,2,
"Explotación de minas y canteras (095)",90,,32,36,21,1
"Industrias manufactureras (096)",435,8,166,127,104,30
"Suministro de electricidad, gas y agua (097)",13,,2,5,6,
"Construcción (098)",517,1,156,206,135,19
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",829,17,267,274,217,54
"Venta, mant.y rep. veh.autom.y motoc. (100)",214,1,77,77,51,8
"Comercio al por mayor (101)",44,2,12,16,13,1
"Comercio al por menor (102)",571,14,178,181,153,45
"Hoteles y restaurantes (103)",126,6,49,34,31,6
"Trans., almac. y comunicaciones (104)",662,3,250,263,131,15
"Intermediación financiera (105)",11,,9,2,,
"Activid.inmobil., empres. y alquileres (106)",210,1,69,75,59,6
"Admin.pub. y defensa; p. segur.soc afil (107)",209,,30,106,70,3
"Enseñanza (108)",309,,46,140,114,9
"Servicios sociales y de salud (109)",74,,22,30,20,2
"Otras activ. serv.comun.soc y personales (110)",148,3,58,48,30,9
"Hogares privados con servicio doméstico (111)",18,1,7,2,7,1
"Actividad economica no especificada (113)",119,1,47,37,20,14
"Desocupado (114)",264,2,120,87,44,11
"Mujeres (115)",4852,98,1394,1728,1279,353
"Agric., ganadería, caza y silvicultura (116)",1719,63,374,557,520,205
"Pesca (117)",6,,3,2,1,
"Explotación de minas y canteras (118)",1,,1,,,
"Industrias manufactureras (119)",219,2,94,75,38,10
"Suministro de electricidad, gas y agua (120)",3,,1,1,1,
"Construcción (121)",19,,8,9,2,
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",1032,10,266,373,310,73
"Venta, mant.y rep. veh.autom.y motoc. (123)",22,,9,10,3,
"Comercio al por mayor (124)",34,,12,14,7,1
"Comercio al por menor (125)",976,10,245,349,300,72
"Hoteles y restaurantes (126)",328,5,89,112,101,21
"Trans., almac. y comunicaciones (127)",66,2,28,24,12,
"Intermediación financiera (128)",11,,5,5,1,
"Activid.inmobil., empres. y alquileres (129)",127,,52,57,16,2
"Admin.pub. y defensa; p. segur.soc afil (130)",101,,38,40,21,2
"Enseñanza (131)",385,,93,196,96,
"Servicios sociales y de salud (132)",131,,33,60,38,
"Otras activ. serv.comun.soc y personales (133)",143,3,53,56,22,9
"Hogares privados con servicio doméstico (134)",189,8,82,50,40,9
"Actividad economica no especificada (136)",185,1,53,63,51,17
"Desocupado (137)",187,4,121,48,9,5
,,,,,,
"RURAL (138)",8179,111,2672,2714,1968,714
"Agric., ganadería, caza y silvicultura (139)",5913,92,1736,1856,1580,649
"Pesca (140)",7,,2,4,1,
"Explotación de minas y canteras (141)",408,1,181,191,35,
"Industrias manufactureras (142)",163,1,61,63,32,6
"Construcción (144)",190,,79,71,33,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (145)",251,1,93,99,54,4
"Venta, mant.y rep. veh.autom.y motoc. (146)",45,,23,19,3,
"Comercio al por mayor (147)",7,,2,3,2,
"Comercio al por menor (148)",199,1,68,77,49,4
"Hoteles y restaurantes (149)",61,,21,27,12,1
"Trans., almac. y comunicaciones (150)",210,1,98,75,33,3
"Intermediación financiera (151)",3,,1,2,,
"Activid.inmobil., empres. y alquileres (152)",133,,59,60,12,2
"Admin.pub. y defensa; p. segur.soc afil (153)",64,,23,26,15,
"Enseñanza (154)",138,,30,60,48,
"Servicios sociales y de salud (155)",31,,13,16,2,
"Otras activ. serv.comun.soc y personales (156)",25,1,11,5,7,1
"Hogares privados con servicio doméstico (157)",56,5,27,16,6,2
"Actividad economica no especificada (159)",185,,53,55,57,20
"Desocupado (160)",341,9,184,88,41,19
"Hombres (161)",6274,74,2057,2088,1484,571
"Agric., ganadería, caza y silvicultura (162)",4645,64,1388,1442,1226,525
"Pesca (163)",5,,1,3,1,
"Explotación de minas y canteras (164)",385,1,162,187,35,
"Industrias manufactureras (165)",110,1,41,41,22,5
"Construcción (167)",187,,78,69,33,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (168)",120,,48,51,19,2
"Venta, mant.y rep. veh.autom.y motoc. (169)",43,,22,18,3,
"Comercio al por mayor (170)",1,,,1,,
"Comercio al por menor (171)",76,,26,32,16,2
"Hoteles y restaurantes (172)",23,,8,11,4,
"Trans., almac. y comunicaciones (173)",205,1,94,74,33,3
"Intermediación financiera (174)",2,,,2,,
"Activid.inmobil., empres. y alquileres (175)",108,,43,53,12,
"Admin.pub. y defensa; p. segur.soc afil (176)",56,,17,25,14,
"Enseñanza (177)",64,,8,24,32,
"Servicios sociales y de salud (178)",13,,5,7,1,
"Otras activ. serv.comun.soc y personales (179)",15,,7,4,4,
"Hogares privados con servicio doméstico (180)",5,1,1,1,,2
"Actividad economica no especificada (182)",65,,19,23,14,9
"Desocupado (183)",266,6,137,71,34,18
"Mujeres (184)",1905,37,615,626,484,143
"Agric., ganadería, caza y silvicultura (185)",1268,28,348,414,354,124
"Pesca (186)",2,,1,1,,
"Explotación de minas y canteras (187)",23,,19,4,,
"Industrias manufactureras (188)",53,,20,22,10,1
"Construcción (190)",3,,1,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (191)",131,1,45,48,35,2
"Venta, mant.y rep. veh.autom.y motoc. (192)",2,,1,1,,
"Comercio al por mayor (193)",6,,2,2,2,
"Comercio al por menor (194)",123,1,42,45,33,2
"Hoteles y restaurantes (195)",38,,13,16,8,1
"Trans., almac. y comunicaciones (196)",5,,4,1,,
"Intermediación financiera (197)",1,,1,,,
"Activid.inmobil., empres. y alquileres (198)",25,,16,7,,2
"Admin.pub. y defensa; p. segur.soc afil (199)",8,,6,1,1,
"Enseñanza (200)",74,,22,36,16,
"Servicios sociales y de salud (201)",18,,8,9,1,
"Otras activ. serv.comun.soc y personales (202)",10,1,4,1,3,1
"Hogares privados con servicio doméstico (203)",51,4,26,15,6,
"Actividad economica no especificada (205)",120,,34,32,43,11
"Desocupado (206)",75,3,47,17,7,1
