"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Otras activ. serv.comun.soc y personales (041)",333,10,102,117,94,10
"Hogares privados con servicio doméstico (042)",27,3,13,7,3,1
"Actividad economica no especificada (044)",390,8,145,108,104,25
"Desocupado (045)",1627,39,722,449,343,74
"Mujeres (046)",7864,255,2544,2955,1810,300
"Agric., ganadería, caza y silvicultura (047)",2091,153,655,669,484,130
"Pesca (048)",2,,2,,,
"Explotación de minas y canteras (049)",1,,1,,,
"Industrias manufactureras (050)",392,26,118,115,110,23
"Suministro de electricidad, gas y agua (051)",4,1,2,1,,
"Construcción (052)",18,,8,6,4,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",1509,22,383,610,415,79
"Venta, mant.y rep. veh.autom.y motoc. (054)",16,,13,3,,
"Comercio al por mayor (055)",62,2,21,24,12,3
"Comercio al por menor (056)",1431,20,349,583,403,76
"Hoteles y restaurantes (057)",413,10,107,164,119,13
"Trans., almac. y comunicaciones (058)",107,3,64,25,15,
"Intermediación financiera (059)",20,,9,10,1,
"Activid.inmobil., empres. y alquileres (060)",132,,53,52,25,2
"Admin.pub. y defensa; p. segur.soc afil (061)",187,,45,85,57,
"Enseñanza (062)",912,1,227,455,224,5
"Servicios sociales y de salud (063)",309,,91,144,73,1
"Otras activ. serv.comun.soc y personales (064)",208,3,49,95,51,10
"Hogares privados con servicio doméstico (065)",647,17,281,225,109,15
"Actividad economica no especificada (067)",400,3,122,165,90,20
"Desocupado (068)",512,16,327,134,33,2
,,,,,,
"URBANA (069)",17598,231,5404,6363,4796,804
"Agric., ganadería, caza y silvicultura (070)",4525,76,1168,1442,1466,373
"Pesca (071)",5,,1,2,2,
"Explotación de minas y canteras (072)",17,1,7,3,5,1
"Industrias manufactureras (073)",932,10,350,280,250,42
"Suministro de electricidad, gas y agua (074)",59,3,10,18,26,2
"Construcción (075)",1018,7,328,376,272,35
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",2904,55,832,1071,785,161
"Venta, mant.y rep. veh.autom.y motoc. (077)",301,1,113,101,76,10
"Comercio al por mayor (078)",152,4,53,57,29,9
"Comercio al por menor (079)",2451,50,666,913,680,142
"Hoteles y restaurantes (080)",512,12,135,203,145,17
"Trans., almac. y comunicaciones (081)",1599,5,638,600,331,25
"Intermediación financiera (082)",52,,26,21,4,1
"Activid.inmobil., empres. y alquileres (083)",494,1,156,206,118,13
"Admin.pub. y defensa; p. segur.soc afil (084)",697,,109,348,235,5
"Enseñanza (085)",1424,,287,680,442,15
"Servicios sociales y de salud (086)",418,,107,188,113,10
"Otras activ. serv.comun.soc y personales (087)",465,10,133,182,123,17
"Hogares privados con servicio doméstico (088)",563,14,235,205,98,11
"Actividad economica no especificada (090)",449,8,138,158,117,28
"Desocupado (091)",1465,29,744,380,264,48
"Hombres (092)",12407,166,3789,4275,3534,643
"Agric., ganadería, caza y silvicultura (093)",4221,65,1080,1343,1380,353
"Pesca (094)",4,,,2,2,
"Explotación de minas y canteras (095)",17,1,7,3,5,1
"Industrias manufactureras (096)",710,10,289,211,169,31
"Suministro de electricidad, gas y agua (097)",55,2,8,17,26,2
"Construcción (098)",1004,7,323,370,269,35
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",1556,36,497,519,417,87
"Venta, mant.y rep. veh.autom.y motoc. (100)",285,1,100,98,76,10
"Comercio al por mayor (101)",96,2,36,34,17,7
"Comercio al por menor (102)",1175,33,361,387,324,70
"Hoteles y restaurantes (103)",120,2,33,48,32,5
"Trans., almac. y comunicaciones (104)",1507,5,583,578,316,25
"Intermediación financiera (105)",32,,17,11,3,1
"Activid.inmobil., empres. y alquileres (106)",368,1,107,156,93,11
"Admin.pub. y defensa; p. segur.soc afil (107)",521,,69,268,179,5
"Enseñanza (108)",616,,98,277,231,10
"Servicios sociales y de salud (109)",131,,28,53,41,9
"Otras activ. serv.comun.soc y personales (110)",275,9,89,94,75,8
"Hogares privados con servicio doméstico (111)",17,1,11,4,1,
"Actividad economica no especificada (113)",209,6,68,58,63,14
"Desocupado (114)",1044,21,482,263,232,46
"Mujeres (115)",5191,65,1615,2088,1262,161
"Agric., ganadería, caza y silvicultura (116)",304,11,88,99,86,20
"Pesca (117)",1,,1,,,
"Industrias manufactureras (119)",222,,61,69,81,11
"Suministro de electricidad, gas y agua (120)",4,1,2,1,,
"Construcción (121)",14,,5,6,3,
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",1348,19,335,552,368,74
"Venta, mant.y rep. veh.autom.y motoc. (123)",16,,13,3,,
"Comercio al por mayor (124)",56,2,17,23,12,2
"Comercio al por menor (125)",1276,17,305,526,356,72
"Hoteles y restaurantes (126)",392,10,102,155,113,12
"Trans., almac. y comunicaciones (127)",92,,55,22,15,
"Intermediación financiera (128)",20,,9,10,1,
"Activid.inmobil., empres. y alquileres (129)",126,,49,50,25,2
"Admin.pub. y defensa; p. segur.soc afil (130)",176,,40,80,56,
"Enseñanza (131)",808,,189,403,211,5
"Servicios sociales y de salud (132)",287,,79,135,72,1
"Otras activ. serv.comun.soc y personales (133)",190,1,44,88,48,9
"Hogares privados con servicio doméstico (134)",546,13,224,201,97,11
"Actividad economica no especificada (136)",240,2,70,100,54,14
"Desocupado (137)",421,8,262,117,32,2
,,,,,,
"RURAL (138)",12496,483,4358,3991,2883,781
"Agric., ganadería, caza y silvicultura (139)",9859,401,3299,3091,2376,692
"Pesca (140)",5,,3,1,1,
"Explotación de minas y canteras (141)",56,,22,20,12,2
"Industrias manufactureras (142)",250,27,90,71,46,16
"Suministro de electricidad, gas y agua (143)",4,,2,,2,
"Construcción (144)",134,2,53,49,28,2
"Comerc., rep. veh. autom.,motoc. efect. pers. (145)",325,9,118,108,80,10
"Venta, mant.y rep. veh.autom.y motoc. (146)",29,,22,2,4,1
"Comercio al por mayor (147)",16,,7,7,1,1
"Comercio al por menor (148)",280,9,89,99,75,8
"Hoteles y restaurantes (149)",34,1,15,10,7,1
"Trans., almac. y comunicaciones (150)",212,4,93,78,34,3
"Activid.inmobil., empres. y alquileres (152)",35,,15,12,8,
"Admin.pub. y defensa; p. segur.soc afil (153)",42,,10,21,10,1
"Enseñanza (154)",292,1,109,133,48,1
"Servicios sociales y de salud (155)",46,,18,22,6,
"Otras activ. serv.comun.soc y personales (156)",76,3,18,30,22,3
"Hogares privados con servicio doméstico (157)",111,6,59,27,14,5
"Actividad economica no especificada (159)",341,3,129,115,77,17
"Desocupado (160)",674,26,305,203,112,28
"Hombres (161)",9823,293,3429,3124,2335,642
"Agric., ganadería, caza y silvicultura (162)",8072,259,2732,2521,1978,582
"Pesca (163)",4,,2,1,1,
"Explotación de minas y canteras (164)",55,,21,20,12,2
"Industrias manufactureras (165)",80,1,33,25,17,4
"Suministro de electricidad, gas y agua (166)",4,,2,,2,
"Construcción (167)",130,2,50,49,27,2
"Comerc., rep. veh. autom.,motoc. efect. pers. (168)",164,6,70,50,33,5
"Venta, mant.y rep. veh.autom.y motoc. (169)",29,,22,2,4,1
"Comercio al por mayor (170)",10,,3,6,1,
"Comercio al por menor (171)",125,6,45,42,28,4
"Hoteles y restaurantes (172)",13,1,10,1,1,
"Trans., almac. y comunicaciones (173)",197,1,84,75,34,3
"Activid.inmobil., empres. y alquileres (175)",29,,11,10,8,
"Admin.pub. y defensa; p. segur.soc afil (176)",31,,5,16,9,1
"Enseñanza (177)",188,,71,81,35,1
"Servicios sociales y de salud (178)",24,,6,13,5,
"Otras activ. serv.comun.soc y personales (179)",58,1,13,23,19,2
"Hogares privados con servicio doméstico (180)",10,2,2,3,2,1
"Actividad economica no especificada (182)",181,2,77,50,41,11
"Desocupado (183)",583,18,240,186,111,28
"Mujeres (184)",2673,190,929,867,548,139
"Agric., ganadería, caza y silvicultura (185)",1787,142,567,570,398,110
"Pesca (186)",1,,1,,,
"Explotación de minas y canteras (187)",1,,1,,,
"Industrias manufactureras (188)",170,26,57,46,29,12
"Construcción (190)",4,,3,,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (191)",161,3,48,58,47,5
"Comercio al por mayor (193)",6,,4,1,,1
"Comercio al por menor (194)",155,3,44,57,47,4
"Hoteles y restaurantes (195)",21,,5,9,6,1
"Trans., almac. y comunicaciones (196)",15,3,9,3,,
"Activid.inmobil., empres. y alquileres (198)",6,,4,2,,
"Admin.pub. y defensa; p. segur.soc afil (199)",11,,5,5,1,
"Enseñanza (200)",104,1,38,52,13,
"Servicios sociales y de salud (201)",22,,12,9,1,
"Otras activ. serv.comun.soc y personales (202)",18,2,5,7,3,1
"Hogares privados con servicio doméstico (203)",101,4,57,24,12,4
"Actividad economica no especificada (205)",160,1,52,65,36,6
"Desocupado (206)",91,8,65,17,1,
