"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
"De 40 a 44 años (037)",20,73,69,,94.5,,
"De 45 a 49 años (038)",9,37,36,,97.3,,
"De 50 y más años (039)",19,125,111,,88.8,,
"No PEA (040)",16968,45348,40204,760,88.7,1.7,
"De 12 a 14 años (041)",2560,5,5,,100,,
"De 15 a 19 años (042)",2962,395,380,116,96.2,29.4,
"De 20 a 24 años (043)",2054,1966,1909,214,97.1,10.9,
"De 25 a 29 años (044)",1534,3232,3115,144,96.4,4.5,
"De 30 a 34 años (045)",1289,4243,4006,123,94.4,2.9,
"De 35 a 39 años (046)",1236,5472,5093,98,93.1,1.8,
"De 40 a 44 años (047)",1028,5484,5003,43,91.2,0.8,
"De 45 a 49 años (048)",943,5613,5041,22,89.8,0.4,
"De 50 y más años (049)",3362,18938,15652,,82.6,,
,,,,,,,
"URBANA (060)",7074,17820,16275,275,91.3,1.5,
"De 12 a 14 años (061)",763,2,2,,100,,
"De 15 a 19 años (062)",1024,116,112,30,96.6,25.9,
"De 20 a 24 años (063)",882,656,641,72,97.7,11,
"De 25 a 29 años (064)",747,1172,1139,54,97.2,4.6,
"De 30 a 34 años (065)",657,1717,1658,54,96.6,3.1,
"De 35 a 39 años (066)",638,2334,2223,42,95.2,1.8,
"De 40 a 44 años (067)",530,2364,2235,17,94.5,0.7,
"De 45 a 49 años (068)",463,2231,2064,6,92.5,0.3,
"De 50 y más años (069)",1370,7228,6201,,85.8,,
"PEA (070)",1979,5755,5287,81,91.9,1.4,
"De 12 a 14 años (071)",17,2,2,,100,,
"De 15 a 19 años (072)",116,20,20,2,100,10,
"De 20 a 24 años (073)",248,200,195,21,97.5,10.5,
"De 25 a 29 años (074)",288,425,410,19,96.5,4.5,
"De 30 a 34 años (075)",279,602,581,22,96.5,3.7,
"De 35 a 39 años (076)",289,954,908,11,95.2,1.2,
"De 40 a 44 años (077)",199,841,788,4,93.7,0.5,
"De 45 a 49 años (078)",175,747,700,2,93.7,0.3,
"De 50 y más años (079)",368,1964,1683,,85.7,,
"Ocupada (080)",1845,5519,5072,78,91.9,1.4,
"De 12 a 14 años (081)",17,2,2,,100,,
"De 15 a 19 años (082)",99,18,18,2,100,11.1,
"De 20 a 24 años (083)",210,188,183,20,97.3,10.6,
"De 25 a 29 años (084)",266,399,388,17,97.2,4.3,
"De 30 a 34 años (085)",264,586,565,22,96.4,3.8,
"De 35 a 39 años (086)",279,925,879,11,95,1.2,
"De 40 a 44 años (087)",183,784,735,4,93.8,0.5,
"De 45 a 49 años (088)",168,720,674,2,93.6,0.3,
"De 50 y más años (089)",359,1897,1628,,85.8,,
"Desocupada (090)",134,236,215,3,91.1,1.3,
"De 15 a 19 años (092)",17,2,2,,100,,
"De 20 a 24 años (093)",38,12,12,1,100,8.3,
"De 25 a 29 años (094)",22,26,22,2,84.6,7.7,
"De 30 a 34 años (095)",15,16,16,,100,,
"De 35 a 39 años (096)",10,29,29,,100,,
"De 40 a 44 años (097)",16,57,53,,93,,
"De 45 a 49 años (098)",7,27,26,,96.3,,
"De 50 y más años (099)",9,67,55,,82.1,,
"No PEA (100)",5095,12065,10988,194,91.1,1.6,
"De 12 a 14 años (101)",746,,,,,,
"De 15 a 19 años (102)",908,96,92,28,95.8,29.2,
"De 20 a 24 años (103)",634,456,446,51,97.8,11.2,
"De 25 a 29 años (104)",459,747,729,35,97.6,4.7,
"De 30 a 34 años (105)",378,1115,1077,32,96.6,2.9,
"De 35 a 39 años (106)",349,1380,1315,31,95.3,2.2,
"De 40 a 44 años (107)",331,1523,1447,13,95,0.9,
"De 45 a 49 años (108)",288,1484,1364,4,91.9,0.3,
"De 50 y más años (109)",1002,5264,4518,,85.8,,
,,,,,,,
"RURAL (120)",15111,44139,38756,765,87.8,1.7,
"De 12 a 14 años (121)",1878,6,6,,100,,
"De 15 a 19 años (122)",2471,397,385,118,97,29.7,
"De 20 a 24 años (123)",1932,2007,1948,230,97.1,11.5,
"De 25 a 29 años (124)",1472,3194,3065,146,96,4.6,
"De 30 a 34 años (125)",1240,4165,3910,116,93.9,2.8,
"De 35 a 39 años (126)",1183,5315,4930,86,92.8,1.6,
"De 40 a 44 años (127)",949,5346,4809,47,90,0.9,
"De 45 a 49 años (128)",895,5641,5021,22,89,0.4,
"De 50 y más años (129)",3091,18068,14682,,81.3,,
"PEA (130)",3238,10856,9540,200,87.9,1.8,
"De 12 a 14 años (131)",64,1,1,,100,,
"De 15 a 19 años (132)",417,98,97,30,99,30.6,
"De 20 a 24 años (133)",512,497,485,67,97.6,13.5,
"De 25 a 29 años (134)",397,709,679,37,95.8,5.2,
"De 30 a 34 años (135)",329,1037,981,25,94.6,2.4,
"De 35 a 39 años (136)",296,1223,1152,20,94.2,1.6,
"De 40 a 44 años (137)",252,1385,1253,17,90.5,1.2,
"De 45 a 49 años (138)",240,1512,1344,4,88.9,0.3,
"De 50 y más años (139)",731,4394,3548,,80.7,,
"Ocupada (140)",3117,10703,9392,197,87.8,1.8,
"De 12 a 14 años (141)",57,1,1,,100,,
"De 15 a 19 años (142)",382,96,95,29,99,30.2,
"De 20 a 24 años (143)",482,488,476,67,97.5,13.7,
"De 25 a 29 años (144)",378,695,666,36,95.8,5.2,
"De 30 a 34 años (145)",323,1024,968,24,94.5,2.3,
"De 35 a 39 años (146)",288,1192,1123,20,94.2,1.7,
"De 40 a 44 años (147)",248,1369,1237,17,90.4,1.2,
"De 45 a 49 años (148)",238,1502,1334,4,88.8,0.3,
"De 50 y más años (149)",721,4336,3492,,80.5,,
"Desocupada (150)",121,153,148,3,96.7,2,
"De 12 a 14 años (151)",7,,,,,,
"De 15 a 19 años (152)",35,2,2,1,100,50,
"De 20 a 24 años (153)",30,9,9,,100,,
"De 25 a 29 años (154)",19,14,13,1,92.9,7.1,
"De 30 a 34 años (155)",6,13,13,1,100,7.7,
"De 35 a 39 años (156)",8,31,29,,93.5,,
"De 40 a 44 años (157)",4,16,16,,100,,
"De 45 a 49 años (158)",2,10,10,,100,,
"De 50 y más años (159)",10,58,56,,96.6,,
"No PEA (160)",11873,33283,29216,565,87.8,1.7,
"De 12 a 14 años (161)",1814,5,5,,100,,
"De 15 a 19 años (162)",2054,299,288,88,96.3,29.4,
"De 20 a 24 años (163)",1420,1510,1463,163,96.9,10.8,
"De 25 a 29 años (164)",1075,2485,2386,109,96,4.4,
"De 30 a 34 años (165)",911,3128,2929,91,93.6,2.9,
"De 35 a 39 años (166)",887,4092,3778,66,92.3,1.6,
"De 40 a 44 años (167)",697,3961,3556,30,89.8,0.8,
"De 45 a 49 años (168)",655,4129,3677,18,89.1,0.4,
"De 50 y más años (169)",2360,13674,11134,,81.4,,
