"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"Sin nivel (061)",403,364,31,4,4
"Educación inicial (062)",8,5,3,,
"Primaria (063)",1682,1371,228,37,46
"Secundaria (064)",2669,2048,331,143,147
"Superior no univ. incompleta (065)",444,285,60,38,61
"Superior no univ. completa (066)",479,262,60,76,81
"Superior univ. incompleta (067)",233,136,24,24,49
"Superior univ. completa (068)",408,161,69,103,75
"De 06 a 14 años (070)",171,148,21,2,
"Sin nivel (071)",4,3,1,,
"Educación inicial (072)",2,,2,,
"Primaria (073)",104,94,10,,
"Secundaria (074)",61,51,8,2,
"De 15 a 29 años (080)",1794,1293,250,118,133
"Sin nivel (081)",23,18,4,1,
"Educación inicial (082)",3,2,1,,
"Primaria (083)",174,140,28,1,5
"Secundaria (084)",1002,777,131,56,38
"Superior no univ. incompleta (085)",204,130,29,17,28
"Superior no univ. completa (086)",218,125,34,22,37
"Superior univ. incompleta (087)",83,62,6,4,11
"Superior univ. completa (088)",87,39,17,17,14
"De 30 a 44 años (090)",2234,1552,286,191,205
"Sin nivel (091)",66,57,6,1,2
"Educación inicial (092)",3,3,,,
"Primaria (093)",491,391,69,15,16
"Secundaria (094)",1024,769,132,59,64
"Superior no univ. incompleta (095)",161,106,17,16,22
"Superior no univ. completa (096)",191,101,18,34,38
"Superior univ. incompleta (097)",96,47,11,13,25
"Superior univ. completa (098)",202,78,33,53,38
"De 45 a 64 años (100)",1644,1213,206,105,120
"Sin nivel (101)",172,157,11,2,2
"Primaria (103)",641,510,92,16,23
"Secundaria (104)",530,405,57,25,43
"Superior no univ. incompleta (105)",76,46,14,5,11
"Superior no univ. completa (106)",66,33,8,19,6
"Superior univ. incompleta (107)",52,26,7,7,12
"Superior univ. completa (108)",107,36,17,31,23
"De 65 y más años (110)",483,426,43,9,5
"Sin nivel (111)",138,129,9,,
"Primaria (113)",272,236,29,5,2
"Secundaria (114)",52,46,3,1,2
"Superior no univ. incompleta (115)",3,3,,,
"Superior no univ. completa (116)",4,3,,1,
"Superior univ. incompleta (117)",2,1,,,1
"Superior univ. completa (118)",12,8,2,2,
,,,,,
"RURAL (120)",10331,8559,1244,250,278
"Sin nivel (121)",1508,1373,122,7,6
"Educación inicial (122)",7,6,1,,
"Primaria (123)",4338,3726,526,45,41
"Secundaria (124)",3778,3027,499,125,127
"Superior no univ. incompleta (125)",206,144,30,12,20
"Superior no univ. completa (126)",231,141,26,30,34
"Superior univ. incompleta (127)",105,67,16,6,16
"Superior univ. completa (128)",158,75,24,25,34
"De 06 a 14 años (130)",193,166,24,3,
"Sin nivel (131)",10,8,2,,
"Educación inicial (132)",5,4,1,,
"Primaria (133)",117,101,15,1,
"Secundaria (134)",61,53,6,2,
"De 15 a 29 años (140)",2829,2304,339,82,104
"Sin nivel (141)",86,77,9,,
"Educación inicial (142)",1,1,,,
"Primaria (143)",754,676,70,5,3
"Secundaria (144)",1656,1336,206,56,58
"Superior no univ. incompleta (145)",122,84,22,7,9
"Superior no univ. completa (146)",126,81,17,10,18
"Superior univ. incompleta (147)",40,25,9,1,5
"Superior univ. completa (148)",44,24,6,3,11
"De 30 a 44 años (150)",3312,2679,428,102,103
"Sin nivel (151)",248,214,29,3,2
"Educación inicial (152)",1,1,,,
"Primaria (153)",1520,1274,206,20,20
"Secundaria (154)",1321,1054,174,49,44
"Superior no univ. incompleta (155)",57,44,4,3,6
"Superior no univ. completa (156)",79,47,6,15,11
"Superior univ. incompleta (157)",30,20,3,1,6
"Superior univ. completa (158)",56,25,6,11,14
"De 45 a 64 años (160)",2942,2443,376,58,65
"Sin nivel (161)",634,587,43,3,1
"Primaria (163)",1513,1275,206,16,16
"Secundaria (164)",666,518,106,18,24
"Superior no univ. incompleta (165)",24,14,3,2,5
"Superior no univ. completa (166)",24,12,2,5,5
"Superior univ. incompleta (167)",31,18,4,4,5
"Superior univ. completa (168)",50,19,12,10,9
"De 65 y más años (170)",1055,967,77,5,6
"Sin nivel (171)",530,487,39,1,3
"Primaria (173)",434,400,29,3,2
"Secundaria (174)",74,66,7,,1
"Superior no univ. incompleta (175)",3,2,1,,
"Superior no univ. completa (176)",2,1,1,,
"Superior univ. incompleta (177)",4,4,,,
"Superior univ. completa (178)",8,7,,1,
