"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
"De 20 a 24 años (063)",205,,,,,,118,87
"De 25 a 29 años (064)",261,,,,,7,176,78
"De 30 a 34 años (065)",238,,,,,26,152,60
"De 35 a 39 años (066)",228,,,,1,48,133,46
"De 40 a 44 años (067)",207,,,,7,64,99,37
"De 45 a 49 años (068)",172,,,,15,79,49,29
"De 50 y más años (069)",531,8,32,61,133,117,12,168
"PEA (070)",693,1,5,16,55,155,259,202
"De 15 a 19 años (072)",15,,,,,,14,1
"De 20 a 24 años (073)",67,,,,,,34,33
"De 25 a 29 años (074)",97,,,,,2,55,40
"De 30 a 34 años (075)",83,,,,,13,48,22
"De 35 a 39 años (076)",97,,,,1,24,49,23
"De 40 a 44 años (077)",91,,,,3,35,41,12
"De 45 a 49 años (078)",68,,,,6,35,16,11
"De 50 y más años (079)",175,1,5,16,45,46,2,60
"Ocupada (080)",669,1,5,16,54,153,249,191
"De 15 a 19 años (082)",15,,,,,,14,1
"De 20 a 24 años (083)",61,,,,,,33,28
"De 25 a 29 años (084)",85,,,,,2,49,34
"De 30 a 34 años (085)",83,,,,,13,48,22
"De 35 a 39 años (086)",95,,,,1,23,48,23
"De 40 a 44 años (087)",90,,,,3,35,40,12
"De 45 a 49 años (088)",67,,,,6,35,15,11
"De 50 y más años (089)",173,1,5,16,44,45,2,60
"Desocupada (090)",24,,,,1,2,10,11
"De 20 a 24 años (093)",6,,,,,,1,5
"De 25 a 29 años (094)",12,,,,,,6,6
"De 35 a 39 años (096)",2,,,,,1,1,
"De 40 a 44 años (097)",1,,,,,,1,
"De 45 a 49 años (098)",1,,,,,,1,
"De 50 y más años (099)",2,,,,1,1,,
"No PEA (100)",1205,7,27,45,101,186,516,323
"De 12 a 14 años (101)",2,,,,,,,2
"De 15 a 19 años (102)",39,,,,,,22,17
"De 20 a 24 años (103)",138,,,,,,84,54
"De 25 a 29 años (104)",164,,,,,5,121,38
"De 30 a 34 años (105)",155,,,,,13,104,38
"De 35 a 39 años (106)",131,,,,,24,84,23
"De 40 a 44 años (107)",116,,,,4,29,58,25
"De 45 a 49 años (108)",104,,,,9,44,33,18
"De 50 y más años (109)",356,7,27,45,88,71,10,108
,,,,,,,,
"RURAL (120)",5787,11,98,337,633,1049,2532,1127
"De 12 a 14 años (121)",9,,,,,,,9
"De 15 a 19 años (122)",176,,,,,,113,63
"De 20 a 24 años (123)",571,,,,,2,377,192
"De 25 a 29 años (124)",614,,,,,17,480,117
"De 30 a 34 años (125)",657,,,,,56,497,104
"De 35 a 39 años (126)",612,,,,,113,429,70
"De 40 a 44 años (127)",592,,,,7,130,367,88
"De 45 a 49 años (128)",518,,,1,24,228,220,45
"De 50 y más años (129)",2038,11,98,336,602,503,49,439
"PEA (130)",1852,3,26,90,209,364,819,341
"De 15 a 19 años (132)",54,,,,,,37,17
"De 20 a 24 años (133)",173,,,,,,113,60
"De 25 a 29 años (134)",203,,,,,7,163,33
"De 30 a 34 años (135)",213,,,,,23,159,31
"De 35 a 39 años (136)",209,,,,,47,136,26
"De 40 a 44 años (137)",198,,,,4,44,121,29
"De 45 a 49 años (138)",165,,,1,12,68,71,13
"De 50 y más años (139)",637,3,26,89,193,175,19,132
"Ocupada (140)",1838,3,26,90,209,361,815,334
"De 15 a 19 años (142)",54,,,,,,37,17
"De 20 a 24 años (143)",166,,,,,,110,56
"De 25 a 29 años (144)",202,,,,,7,163,32
"De 30 a 34 años (145)",213,,,,,23,159,31
"De 35 a 39 años (146)",207,,,,,47,136,24
"De 40 a 44 años (147)",197,,,,4,43,121,29
"De 45 a 49 años (148)",163,,,1,12,67,70,13
"De 50 y más años (149)",636,3,26,89,193,174,19,132
"Desocupada (150)",14,,,,,3,4,7
"De 20 a 24 años (153)",7,,,,,,3,4
"De 25 a 29 años (154)",1,,,,,,,1
"De 35 a 39 años (156)",2,,,,,,,2
"De 40 a 44 años (157)",1,,,,,1,,
"De 45 a 49 años (158)",2,,,,,1,1,
"De 50 y más años (159)",1,,,,,1,,
"No PEA (160)",3935,8,72,247,424,685,1713,786
"De 12 a 14 años (161)",9,,,,,,,9
"De 15 a 19 años (162)",122,,,,,,76,46
"De 20 a 24 años (163)",398,,,,,2,264,132
"De 25 a 29 años (164)",411,,,,,10,317,84
"De 30 a 34 años (165)",444,,,,,33,338,73
"De 35 a 39 años (166)",403,,,,,66,293,44
"De 40 a 44 años (167)",394,,,,3,86,246,59
"De 45 a 49 años (168)",353,,,,12,160,149,32
"De 50 y más años (169)",1401,8,72,247,409,328,30,307
