"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"De 45 a 49 años (158)",4,3,,1,1,,,1,,,1,9
"De 50 y más años (159)",1,1,,,,,,,1,,,9
"Sup. no Univ. completa (160)",51,50,,15,19,11,4,1,,,1,112
"De 20 a 24 años (163)",3,2,,2,,,,,,,1,2
"De 25 a 29 años (164)",4,4,,2,1,1,,,,,,7
"De 30 a 34 años (165)",11,11,,4,7,,,,,,,18
"De 35 a 39 años (166)",14,14,,3,6,4,1,,,,,32
"De 40 a 44 años (167)",8,8,,3,2,1,1,1,,,,22
"De 45 a 49 años (168)",5,5,,,,4,1,,,,,16
"De 50 y más años (169)",6,6,,1,3,1,1,,,,,15
"Sup. Univ. incompleta (170)",19,13,,7,2,1,2,1,,,6,28
"De 15 a 19 años (172)",1,,,,,,,,,,1,
"De 20 a 24 años (173)",3,2,,1,,,1,,,,1,5
"De 25 a 29 años (174)",7,5,,3,1,1,,,,,2,8
"De 30 a 34 años (175)",4,3,,2,1,,,,,,1,4
"De 35 a 39 años (176)",2,1,,,,,1,,,,1,4
"De 50 y más años (179)",2,2,,1,,,,1,,,,7
"Sup. Univ. completa (180)",36,32,1,15,9,4,2,1,,,4,59
"De 25 a 29 años (184)",7,3,,3,,,,,,,4,3
"De 30 a 34 años (185)",7,7,,5,1,1,,,,,,10
"De 35 a 39 años (186)",4,4,1,3,,,,,,,,3
"De 40 a 44 años (187)",8,8,,1,5,2,,,,,,17
"De 45 a 49 años (188)",3,3,,1,,1,,1,,,,10
"De 50 y más años (189)",7,7,,2,3,,2,,,,,16
,,,,,,,,,,,,
"RURAL (200)",5824,5647,43,807,851,856,1588,1043,382,77,177,22860
"De 12 a 14 años (201)",7,4,,3,1,,,,,,3,5
"De 15 a 19 años (202)",89,74,3,64,6,1,,,,,15,79
"De 20 a 24 años (203)",325,286,,159,91,29,6,1,,,39,461
"De 25 a 29 años (204)",419,384,2,126,116,82,54,4,,,35,853
"De 30 a 34 años (205)",452,422,5,77,102,102,112,22,2,,30,1230
"De 35 a 39 años (206)",467,456,2,55,94,92,149,53,10,1,11,1611
"De 40 a 44 años (207)",500,489,1,28,78,79,166,96,38,3,11,2126
"De 45 a 49 años (208)",438,430,1,25,58,60,143,109,24,10,8,1965
"De 50 y más años (209)",3127,3102,29,270,305,411,958,758,308,63,25,14530
"Sin nivel (210)",2152,2128,18,188,226,297,654,504,196,45,24,9835
"De 15 a 19 años (212)",4,4,,3,1,,,,,,,5
"De 20 a 24 años (213)",4,3,,2,,,1,,,,1,7
"De 25 a 29 años (214)",15,15,,4,5,3,2,1,,,,38
"De 30 a 34 años (215)",19,17,,4,1,7,4,1,,,2,52
"De 35 a 39 años (216)",36,36,,1,9,8,8,7,2,1,,147
"De 40 a 44 años (217)",74,72,,7,11,11,20,13,9,1,2,327
"De 45 a 49 años (218)",102,97,,9,13,7,39,22,5,2,5,437
"De 50 y más años (219)",1898,1884,18,158,186,261,580,460,180,41,14,8822
"Educacion Inicial (220)",11,9,1,1,,4,2,,1,,2,30
"De 15 a 19 años (222)",1,1,,1,,,,,,,,1
"De 25 a 29 años (224)",2,2,,,,2,,,,,,6
"De 30 a 34 años (225)",7,5,1,,,2,1,,1,,2,19
"De 35 a 39 años (226)",1,1,,,,,1,,,,,4
"Primaria (230)",2819,2740,19,315,432,443,810,512,177,32,79,11197
"De 12 a 14 años (231)",2,1,,,1,,,,,,1,2
"De 15 a 19 años (232)",35,29,1,24,4,,,,,,6,32
"De 20 a 24 años (233)",136,121,,47,48,20,5,1,,,15,231
