"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Otras activ. serv.comun.soc y personales (041)",470,5,171,221,60,13
"Hogares privados con servicio doméstico (042)",32,2,12,8,9,1
"Actividad economica no especificada (044)",275,8,108,92,60,7
"Desocupado (045)",593,27,275,164,109,18
"Mujeres (046)",6599,179,2215,2610,1403,192
"Agric., ganadería, caza y silvicultura (047)",1892,66,563,650,518,95
"Industrias manufactureras (050)",176,3,56,79,35,3
"Suministro de electricidad, gas y agua (051)",5,,3,2,,
"Construcción (052)",19,,2,15,2,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",1276,28,379,569,269,31
"Venta, mant.y rep. veh.autom.y motoc. (054)",34,1,17,11,4,1
"Comercio al por mayor (055)",62,2,20,27,12,1
"Comercio al por menor (056)",1180,25,342,531,253,29
"Hoteles y restaurantes (057)",780,27,230,303,204,16
"Trans., almac. y comunicaciones (058)",61,,42,14,5,
"Intermediación financiera (059)",8,,6,2,,
"Activid.inmobil., empres. y alquileres (060)",84,,48,30,6,
"Admin.pub. y defensa; p. segur.soc afil (061)",137,,77,43,16,1
"Enseñanza (062)",639,,152,379,106,2
"Servicios sociales y de salud (063)",145,,40,82,21,2
"Otras activ. serv.comun.soc y personales (064)",172,2,55,78,35,2
"Hogares privados con servicio doméstico (065)",603,37,289,172,90,15
"Actividad economica no especificada (067)",457,4,181,163,86,23
"Desocupado (068)",145,12,92,29,10,2
,,,,,,
"URBANA (069)",15501,322,5321,5782,3563,513
"Agric., ganadería, caza y silvicultura (070)",4848,149,1531,1586,1302,280
"Pesca (071)",13,,2,7,4,
"Explotación de minas y canteras (072)",3,,,2,1,
"Industrias manufactureras (073)",864,14,297,307,225,21
"Suministro de electricidad, gas y agua (074)",28,,8,12,7,1
"Construcción (075)",569,2,197,181,176,13
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",2379,69,679,964,577,90
"Venta, mant.y rep. veh.autom.y motoc. (077)",336,10,117,131,68,10
"Comercio al por mayor (078)",121,3,37,50,27,4
"Comercio al por menor (079)",1922,56,525,783,482,76
"Hoteles y restaurantes (080)",826,32,241,303,225,25
"Trans., almac. y comunicaciones (081)",960,1,380,383,189,7
"Intermediación financiera (082)",38,,14,11,13,
"Activid.inmobil., empres. y alquileres (083)",342,1,144,130,62,5
"Admin.pub. y defensa; p. segur.soc afil (084)",1268,,698,401,162,7
"Enseñanza (085)",1110,,207,671,227,5
"Servicios sociales y de salud (086)",243,,68,125,47,3
"Otras activ. serv.comun.soc y personales (087)",599,7,209,282,87,14
"Hogares privados con servicio doméstico (088)",439,24,215,120,70,10
"Actividad economica no especificada (090)",541,11,213,189,111,17
"Desocupado (091)",431,12,218,108,78,15
"Hombres (092)",10990,217,3861,3915,2594,403
"Agric., ganadería, caza y silvicultura (093)",4199,124,1376,1364,1089,246
"Pesca (094)",13,,2,7,4,
"Explotación de minas y canteras (095)",3,,,2,1,
"Industrias manufactureras (096)",706,11,252,234,191,18
"Suministro de electricidad, gas y agua (097)",24,,5,11,7,1
"Construcción (098)",559,2,195,175,174,13
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",1269,45,363,462,338,61
"Venta, mant.y rep. veh.autom.y motoc. (100)",308,9,104,122,64,9
"Comercio al por mayor (101)",64,2,19,25,15,3
"Comercio al por menor (102)",897,34,240,315,259,49
"Hoteles y restaurantes (103)",173,11,55,49,49,9
"Trans., almac. y comunicaciones (104)",905,1,341,371,185,7
"Intermediación financiera (105)",30,,8,9,13,
"Activid.inmobil., empres. y alquileres (106)",269,1,105,102,56,5
"Admin.pub. y defensa; p. segur.soc afil (107)",1138,,625,361,146,6
"Enseñanza (108)",559,,87,336,132,4
"Servicios sociales y de salud (109)",121,,35,57,28,1
"Otras activ. serv.comun.soc y personales (110)",441,5,158,211,55,12
"Hogares privados con servicio doméstico (111)",23,2,9,6,5,1
"Actividad economica no especificada (113)",227,7,88,73,53,6
"Desocupado (114)",331,8,157,85,68,13
"Mujeres (115)",4511,105,1460,1867,969,110
"Agric., ganadería, caza y silvicultura (116)",649,25,155,222,213,34
"Industrias manufactureras (119)",158,3,45,73,34,3
"Suministro de electricidad, gas y agua (120)",4,,3,1,,
"Construcción (121)",10,,2,6,2,
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",1110,24,316,502,239,29
"Venta, mant.y rep. veh.autom.y motoc. (123)",28,1,13,9,4,1
"Comercio al por mayor (124)",57,1,18,25,12,1
"Comercio al por menor (125)",1025,22,285,468,223,27
"Hoteles y restaurantes (126)",653,21,186,254,176,16
"Trans., almac. y comunicaciones (127)",55,,39,12,4,
"Intermediación financiera (128)",8,,6,2,,
"Activid.inmobil., empres. y alquileres (129)",73,,39,28,6,
"Admin.pub. y defensa; p. segur.soc afil (130)",130,,73,40,16,1
"Enseñanza (131)",551,,120,335,95,1
"Servicios sociales y de salud (132)",122,,33,68,19,2
"Otras activ. serv.comun.soc y personales (133)",158,2,51,71,32,2
"Hogares privados con servicio doméstico (134)",416,22,206,114,65,9
"Actividad economica no especificada (136)",314,4,125,116,58,11
"Desocupado (137)",100,4,61,23,10,2
,,,,,,
"RURAL (138)",14723,361,5545,4992,3184,641
"Agric., ganadería, caza y silvicultura (139)",12320,302,4609,4046,2771,592
"Pesca (140)",3,,,2,1,
"Explotación de minas y canteras (141)",6,,2,2,2,
"Industrias manufactureras (142)",285,2,116,116,48,3
"Suministro de electricidad, gas y agua (143)",9,,3,4,2,
"Construcción (144)",210,2,75,87,43,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (145)",340,6,115,138,69,12
"Venta, mant.y rep. veh.autom.y motoc. (146)",40,,17,17,5,1
"Comercio al por mayor (147)",17,2,5,8,1,1
"Comercio al por menor (148)",283,4,93,113,63,10
"Hoteles y restaurantes (149)",152,6,55,57,32,2
"Trans., almac. y comunicaciones (150)",262,,110,109,42,1
"Intermediación financiera (151)",4,,2,1,1,
"Activid.inmobil., empres. y alquileres (152)",90,,37,39,14,
"Admin.pub. y defensa; p. segur.soc afil (153)",58,,26,25,7,
"Enseñanza (154)",206,,56,115,34,1
"Servicios sociales y de salud (155)",41,,11,23,5,2
"Otras activ. serv.comun.soc y personales (156)",43,,17,17,8,1
"Hogares privados con servicio doméstico (157)",196,15,86,60,29,6
"Actividad economica no especificada (159)",191,1,76,66,35,13
"Desocupado (160)",307,27,149,85,41,5
"Hombres (161)",12635,287,4790,4249,2750,559
"Agric., ganadería, caza y silvicultura (162)",11077,261,4201,3618,2466,531
"Pesca (163)",3,,,2,1,
"Explotación de minas y canteras (164)",6,,2,2,2,
"Industrias manufactureras (165)",267,2,105,110,47,3
"Suministro de electricidad, gas y agua (166)",8,,3,3,2,
"Construcción (167)",201,2,75,78,43,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (168)",174,2,52,71,39,10
"Venta, mant.y rep. veh.autom.y motoc. (169)",34,,13,15,5,1
"Comercio al por mayor (170)",12,1,3,6,1,1
"Comercio al por menor (171)",128,1,36,50,33,8
"Hoteles y restaurantes (172)",25,,11,8,4,2
"Trans., almac. y comunicaciones (173)",256,,107,107,41,1
"Intermediación financiera (174)",4,,2,1,1,
"Activid.inmobil., empres. y alquileres (175)",79,,28,37,14,
"Admin.pub. y defensa; p. segur.soc afil (176)",51,,22,22,7,
"Enseñanza (177)",118,,24,71,23,
"Servicios sociales y de salud (178)",18,,4,9,3,2
"Otras activ. serv.comun.soc y personales (179)",29,,13,10,5,1
"Hogares privados con servicio doméstico (180)",9,,3,2,4,
"Actividad economica no especificada (182)",48,1,20,19,7,1
"Desocupado (183)",262,19,118,79,41,5
"Mujeres (184)",2088,74,755,743,434,82
"Agric., ganadería, caza y silvicultura (185)",1243,41,408,428,305,61
"Industrias manufactureras (188)",18,,11,6,1,
"Suministro de electricidad, gas y agua (189)",1,,,1,,
"Construcción (190)",9,,,9,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (191)",166,4,63,67,30,2
"Venta, mant.y rep. veh.autom.y motoc. (192)",6,,4,2,,
"Comercio al por mayor (193)",5,1,2,2,,
"Comercio al por menor (194)",155,3,57,63,30,2
"Hoteles y restaurantes (195)",127,6,44,49,28,
"Trans., almac. y comunicaciones (196)",6,,3,2,1,
"Activid.inmobil., empres. y alquileres (198)",11,,9,2,,
"Admin.pub. y defensa; p. segur.soc afil (199)",7,,4,3,,
"Enseñanza (200)",88,,32,44,11,1
"Servicios sociales y de salud (201)",23,,7,14,2,
"Otras activ. serv.comun.soc y personales (202)",14,,4,7,3,
"Hogares privados con servicio doméstico (203)",187,15,83,58,25,6
"Actividad economica no especificada (205)",143,,56,47,28,12
"Desocupado (206)",45,8,31,6,,
